指标分类,指标名称,指标简写,数据类型,计算公式/方法,临床意义,参考范围,异常阈值,国际标准,解读用途
模式识别指标,昼夜节律强度,CRS,DECIMAL_4_2,24小时血糖节律强度评分,生物节律健康度,>0.7,<0.4为节律差,基于余弦分析,节律健康评估
模式识别指标,餐后血糖增幅,PPGE,DECIMAL_5_2,餐后血糖峰值-餐前基线,餐后血糖控制,<3.9 mmol/L,>5.0为控制差,自定义算法,餐后控制评估
模式识别指标,基础血糖稳定度,BGS,DECIMAL_4_3,空腹/基础状态血糖稳定性,基础胰岛素效果,CV<15%,>25%为不稳定,基于夜间数据,基础治疗评估
模式识别指标,血糖复杂度,GC,DECIMAL_5_3,血糖时间序列的复杂度,血糖控制复杂性,0.3-0.7适中,>0.9为过度复杂,基于熵计算,控制复杂性评估
分布特征指标,血糖偏度,Skewness,DECIMAL_5_3,血糖分布的偏度,血糖分布不对称性,-0.5到0.5,|值|>1为偏斜严重,统计学标准,分布形状评估
分布特征指标,血糖峰度,Kurtosis,DECIMAL_5_3,血糖分布的峰度,血糖分布尖锐度,接近3为正态,>5为尖锐分布,统计学标准,分布尖锐度评估
分布特征指标,J指数,J-Index,DECIMAL_5_2,平均血糖和变异性的综合指标,血糖质量综合评估,<20,>30为质量差,Wojcicki 1995,血糖质量综合
分布特征指标,血糖分布均匀度,GDU,DECIMAL_4_3,血糖在各范围的分布均匀性,血糖分布合理性,>0.7,<0.4为分布差,自定义算法,分布合理性评估
动态特征指标,血糖惯性指数,GII,DECIMAL_4_3,血糖变化的惯性特征,血糖变化惯性,0.6-0.8,<0.4为惯性差,自定义算法,变化惯性评估
动态特征指标,血糖加速度方差,GAV,DECIMAL_6_3,血糖二阶导数的方差,血糖变化加速度,<2.0,>4.0为加速度大,自定义算法,变化加速度评估
动态特征指标,血糖趋势强度,GTS,DECIMAL_4_2,血糖趋势的强度评估,血糖趋势明确度,>0.6,<0.3为趋势不明,基于回归分析,趋势明确性评估
动态特征指标,血糖周期性指数,GPI,DECIMAL_4_2,血糖模式的周期性强度,血糖周期规律性,>0.7,<0.4为周期差,基于频域分析,周期规律评估
风险评估指标,血糖风险指数,BGRI,DECIMAL_5_2,基于变异和极端值的风险,综合血糖风险,<10,>20为高风险,Klonoff等2018改良,综合风险评估
风险评估指标,低血糖严重度,HS,DECIMAL_5_2,低血糖事件的严重程度评分,低血糖严重性,<5,>15为严重,自定义算法,低血糖严重性
风险评估指标,高血糖严重度,HHS,DECIMAL_5_2,高血糖事件的严重程度评分,高血糖严重性,<10,>25为严重,自定义算法,高血糖严重性
风险评估指标,血糖危险时间,GDT,DECIMAL_4_1,血糖处于危险范围的时间,危险暴露时间,<10%,>20%为危险高,自定义算法,危险暴露评估
时序分析指标,血糖自相关系数,GAC,DECIMAL_4_3,血糖时间序列的自相关,血糖记忆效应,0.6-0.8,<0.3为记忆差,时间序列分析,记忆效应评估
时序分析指标,血糖频域能量,GFE,DECIMAL_8_3,血糖频域的能量分布,血糖周期成分,均匀分布,集中为单一周期,傅里叶变换,周期成分分析
时序分析指标,血糖长程相关性,GLRC,DECIMAL_4_3,血糖长时程相关特征,长期依赖性,0.5-0.7,>0.9为过度相关,DFA方法,长期依赖评估
时序分析指标,血糖分形维数,GFD,DECIMAL_4_3,血糖时间序列分形特征,血糖复杂性,1.2-1.6,>1.8为过度复杂,分形分析,复杂性量化
个性化指标,血糖个体变异度,GIV,DECIMAL_4_3,个体血糖变异特征,个体变异特点,因人而异,显著偏离为异常,个体基线比较,个体化评估
个性化指标,血糖适应性指数,GAI,DECIMAL_4_2,血糖对干预的适应性,治疗反应性,>0.6,<0.3为适应差,治疗前后比较,治疗反应评估
个性化指标,血糖稳态偏离度,GHD,DECIMAL_5_2,血糖偏离个体稳态程度,稳态维持能力,<2.0,>4.0为偏离大,个体稳态比较,稳态维持评估
个性化指标,血糖控制效率,GCE,DECIMAL_4_2,血糖控制的效率评估,控制质量效率,>0.8,<0.5为效率低,多维度综合,控制效率评估
数据质量指标,血糖数据完整性,GDC,DECIMAL_4_1,血糖数据的完整程度,数据可靠性,>90%,<70%为不可靠,数据质量评估,数据可靠性
数据质量指标,血糖测量精度,GMP,DECIMAL_5_3,血糖测量的精度评估,测量准确性,误差<15%,>20%为精度差,校准数据分析,测量质量评估
数据质量指标,血糖信号质量,GSQ,DECIMAL_4_2,CGM信号的质量评分,信号可信度,>0.8,<0.6为质量差,信号处理分析,信号质量评估
综合评估指标,血糖控制质量综合评分,GQCS,DECIMAL_4_2,多维度血糖控制质量,整体控制质量,>0.8优秀,<0.5需改善,多指标加权,整体质量评估
综合评估指标,血糖管理效能指数,GMEI,DECIMAL_4_2,血糖管理的总体效能,管理有效性,>0.7,<0.4为效能差,效果效率综合,管理效能评估
综合评估指标,血糖健康指数,GHI,DECIMAL_4_2,基于多指标的血糖健康度,血糖健康水平,>0.8健康,<0.5为不健康,健康维度综合,健康水平评估
