临床场景,指标名称,指标简写,数据类型,时间窗口,计算方法,临床意义,正常参考值,异常阈值,临床警示级别,解读建议
月经周期,排卵期血糖变异,OGCV,DECIMAL_4_1,排卵期前后3天,排卵期血糖变异系数,排卵激素影响,<30%,>45%为影响明显,低危,排卵期监测加强
妊娠血糖,妊娠血糖控制指数,PGCI,DECIMAL_4_2,妊娠全期,妊娠期血糖控制质量,妊娠血糖管理,>0.8,<0.6为控制差,高危,妊娠血糖目标更严格
妊娠血糖,妊娠餐后指数,PPGI_P,DECIMAL_4_2,妊娠餐后1-2小时,妊娠期餐后血糖指数,妊娠餐后管理,>0.7,<0.5为控制差,高危,妊娠餐后目标<7.8
老年特异,老年低血糖易感指数,EHSI,DECIMAL_4_2,全天,老年人低血糖易感性评分,老年低血糖风险,<0.3,>0.6为易感,高危,老年血糖目标放宽
老年特异,老年血糖变异指数,EGVI,DECIMAL_4_2,全天,老年人血糖变异特征,老年血糖特点,因人而异,异常偏离为风险,中危,老年个体化管理
儿童特异,儿童生长激素影响指数,CGHI,DECIMAL_4_2,夜间22:00-02:00,生长激素对血糖影响,儿童夜间血糖,<1.5,>2.5为影响明显,中危,儿童夜间胰岛素调整
药物相关,胰岛素作用曲线指数,IACI,DECIMAL_4_2,胰岛素注射后0-6h,胰岛素作用曲线评估,胰岛素效果,标准曲线匹配,偏离为作用异常,中危,评估胰岛素吸收
药物相关,胰岛素敏感性指数,ISI,DECIMAL_4_2,全天,胰岛素敏感性评估,胰岛素敏感性,>0.7,<0.4为抵抗,中危,评估胰岛素抵抗
药物相关,口服药物效果指数,OMEI,DECIMAL_4_2,服药后2-8小时,口服降糖药效果评估,口服药物效果,>0.6,<0.4为效果差,中危,调整口服药方案
并发症风险,视网膜病变风险指数,RRI,DECIMAL_4_2,全天,基于血糖模式的视网膜病变风险,微血管并发症风险,<0.3,>0.6为高风险,高危,加强眼科检查
并发症风险,肾病风险指数,NRI,DECIMAL_4_2,全天,基于血糖模式的肾病风险,肾脏并发症风险,<0.3,>0.6为高风险,高危,加强肾功能监测
并发症风险,神经病变风险指数,NPRI,DECIMAL_4_2,全天,基于血糖变异的神经病变风险,神经并发症风险,<0.3,>0.6为高风险,高危,加强神经功能评估
生活方式,工作日血糖指数,WDGI,DECIMAL_4_2,工作日,工作日血糖控制质量,工作日血糖管理,>0.7,<0.5为控制差,低危,工作日血糖管理优化
生活方式,周末血糖指数,WEGI,DECIMAL_4_2,周末,周末血糖控制质量,周末血糖管理,>0.7,<0.5为控制差,低危,周末生活方式调整
生活方式,节假日血糖波动,HGV,DECIMAL_4_2,节假日,节假日血糖变异程度,节假日血糖管理,<1.5倍平时,>2倍为波动大,低危,节假日血糖预案
季节性变化,春季血糖指数,SpGI,DECIMAL_4_2,春季3-5月,春季血糖控制特征,季节性血糖变化,稳定控制,显著偏离为季节影响,低危,季节性调整方案
季节性变化,夏季血糖指数,SuGI,DECIMAL_4_2,夏季6-8月,夏季血糖控制特征,高温血糖影响,稳定控制,显著偏离为高温影响,低危,夏季血糖管理
季节性变化,秋季血糖指数,AuGI,DECIMAL_4_2,秋季9-11月,秋季血糖控制特征,季节转换影响,稳定控制,显著偏离为转换影响,低危,秋季适应性调整
季节性变化,冬季血糖指数,WiGI,DECIMAL_4_2,冬季12-2月,冬季血糖控制特征,低温血糖影响,稳定控制,显著偏离为低温影响,低危,冬季血糖保暖
综合风险,多时段风险综合指数,MTRI,DECIMAL_4_2,全天多时段,多个高风险时段的综合风险,综合风险评估,<0.4,>0.7为高综合风险,高危,系统性治疗调整
综合风险,血糖危险级联指数,GCCI,DECIMAL_4_2,全天,血糖异常的级联风险评估,级联效应风险,<0.3,>0.6为级联风险高,高危,预防级联反应
综合风险,血糖脆性指数,GBI,DECIMAL_4_2,全天,血糖控制的脆性程度,血糖脆性评估,<0.4,>0.7为脆性高,高危,脆性糖尿病管理
