复杂度类型,指标名称,计算公式,Python实现,数学原理,临床意义,正常范围,异常阈值,解读示例
模式复杂度,符号复杂度,SC = entropy(symbolic_sequence),symbolic_complexity(glucose),符号化序列的复杂度,血糖趋势复杂性,简单符号模式,复杂符号模式,"符号复杂度高，趋势变化频繁"
模式复杂度,语法复杂度,GC = parse_tree_depth(grammar_rules),grammatical_complexity(glucose),语法解析的复杂程度,血糖语法结构复杂性,简单语法结构,复杂语法异常,"语法复杂度高，血糖规则复杂"
动态复杂度,状态空间复杂度,SSC = volume(reconstructed_attractor),state_space_complexity(glucose),重构相空间的体积,血糖动态系统复杂性,紧凑吸引子,分散吸引子异常,"状态空间分散，动态系统复杂"
动态复杂度,轨道复杂度,TC = path_length/euclidean_distance,trajectory_complexity(glucose),轨道路径与直线距离比,血糖演化复杂程度,接近直线,迂回轨道异常,"轨道极度迂回，演化路径复杂"
动态复杂度,吸引子复杂度,AC = fractal_dimension(attractor),attractor_complexity(glucose),吸引子的分形特征,血糖长期行为复杂性,简单吸引子,复杂吸引子异常,"吸引子复杂，长期行为难预测"
网络复杂度,小世界复杂度,SWC = clustering_coefficient/path_length,small_world_complexity(glucose),小世界网络特征,血糖网络拓扑复杂性,规则网络,小世界网络,"呈小世界特征，局部聚集全局连通"
网络复杂度,无标度复杂度,SFC = power_law_exponent(degree_distribution),scale_free_complexity(glucose),度分布的幂律特征,血糖连接复杂性,指数分布,幂律分布异常,"度分布呈幂律，存在关键节点"
网络复杂度,模块复杂度,MC = modularity(network_partition),modular_complexity(glucose),网络模块化程度,血糖功能模块复杂性,清晰模块结构,模糊模块异常,"模块结构模糊，功能分工不明"
多维复杂度,主成分复杂度,PCC = explained_variance_ratio,pca_complexity(glucose_features),主成分的复杂程度,血糖多维特征复杂性,少数主成分,多主成分异常,"需要多个主成分，特征复杂"
多维复杂度,流形复杂度,MC = intrinsic_dimension(manifold),manifold_complexity(glucose),数据流形的内在维数,血糖流形结构复杂性,低维流形,高维流形异常,"流形维数高，结构复杂"
多维复杂度,拓扑复杂度,TC = betti_numbers(persistent_homology),topological_complexity(glucose),拓扑不变量的复杂性,血糖拓扑特征复杂性,简单拓扑,复杂拓扑异常,"拓扑结构复杂，存在多个孔洞"
临床导向复杂度,血糖控制复杂度,GCC = weighted_sum(TIR_complexity, variability_complexity),glucose_control_complexity(agp_data),血糖控制相关指标复杂性,血糖管理复杂程度,简单控制模式,复杂控制异常,"血糖控制复杂，需要精细管理"
临床导向复杂度,治疗反应复杂度,TRC = entropy(treatment_response_patterns),treatment_response_complexity(glucose, interventions),治疗反应模式的复杂性,治疗效果复杂程度,线性反应,非线性反应异常,"治疗反应复杂，效果难预测"
临床导向复杂度,并发症风险复杂度,CRC = risk_pattern_complexity(complications),complication_risk_complexity(glucose, risk_factors),并发症风险模式复杂性,风险评估复杂程度,单一风险因素,多重风险复杂,"风险模式复杂，多因素交互"
综合复杂度,多尺度复杂度,MSC = integration(complexity_across_scales),multiscale_complexity(glucose),跨时间尺度的复杂性,血糖多层次复杂性,尺度一致性,尺度冲突异常,"多尺度复杂度不一致"
综合复杂度,自适应复杂度,AC = complexity_adaptation_rate,adaptive_complexity(glucose),复杂度随时间的适应性,血糖适应性复杂性,稳定复杂度,剧烈变化异常,"复杂度剧烈变化，适应性差"
综合复杂度,上下文复杂度,CC = context_dependent_complexity,contextual_complexity(glucose, context),基于情境的复杂度评估,情境相关复杂性,情境适应性,情境冲突异常,"复杂度与情境不匹配"
