section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source,source_file
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.estrogen.deficiency_effects,绝经后雌激素缺乏导致骨吸收增加,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.estrogen.rankl_opg_system,调节RANKL/OPG比值影响骨代谢,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.parathyroid_hormone.physiologic_role,维持血钙稳态,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.parathyroid_hormone.bone_effects,间歇性PTH促进骨形成，持续升高促进骨吸收,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.parathyroid_hormone.secondary_hyperparathyroidism,维生素D缺乏或肾功能不全引起,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.vitamin_d.calcium_absorption,促进肠道钙吸收,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.vitamin_d.bone_mineralization,必需的骨矿化因子,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.vitamin_d.deficiency_consequences,继发性甲状旁腺功能亢进,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.thyroid_hormones.bone_turnover,甲亢加速骨转换,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.thyroid_hormones.fracture_risk,长期甲亢增加骨折风险,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.glucocorticoids.bone_formation,抑制成骨细胞分化和功能,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.glucocorticoids.bone_resorption,促进破骨细胞活性,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.glucocorticoids.iatrogenic_osteoporosis,糖皮质激素性骨质疏松,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.growth_hormone_igf1.bone_anabolism,刺激成骨细胞增殖和胶原合成,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.hormonal_regulation.growth_hormone_igf1.deficiency,GH/IGF-1缺乏导致骨密度下降,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.cytokine_regulation.rank_rankl_opg.rankl,破骨细胞分化因子,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.cytokine_regulation.rank_rankl_opg.opg,骨保护素，RANKL拮抗剂,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.cytokine_regulation.rank_rankl_opg.ratio,RANKL/OPG比值决定骨吸收程度,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.cytokine_regulation.inflammatory_cytokines.il1_il6_tnf,促进骨吸收的细胞因子,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,pathophysiology.cytokine_regulation.inflammatory_cytokines.chronic_inflammation,慢性炎症加速骨丢失,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,classification.etiology_based.primary_osteoporosis.type_1.description,绝经后骨质疏松,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,classification.etiology_based.primary_osteoporosis.type_1.age_group,51-75岁女性,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,classification.etiology_based.primary_osteoporosis.type_1.mechanism,雌激素缺乏,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
BONE_001,BONE_001,骨质疏松症,,骨代谢疾病,骨代谢疾病,classification.etiology_based.primary_osteoporosis.type_1.predominant_site,松质骨（椎体、桡骨远端）,ADA Standards of Medical Care in Diabetes 2025; American Thyroid Association Guidelines 2025; Endocrine Society Adrenal Guidelines 2024; Endocrine Society Pituitary Guidelines 2024; AHA/ACC Hypertension Guidelines 2025; ACC/AHA Dyslipidemia Guidelines 2025; Endocrine Society Growth Hormone Guidelines 2024; ATA Thyroid Nodules Management Guidelines 2024; Primary Aldosteronism Guidelines 2024; Pheochromocytoma and Paraganglioma Guidelines 2024; Androgen Excess and PCOS Society Guidelines 2023; International Society of Endocrinology Clinical Practice Guidelines; American Urological Association Male Hypogonadism Guidelines 2024; North American Menopause Society Position Statement 2024,BONE_001.csv
