section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,source_file
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,epidemiology.trend,发病率持续上升,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,epidemiology.risk_factors_prevalence,高龄妊娠、肥胖增加,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,pathophysiology.hormonal_changes.insulin_resistance,妊娠期胰岛素敏感性下降50-60%,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,pathophysiology.hormonal_changes.placental_hormones,人胎盘泌乳素（hPL）; 雌激素; 孕激素; 皮质醇; 胎盘胰岛素酶,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,pathophysiology.hormonal_changes.progressive_nature,孕周增加胰岛素抵抗加重,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,pathophysiology.beta_cell_adaptation.normal_pregnancy,β细胞代偿性增生和功能增强,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,pathophysiology.beta_cell_adaptation.gdm_pathogenesis,β细胞代偿不足导致高血糖,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,risk_factors.major_risk_factors,年龄≥35岁; 孕前BMI≥24 kg/m²; 糖尿病家族史（一级亲属）; 既往GDM史; 既往不良孕产史（巨大儿、死胎、多胎畸形）; 多囊卵巢综合征; 孕期体重增加过多,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,risk_factors.minor_risk_factors,高血压; 高龄初产; 反复流产史; 羊水过多,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.screening_timing.first_screening,孕24-28周（最佳时间）,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.screening_timing.early_screening.indications,高危因素存在,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.screening_timing.early_screening.timing,孕早期（<20周）,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.screening_timing.early_screening.method,空腹血糖或HbA1c,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.standard_protocol.preparation,正常饮食3天，空腹8-14小时,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.standard_protocol.glucose_load,75g无水葡萄糖溶于300ml水中,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.standard_protocol.sampling_times,0分钟; 60分钟; 120分钟,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.iadpsg_criteria.fasting,≥5.1 mmol/L (92 mg/dL),entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.iadpsg_criteria.1_hour,≥10.0 mmol/L (180 mg/dL),entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.iadpsg_criteria.2_hour,≥8.5 mmol/L (153 mg/dL),entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.75g_ogtt.iadpsg_criteria.diagnostic_threshold,任何一项异常即可诊断,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.alternative_screening.50g_gct,50g葡萄糖激发试验（筛查用）,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,screening_diagnosis.diagnostic_tests.alternative_screening.threshold,1小时血糖≥7.8 mmol/L需进一步OGTT,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.glucose_targets.fasting,<5.3 mmol/L (95 mg/dL),entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.glucose_targets.1h_postprandial,<7.8 mmol/L (140 mg/dL),entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.glucose_targets.2h_postprandial,<6.7 mmol/L (120 mg/dL),entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.glucose_targets.bedtime,5.0-6.7 mmol/L,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.medical_nutrition_therapy.caloric_intake,25-35 kcal/kg孕前体重/日,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.medical_nutrition_therapy.carbohydrate,复合碳水化合物，40-50%总热量,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.medical_nutrition_therapy.protein,20%总热量,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.medical_nutrition_therapy.fat,25-30%总热量,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.medical_nutrition_therapy.meal_distribution,三大餐+2-3次加餐,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.physical_activity.recommendation,中等强度有氧运动,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.physical_activity.duration,30分钟/日，每周至少5天,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.physical_activity.types,快走; 游泳; 孕妇瑜伽,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.lifestyle_intervention.physical_activity.contraindications,妊娠并发症时禁止,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.insulin_therapy.indications,生活方式干预1-2周血糖不达标; 空腹血糖>5.8 mmol/L; 餐后2小时血糖>6.7 mmol/L,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.insulin_therapy.preferred_insulin,中效或长效胰岛素+速效胰岛素,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.insulin_therapy.regimens,每日2次预混胰岛素; 基础-餐时胰岛素方案,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.insulin_therapy.dosage,0.7-1.0 U/kg孕前体重/日起始,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.oral_medications.metformin,部分指南允许使用，需权衡利弊,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.oral_medications.sulfonylureas,格列本脲，二线选择,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,management.pharmacological_treatment.oral_medications.contraindicated,其他降糖药物孕期禁用,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,maternal_complications.pregnancy_complications,妊娠期高血压疾病; 羊水过多; 早产; 胎膜早破; 泌尿系感染,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,maternal_complications.delivery_complications,巨大儿导致难产; 肩难产; 产伤; 剖宫产率增加,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,maternal_complications.long_term_risks,产后2型糖尿病风险增加7倍; 心血管疾病风险增加; 代谢综合征; 再次妊娠GDM复发率30-70%,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,fetal_neonatal_complications.macrosomia.definition,出生体重≥4000g,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,fetal_neonatal_complications.macrosomia.mechanism,胎儿高胰岛素血症促进生长,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,fetal_neonatal_complications.macrosomia.complications,肩难产; 产伤; 剖宫产,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,fetal_neonatal_complications.neonatal_complications,新生儿低血糖; 新生儿呼吸窘迫综合征; 新生儿高胆红素血症; 新生儿低钙血症; 新生儿红细胞增多症,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,fetal_neonatal_complications.long_term_offspring_risks,儿童期肥胖风险增加; 青春期代谢综合征; 成年期2型糖尿病风险增加,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,delivery_management.timing.spontaneous_labor,血糖控制良好可等待自然分娩,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,delivery_management.timing.induction,孕39-40周考虑引产,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,delivery_management.timing.cesarean_section,血糖控制不良或胎儿过大,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,delivery_management.peripartum_glucose_management.labor_monitoring,每1-2小时监测血糖,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,delivery_management.peripartum_glucose_management.target_range,4.0-7.0 mmol/L,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,delivery_management.peripartum_glucose_management.insulin_adjustment,根据血糖调整胰岛素剂量,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.immediate_postpartum.insulin_discontinuation,产后立即停用胰岛素,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.immediate_postpartum.glucose_monitoring,监测血糖变化,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.immediate_postpartum.breastfeeding,鼓励母乳喂养,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.long_term_follow_up.diabetes_screening.timing,产后6-12周,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.long_term_follow_up.diabetes_screening.method,75g OGTT或FPG,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.long_term_follow_up.diabetes_screening.frequency,每1-3年筛查一次,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.long_term_follow_up.lifestyle_counseling,体重管理; 健康饮食; 规律运动; 戒烟限酒,entities_diabetes_entities.csv
entities.diabetes_entities,DM_002,妊娠期糖尿病,,disease,代谢性疾病,postpartum_follow_up.long_term_follow_up.family_planning,再次妊娠前咨询评估,entities_diabetes_entities.csv
entities.diabetes_entities,DM_003,成人起病的青年型糖尿病,,disease,遗传性糖尿病,genetic_classification.MODY2.characteristics,轻度持续性高血糖; 通常不需要药物治疗; 并发症风险低; 妊娠期需要监测,entities_diabetes_entities.csv
entities.diabetes_entities,DM_003,成人起病的青年型糖尿病,,disease,遗传性糖尿病,treatment.MODY2_treatment.pregnancy,妊娠期可能需要胰岛素,entities_diabetes_entities.csv
entities.diabetes_entities,DM_005,继发性糖尿病,,disease,继发性内分泌疾病,diagnosis.differential_diagnosis,1型糖尿病; 2型糖尿病; MODY; 妊娠糖尿病,entities_diabetes_entities.csv
entities.diabetes_medications,DM_MED_001,二甲双胍,,medication,双胍类降糖药,indications.additional,糖尿病前期（部分指南推荐）; PCOS相关胰岛素抵抗; 妊娠糖尿病（部分地区）,entities_diabetes_medications.csv
entities.diabetes_medications,DM_MED_006,胰岛素,,medication,胰岛素及类似物,indications.relative,2型糖尿病多种口服药物失效; 妊娠糖尿病; 急性应激状态; 严重感染,entities_diabetes_medications.csv
entities.diabetes_technology_devices,DM_TECH_001,连续血糖监测系统,,medical_device,血糖监测技术,indications,1型糖尿病患者; 胰岛素治疗的2型糖尿病; 妊娠糖尿病; 频发低血糖患者; 无症状低血糖患者,entities_diabetes_technology_devices.csv
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,clinical_manifestations.reproductive_features,月经稀发或闭经; 不孕; 流产率增加,entities_gonadal_entities.csv
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,treatment_strategies.pharmacological_therapy.reproductive_management.ovulation_induction.clomiphene.success_rate,排卵率70-80%，妊娠率35-40%,entities_gonadal_entities.csv
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,treatment_strategies.pharmacological_therapy.reproductive_management.ovulation_induction.letrozole.advantages,妊娠率更高，多胎率低,entities_gonadal_entities.csv
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,treatment_strategies.pharmacological_therapy.hyperandrogenism_management.antiandrogens,螺内酯 25-200mg/day; 醋酸环丙孕酮; 氟他胺,entities_gonadal_entities.csv
entities.gonadal_entities,GON_001,多囊卵巢综合征,,disease,性腺疾病,complications.reproductive,不孕症(70-80%); 妊娠糖尿病风险增加; 妊娠高血压风险增加; 流产率增加; 子宫内膜癌风险增加,entities_gonadal_entities.csv
entities.gonadal_entities,GON_003,女性性腺功能减退症,,disease,性腺疾病,clinical_manifestations.reproductive_symptoms,闭经或月经稀发; 不孕; 性欲减退; 阴道干燥,entities_gonadal_entities.csv
entities.gonadal_entities,GON_003,女性性腺功能减退症,,disease,性腺疾病,diagnostic_evaluation.additional_tests,妊娠试验; 泌乳素; TSH; 雄激素谱; 核型分析(早发者),entities_gonadal_entities.csv
entities.gonadal_entities,GON_005,Turner综合征,,disease,性腺疾病,clinical_features.gonadal_dysgenesis.infertility,不孕,entities_gonadal_entities.csv
entities.gonadal_entities,GON_005,Turner综合征,,disease,性腺疾病,management.fertility_considerations.spontaneous_pregnancy,5-10%可能性（镶嵌型）,entities_gonadal_entities.csv
entities.gonadal_entities,GON_005,Turner综合征,,disease,性腺疾病,management.fertility_considerations.pregnancy_risks,心血管并发症风险高,entities_gonadal_entities.csv
entities.gonadal_entities,GON_006,Kallmann综合征,,disease,性腺疾病,clinical_manifestations.reproductive_dysfunction.females.infertility,不孕,entities_gonadal_entities.csv
entities.gonadal_entities,GON_006,Kallmann综合征,,disease,性腺疾病,treatment.pubertal_induction.females.progestogen,子宫发育后添加孕激素,entities_gonadal_entities.csv
entities.gonadal_entities,GON_006,Kallmann综合征,,disease,性腺疾病,treatment.maintenance_therapy.females,雌孕激素替代治疗,entities_gonadal_entities.csv
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,clinical_manifestations.hyperprolactinemia_effects.women,月经紊乱/闭经; 不孕; 溢乳; 性欲减退; 骨质疏松,entities_pituitary_entities.csv
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,diagnostic_workup.differential_diagnosis.physiological,妊娠; 哺乳; 应激; 睡眠,entities_pituitary_entities.csv
entities.pituitary_entities,PIT_002,泌乳素瘤,,disease,垂体疾病,treatment_strategies.medical_therapy.dopamine_agonists.bromocriptine.pregnancy,妊娠期首选,entities_pituitary_entities.csv
entities.pituitary_entities,PIT_005,垂体功能减退症,,disease,垂体疾病,hormonal_deficiencies.gonadotropin_deficiency.females.symptoms,闭经; 不孕; 潮热; 骨质疏松,entities_pituitary_entities.csv
entities.pituitary_entities,PIT_005,垂体功能减退症,,disease,垂体疾病,treatment.hormone_replacement.sex_hormones.females,雌孕激素替代治疗,entities_pituitary_entities.csv
entities.pituitary_entities,PIT_006,垂体卒中,,disease,垂体疾病,predisposing_factors.triggering_events,高血压; 抗凝治疗; 妊娠分娩; 大手术; 糖尿病; 头部外伤,entities_pituitary_entities.csv
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,clinical_manifestations.reproductive_symptoms,月经紊乱; 性功能减退; 不孕不育,entities_thyroid_entities.csv
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,treatment_options.antithyroid_drugs.propylthiouracil.indications,妊娠期首选; 甲状腺危象; 甲巯咪唑过敏,entities_thyroid_entities.csv
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,treatment_options.radioactive_iodine.contraindications,妊娠; 哺乳; 严重眼病,entities_thyroid_entities.csv
entities.thyroid_entities,THY_001,甲状腺功能亢进症,,disease,甲状腺疾病,treatment_options.surgical_therapy.indications,大甲状腺肿; 疑恶变; 妊娠期药物禁忌,entities_thyroid_entities.csv
entities.thyroid_entities,THY_002,甲状腺功能减退症,,disease,甲状腺疾病,clinical_manifestations.reproductive_symptoms,月经过多; 不孕; 性欲减退,entities_thyroid_entities.csv
entities.thyroid_entities,THY_002,甲状腺功能减退症,,disease,甲状腺疾病,treatment_protocols.levothyroxine_therapy.monitoring.pregnancy,每4-6周监测,entities_thyroid_entities.csv
entities.thyroid_entities,THY_002,甲状腺功能减退症,,disease,甲状腺疾病,treatment_protocols.levothyroxine_therapy.special_considerations.pregnancy.dose_increase,30-50%,entities_thyroid_entities.csv
entities.thyroid_entities,THY_002,甲状腺功能减退症,,disease,甲状腺疾病,treatment_protocols.levothyroxine_therapy.special_considerations.pregnancy.target_TSH,<2.5 mIU/L,entities_thyroid_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.infertility.anovulatory,排卵性不孕,female_endocrine_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,clinical_manifestations.reproductive_features.infertility.prevalence,75%不孕症患者,female_endocrine_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,treatment.pharmacological_treatment.menstrual_regulation.progestins.medroxyprogesterone,醋酸甲羟孕酮,female_endocrine_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,treatment.pharmacological_treatment.hyperandrogenism_treatment.anti_androgens.cyproterone_acetate.dose,醋酸环丙孕酮 25-100mg/日,female_endocrine_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,treatment.fertility_treatment.ovulation_induction.letrozole.advantages,较少多胎妊娠,female_endocrine_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,long_term_complications.reproductive.infertility,排卵障碍导致不孕,female_endocrine_entities.csv
female_endocrine_entities,FEM_001,多囊卵巢综合征,,reproductive_endocrine_disorder,female_endocrine_disease,long_term_complications.reproductive.pregnancy_complications,妊娠期糖尿病; 妊娠期高血压; 早产; 胎儿宫内生长受限,female_endocrine_entities.csv
