consensus_id,consensus_title,consensus_title_en,organization,publication_date,evidence_level,scope,key_recommendations,implementation_strategy,target_audience,clinical_impact,update_frequency,related_guidelines
EC011,2024 AACE肥胖症综合管理共识,2024 AACE Comprehensive Clinical Practice Guidelines for Obesity,American Association of Clinical Endocrinology,2024-02,A级,肥胖症诊疗和管理,"减重药物新进展;减重手术指征;行为干预策略;并发症综合管理",肥胖症多学科培训,内分泌科和减重外科医师,改善肥胖症患者代谢和心血管健康,3-5年更新,TOS减重手术指南
EC012,2024 AGS老年糖尿病管理共识,2024 AGS Clinical Practice Guideline for Diabetes in Older Adults,American Geriatrics Society,2024-01,A级,老年糖尿病特殊管理,"功能状态评估;个体化血糖目标;药物简化策略;跌倒风险预防",老年医学培训+综合评估,老年科和内分泌科医师,提高老年糖尿病患者安全性和生活质量,5年更新,ADA老年糖尿病章节
EC013,2024 ISPAD儿童青少年糖尿病共识,2024 ISPAD Clinical Practice Consensus Guidelines,International Society for Pediatric and Adolescent Diabetes,2024-12,A级,儿童青少年糖尿病,"血糖监测技术;胰岛素治疗优化;心理社会支持;过渡期医疗",儿科内分泌专科培训,儿科内分泌科医师,改善儿童糖尿病长期预后,2-3年更新,ADA儿童糖尿病章节
EC014,2024 ENDO多学科内分泌急症共识,2024 Endocrine Emergency Multidisciplinary Consensus,多个内分泌学会联合,2024-11,A级,内分泌急症诊疗,"垂体卒中急救;甲状腺危象处理;肾上腺危象管理;严重低血糖救治",急诊内分泌培训+绿色通道,急诊科和内分泌科医师,降低内分泌急症死亡率,5年更新,各国急诊医学指南
EC015,2024 WHO全球糖尿病紧凑指南,2024 WHO Global Compact Guidelines for Diabetes,World Health Organization,2024-10,A级,全球糖尿病防控,"低资源环境管理;基层医疗能力建设;糖尿病预防策略;卫生经济学评估",全球卫生培训+技术转移,全球卫生政策制定者,改善全球糖尿病防控能力,5年更新,IDF全球糖尿病地图
EC016,2024 ESC糖尿病心血管疾病指南,2024 ESC Guidelines on Cardiovascular Disease in Diabetes,European Society of Cardiology,2024-08,A级,糖尿病心血管并发症,"SGLT2抑制剂心血管获益;GLP-1受体激动剂应用;心血管风险分层;预防策略优化",心血管内分泌联合培训,心内科和内分泌科医师,降低糖尿病患者心血管事件,3-5年更新,AHA/ACC糖尿病指南
EC017,2024 ETA甲状腺眼病管理共识,2024 ETA/EUGOGO Guidelines for Thyroid Eye Disease,European Thyroid Association,2024-07,A级,甲状腺相关眼病,"活动期判断标准;免疫抑制治疗;眼眶放疗指征;外科治疗时机",眼科内分泌联合培训,眼科和内分泌科医师,改善甲状腺眼病患者视功能和外观,5-7年更新,美国甲状腺眼病指南
EC018,2024 EASD/ADA高血糖管理共识,2024 EASD/ADA Consensus on Hyperglycemia Management,European Association for Study of Diabetes & ADA,2024-06,A级,2型糖尿病高血糖管理,"以患者为中心;综合风险评估;个体化治疗选择;真实世界证据",循证医学培训+决策支持,全球内分泌科医师,优化糖尿病治疗个体化,2-3年更新,国际糖尿病联盟指南
EC019,2024 AACE甲状腺功能检测共识,2024 AACE Consensus on Thyroid Function Testing,American Association of Clinical Endocrinology,2024-05,A级,甲状腺功能检测和解释,"TSH检测指征;FT4检测时机;抗体检测意义;妊娠期特殊考虑",实验室医学培训+检测标准化,临床医师和检验科医师,提高甲状腺疾病诊断准确性,5年更新,ATA甲状腺功能指南
EC020,2024国际骨代谢学会骨健康共识,2024 IBMS Consensus on Bone Health,International Bone & Mineral Society,2024-04,A级,骨代谢疾病诊疗,"骨转换标志物应用;骨质疏松药物监测;继发性骨病筛查;骨健康生活方式",骨代谢专科培训,骨科和内分泌科医师,提高骨代谢疾病诊疗水平,5年更新,各国骨质疏松指南
