qa_id,question_type,primary_specialty,secondary_specialty,question,detailed_answer,related_entities,clinical_scenario,evidence_level,guideline_source
QA011,儿童内分泌,儿科,内分泌科,儿童1型糖尿病患者如何进行血糖管理？,"儿童1型糖尿病血糖管理：1. 血糖目标：年龄<6岁HbA1c<8.5%，6-12岁<8%，13-18岁<7.5%，避免严重低血糖。2. 胰岛素治疗：多次胰岛素注射(MDI)或胰岛素泵治疗，根据年龄、活动量调整。3. 血糖监测：每日4-6次血糖监测，或使用连续血糖监测(CGM)系统。4. 胰岛素调整：基础胰岛素占总量40-50%，餐时胰岛素根据碳水化合物计算。5. 低血糖处理：轻度低血糖口服葡萄糖，严重低血糖使用胰高糖素。6. 饮食管理：碳水化合物计数，规律进餐，适量零食。7. 运动管理：运动前调整胰岛素剂量或增加碳水化合物摄入。8. 心理支持：糖尿病教育，心理咨询，同伴支持。9. 学校管理：与学校沟通，制定糖尿病管理计划。10. 过渡期准备：青少年期逐渐培养自我管理能力。",MCP017;NEU008,8岁男孩，新诊断1型糖尿病，HbA1c 12.5%,A级,ADA 2025/ISPAD 2024
QA012,内分泌急症,急诊科,内分泌科,如何识别和处理肾上腺危象？,"肾上腺危象的识别和处理：1. 临床表现：严重低血压、脱水、电解质紊乱(低钠高钾)、低血糖、意识障碍、恶心呕吐。2. 诱发因素：感染、手术、外伤、停用糖皮质激素、应激等。3. 实验室检查：血钠<135mmol/L，血钾>5.0mmol/L，血糖<3.9mmol/L，血皮质醇<100nmol/L。4. 紧急处理：立即静脉注射氢化可的松100-200mg，然后100mg q6-8h。5. 液体复苏：生理盐水快速补液，纠正脱水和低血压，注意监测CVP。6. 电解质纠正：高钾时使用胰岛素+葡萄糖，低钠时限制自由水摄入。7. 血糖管理：低血糖时静脉注射50%葡萄糖，维持血糖正常。8. 病因治疗：抗感染、处理诱发因素。9. 监测要点：生命体征、尿量、电解质、血糖每2-4小时监测。10. 长期管理：危象控制后改为维持剂量氢化可的松，患者教育应激时激素调整。",NE020;CE006,55岁女性，既往肾上腺功能不全，因肺炎停用激素3天后出现严重低血压,A级,Endocrine Society 2024
QA013,生殖内分泌,妇科,内分泌科,多囊卵巢综合征患者的代谢异常如何管理？,"PCOS代谢异常管理：1. 代谢评估：胰岛素抵抗指数(HOMA-IR)、OGTT、血脂、血压、腰臀比。2. 生活方式干预：减重5-10%，低升糖指数饮食，规律运动150分钟/周。3. 胰岛素抵抗：二甲双胍1500-2000mg/d，改善胰岛素敏感性和月经周期。4. 血糖管理：糖耐量异常或糖尿病患者按照相应标准治疗。5. 血脂异常：他汀类药物，目标LDL-C<2.6mmol/L。6. 高血压：首选ACEI/ARB类药物，避免利尿剂加重胰岛素抵抗。7. 高雄激素：抗雄激素治疗(螺内酯、达英-35)，改善多毛、痤疮。8. 促排卵：有生育需求时使用来曲唑或克罗米芬。9. 心血管风险：定期评估颈动脉内膜厚度、血管内皮功能。10. 长期随访：每3-6个月监测代谢指标，年度心血管风险评估。",MCP012;CE004,25岁女性，月经稀发，多毛，BMI 28，HOMA-IR 4.5,A级,ASRM/ES 2024
QA014,骨代谢,骨科,内分泌科,糖尿病患者的骨质疏松风险如何评估和预防？,"糖尿病患者骨质疏松管理：1. 风险评估：FRAX评分，考虑糖尿病为独立危险因素，1型糖尿病风险更高。2. 骨密度检测：DXA检查腰椎、股骨颈、全髋，T值<-2.5诊断骨质疏松。3. 生化标志物：25羟维生素D、PTH、血钙磷、骨转换标志物(CTX、P1NP)。4. 糖尿病特殊因素：血糖控制差、胰岛素缺乏、并发症(肾病、神经病变)增加骨折风险。5. 生活方式：适量负重运动，充足钙摄入(1000-1200mg/d)，维生素D补充(800-1000IU/d)。6. 血糖控制：良好的血糖控制有利于骨健康，避免低血糖导致跌倒。7. 药物治疗：双膦酸盐类(阿仑膦酸钠)、地舒单抗、特立帕肽等。8. 跌倒预防：改善居家环境，纠正视力问题，避免体位性低血压。9. 药物审查：避免影响骨代谢的药物，如糖皮质激素、噻嗪类利尿剂过量。10. 监测随访：每1-2年复查骨密度，监测骨折风险变化。",CE016;NE018,65岁女性，2型糖尿病史15年，腰椎骨密度T值-2.8,A级,AACE 2024/IOF 2024
QA015,肿瘤内分泌,肿瘤科,内分泌科,胰腺神经内分泌肿瘤患者如何管理激素相关症状？,"胰腺神经内分泌肿瘤激素管理：1. 功能性肿瘤识别：胰岛素瘤(低血糖)、胃泌素瘤(消化性溃疡)、VIP瘤(水样腹泻)、胰高糖素瘤(糖尿病、游走性红斑)。2. 胰岛素瘤管理：频繁进餐预防低血糖，二氮嗪抑制胰岛素分泌，奥曲肽控制症状。3. 胃泌素瘤：质子泵抑制剂控制胃酸分泌，奥曲肽减少胃泌素释放。4. VIP瘤：补液纠正脱水，奥曲肽控制腹泻，电解质监测。5. 胰高糖素瘤：血糖控制，氨基酸补充，皮肤病变处理。6. 生长抑素类似物：奥曲肽或兰瑞肽长效制剂，控制激素过量分泌。7. 靶向治疗：依维莫司、舒尼替尼等，控制肿瘤进展。8. 营养支持：维持营养状态，必要时肠外营养。9. 手术治疗：可切除肿瘤的首选治疗，术前需要充分的内科准备。10. 监测随访：激素水平、影像学、营养状态、生活质量评估。",MCP020;CE009,45岁男性，反复低血糖发作，胰腺体部2cm肿块,B级,NCCN 2024/ENETS 2024
QA016,透析内分泌,肾内科,内分泌科,透析患者的甲状旁腺功能亢进如何治疗？,"透析患者继发性甲状旁腺功能亢进：1. 病理机制：磷潴留、维生素D缺乏、低钙血症刺激甲状旁腺增生。2. 诊断标准：血PTH>600pg/ml(CKD 5期)，血钙正常或升高，血磷升高。3. 药物治疗：活性维生素D类似物(骨化三醇、帕立骨化醇)，拟钙剂(西那卡塞)。4. 磷控制：磷结合剂(碳酸司维拉姆、醋酸钙)，目标血磷<1.8mmol/L。5. 钙平衡：透析液钙浓度调整，避免过度补钙。6. 手术指征：PTH持续>800pg/ml，难治性高钙血症，严重骨病，钙化转移。7. 手术方式：甲状旁腺次全切除或全切除+自体移植。8. 术后管理：监测血钙，预防低钙血症，继续磷控制。9. 新型治疗：依替膦酸钠注射液(针对血管钙化)。10. 监测要点：月度PTH、钙磷，季度骨密度，年度心血管钙化评估。",MCP018;NE004,55岁男性，血液透析5年，PTH 1200pg/ml，血钙2.8mmol/L,A级,KDIGO 2024
QA017,感染内分泌,感染科,内分泌科,糖尿病患者发生严重感染时血糖如何管理？,"糖尿病患者严重感染的血糖管理：1. 应激反应：感染导致反调节激素释放，胰岛素抵抗加重，血糖显著升高。2. 血糖目标：ICU患者血糖控制在8.3-10.0mmol/L，避免严重高血糖和低血糖。3. 胰岛素治疗：静脉持续输注人胰岛素，起始剂量0.5-1.0U/h，根据血糖调整。4. 监测频率：每1-2小时监测血糖，血糖稳定后可延长至4-6小时。5. 口服药物：停用二甲双胍(乳酸酸中毒风险)、SGLT2抑制剂(酮症酸中毒风险)。6. 液体管理：避免含糖输液，监测电解质平衡。7. 营养支持：肠内营养优于肠外营养，血糖升高时调整胰岛素而非减少营养。8. 酮体监测：1型糖尿病或应激状态下监测血酮或尿酮。9. 并发症预防：深静脉血栓、压疮、医院获得性感染等。10. 恢复期管理：感染控制后逐渐恢复原有降糖方案。",CE001;NEU011,65岁男性，2型糖尿病，因重症肺炎入ICU，血糖20.5mmol/L,A级,ADA 2025/SCCM 2024
QA018,精神内分泌,精神科,内分泌科,抗精神病药物导致的代谢综合征如何预防和治疗？,"抗精神病药物代谢综合征管理：1. 高危药物：奥氮平、氯氮平、利培酮等非典型抗精神病药物。2. 基线评估：用药前检查体重、腰围、血糖、血脂、血压。3. 监测计划：用药后1、3、6个月检查，之后每6个月监测。4. 体重管理：生活方式干预，必要时使用减重药物(奥利司他)。5. 血糖异常：首选二甲双胍，避免影响精神症状的药物。6. 血脂异常：他汀类药物，注意药物相互作用。7. 高血压：首选ACEI/ARB类药物，避免影响精神状态。8. 药物调整：考虑更换为代谢风险较低的抗精神病药物(阿立哌唑、齐拉西酮)。9. 专科协作：精神科和内分泌科密切配合，平衡精神症状控制和代谢风险。10. 患者教育：饮食控制、运动重要性，药物依从性。",PSY011;CE004,30岁男性精神分裂症患者，奥氮平治疗6个月后体重增加20kg,A级,APA 2024/ADA 2025
QA019,运动内分泌,运动医学科,内分泌科,运动员低T3综合征如何诊断和处理？,"运动员低T3综合征：1. 发病机制：过度训练、能量摄入不足导致下丘脑-垂体-甲状腺轴抑制。2. 临床表现：疲劳、运动能力下降、恢复缓慢、免疫力下降、情绪改变。3. 实验室特点：T3下降、rT3升高、TSH正常或轻度下降、T4正常或轻度下降。4. 鉴别诊断：排除真正的甲状腺疾病、其他内分泌病、营养不良。5. 评估原因：训练负荷、能量平衡、体重变化、心理压力。6. 治疗策略：减少训练强度，增加休息时间，改善营养摄入。7. 营养干预：保证充足热量摄入，适当增加碳水化合物和蛋白质。8. 激素治疗：一般不推荐甲状腺激素替代治疗，除非有明确甲减证据。9. 监测随访：甲状腺功能、运动能力、疲劳指标。10. 预防措施：合理安排训练计划，避免过度训练，保证充足营养和睡眠。",CE005;PSY012,22岁男性长跑运动员，训练后疲劳明显，T3 0.8ng/ml(正常1.2-2.8),B级,Sports Medicine Guidelines 2024
QA020,移植内分泌,移植科,内分泌科,器官移植后新发糖尿病如何管理？,"移植后糖尿病(PTDM)管理：1. 发病机制：免疫抑制剂(他克莫司、环孢素)的β细胞毒性和胰岛素抵抗。2. 诊断标准：移植后新发糖尿病，空腹血糖≥7.0mmol/L或OGTT 2h血糖≥11.1mmol/L。3. 风险因素：年龄、肥胖、家族史、种族、移植类型、免疫抑制方案。4. 预防策略：选择对糖代谢影响较小的免疫抑制剂，控制体重。5. 药物治疗：首选胰岛素治疗，二甲双胍需要注意肾功能，避免磺脲类药物。6. 免疫抑制剂调整：必要时减少他克莫司剂量或改用贝拉西普。7. 血糖目标：HbA1c<7%，平衡血糖控制和感染风险。8. 并发症预防：心血管疾病、肾功能保护、感染预防。9. 监测要点：血糖、HbA1c、移植物功能、感染指标。10. 长期管理：多学科协作，定期评估移植物功能和糖尿病并发症。",MCP006;CE014,45岁肾移植术后6个月患者，新发空腹血糖8.5mmol/L,A级,KDIGO 2024/ADA 2025

QA021,围手术期内分泌,麻醉科,内分泌科,糖尿病患者围手术期血糖管理的麻醉科协作要点是什么？,"糖尿病患者围手术期血糖管理协作：1. 术前评估：血糖控制情况(HbA1c<8.5%为宜)、并发症筛查(心血管、肾脏、神经病变)、药物调整计划。2. 择期手术：建议HbA1c<8.5%，紧急手术时严格监测血糖。3. 术前禁食：缩短禁食时间，术前2小时可饮用清液体，减少胰岛素抵抗。4. 血糖监测：麻醉期间每30-60分钟监测，目标范围8-12mmol/L，避免<6mmol/L或>15mmol/L。5. 胰岛素管理：使用胰岛素-葡萄糖-钾(GIK)输液方案，或胰岛素持续静脉输注。6. 麻醉药物选择：避免影响血糖的药物，如高剂量糖皮质激素。7. 术中输液：避免含糖输液，使用平衡盐溶液。8. 应激管理：手术应激导致血糖升高，需要相应增加胰岛素剂量。9. 术后监测：恢复室继续血糖监测，逐步恢复常规治疗。10. 并发症预防：低血糖昏迷、酮症酸中毒、感染等。",ENDO_005;ANES_012;SURG_008,需要大手术的糖尿病患者围手术期管理,A级,ASA Guidelines 2024; ADA Perioperative Management 2024

QA022,心脏电生理,心内科,内分泌科,甲状腺功能异常对心脏电生理有什么影响，如何进行心电监护？,"甲状腺功能异常的心电影响和监护：1. 甲亢心电改变：窦性心动过速(>100bpm)、房性心律失常(房颤发生率10-25%)、室性心律失常、传导阻滞。2. 甲减心电改变：窦性心动过缓(<60bpm)、QT间期延长、T波倒置或低平、低电压。3. 电生理机制：离子通道功能改变(钠、钾、钙通道)、自主神经调节异常、心肌重构和纤维化。4. 房颤管理：甲亢是房颤的独立危险因素，需要抗凝治疗和心率控制。5. 心电监护要点：连续心电监测、定期12导联心电图、动态心电图检查。6. 电解质监测：钾、镁离子对心律稳定重要，需要定期检查。7. 药物治疗：β受体阻滞剂控制心率，抗心律失常药物需要谨慎使用。8. 心功能评估：超声心动图评估心功能，特别是舒张功能。9. 治疗监测：甲状腺功能纠正后心律失常多数可改善。10. 介入治疗：难治性心律失常可考虑射频消融治疗。",ENDO_018;CARDIO_025;ELECTRO_006,甲亢伴房颤的老年患者需要抗凝和心律控制,A级,ATA Guidelines 2024; ESC Arrhythmia Guidelines 2024

QA023,影像诊断,放射科,内分泌科,肾上腺意外瘤的影像科与内分泌科协作诊断流程是什么？,"肾上腺意外瘤协作诊断流程：1. 初始CT评估：无对比剂CT测量Hounsfield单位(HU)值，<10HU提示良性腺瘤，>10HU需要进一步检查。2. 增强CT：评估washout值，绝对washout>60%或相对washout>40%提示腺瘤。3. MRI检查：化学位移成像显示信号丢失提示富含脂质的良性腺瘤，DWI评估恶性风险。4. 功能性评估：24小时尿儿茶酚胺及代谢产物(排除嗜铬细胞瘤)、地塞米松抑制试验(排除皮质醇腺瘤)、醛固酮肾素比值(排除醛固酮腺瘤)。5. 尺寸标准：<1cm多为良性，1-4cm需要功能评估，>4cm手术风险评估。6. 随访策略：良性非功能性腺瘤每1-2年影像随访，功能性腺瘤每年评估。7. 手术指征：功能性腺瘤、>4cm、影像学可疑恶性、随访中增大>1cm。8. 病理诊断：手术标本病理确诊，免疫组化鉴别良恶性。9. 遗传筛查：双侧腺瘤或年轻患者考虑遗传综合征。10. MDT讨论：复杂病例需要多学科会诊决策。",ENDO_023;RADIO_015;SURG_012,发现肾上腺占位性病变需要良恶性和功能性鉴别,A级,Endocrine Society Guidelines 2024; ACR Appropriateness Criteria 2024

QA024,生殖内分泌,妇科,内分泌科,多囊卵巢综合征(PCOS)患者的妇产科与内分泌科协作管理策略？,"PCOS协作管理策略：1. 诊断标准：Rotterdam标准，月经稀发/无排卵、高雄激素血症(临床或生化)、多囊卵巢形态学改变(三项中两项)。2. 内分泌科管理：代谢异常评估和治疗，包括胰岛素抵抗(二甲双胍1500-2000mg/d)、血脂异常、糖尿病筛查、体重管理。3. 妇科管理：生殖内分泌问题，调节月经周期(复方口服避孕药、孕激素)、促排卵治疗(克罗米芬、来曲唑)、辅助生殖技术。4. 皮肤科协作：多毛症和痤疮治疗，抗雄激素药物(螺内酯100-200mg/d、氟他胺)。5. 心血管风险：长期心血管疾病和糖尿病风险评估，生活方式干预。6. 生育管理：排卵诱导、妊娠期血糖监测、妊娠并发症预防。7. 营养咨询：体重管理、低升糖指数饮食、运动计划。8. 心理支持：身体形象问题、生育焦虑、抑郁筛查。9. 长期随访：子宫内膜癌筛查、骨密度监测、代谢指标评估。10. 个体化治疗：根据患者年龄、生育需求、症状严重程度制定方案。",ENDO_031;GYNECO_018;DERMA_007,育龄期女性PCOS需要生殖和代谢双重管理,A级,ASRM Guidelines 2024; Endocrine Society PCOS Guideline 2024

QA025,骨科内分泌,骨科,内分泌科,骨质疏松症的骨科与内分泌科协作治疗策略？,"骨质疏松协作治疗策略：1. 诊断评估：内分泌科负责病因诊断，区分原发性和继发性骨质疏松，检查甲状旁腺功能、维生素D状态、性激素水平、皮质醇等。2. 骨科评估：骨折风险评估(FRAX评分)、骨密度检测解读(T值<-2.5)、既往骨折史评估。3. 药物治疗：内分泌科制定抗骨质疏松药物方案，双膦酸盐(阿仑膦酸钠70mg/周)、地舒单抗(60mg/6个月)、特立帕肽(重度骨质疏松)。4. 手术协作：术前骨代谢优化、术后抗骨质疏松治疗时机选择、植入物选择考虑骨质量。5. 骨折预防：跌倒风险评估、居家环境改善、平衡训练、视力纠正。6. 营养管理：钙剂(1200mg/d)和维生素D(800-1000IU/d)补充，蛋白质摄入充足。7. 运动康复：负重运动、阻力训练、平衡训练，避免高冲击运动。8. 监测随访：骨密度年度监测、骨转换标志物评估、新发骨折筛查。9. 特殊人群：绝经后妇女、老年男性、长期糖皮质激素使用者。10. 并发症管理：病理性骨折、椎体压缩骨折的综合治疗。",ENDO_026;ORTHO_012;REHAB_005,老年骨质疏松性骨折患者的综合治疗,A级,IOF Guidelines 2024; ASBMR Position Statement 2024

QA026,神经外科,神经外科,内分泌科,垂体腺瘤患者的神经外科与内分泌科协作手术决策？,"垂体腺瘤协作手术决策：1. 术前评估：内分泌科完成激素功能检查(GH、PRL、ACTH、TSH、LH/FSH、皮质醇)、垂体功能储备评估、视野检查。2. 影像学评估：神经外科负责MRI评估肿瘤大小、侵袭性、与海绵窦关系、视交叉压迫程度。3. 手术适应症：功能性腺瘤(激素过量分泌)、压迫症状(视野缺损、头痛)、大腺瘤(>1cm)、恶性变可能。4. 手术入路：经蝶窦入路(首选，微创)或经颅入路，根据肿瘤位置和侵袭性选择。5. 术中协作：神经外科切除肿瘤保护正常垂体，内分泌科指导激素替代和监测。6. 术后监测：激素水平变化、尿崩症、SIADH、垂体前叶功能、视野恢复评估。7. 并发症处理：尿崩症(醋酸去氨加压素)、垂体功能不全(激素替代)、脑脊液漏。8. 长期随访：影像学复查(3、6、12个月，然后年度)、激素水平监测、肿瘤复发评估。9. 残留肿瘤：术后残留考虑药物治疗(生长抑素类似物、多巴胺激动剂)或再次手术。10. MDT决策：复杂病例(侵袭性腺瘤、复发肿瘤)需要多学科讨论。",ENDO_014;NEURO_020;OPHTH_003,垂体大腺瘤伴视野缺损的手术时机选择,A级,Pituitary Society Guidelines 2024; CNS Guidelines 2024

