pathway_id,pathway_name,pathway_name_en,primary_conditions,comorbid_conditions,evidence_level,guideline_source,target_population,clinical_scenarios,assessment_protocol,integrated_management_approach,monitoring_strategy,outcome_targets,care_coordination,special_considerations
MCP011,垂体功能减退多激素缺乏,Hypopituitarism Multiple Hormone Deficiency,"垂体功能减退,生长激素缺乏,性腺功能减退","肾上腺功能不全,甲状腺功能减退,尿崩症",A级,Endocrine Society 2024,垂体功能减退患者,垂体手术史 + 多种激素缺乏 + 乏力症状,垂体激素全套 + MRI + 水平衡试验,多种激素替代治疗 + 剂量个体化,每3个月激素水平 + 每年MRI随访,各激素水平正常化 + 症状改善 + 生活质量提升,内分泌科+神经外科,激素替代顺序重要
MCP012,多囊卵巢综合征代谢异常,PCOS Metabolic Abnormalities,"PCOS,胰岛素抵抗,高雄激素血症","糖尿病,高血压,抑郁症",A级,ASRM/ES 2024,PCOS代谢异常患者,月经不规律 + 高雄激素 + 胰岛素抵抗 + 代谢异常,激素水平 + 糖耐量试验 + 心理评估,生活方式 + 二甲双胍 + 抗雄激素治疗,每3个月月经周期 + 代谢指标 + 心理状态,月经规律 + 代谢改善 + 心理健康,妇科内分泌+内分泌科+精神科,生育需求考虑
MCP013,甲状腺癌术后多重管理,Post-thyroidectomy Multiple Management,"甲状腺癌,甲状腺功能减退,甲状旁腺功能减退","骨质疏松,心律失常,焦虑",A级,ATA 2024,甲状腺癌术后患者,甲状腺全切术后 + TSH抑制治疗 + 低钙血症,TSH抑制程度评估 + 钙磷代谢 + 心血管评估,TSH抑制治疗 + 钙剂补充 + 心血管保护,每3个月TSH + 每月血钙 + 每年心电图,TSH目标达标 + 血钙正常 + 无心律失常,内分泌科+外科+心内科,TSH抑制度个体化
MCP014,糖尿病足多重危险因素,Diabetic Foot Multiple Risk Factors,"糖尿病足,外周血管病,神经病变","感染,骨髓炎,抑郁症",A级,ADA 2025/SVS 2024,糖尿病足高危患者,糖尿病 + 足溃疡 + ABI异常 + 感染征象,血管评估 + 神经功能 + 感染指标 + 心理状态,血管重建 + 创面护理 + 抗感染 + 心理支持,每周创面评估 + 血管通畅度 + 感染控制,创面愈合 + 血管通畅 + 无截肢 + 心理健康,血管外科+内分泌科+精神科+感染科,多学科足病团队
MCP015,内分泌高血压多病因,Endocrine Hypertension Multiple Etiologies,"原醛症,嗜铬细胞瘤,库欣综合征","难治性高血压,心衰,肾功能不全",A级,Endocrine Society 2024/AHA 2024,内分泌性高血压患者,难治性高血压 + 内分泌功能异常 + 器官损害,内分泌筛查 + 影像学 + 靶器官评估,病因特异性治疗 + 降压治疗 + 器官保护,每月血压 + 内分泌功能 + 器官功能,血压达标 + 内分泌功能正常 + 器官保护,内分泌科+心内科+肾内科,手术时机和风险评估
MCP016,骨代谢疾病多重影响,Bone Metabolic Disease Multiple Impact,"骨质疏松,甲状旁腺功能亢进,维生素D缺乏","骨折,高钙血症,肾结石",A级,AACE 2024/IOF 2024,骨代谢异常患者,骨折史 + 骨密度下降 + 血钙异常 + 维生素D缺乏,骨密度 + 骨代谢标志物 + 钙磷代谢,抗骨质疏松治疗 + 维生素D补充 + 钙调节,每年骨密度 + 每季度骨标志物,骨密度改善 + 无新发骨折 + 钙磷正常,内分泌科+骨科+肾内科,药物相互作用监测
MCP017,青少年1型糖尿病成长期管理,Adolescent Type 1 Diabetes Transition Care,"1型糖尿病,青春期发育,心理问题","饮食失调,抑郁症,学习困难",A级,ADA 2025/ISPAD 2024,青少年1型糖尿病患者,青春期 + 1型糖尿病 + 血糖控制差 + 心理问题,青春期发育评估 + 心理健康筛查 + 家庭功能评估,胰岛素调整 + 心理干预 + 家庭支持,每3个月HbA1c + 心理评估 + 生长发育,HbA1c改善 + 心理健康 + 正常发育,儿科内分泌+青少年医学+心理科,过渡期医疗转换
MCP018,透析患者内分泌紊乱,Dialysis Patient Endocrine Disorders,"终末期肾病,继发性甲旁亢,代谢性骨病","贫血,心血管疾病,营养不良",A级,KDIGO 2024,透析患者内分泌并发症,透析治疗 + PTH升高 + 骨病 + 营养不良,矿物质代谢 + 营养评估 + 心血管风险评估,拟钙剂 + 磷结合剂 + 营养支持,每月PTH + 营养指标 + 心血管评估,PTH达标 + 营养改善 + 心血管稳定,肾内科+内分泌科+营养科,透析方式影响
MCP019,免疫缺陷合并内分泌病,Immunodeficiency with Endocrine Disease,"自身免疫性多腺体综合征,肾上腺功能不全,甲状旁腺功能减退","慢性念珠菌感染,白癜风,脱发",B级,Endocrine Society 2024,免疫缺陷内分泌患者,反复感染 + 多腺体功能减退 + 皮肤症状,免疫功能评估 + 内分泌功能全套 + 基因检测,激素替代 + 免疫调节 + 感染预防,每月激素水平 + 感染监测 + 免疫功能,激素稳定 + 感染控制 + 免疫功能改善,内分泌科+免疫科+皮肤科,感染预防是关键
MCP020,内分泌肿瘤多发转移,Metastatic Endocrine Tumors Multiple Sites,"胰腺神经内分泌瘤,肝转移,骨转移","类癌综合征,低血糖,高钙血症",B级,NCCN 2024/Endocrine Society 2024,转移性内分泌肿瘤患者,内分泌肿瘤 + 远处转移 + 激素综合征,全身影像学 + 激素功能评估 + 肿瘤标志物,靶向治疗 + 激素调节 + 对症支持,每3个月影像学 + 激素水平 + 肿瘤标志物,肿瘤控制 + 激素稳定 + 症状缓解,肿瘤科+内分泌科+姑息医学科,生活质量评估
