sourceFile,drugCode,genericName,specification,unit,series,category,metadata.englishName,metadata.chineseAcronym,metadata.brandName,metadata.commonDosage,metadata.recommendedDosages,metadata.recommendedFrequency,metadata.form,metadata.route,metadata.indications,metadata.contraindications,metadata.sideEffects,metadata.drugInteractions,metadata.specialInstructions,metadata.pregnancyCategory,metadata.renalAdjustment,metadata.hepaticAdjustment,metadata.frequency1,metadata.frequency2,metadata.frequency3,metadata.frequency4
general-drug-database.ts,lianhua-qingwen,连花清瘟胶囊,0.35g/粒,粒,中成药/清热解毒,清热解毒,lianhua_qingwen,Lianhua Qingwen Capsule,连花清瘟胶囊,4粒,,每日3次,口服,口服,流感;上呼吸道感染;COVID-19,孕妇;儿童,胃肠道反应;过敏,无明显相互作用,饭后服用,C,正常剂量,正常剂量,TID,,,
general-drug-database.ts,huoxiang-zhengqi,藿香正气口服液,10ml/支,ml,中成药/祛暑解表,祛暑解表,huoxiang_zhengqi,Huoxiang Zhengqi Oral Liquid,藿香正气口服液,10ml,,每日3次,口服,口服,暑湿感冒;胃肠型感冒,孕妇,胃肠道反应,无明显相互作用,摇匀后服用,C,正常剂量,正常剂量,TID,,,
general-drug-database.ts,shuanghuanglian,双黄连口服液,10ml/支,ml,中成药/清热解毒,清热解毒,shuanghuanglian,Shuanghuanglian Oral Liquid,双黄连口服液,10ml,,每日3次,口服,口服,风热感冒;上呼吸道感染,脾胃虚寒;过敏,胃肠道反应;过敏反应,无明显相互作用,摇匀后服用,C,正常剂量,正常剂量,TID,,,
general-drug-database.ts,compound-danshen,复方丹参滴丸,27mg/丸,丸,中成药/活血化瘀,活血化瘀,compound_danshen,Compound Danshen Dripping Pills,复方丹参滴丸,10丸,,每日3次,口服,口服,冠心病心绞痛,孕妇;出血倾向,胃肠道反应;过敏反应,华法林;抗血小板药,舌下含服,C,正常剂量,正常剂量,TID,,,
general-drug-database.ts,tongxinluo,通心络胶囊,0.26g/粒,粒,中成药/活血通络,活血通络,tongxinluo,Tongxinluo Capsule,通心络胶囊,4粒,,每日3次,口服,口服,冠心病心绞痛;脑梗死,孕妇;出血倾向,胃肠道反应,华法林;抗血小板药,饭后服用,C,正常剂量,正常剂量,TID,,,
general-drug-database.ts,atropine,阿托品,0.5mg/ml;1mg/ml,mg,抗胆碱药/M受体阻滞剂,抗胆碱首选,Atropine,ATP,硫酸阿托品注射液,0.5-1mg,,必要时,静脉注射,静脉注射;肌肉注射;皮下注射,心动过缓;有机磷中毒;麻醉前用药,青光眼;前列腺肥大,口干;视力模糊;心动过速;尿潴留,抗胆碱药;抗组胺药,心动过缓首选,C,正常剂量,正常剂量,PRN,,,
general-drug-database.ts,salbutamol,沙丁胺醇,0.1mg/喷;100μg/吸,μg,β2受体激动剂,哮喘急救,Salbutamol,SAL,万托林,200μg,,必要时,吸入,吸入,哮喘;COPD急性发作,心律失常;甲亢,震颤;心悸;低钾血症,β受体阻滞剂;茶碱类,吸入前摇匀,C,正常剂量,正常剂量,PRN,,,
general-drug-database.ts,ipratropium-bromide,异丙托溴铵,20μg/喷,μg,抗胆碱药/M受体阻滞剂,COPD首选,Ipratropium Bromide,IPR,爱全乐,40μg,,每日4次,吸入,吸入,COPD;哮喘,青光眼;前列腺肥大,口干;咳嗽,抗胆碱药,避免接触眼睛,B,正常剂量,正常剂量,QID,,,
general-drug-database.ts,budesonide-formoterol,布地奈德福莫特罗,160μg/4.5μg,吸,ICS/LABA复方制剂,哮喘控制药,Budesonide/Formoterol,BUD/FOR,信必可,2吸,,每日2次,吸入,吸入,哮喘;COPD,哮喘急性发作,声音嘶哑;念珠菌感染,无明显相互作用,吸入后漱口,C,正常剂量,正常剂量,BID,,,
general-drug-database.ts,theophylline,茶碱,0.1g;0.2g,g,甲基黄嘌呤类,需监测血药浓度,Theophylline,THEO,氨茶碱,0.1-0.2g,,每日3次,口服,口服,哮喘;COPD,心律失常;活动性消化性溃疡,心律失常;胃肠道反应;失眠,CYP1A2抑制剂;喹诺酮类,监测血药浓度,C,正常剂量,肝功能损害时减量,TID,,,
general-drug-database.ts,omeprazole,奥美拉唑,20mg;40mg,mg,质子泵抑制剂,PPI首选,Omeprazole,OME,洛赛克,20mg,,每日1次,口服,口服,消化性溃疡;GERD;HP根除,对PPI过敏,头痛;腹泻;低镁血症,氯吡格雷;华法林,空腹服用,C,正常剂量,肝功能损害时减量,QD,,,
general-drug-database.ts,ranitidine,雷尼替丁,150mg;300mg,mg,H2受体拮抗剂,H2RA代表药,Ranitidine,RAN,善胃得,150mg,,每日2次,口服,口服,消化性溃疡;GERD,对H2RA过敏,头痛;腹泻,华法林;地高辛,餐后或睡前服用,B,肾功能不全时减量,正常剂量,BID,,,
general-drug-database.ts,lansoprazole,兰索拉唑,15mg;30mg,mg,质子泵抑制剂,第二代PPI,Lansoprazole,LAN,达克普隆,30mg,,每日1次,口服,口服,消化性溃疡;GERD;HP根除,对PPI过敏,头痛;腹泻,氯吡格雷;华法林,早餐前服用,B,正常剂量,肝功能损害时减量,QD,,,
general-drug-database.ts,metoclopramide,甲氧氯普胺,10mg,mg,促胃肠动力药/多巴胺受体拮抗剂,促胃肠动力,Metoclopramide,MCP,胃复安,10mg,,每日3次,口服,口服;静脉注射,恶心呕吐;胃轻瘫,胃肠梗阻;嗜铬细胞瘤,锥体外系反应;泌乳,抗精神病药;左旋多巴,餐前15-30分钟服用,B,肾功能不全时减量,肝功能损害时减量,TID,,,
general-drug-database.ts,clarithromycin,克拉霉素,0.25g;0.5g,g,大环内酯类抗生素,HP根除,Clarithromycin,CLA,克拉仙,0.5g,,每日2次,口服,口服,HP根除;呼吸道感染,对大环内酯类过敏;严重肝功能不全,胃肠道反应;肝酶升高,CYP3A4底物;地高辛,餐后服用,C,肾功能不全时减量,肝功能损害时减量,BID,,,
general-drug-database.ts,paracetamol,对乙酰氨基酚,0.5g,g,解热镇痛药,解热镇痛首选,Paracetamol,APAP,泰诺林,0.5-1g,,每4-6小时1次,口服,口服,发热;疼痛,严重肝功能不全,肝损害;皮疹,华法林,每日不超过4g,B,正常剂量,肝功能损害时减量,PRN,,,
general-drug-database.ts,ibuprofen,布洛芬,0.2g;0.4g,g,NSAIDs,NSAIDs代表药,Ibuprofen,IBU,芬必得,0.4g,,每日3次,口服,口服,发热;疼痛;炎症,活动性消化性溃疡;哮喘,胃肠道反应;肾损害,华法林;阿司匹林,餐后服用,C,肾功能不全时谨慎,肝功能损害时谨慎,TID,,,
general-drug-database.ts,naproxen,萘普生,0.25g;0.5g,g,NSAIDs,长效NSAIDs,Naproxen,NAP,萘普生,0.5g,,每日2次,口服,口服,疼痛;炎症;关节炎,活动性消化性溃疡;哮喘,胃肠道反应;肾损害,华法林;阿司匹林,餐后服用,C,肾功能不全时谨慎,肝功能损害时谨慎,BID,,,
general-drug-database.ts,sumatriptan,舒马曲坦,50mg;100mg,mg,5-HT1受体激动剂,偏头痛特效药,Sumatriptan,SUMA,舒马坦,50-100mg,,必要时,口服,口服;皮下注射,偏头痛急性发作,冠心病;未控制高血压,胸闷;眩晕;注射部位反应,麦角胺;MAO抑制剂,发作早期服用,C,正常剂量,肝功能损害时减量,PRN,,,
general-drug-database.ts,phenobarbital,苯巴比妥,30mg;100mg,mg,巴比妥类抗癫痫药,传统抗癫痫药,Phenobarbital,PHB,鲁米那,30-100mg,,每日1次,口服,口服,癫痫;失眠,卟啉症;严重肝功能不全,嗜睡;共济失调;依赖,华法林;CYP诱导剂,睡前服用,D,正常剂量,肝功能损害时减量,QD,,,
general-drug-database.ts,phenytoin,苯妥英钠,25mg;100mg,mg,钠通道阻滞剂,需监测血药浓度,Phenytoin,PHT,大仑丁,100mg,,每日3次,口服,口服,癫痫,心脏传导阻滞,齿龈增生;共济失调,华法林;CYP诱导剂,监测血药浓度,D,正常剂量,肝功能损害时减量,TID,,,
general-drug-database.ts,lamotrigine,拉莫三嗪,25mg;50mg;100mg,mg,钠通道阻滞剂,需缓慢加量,Lamotrigine,LTG,利必通,100-200mg,,每日2次,口服,口服,癫痫;双相障碍,对拉莫三嗪过敏,皮疹;头晕,丙戊酸;卡马西平,缓慢加量预防皮疹,C,正常剂量,肝功能损害时减量,BID,,,
general-drug-database.ts,alprazolam,阿普唑仑,0.4mg,mg,苯二氮䓬类,抗焦虑首选,Alprazolam,ALP,佳静安定,0.4mg,,每日3次,口服,口服,焦虑症;惊恐障碍,青光眼;重症肌无力,嗜睡;依赖,CYP3A4抑制剂;酒精,短期使用,D,正常剂量,肝功能损害时减量,TID,,,
general-drug-database.ts,diazepam,地西泮,2.5mg;5mg,mg,苯二氮䓬类,多用途镇静药,Diazepam,DZP,安定,2.5-5mg,,每日3次,口服,口服,焦虑;失眠;癫痫持续状态,青光眼;重症肌无力,嗜睡;依赖,CYP3A4抑制剂;酒精,短期使用,D,正常剂量,肝功能损害时减量,TID,,,
general-drug-database.ts,fluoxetine,氟西汀,20mg,mg,SSRI抗抑郁药,SSRI代表药,Fluoxetine,FLX,百优解,20mg,,每日1次,口服,口服,抑郁症;强迫症;贪食症,MAO抑制剂;三环抗抑郁药,胃肠道反应;性功能障碍,CYP2D6底物;华法林,早晨服用,C,正常剂量,肝功能损害时减量,QD,,,
general-drug-database.ts,levothyroxine,左甲状腺素钠,25μg;50μg;100μg,μg,甲状腺激素,甲减替代治疗,Levothyroxine,L-T4,优甲乐,50-150μg,,每日1次,口服,口服,甲减;甲状腺癌术后,甲亢;心肌梗死急性期,心律失常;骨质疏松,华法林;胺碘酮,空腹早晨服用,A,正常剂量,正常剂量,QD,,,
general-drug-database.ts,methimazole,甲巯咪唑,5mg;10mg,mg,抗甲状腺药,抗甲亢首选,Methimazole,MMI,他巴唑,10-30mg,,每日2次,口服,口服,甲亢,粒细胞缺乏症,皮疹;肝损害;粒细胞减少,华法林,监测血常规和肝功能,D,正常剂量,肝功能损害时减量,BID,,,
general-drug-database.ts,hydrocortisone,氢化可的松,10mg;20mg,mg,糖皮质激素,生理替代治疗,Hydrocortisone,HC,氢化可的松,20-30mg,,每日1次,口服,口服,肾上腺皮质功能不全,真菌感染;活动性消化性溃疡,高血压;高血糖;骨质疏松,CYP3A4诱导剂,早晨服用模拟生理节律,C,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,prednisolone,泼尼松龙,5mg,mg,糖皮质激素,中效激素,Prednisolone,PSL,强的松龙,5-60mg,,每日1次,口服,口服,炎症;自身免疫病,真菌感染;活动性消化性溃疡,高血压;高血糖;骨质疏松,CYP3A4诱导剂,早晨服用,C,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,methylprednisolone,甲泼尼龙,4mg;16mg;40mg,mg,糖皮质激素,中效激素注射,Methylprednisolone,MP,甲强龙,4-48mg,,每日1次,口服,口服;静脉注射,炎症;自身免疫病,真菌感染;活动性消化性溃疡,高血压;高血糖;骨质疏松,CYP3A4诱导剂,早晨服用,C,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,dexamethasone,地塞米松,0.75mg,mg,糖皮质激素,长效强效激素,Dexamethasone,DEX,地塞米松,0.75-9mg,,每日1次,口服,口服;静脉注射,炎症;脑水肿;恶心呕吐,真菌感染;活动性消化性溃疡,高血压;高血糖;骨质疏松,CYP3A4诱导剂,早晨服用,C,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,estradiol-valerate,戊酸雌二醇,1mg;2mg,mg,雌激素,HRT首选,Estradiol Valerate,E2V,补佳乐,1-2mg,,每日1次,口服,口服,绝经综合征;骨质疏松,乳腺癌;子宫内膜癌;静脉血栓,乳腺胀痛;子宫出血,华法林,定期监测乳腺和子宫,X,正常剂量,肝功能损害时禁用,QD,,,
general-drug-database.ts,progesterone,黄体酮,100mg,mg,孕激素,天然孕激素,Progesterone,P4,黄体酮胶囊,100-200mg,,每日2次,口服,口服,黄体不足;先兆流产,肝功能损害;乳腺癌,头晕;乳腺胀痛,无明显相互作用,睡前服用,X,正常剂量,肝功能损害时禁用,BID,,,
general-drug-database.ts,finasteride,非那雄胺,1mg;5mg,mg,5α还原酶抑制剂,BPH和脱发治疗,Finasteride,FIN,保法止,1-5mg,,每日1次,口服,口服,BPH;雄激素性脱发,妊娠;儿童,性功能障碍;乳房发育,无明显相互作用,可与食物同服,X,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,tamsulosin,坦索罗辛,0.2mg,mg,α1受体阻滞剂,BPH首选,Tamsulosin,TAM,哈乐,0.2mg,,每日1次,口服,口服,BPH,低血压;肝功能不全,体位性低血压;射精障碍,CYP3A4抑制剂,餐后服用,B,正常剂量,肝功能损害时禁用,QD,,,
general-drug-database.ts,metformin,二甲双胍,0.25g;0.5g;0.85g,g,双胍类,中国上市一线药物,Metformin,MET,格华止,0.5-2g,,每日2次;每日3次,口服,口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肾功能不全;严重感染,胃肠道反应;乳酸性酸中毒;维生素B12缺乏,碘造影剂;西咪替丁,餐时或餐后服用,B,eGFR<30禁用,正常剂量,BID,,,
general-drug-database.ts,glimepiride,格列美脲,1mg;2mg;3mg;4mg,mg,磺脲类,中国上市,Glimepiride,GLI,亚莫利,1-6mg,,每日1次,口服,口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加;皮疹,氟康唑;利福平,早餐前服用,C,肾功能不全时谨慎,肝功能损害时禁用,QD,,,
general-drug-database.ts,glipizide,格列吡嗪,5mg,mg,磺脲类,中国上市,Glipizide,GLP,瑞易宁,2.5-20mg,,每日1次;每日2次,口服,口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加,氟康唑;华法林,餐前30分钟服用,C,肾功能不全时减量,肝功能损害时禁用,QD,,,
general-drug-database.ts,gliclazide,格列齐特,30mg;80mg,mg,磺脲类,中国上市,Gliclazide,GLC,达美康,30-120mg,,每日1次;每日2次,口服,口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加;皮疹,氟康唑;华法林,早餐时服用,C,肾功能不全时谨慎,肝功能损害时谨慎,QD,,,
general-drug-database.ts,glibenclamide,格列本脲,1.25mg;2.5mg;5mg,mg,磺脲类,中国上市,Glibenclamide,GLB,优降糖,1.25-15mg,,每日1次;每日2次,口服,口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加,氟康唑;华法林,早餐前服用,C,肾功能不全时禁用,肝功能损害时禁用,QD,,,
