表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注,题目编号
medication_list,side_effects,JSON,否,不良反应,多选框,JSON格式验证,恶心呕吐;头晕头痛;皮疹过敏;胃肠不适;肝功能异常;肾功能异常;低血糖;高血糖;其他不良反应,,"记录该药物引起的不良反应，支持多选",M11
medication_list,side_effects_other,TEXT,否,其他不良反应描述,文本域,当不良反应包含其他时必填,,,"其他不良反应的详细描述",M11A

# 医生和处方信息
medication_list,prescribing_doctor,VARCHAR_50,否,开处方医生,输入框,可选,,,"开具该处方的医生姓名",M12
medication_list,prescribing_hospital,VARCHAR_100,否,开处方医院,输入框,可选,,,"开具该处方的医院名称",M13
medication_list,prescription_date,DATE,否,处方日期,日期选择器,日期格式验证,,,"处方开具的日期",M14

# 药物相互作用和注意事项
medication_list,drug_interactions,JSON,否,药物相互作用,多选关联,JSON格式验证,,,"与其他药物的相互作用记录",M15
medication_list,contraindications,TEXT,否,禁忌症,文本域,可选,,,"该药物的禁忌症情况",M16
medication_list,special_instructions,TEXT,否,特殊用药说明,文本域,可选,,,"特殊的用药说明和注意事项",M17

# 系统管理字段
medication_list,data_source,TINYINT,是,数据来源,下拉选择,必选,1医生录入;2患者自报;3病历提取;4处方导入,,"该用药记录的数据来源",
medication_list,verification_status,TINYINT,是,验证状态,下拉选择,必选,1待验证;2已验证;3有疑问;4已确认,,"用药信息的验证状态",
medication_list,last_verified_date,DATE,否,最后验证日期,日期选择器,验证状态不为待验证时必填,,,"最后一次验证该用药信息的日期",
medication_list,last_verified_by,VARCHAR_50,否,最后验证人,输入框,验证状态不为待验证时必填,,,"最后一次验证该用药信息的人员",
medication_list,notes,TEXT,否,备注,文本域,,,,"其他相关备注信息",
medication_list,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,
medication_list,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,
medication_list,created_by,VARCHAR_50,是,创建人,登录用户自动填充,系统填充,,,,
medication_list,updated_by,VARCHAR_50,是,最后更新人,登录用户自动填充,系统填充,,,,

# ==================== 用药清单关联关系表 ====================
medication_associations,association_id,VARCHAR_32,是,关联记录ID,UUID自动生成,系统生成,,,"用药清单与疾病表关联关系表",
medication_associations,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,
medication_associations,medication_id,VARCHAR_32,是,用药记录ID,外键关联,外键约束,,,外键关联medication_list,
medication_associations,source_table,VARCHAR_50,是,来源疾病表,下拉选择,必选,diabetes_history;diabetes_complications;other_diseases,,"关联的疾病史表名",
medication_associations,source_record_id,VARCHAR_32,否,来源记录ID,外键关联,外键约束,,,"关联的疾病史记录ID",
medication_associations,medication_purpose,VARCHAR_100,是,用药目的,输入框,必填,,,"该药物针对的具体疾病或症状",
medication_associations,is_primary_treatment,BOOLEAN,是,是否主要治疗药物,是否选择,必选,是否,,"是否为该疾病的主要治疗药物",
medication_associations,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,
medication_associations,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,

# ==================== 用药清单模板表 ====================
medication_templates,template_id,VARCHAR_32,是,模板ID,UUID自动生成,系统生成,,,"常用药物模板表，便于快速录入",
medication_templates,drug_name,VARCHAR_100,是,药品通用名,输入框,必填,,,,
medication_templates,brand_name,VARCHAR_100,否,商品名,输入框,可选,,,,
medication_templates,common_specifications,JSON,是,常见规格,JSON数组,JSON格式验证,,,"该药物的常见规格列表",
medication_templates,common_dosages,JSON,是,常见剂量,JSON数组,JSON格式验证,,,"该药物的常见剂量列表",
medication_templates,default_frequency,TINYINT,是,默认频次,下拉选择,必选,1每日1次;2每日2次;3每日3次;4每日4次;5隔日1次;6每周1次;7每周2次;8每周3次;9每月1次;10按需服用,,"该药物的默认服用频次",
medication_templates,default_route,TINYINT,是,默认给药途径,下拉选择,必选,1口服;2静脉注射;3静脉滴注;4肌肉注射;5皮下注射;6外用;7吸入;8直肠给药;9鼻喷;10含服;11贴剂,,"该药物的默认给药途径",
medication_templates,drug_category,TINYINT,是,药物分类,下拉选择,必选,1降糖药;2降压药;3调脂药;4抗凝药;5利尿药;6β受体阻滞剂;7ACE抑制剂;8ARB类;9钙通道阻滞剂;10其他,,"药物的治疗分类",
medication_templates,therapeutic_class,VARCHAR_50,是,治疗分类,输入框,必填,,,"药物的具体治疗分类",
medication_templates,common_indications,JSON,否,常见适应症,JSON数组,JSON格式验证,,,"该药物的常见适应症列表",
medication_templates,common_contraindications,JSON,否,常见禁忌症,JSON数组,JSON格式验证,,,"该药物的常见禁忌症列表",
medication_templates,common_side_effects,JSON,否,常见不良反应,JSON数组,JSON格式验证,,,"该药物的常见不良反应列表",
medication_templates,is_active,BOOLEAN,是,是否启用,是否选择,必选,是否,,"该模板是否启用",
medication_templates,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,
medication_templates,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,

# ==================== 技术实现说明 ====================
# 
# 1. 用药清单设计理念：
#    - 独立表设计，避免JSON存储的查询和维护困难
#    - 支持详细的用药信息记录，包括剂量、频次、给药方式
#    - 建立与疾病史表的清晰关联关系
#    - 支持用药效果和安全性评估
#
# 2. 关联关系管理：
#    - medication_associations表管理用药与疾病的多对多关系
#    - 支持一个药物治疗多种疾病的情况
#    - 支持一种疾病使用多种药物的情况
#    - 清楚标识主要治疗药物和辅助治疗药物
#
# 3. 用药模板系统：
#    - medication_templates表提供常用药物的标准化模板
#    - 支持快速录入和标准化用药信息
#    - 包含常见规格、剂量、适应症、禁忌症等信息
#    - 便于数据质量控制和统计分析
#
# 4. 数据质量保障：
#    - 验证状态字段确保用药信息的准确性
#    - 数据来源字段标识信息的可靠性
#    - 支持药物相互作用检查
#    - 完整的审计跟踪（创建人、更新人、时间戳）
#
# 5. 业务逻辑支持：
#    - 自动计算是否目前在用（基于停药日期）
#    - 自动计算用药时长
#    - 支持复杂的用药频次描述
#    - 支持不良反应的多选记录
#
# 6. 与现有系统集成：
#    - 替换原有JSON格式的medication_list字段
#    - 与diabetes_history、other_diseases等表建立外键关联
#    - 支持从医院信息系统导入用药数据
#    - 兼容现有的用药依从性量表(MMAS8)评估
#
# 7. 扩展性设计：
#    - 支持添加新的药物分类和给药途径
#    - 支持自定义的用药频次描述
#    - 预留接口用于药物数据库集成
#    - 支持未来的药物基因组学数据关联
