Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,膀胱癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,老年多发
Cystoscopy,prostatic_urethra_involvement,前列腺尿道受累,categorical,,,"Yes,No,Not_Assessed",,,N,尿道侵犯,男性患者
Imaging,ct_urography_performed,CTU检查,categorical,,,"Yes,No",,,N,CT尿路造影,上尿路评估
Imaging,upper_tract_tumor,上尿路肿瘤,categorical,,,"Yes,No,Suspicious",,,N,肾盂输尿管肿瘤,同步或异时
Imaging,bladder_wall_thickening,膀胱壁增厚,categorical,,,"Yes,No",,,N,壁层增厚,浸润指征
Imaging,extravesical_extension,膀胱外侵犯,categorical,,,"Yes,No,Suspicious",,,N,超出膀胱壁,T3分期
Imaging,lymph_node_enlargement,淋巴结肿大,categorical,,,"Yes,No",,,N,盆腔淋巴结,转移评估
Imaging,lymph_node_size,最大淋巴结短径,decimal,mm,0-100,,,N,淋巴结大小,>8mm可疑
Imaging,distant_metastases,远处转移,categorical,,,"Yes,No,Suspicious",,,N,远隔转移,M分期
Imaging,metastasis_site,转移部位,categorical,,,"Lung,Liver,Bone,Peritoneum,Brain,Multiple,None",,,N,转移位置,骨/肺常见
Pathology,histologic_type,组织学类型,categorical,,,"Urothelial_Carcinoma,Squamous_Cell,Adenocarcinoma,Small_Cell,Sarcomatoid,Mixed,Other",,,Y,病理类型,尿路上皮90%
Pathology,urothelial_variant,尿路上皮亚型,categorical,,,"Conventional,Micropapillary,Plasmacytoid,Nested,Sarcomatoid,Mixed,None",,,N,变异型,影响预后
Pathology,micropapillary_variant,微乳头变异,categorical,,,"Yes,No",,,N,微乳头成分,高侵袭性
Pathology,plasmacytoid_variant,浆细胞样变异,categorical,,,"Yes,No",,,N,浆细胞样形态,易腹膜转移
Pathology,histologic_grade,组织学分级,categorical,,,"Low_Grade,High_Grade",,,Y,WHO 2016分级,两级系统
Pathology,differentiation,分化程度,categorical,,,"Well,Moderate,Poor",,,N,传统分级,三级系统
Pathology,lymphovascular_invasion,淋巴血管侵犯,categorical,,,"Present,Absent,Unknown",,,N,LVI,复发/转移风险
Pathology,perineural_invasion,神经周围侵犯,categorical,,,"Present,Absent",,,N,PNI,局部侵袭标志
Pathology,muscularis_propria_invasion,肌层侵犯,categorical,,,"Yes,No,Unknown",,,Y,固有肌层浸润,NMIBC vs MIBC
Pathology,tumor_depth,浸润深度,categorical,,,"Lamina_Propria,Superficial_Muscle,Deep_Muscle,Perivesical_Fat,Adjacent_Organs",,,N,侵犯层次,T分期依据
Staging,clinical_t_stage,临床T分期,categorical,,,"Ta,T1,Tis,T2a,T2b,T3a,T3b,T4a,T4b",,,Y,原发肿瘤分期,NMIBC/MIBC分界
Staging,clinical_n_stage,临床N分期,categorical,,,"N0,N1,N2,N3",,,Y,淋巴结分期,区域淋巴结
Staging,clinical_m_stage,临床M分期,categorical,,,"M0,M1a,M1b",,,Y,远处转移分期,预后决定性
Staging,pathologic_t_stage,病理T分期,categorical,,,"Ta,T1,Tis,T2a,T2b,T3a,T3b,T4a,T4b,T0",,,N,手术后pT,最终分期
Staging,pathologic_n_stage,病理N分期,categorical,,,"pN0,pN1,pN2,pN3,pNx",,,N,病理淋巴结,术后分期
Staging,pathologic_m_stage,病理M分期,categorical,,,"pM0,pM1a,pM1b",,,N,病理远处转移,系统转移
Staging,tnm_stage_group,TNM分期组,categorical,,,"0a,0is,I,II,IIIA,IIIB,IVA,IVB",,,Y,综合分期,治疗决策依据
Risk_Stratification,nmibc_risk_group,NMIBC风险分层,categorical,,,"Low,Intermediate,High,Very_High",,,N,非肌层浸润性分层,EAU/AUA分层
Risk_Stratification,eortc_recurrence_score,EORTC复发评分,integer,分,0-17,,,N,复发风险评分,预测复发概率
Risk_Stratification,eortc_progression_score,EORTC进展评分,integer,分,0-23,,,N,进展风险评分,预测肌层浸润
Risk_Stratification,cueto_bcg_failure_score,CUETO BCG失败评分,integer,分,0-16,,,N,BCG反应预测,卡介苗治疗
Laboratory,urine_cytology,尿脱落细胞学,categorical,,,"Positive,Suspicious,Atypical,Negative",88112-8,,N,尿细胞学检查,CIS敏感
Laboratory,ubt_test,尿肿瘤标志物,categorical,,,"Positive,Negative,Not_Done",,,N,尿液肿瘤标志,辅助诊断
Laboratory,nmp22,NMP22,categorical,,,"Positive,Negative",,,N,核基质蛋白22,筛查工具
Laboratory,bladder_tumor_antigen,BTA,categorical,,,"Positive,Negative",,,N,膀胱肿瘤抗原,检测工具
Laboratory,creatinine,肌酐,decimal,μmol/L,30-800,2160-0,,N,血肌酐,肾功能
Laboratory,egfr,eGFR,decimal,mL/min/1.73m²,5-150,98979-8,,N,估算肾小球滤过率,顺铂适应证
Laboratory,hemoglobin,血红蛋白,decimal,g/L,50-180,718-7,,N,血红蛋白,贫血评估
Treatment_TURBT,turbt_performed,TURBT手术,categorical,,,"Yes,No",,,Y,经尿道膀胱肿瘤切除,NMIBC标准治疗
Treatment_TURBT,turbt_date,TURBT日期,date,,,,,N,手术时间,治疗起点
Treatment_TURBT,turbt_completeness,TURBT完整性,categorical,,,"Complete,Incomplete,Uncertain",,,N,切除完全性,残留评估
Treatment_TURBT,detrusor_muscle_in_specimen,标本含肌肉,categorical,,,"Present,Absent",,,Y,固有肌层存在,分期充分性
Treatment_TURBT,repeat_turbt,二次TURBT,categorical,,,"Yes,No,Planned",,,N,重复切除,高危/T1需要
Treatment_Intravesical,bcg_therapy,BCG灌注,categorical,,,"Induction,Maintenance,None",,,N,卡介苗治疗,NMIBC高危标准
Treatment_Intravesical,bcg_induction_completed,BCG诱导完成,categorical,,,"Yes,No,Partial",,,N,诱导疗程6周,标准方案
Treatment_Intravesical,bcg_maintenance_cycles,BCG维持周期数,integer,周期,0-10,,,N,维持治疗周期,3年方案
Treatment_Intravesical,bcg_response,BCG反应,categorical,,,"Complete,Partial,Failure,Intolerant",,,N,BCG疗效,失败定义
Treatment_Intravesical,chemotherapy_agent,膀胱灌注化疗,categorical,,,"Mitomycin_C,Epirubicin,Pirarubicin,Gemcitabine,None",,,N,化疗灌注药物,低中危选择
Treatment_Intravesical,intravesical_duration,灌注持续时间,decimal,月,0-60,,,N,膀胱内治疗时长,长期维持
Treatment_Cystectomy,radical_cystectomy,根治性膀胱切除,categorical,,,"Yes,No",,,N,RC手术,MIBC标准治疗
Treatment_Cystectomy,cystectomy_date,膀胱切除日期,date,,,,,N,手术时间,确定性治疗
Treatment_Cystectomy,cystectomy_indication,膀胱切除指征,categorical,,,"MIBC,BCG_Failure,High_Risk_NMIBC,Salvage",,,N,手术适应证,治疗背景
Treatment_Cystectomy,lymph_node_dissection,淋巴结清扫,categorical,,,"Extended,Standard,Limited,None",,,N,LND范围,分期/治疗
Treatment_Cystectomy,lymph_nodes_removed,切除淋巴结数,integer,个,0-80,,,N,淋巴结总数,>20个充分
Treatment_Cystectomy,lymph_nodes_positive,阳性淋巴结数,integer,个,0-50,,,N,转移淋巴结数,预后因素
Treatment_Cystectomy,urinary_diversion_type,尿流改道方式,categorical,,,"Ileal_Conduit,Neobladder,Ureterostomy,Continent_Pouch",,,N,尿路重建,生活质量
Treatment_Cystectomy,surgical_margin,手术切缘,categorical,,,"Negative,Positive_Urethral,Positive_Ureteral,Positive_Soft_Tissue",,,N,切缘状态,R0切除
Treatment_Chemotherapy,neoadjuvant_chemo,新辅助化疗,categorical,,,"Yes,No",,,N,术前化疗,MIBC标准
Treatment_Chemotherapy,neoadjuvant_regimen,新辅助方案,categorical,,,"ddMVAC,GC,GP,Other",,,N,NAC方案,顺铂为基础
Treatment_Chemotherapy,neoadjuvant_cycles,新辅助周期数,integer,周期,0-8,,,N,NAC周期,通常4周期
Treatment_Chemotherapy,neoadjuvant_response,新辅助反应,categorical,,,"pCR,pPR,No_Response",,,N,病理反应,pCR预后好
Treatment_Chemotherapy,adjuvant_chemo,辅助化疗,categorical,,,"Yes,No",,,N,术后化疗,pN+适应证
Treatment_Chemotherapy,palliative_chemo,姑息化疗,categorical,,,"Yes,No",,,N,晚期化疗,转移性疾病
Treatment_Chemotherapy,chemo_regimen,化疗方案,categorical,,,"GC,MVAC,ddMVAC,GP,Carboplatin_Based,Other",,,N,具体方案,顺铂vs卡铂
Treatment_Chemotherapy,platinum_ineligible,顺铂不适合,categorical,,,"Yes,No",,,N,顺铂禁忌,GFR<60或PS差
Treatment_Immunotherapy,checkpoint_inhibitor,免疫检查点抑制剂,categorical,,,"Yes,No",,,N,PD-1/PD-L1治疗,二线或维持
Treatment_Immunotherapy,immune_agent,免疫药物,categorical,,,"Pembrolizumab,Nivolumab,Atezolizumab,Avelumab,Durvalumab,Other",,,N,具体IO药物,一线维持/二线
Treatment_Immunotherapy,immune_line,免疫治疗线数,categorical,,,"First_Maintenance,Second,Third_or_Later",,,N,治疗线别,维持vs后线
Treatment_Immunotherapy,immune_response,免疫治疗反应,categorical,,,"CR,PR,SD,PD",,,N,疗效评价,RECIST
Treatment_Targeted,fgfr_inhibitor,FGFR抑制剂,categorical,,,"Yes,No",,,N,成纤维细胞生长因子受体,靶向治疗
Treatment_Targeted,fgfr_agent,FGFR药物,categorical,,,"Erdafitinib,Pemigatinib,Other",,,N,具体FGFR抑制剂,FGFR3突变/融合
Treatment_Targeted,enfortumab_vedotin,EV治疗,categorical,,,"Yes,No",,,N,抗体药物偶联物,Nectin-4靶向
Molecular,fgfr3_mutation,FGFR3突变,categorical,,,"Yes,No,Unknown",,,N,FGFR3基因突变,靶向治疗标志
Molecular,fgfr2_fgfr3_fusion,FGFR融合,categorical,,,"Yes,No,Unknown",,,N,FGFR基因融合,罕见靶点
Molecular,pdl1_expression,PD-L1表达,categorical,,,"High,Low,Negative,Unknown",88112-8,,N,PD-L1免疫组化,免疫治疗预测
Molecular,pdl1_cps,PD-L1 CPS,integer,分,0-100,,,N,联合阳性评分,≥10高表达
Molecular,tmb_status,TMB状态,categorical,,,"High,Low,Unknown",94076-7,,N,肿瘤突变负荷,免疫反应相关
Molecular,erbb2_her2_alteration,HER2改变,categorical,,,"Amplification,Mutation,Negative,Unknown",,,N,HER2基因改变,新兴靶点
Molecular,msi_status,MSI状态,categorical,,,"MSI-H,MSS,Unknown",81695-9,,N,微卫星不稳定,罕见
Response,recurrence_status,复发状态,categorical,,,"No_Recurrence,Local,Distant,Both",,,N,肿瘤复发,NMIBC监测
Response,recurrence_date,首次复发日期,date,,,,,N,复发时间,RFS计算
Response,recurrence_time_months,复发时间,decimal,月,0-300,,,N,治疗后复发间隔,早期vs晚期
Response,progression_to_mibc,进展为MIBC,categorical,,,"Yes,No",,,N,肌层浸润性进展,NMIBC最差结局
Response,metastatic_progression,转移性进展,categorical,,,"Yes,No",,,N,远处转移出现,晚期疾病
Survival,vital_status,生存状态,categorical,,,"Alive,Dead,Lost_to_Followup",,,Y,随访结局,总生存
Survival,death_date,死亡日期,date,,,,,N,死亡时间,OS计算
Survival,cause_of_death,死亡原因,categorical,,,"Bladder_Cancer,Treatment_Toxicity,Cardiovascular,Infection,Other_Cancer,Other,Unknown",,,N,死因分类,肿瘤特异性死亡
Survival,overall_survival,总生存期,decimal,月,0-300,,,N,诊断至死亡,OS
Survival,cancer_specific_survival,癌症特异生存,decimal,月,0-300,,,N,肿瘤相关死亡,CSS
Survival,recurrence_free_survival,无复发生存,decimal,月,0-200,,,N,治疗至复发,RFS
Survival,progression_free_survival,无进展生存,decimal,月,0-200,,,N,治疗至进展,PFS
Complications,hydronephrosis_postop,术后肾积水,categorical,,,"Yes,No",,,N,手术后梗阻,输尿管狭窄
Complications,urinary_incontinence,尿失禁,categorical,,,"None,Stress,Urge,Mixed,Complete",,,N,控尿障碍,新膀胱并发症
Complications,erectile_dysfunction,勃起功能障碍,categorical,,,"Yes,No,Not_Applicable",,,N,性功能障碍,男性RC后
Complications,ureteroileal_stricture,输尿管回肠吻合口狭窄,categorical,,,"Yes,No",,,N,吻合口狭窄,改道并发症
Complications,pyelonephritis,肾盂肾炎,categorical,,,"Yes,No",,,N,上尿路感染,梗阻相关
Complications,sepsis,脓毒症,categorical,,,"Yes,No",,,N,全身感染,危重并发症
