Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,DR检查日期,评估时间点
DR_Severity,etdrs_level_od,右眼ETDRS等级,categorical,,,"10,14,15,20,35,43,47,53,61,65,71,75,81,85",,,N,右眼ETDRS,详细分级
DR_Severity,etdrs_level_os,左眼ETDRS等级,categorical,,,"10,14,15,20,35,43,47,53,61,65,71,75,81,85",,,N,左眼ETDRS,详细分级

NPDR_Features,microaneurysms_od,右眼微动脉瘤,categorical,,,"None,Mild,Moderate,Severe",,,N,右眼MA,DR最早征象
NPDR_Features,microaneurysms_os,左眼微动脉瘤,categorical,,,"None,Mild,Moderate,Severe",,,N,左眼MA,点状红斑
NPDR_Features,hemorrhages_od,右眼出血,categorical,,,"None,Mild,Moderate,Severe",,,N,右眼出血,点片状/火焰状
NPDR_Features,hemorrhages_os,左眼出血,categorical,,,"None,Mild,Moderate,Severe",,,N,左眼出血,视网膜出血
NPDR_Features,hard_exudates_od,右眼硬性渗出,categorical,,,"None,Mild,Moderate,Severe",,,N,右眼HE,脂质渗出
NPDR_Features,hard_exudates_os,左眼硬性渗出,categorical,,,"None,Mild,Moderate,Severe",,,N,左眼HE,黄白色病灶
NPDR_Features,cotton_wool_spots_od,右眼棉絮斑,categorical,,,"None,Present",,,N,右眼CWS,神经纤维层梗死
NPDR_Features,cotton_wool_spots_os,左眼棉絮斑,categorical,,,"None,Present",,,N,左眼CWS,白色软性渗出
NPDR_Features,venous_beading_od,右眼静脉串珠,categorical,,,"None,Questionable,Definite",,,N,右眼静脉串珠,重度NPDR 4-2-1
NPDR_Features,venous_beading_os,左眼静脉串珠,categorical,,,"None,Questionable,Definite",,,N,左眼静脉串珠,进展征象
NPDR_Features,irma_od,右眼IRMA,categorical,,,"None,Questionable,Definite",,,N,右眼视网膜内微血管异常,重度NPDR
NPDR_Features,irma_os,左眼IRMA,categorical,,,"None,Questionable,Definite",,,N,左眼IRMA,前PDR

Four_Two_One_Rule,severe_npdr_4_2_1,重度NPDR(4-2-1),categorical,,,"Yes,No,NA",,,N,满足4-2-1规则,1年内50%进展PDR
Four_Two_One_Rule,severe_hemorrhages_4_quadrants,4象限重度出血,categorical,,,"Yes,No,NA",,,N,4个象限重度出血,4-2-1之一
Four_Two_One_Rule,venous_beading_2_quadrants,2象限静脉串珠,categorical,,,"Yes,No,NA",,,N,≥2个象限静脉串珠,4-2-1之一
Four_Two_One_Rule,irma_1_quadrant,1象限明显IRMA,categorical,,,"Yes,No,NA",,,N,≥1个象限明显IRMA,4-2-1之一

PDR_Features,pdr_od,右眼PDR,categorical,,,"Yes,No",,,N,右眼增殖期DR,新生血管
PDR_Features,pdr_os,左眼PDR,categorical,,,"Yes,No",,,N,左眼PDR,进展期
PDR_Features,nvd_od,右眼视盘新生血管,categorical,,,"None,NVD_less_1_3_DA,NVD_1_3_DA_or_more",,,N,右眼NVD,视盘NV
PDR_Features,nvd_os,左眼视盘新生血管,categorical,,,"None,NVD_less_1_3_DA,NVD_1_3_DA_or_more",,,N,左眼NVD,≥1/3盘面积高危
PDR_Features,nve_od,右眼视网膜新生血管,categorical,,,"None,NVE",,,N,右眼NVE,视网膜其他部位NV
PDR_Features,nve_os,左眼视网膜新生血管,categorical,,,"None,NVE",,,N,左眼NVE,血管弓周围
PDR_Features,nvi_od,右眼虹膜新生血管,categorical,,,"None,Present",,,N,右眼NVI,房角NV
PDR_Features,nvi_os,左眼虹膜新生血管,categorical,,,"None,Present",,,N,左眼NVI,新生血管性青光眼
PDR_Features,fibrous_proliferation_od,右眼纤维增殖,categorical,,,"None,Present",,,N,右眼纤维增殖膜,牵拉RD
PDR_Features,fibrous_proliferation_os,左眼纤维增殖,categorical,,,"None,Present",,,N,左眼纤维增殖,机化膜

High_Risk_PDR,high_risk_pdr_od,右眼高危PDR,categorical,,,"Yes,No,NA",,,N,右眼HR-PDR,DRS高危特征
High_Risk_PDR,high_risk_pdr_os,左眼高危PDR,categorical,,,"Yes,No,NA",,,N,左眼HR-PDR,立即PRP指征
High_Risk_PDR,nvd_with_vh_od,右眼NVD伴VH,categorical,,,"Yes,No,NA",,,N,右眼NVD+玻璃体出血,HR-PDR标准1
High_Risk_PDR,nvd_with_vh_os,左眼NVD伴VH,categorical,,,"Yes,No,NA",,,N,左眼NVD+VH,高危
High_Risk_PDR,nvd_1_3_da_od,右眼NVD≥1/3DA,categorical,,,"Yes,No,NA",,,N,右眼NVD≥1/3盘面积,HR-PDR标准2
High_Risk_PDR,nvd_1_3_da_os,左眼NVD≥1/3DA,categorical,,,"Yes,No,NA",,,N,左眼NVD≥1/3DA,高危
High_Risk_PDR,nve_with_vh_od,右眼NVE伴VH,categorical,,,"Yes,No,NA",,,N,右眼NVE+玻璃体出血,HR-PDR标准3
High_Risk_PDR,nve_with_vh_os,左眼NVE伴VH,categorical,,,"Yes,No,NA",,,N,左眼NVE+VH,高危

DME,dme_od,右眼糖尿病黄斑水肿,categorical,,,"None,Non_CI_DME,CI_DME",,,Y,右眼DME,中心累及vs否
DME,dme_os,左眼糖尿病黄斑水肿,categorical,,,"None,Non_CI_DME,CI_DME",,,Y,左眼DME,黄斑水肿
DME,ci_dme_od,右眼中心累及DME,categorical,,,"Yes,No",,,N,右眼CI-DME,累及中心凹
DME,ci_dme_os,左眼中心累及DME,categorical,,,"Yes,No",,,N,左眼CI-DME,视力威胁
DME,cme_od,右眼囊样黄斑水肿,categorical,,,"Yes,No",,,N,右眼CME,囊样改变
DME,cme_os,左眼囊样黄斑水肿,categorical,,,"Yes,No",,,N,左眼CME,严重水肿
DME,hard_exudates_macula_od,右眼黄斑硬性渗出,categorical,,,"None,Present_No_Center,Center_Involved",,,N,右眼黄斑区HE,脂质渗出
DME,hard_exudates_macula_os,左眼黄斑区硬性渗出,categorical,,,"None,Present_No_Center,Center_Involved",,,N,左眼黄斑区HE,中心累及

OCT_DME,oct_cft_od,右眼中心凹厚度,integer,μm,0-1000,,,N,右眼OCT CFT,>250-300μm水肿
OCT_DME,oct_cft_os,左眼中心凹厚度,integer,μm,0-1000,,,N,左眼OCT CFT,定量DME
OCT_DME,oct_srf_od,右眼视网膜下液,categorical,,,"Yes,No,NA",,,N,右眼SRF,渗出性脱离
OCT_DME,oct_srf_os,左眼视网膜下液,categorical,,,"Yes,No,NA",,,N,左眼SRF,严重渗漏
OCT_DME,oct_irf_od,右眼视网膜内液,categorical,,,"Yes,No,NA",,,N,右眼IRF,黄斑水肿
OCT_DME,oct_irf_os,左眼视网膜内液,categorical,,,"Yes,No,NA",,,N,左眼IRF,囊样空腔
OCT_DME,oct_drt_od,右眼弥漫性视网膜增厚,categorical,,,"Yes,No,NA",,,N,右眼DRT,广泛水肿
OCT_DME,oct_drt_os,左眼弥漫性视网膜增厚,categorical,,,"Yes,No,NA",,,N,左眼DRT,弥漫性
OCT_DME,oct_ped_od,右眼RPE脱离,categorical,,,"Yes,No,NA",,,N,右眼PED,色素上皮脱离
OCT_DME,oct_ped_os,左眼RPE脱离,categorical,,,"Yes,No,NA",,,N,左眼PED,浆液性PED
OCT_DME,oct_ez_disruption_od,右眼椭圆体带中断,categorical,,,"Yes,No,NA",,,N,右眼EZ破坏,光感受器损伤
OCT_DME,oct_ez_disruption_os,左眼椭圆体带中断,categorical,,,"Yes,No,NA",,,N,左眼EZ中断,预后不良

Complications,vitreous_hemorrhage_od,右眼玻璃体积血,categorical,,,"None,Mild,Moderate,Severe,Dense",,,N,右眼VH,PDR并发症
Complications,vitreous_hemorrhage_os,左眼玻璃体积血,categorical,,,"None,Mild,Moderate,Severe,Dense",,,N,左眼VH,影响眼底观察
Complications,tractional_rd_od,右眼牵拉性视网膜脱离,categorical,,,"None,Threatening_Macula,Involving_Macula",,,N,右眼TRD,纤维膜牵拉
Complications,tractional_rd_os,左眼牵拉性视网膜脱离,categorical,,,"None,Threatening_Macula,Involving_Macula",,,N,左眼TRD,累及黄斑紧急
Complications,combined_rd_od,右眼混合性视网膜脱离,categorical,,,"Yes,No",,,N,右眼牵拉+裂孔性RD,复杂RD
Complications,combined_rd_os,左眼混合性视网膜脱离,categorical,,,"Yes,No",,,N,左眼混合RD,手术指征
Complications,nvg_od,右眼新生血管性青光眼,categorical,,,"Yes,No",,,N,右眼NVG,房角NV
Complications,nvg_os,左眼新生血管性青光眼,categorical,,,"Yes,No",,,N,左眼NVG,难治性青光眼
Complications,ghost_cell_glaucoma,鬼影细胞青光眼,categorical,,,"Yes,No",,,N,鬼影细胞性青光眼,VH后

Systemic_Factors,hypertension,高血压,categorical,,,"Yes,No",,,N,高血压,协同损害
Systemic_Factors,nephropathy,糖尿病肾病,categorical,,,"Yes,No",,,N,糖尿病肾病,微血管并发症
Systemic_Factors,neuropathy,糖尿病神经病变,categorical,,,"Yes,No",,,N,糖尿病神经病变,全身并发症
Systemic_Factors,cardiovascular_disease,心血管疾病,categorical,,,"Yes,No",,,N,心血管疾病,大血管并发症
Systemic_Factors,dyslipidemia,血脂异常,categorical,,,"Yes,No",,,N,血脂紊乱,硬性渗出
Systemic_Factors,pregnancy,妊娠,categorical,,,"Yes,No,NA",,,N,妊娠状态,GDM/DR进展

Treatment_Laser,prp_od,右眼全视网膜光凝,categorical,,,"Yes,No,Planned",,,N,右眼PRP,PDR标准治疗
Treatment_Laser,prp_os,左眼全视网膜光凝,categorical,,,"Yes,No,Planned",,,N,左眼PRP,消退NV
Treatment_Laser,prp_sessions_od,右眼PRP次数,integer,,0-10,,,N,右眼PRP疗程数,通常1-3次
Treatment_Laser,prp_sessions_os,左眼PRP疗程数,integer,,0-10,,,N,左眼PRP次数,分次完成
Treatment_Laser,prp_complete_od,右眼PRP完整,categorical,,,"Yes,No,Partial,NA",,,N,右眼PRP完成度,足量光凝
Treatment_Laser,prp_complete_os,左眼PRP完整,categorical,,,"Yes,No,Partial,NA",,,N,左眼PRP完成,1200-2000点
Treatment_Laser,focal_laser_od,右眼局灶光凝,categorical,,,"Yes,No",,,N,右眼focal/grid,DME治疗
Treatment_Laser,focal_laser_os,左眼局灶光凝,categorical,,,"Yes,No",,,N,左眼局灶激光,微动脉瘤

Treatment_Anti_VEGF,anti_vegf_od,右眼抗VEGF,categorical,,,"Yes,No",,,N,右眼玻璃体腔注药,DME一线
Treatment_Anti_VEGF,anti_vegf_os,左眼抗VEGF,categorical,,,"Yes,No",,,N,左眼抗VEGF,CI-DME/PDR
Treatment_Anti_VEGF,anti_vegf_agent,抗VEGF药物,categorical,,,"Ranibizumab,Aflibercept,Bevacizumab,Brolucizumab,Faricimab,Conbercept,None",,,N,具体药物,治疗方案
Treatment_Anti_VEGF,injection_count_od,右眼注射次数,integer,,0-100,,,N,右眼累计注射数,疗程
Treatment_Anti_VEGF,injection_count_os,左眼注射次数,integer,,0-100,,,N,左眼注射数,负荷+维持
Treatment_Anti_VEGF,injection_interval,注射间隔,categorical,,,"Monthly,PRN,Treat_Extend,Q6_Weeks,Q8_Weeks,Q12_Weeks,NA",,,N,给药方案,个体化
Treatment_Anti_VEGF,dme_response_od,右眼DME应答,categorical,,,"Complete,Partial,No_Response,Recurrence,NA",,,N,右眼DME疗效,解剖/视力
Treatment_Anti_VEGF,dme_response_os,左眼DME应答,categorical,,,"Complete,Partial,No_Response,Recurrence,NA",,,N,左眼DME应答,治疗反应

Treatment_Steroid,steroid_implant_od,右眼激素植入,categorical,,,"Dexamethasone,Fluocinolone,None",,,N,右眼缓释激素,难治性DME
Treatment_Steroid,steroid_implant_os,左眼激素植入,categorical,,,"Dexamethasone,Fluocinolone,None",,,N,左眼激素,抗VEGF无效
Treatment_Steroid,steroid_side_effects,激素副作用,categorical,,,"IOP_Elevation,Cataract,Both,None,NA",,,N,激素不良反应,眼压/白内障

Treatment_Surgery,vitrectomy_od,右眼玻璃体切除术,categorical,,,"Yes,No,Planned",,,N,右眼PPV,VH/TRD
Treatment_Surgery,vitrectomy_os,左眼玻璃体切除术,categorical,,,"Yes,No,Planned",,,N,左眼玻切,复杂PDR
Treatment_Surgery,vitrectomy_indication_od,右眼玻切指征,categorical,,,"Non_Clearing_VH,TRD_Macula,Combined_RD,Refractory_DME,Other,NA",,,N,右眼手术原因,适应证
Treatment_Surgery,vitrectomy_indication_os,左眼玻切指征,categorical,,,"Non_Clearing_VH,TRD_Macula,Combined_RD,Refractory_DME,Other,NA",,,N,左眼手术原因,玻切指征
Treatment_Surgery,endolaser_prp_od,右眼术中激光,categorical,,,"Yes,No,NA",,,N,右眼endolaser PRP,玻切中光凝
Treatment_Surgery,endolaser_prp_os,左眼术中激光,categorical,,,"Yes,No,NA",,,N,左眼endolaser,补充PRP

Screening_Recommendations,screening_interval,筛查间隔,categorical,,,"Annual,6_Months,3_Months,1_Month,As_Needed",,,N,复查频率,个体化
Screening_Recommendations,1型糖尿病筛查,screening_t1dm,categorical,,,"5_Years_After_Onset,Puberty_If_Before_5_Years,NA",,,N,1型DM筛查,起病5年后开始
Screening_Recommendations,screening_t2dm,2型糖尿病筛查,categorical,,,"At_Diagnosis,NA",,,N,2型DM筛查,确诊时即筛
Screening_Recommendations,gdm_screening,妊娠糖尿病筛查,categorical,,,"First_Trimester_If_Preexisting,Postpartum,NA",,,N,GDM筛查,产前产后

Prognosis,vision_prognosis_od,右眼视力预后,categorical,,,"Good,Fair,Poor,Guarded",,,N,右眼预后,视力结局
Prognosis,vision_prognosis_os,左眼视力预后,categorical,,,"Good,Fair,Poor,Guarded",,,N,左眼预后,预后评估
Prognosis,progression_risk,进展风险,categorical,,,"Low,Moderate,High",,,N,DR进展风险,血糖/病程/严重度
Prognosis,blindness_risk,失明风险,categorical,,,"Low,Moderate,High",,,N,失明风险,VTDR

Follow_Up,next_exam_date,下次检查日期,date,,,,,N,预约复查时间,随访计划
Follow_Up,urgent_referral,紧急转诊,categorical,,,"Yes,No",,,N,紧急眼科转诊,HR-PDR/TRD黄斑
