字段名(英文),字段名(中文),数据类型,描述,示例
complications.emphysematous,并发症.气肿性肾盂肾炎,Boolean,"**气肿性肾盂肾炎**: 产气菌感染<br>**糖尿病**: 90%患者<br>**高死亡率**: 需积极治疗",false

# 危险因素
riskFactors.female,危险因素.女性,Boolean,"**女性**: 尿道短(4cm),易上行感染<br>**发生率**: 女性>男性(50:1)",true
riskFactors.sexualActivity,危险因素.性生活,Boolean,"**性生活**: 机械性将细菌带入膀胱<br>**"蜜月性膀胱炎"**: 频繁性生活后<br>**72h内**: 发病",true
riskFactors.pregnancy,危险因素.妊娠,Boolean,"**妊娠**: 孕激素致输尿管蠕动减弱<br>**无症状菌尿**: 2-10%孕妇<br>**筛查**: 孕期必须治疗",false
riskFactors.menopause,危险因素.绝经,Boolean,"**绝经**: 雌激素缺乏,阴道pH↑,乳酸杆菌↓<br>**复发性UTI**: 增加",false
riskFactors.diabetes,危险因素.糖尿病,Boolean,"**糖尿病**: 免疫功能↓,膀胱神经病变<br>**复杂性感染**: 气肿性肾盂肾炎、真菌感染",false
riskFactors.immunosuppression,危险因素.免疫抑制,Boolean,"**免疫抑制**: HIV、化疗、激素、器官移植<br>**机会性感染**: 真菌、结核",false
riskFactors.catheter,危险因素.导尿管,Boolean,"**留置导尿**: 院内感染主要原因<br>**菌尿**: >3天几乎100%<br>**生物膜**: 耐药菌",false
riskFactors.catheter.duration,危险因素.导尿管.留置时间,Number,留置导尿管时间(天),0
riskFactors.obstruction,危险因素.尿路梗阻,Boolean,"**梗阻**: 结石、前列腺增生、肿瘤<br>**尿流不畅**: 细菌滞留<br>**复杂性感染**: 肾盂肾炎",false
riskFactors.vur,危险因素.膀胱输尿管反流,Boolean,"**VUR**: 儿童复发性UTI主要原因<br>**上行感染**: 肾瘢痕形成",false
riskFactors.neurogenicBladder,危险因素.神经源性膀胱,Boolean,"**神经源性膀胱**: 脊髓损伤、糖尿病神经病变<br>**残余尿**: 细菌繁殖",false
riskFactors.benignProstaticHyperplasia,危险因素.前列腺增生,Boolean,"**BPH**: 老年男性UTI常见原因<br>**尿潴留**: 残余尿增加",false

# 治疗 - 经验性治疗
treatment.empiric.regimen,治疗.经验性抗生素.方案,String,"**单纯性膀胱炎**: 呋喃妥因、磷霉素、TMP-SMX<br>**复杂性**: 氟喹诺酮、头孢<br>**肾盂肾炎**: 氟喹诺酮、头孢曲松",呋喃妥因100mg bid
treatment.empiric.duration,治疗.经验性抗生素.疗程,Number,"治疗天数。<br>**单纯性膀胱炎**: 3-5天<br>**复杂性**: 7-14天<br>**肾盂肾炎**: 10-14天",5

# 治疗 - 目标治疗
treatment.targeted.regimen,治疗.目标抗生素.方案,String,"**根据药敏**: 调整抗生素<br>**窄谱抗生素**: 首选<br>**降阶梯治疗**: 静脉→口服",左氧氟沙星500mg qd(药敏敏感)
treatment.targeted.duration,治疗.目标抗生素.疗程,Number,目标治疗总疗程(天),7
treatment.targeted.switchToOral,治疗.目标抗生素.转口服,Boolean,"**静脉→口服**: 退热48-72h后<br>**口服吸收好**: 氟喹诺酮、TMP-SMX",true

# 治疗 - 具体抗生素
treatment.antibiotics.nitrofurantoin,抗生素.呋喃妥因,String,"**呋喃妥因**: 100mg bid×5天<br>**单纯性膀胱炎**: 一线<br>**禁忌**: 肾功能不全(CrCl<60)、肾盂肾炎",100mg bid×5天
treatment.antibiotics.fosfomycin,抗生素.磷霉素,String,"**磷霉素**: 3g单剂<br>**单纯性膀胱炎**: 一线<br>**依从性好**: 单次给药",未用
treatment.antibiotics.tmpSmx,抗生素.TMP-SMX,String,"**复方新诺明**: TMP 160mg + SMX 800mg bid×3天<br>**耐药率**: 中国>20%,需谨慎<br>**过敏**: 磺胺过敏禁用",未用
treatment.antibiotics.fluoroquinolone,抗生素.氟喹诺酮,String,"**左氧氟沙星**: 500mg qd×3天(膀胱炎)或7-10天(肾盂肾炎)<br>**环丙沙星**: 500mg bid<br>**保留用药**: 避免过度使用",左氧氟沙星500mg qd×7天
treatment.antibiotics.cephalosporin,抗生素.头孢类,String,"**头孢曲松**: 1-2g qd(肾盂肾炎)<br>**头孢克肟**: 400mg bid(口服)<br>**广谱**: 复杂性UTI",未用
treatment.antibiotics.amoxicillin,抗生素.阿莫西林,String,"**阿莫西林/克拉维酸**: 875/125mg bid×5-7天<br>**耐药**: 大肠杆菌耐药率高(>40%)<br>**孕妇**: 安全",未用

# 治疗 - 对症治疗
treatment.symptomatic.analgesic,对症治疗.镇痛,String,"**非那吡啶**: 200mg tid,尿路镇痛<br>**NSAIDs**: 布洛芬,缓解疼痛<br>**短期**: 2-3天",布洛芬400mg prn
treatment.symptomatic.hydration,对症治疗.多饮水,Boolean,"**增加尿量**: 冲刷细菌<br>**建议**: >2L/d<br>**禁忌**: 心肾功能不全",true

# 治疗反应
treatment.response.timeToImprovement,治疗.反应.改善时间,Number,"症状改善时间(天)。<br>**48-72h**: 应改善<br>**无改善**: 考虑耐药或并发症",2
treatment.response.symptomResolution,治疗.反应.症状消失,Boolean,"症状是否完全消失。<br>**治疗结束**: 应无症状",true
treatment.response.cultureFollowUp,治疗.反应.复查尿培养,Boolean,"**治疗后尿培养**: 不常规推荐<br>**适应证**: 肾盂肾炎、孕妇、治疗失败",false

# 预防
prevention.cranberryProducts,预防.蔓越莓制品,Boolean,"**蔓越莓**: 预防复发性UTI<br>**机制**: 抑制细菌黏附<br>**证据**: 中等质量证据",false
prevention.postcoitalVoiding,预防.性交后排尿,Boolean,"**性交后排尿**: 排出细菌<br>**推荐**: 复发性UTI女性",true
prevention.estrogenTherapy,预防.雌激素治疗,Boolean,"**阴道雌激素**: 绝经后女性<br>**恢复阴道菌群**: 乳酸杆菌<br>**降低复发率**: 有效",false
prevention.antibiotic.prophylaxis,预防.抗生素预防,Boolean,"**持续低剂量抗生素**: 复发性UTI<br>**方案**: 呋喃妥因50mg qn或TMP-SMX半片qn<br>**疗程**: 6-12个月",false
prevention.antibiotic.postcoital,预防.性交后抗生素,Boolean,"**性交后单剂抗生素**: 性交相关UTI<br>**方案**: TMP-SMX或呋喃妥因<br>**有效**: 降低复发",false
prevention.dMannose,预防.D-甘露糖,Boolean,"**D-甘露糖**: 2g/d<br>**机制**: 抑制大肠杆菌黏附<br>**证据**: 小样本研究显示有效",false

# 特殊人群
special.pregnancy.screening,特殊人群.孕妇.无症状菌尿筛查,Boolean,"**孕期筛查**: 12-16周尿培养<br>**治疗指征**: 菌落数≥10⁵,即使无症状<br>**预防**: 肾盂肾炎、早产、低出生体重",未孕
special.pregnancy.treatment,特殊人群.孕妇.治疗方案,String,"**安全抗生素**: 阿莫西林、头孢类、呋喃妥因(孕晚期禁用)<br>**禁忌**: 氟喹诺酮、TMP-SMX(孕晚期)、四环素",未孕

special.male.evaluation,特殊人群.男性.评估,Boolean,"**男性UTI**: 默认复杂性<br>**评估**: 前列腺、结构异常<br>**治疗**: 7-14天",非男性
special.male.prostatitis,特殊人群.男性.前列腺炎,Boolean,"**前列腺炎**: 男性UTI常合并<br>**治疗**: 4-6周抗生素",非男性

special.elderly.considerations,特殊人群.老年.注意事项,String,"**无症状菌尿**: 不需治疗(除特殊情况)<br>**症状不典型**: 谵妄、跌倒<br>**耐药**: 复杂性感染多",不适用

# 预后
prognosis.recurrence,预后.复发,Boolean,"**复发**: 治疗后症状再现<br>**再感染**: 不同菌株<br>**复发**: 相同菌株(治疗不彻底)",false
prognosis.recurrence.rate,预后.复发.风险,String,"**单纯性**: 25-30%女性6月内复发<br>**复发性UTI**: 80%再次复发<br>**预防**: 减少复发",低风险(首次)

performanceStatus,生活质量影响,String,"**轻度**: 尿路刺激症状<br>**中度**: 疼痛、影响工作<br>**重度**: 肾盂肾炎、全身症状",轻度

notes,备注,String,其他重要临床信息,急性单纯性膀胱炎,大肠杆菌感染,呋喃妥因治疗反应良好
