Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,胃镜检查日期,检查时间点
Basic_Info,exam_id,检查编号,string,,,,,N,胃镜报告编号,唯一检查标识
Basic_Info,age,年龄,integer,years,0-120,,,N,患者年龄,风险评估
Ulcer,ulcer_location,溃疡部位,categorical,,,"Lesser_Curvature,Greater_Curvature,Anterior_Wall,Posterior_Wall,Antrum,Body,Cardia,Multiple",,,N,溃疡位置,好发部位
Ulcer,ulcer_size,溃疡大小,decimal,cm,0-20,,,N,溃疡最大直径,严重程度
Ulcer,ulcer_stage,溃疡分期,categorical,,,"A1_Active,A2_Active,H1_Healing,H2_Healing,S1_Scar,S2_Scar",,,N,Sakita分期,愈合评估
Ulcer,ulcer_bleeding,溃疡出血,categorical,,,"Active_Spurting,Oozing,Visible_Vessel,Adherent_Clot,Flat_Spot,None",,,N,Forrest分级,出血风险
Stomach_Findings,gastric_polyp,胃息肉,categorical,,,"Yes,No",,,N,胃息肉,良性病变
Polyp,polyp_number,息肉数量,categorical,,,"Solitary,2to5,6to10,More_than_10,NA",,,N,息肉个数,息肉病
Polyp,polyp_type,息肉类型,categorical,,,"Hyperplastic,Adenomatous,Fundic_Gland,Inflammatory,NA",,,N,息肉病理,癌变风险
Polyp,polyp_size,息肉大小,decimal,cm,0-10,,,N,最大息肉直径,恶变风险
Polyp,polyp_morphology,息肉形态,categorical,,,"Pedunculated,Sessile,Flat,NA",,,N,Paris分型,切除方式
Stomach_Findings,gastric_mass,胃肿块,categorical,,,"Yes,No",,,N,胃占位性病变,肿瘤可能
Mass_Gastric,mass_location,肿块部位,categorical,,,"Cardia,Fundus,Body,Antrum,Pylorus,Multiple,NA",,,N,肿块位置,手术计划
Mass_Gastric,mass_size,肿块大小,decimal,cm,0-30,,,N,肿块最大径,T分期参考
Mass_Gastric,mass_morphology,肿块形态,categorical,,,"Borrmann_I,Borrmann_II,Borrmann_III,Borrmann_IV,Early_Gastric_Cancer,NA",,,N,Borrmann分型,进展期胃癌
Mass_Gastric,mass_border,肿块边界,categorical,,,"Well_Defined,Ill_Defined,NA",,,N,边界清晰度,浸润评估
Mass_Gastric,egc_type,早期胃癌分型,categorical,,,"Type_I,Type_IIa,Type_IIb,Type_IIc,Type_III,NA",,,N,早癌内镜分型,ESD指征
Stomach_Findings,gist,胃间质瘤,categorical,,,"Suspected,No",,,N,疑似GIST,黏膜下肿瘤
Stomach_Findings,xanthoma,黄色瘤,categorical,,,"Yes,No",,,N,黄色瘤,脂质沉积
Stomach_Findings,gastropathy,胃病,categorical,,,"Portal_Hypertensive,NSAID,Bile_Reflux,None,Other",,,N,特殊胃病,病因相关

Helicobacter_Pylori,hp_status,幽门螺杆菌,categorical,,,"Positive,Negative,Unknown",,,N,Hp感染状态,重要致病因素
Helicobacter_Pylori,hp_test_method,Hp检测方法,categorical,,,"Rapid_Urease_Test,Histology,Culture,Serology,Breath_Test,Stool_Antigen,Not_Done",,,N,Hp检测方式,诊断方法
Helicobacter_Pylori,hp_eradication,Hp根除治疗,categorical,,,"Yes,No,Unknown",,,N,是否根除治疗,治疗史

Duodenum_Anatomy,duodenum_examined,十二指肠检查,categorical,,,"Yes,No",,,Y,是否检查十二指肠,部位完整性
Duodenum_Anatomy,bulb,球部,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,十二指肠球部,解剖部位
Duodenum_Anatomy,descending_part,降部,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,十二指肠降部,解剖部位

Duodenum_Findings,duodenitis,十二指肠炎,categorical,,,"Yes,No",,,N,十二指肠炎,黏膜炎症
Duodenum_Findings,duodenal_ulcer,十二指肠溃疡,categorical,,,"Yes,No",,,N,十二指肠溃疡,消化性溃疡
Du_Ulcer,du_location,DU部位,categorical,,,"Bulb_Anterior,Bulb_Posterior,Bulb_Superior,Bulb_Inferior,Post_Bulb,NA",,,N,DU位置,好发部位
Du_Ulcer,du_size,DU大小,decimal,cm,0-5,,,N,DU直径,严重程度
Du_Ulcer,du_stage,DU分期,categorical,,,"A1,A2,H1,H2,S1,S2,NA",,,N,DU Sakita分期,愈合评估
Du_Ulcer,du_bleeding,DU出血,categorical,,,"Active,Recent,None,NA",,,N,DU出血征象,Forrest分级
Duodenum_Findings,duodenal_polyp,十二指肠息肉,categorical,,,"Yes,No",,,N,十二指肠息肉,少见
Duodenum_Findings,papilla,十二指肠乳头,categorical,,,"Normal,Enlarged,Tumor,Not_Visualized",,,N,Vater壶腹,胆胰疾病

Biopsy,biopsy_taken,活检,categorical,,,"Yes,No",,,Y,是否取活检,病理诊断
Biopsy,biopsy_sites,活检部位,categorical,,,"Esophagus,Stomach_Antrum,Stomach_Body,Stomach_Cardia,Duodenum,Mass_Lesion,Multiple,NA",,,N,活检位置,病理来源
Biopsy,biopsy_number,活检数量,integer,,0-20,,,N,活检标本数,充分性
Biopsy,biopsy_indication,活检指征,categorical,,,"Suspicious_Malignancy,Gastritis_Staging,HP_Detection,Barrett_Surveillance,Ulcer,Other,NA",,,N,活检原因,临床目的

Intervention,therapeutic_procedure,治疗性操作,categorical,,,"Yes,No",,,N,是否治疗性操作,内镜治疗
Intervention,hemostasis,止血,categorical,,,"Injection,Clip,APC,Band_Ligation,Combination,None",,,N,内镜止血,治疗方法
Intervention,polypectomy,息肉切除,categorical,,,"Cold_Snare,Hot_Snare,EMR,ESD,None",,,N,息肉切除术,治疗方式
Intervention,esd_emr,ESD/EMR,categorical,,,"ESD,EMR,None",,,N,内镜黏膜切除,早癌治疗
Intervention,dilation,扩张术,categorical,,,"Balloon,Bougie,None",,,N,狭窄扩张,梗阻治疗
Intervention,variceal_ligation,静脉曲张套扎,categorical,,,"Yes,No",,,N,EVL,曲张出血
Intervention,sclerotherapy,硬化剂注射,categorical,,,"Yes,No",,,N,硬化治疗,曲张治疗
Intervention,foreign_body_removal,异物取出,categorical,,,"Yes,No",,,N,异物取出术,紧急处理

Complications,intraprocedural_complication,术中并发症,categorical,,,"Perforation,Bleeding,Aspiration,Cardiovascular,Respiratory,None,Other",,,N,检查中并发症,安全性
Complications,postprocedural_complication,术后并发症,categorical,,,"Bleeding,Perforation,Infection,Pain,None,Other",,,N,检查后并发症,随访

Image_Quality,image_quality,图像质量,categorical,,,"Excellent,Good,Fair,Poor",,,N,内镜图像质量,质控指标
Image_Quality,retroflexion,反转观察,categorical,,,"Performed,Not_Performed",,,N,是否反转,胃底贲门

Pathology_Result,pathology_report,病理报告,categorical,,,"Available,Pending,Not_Done",,,N,病理结果状态,最终诊断
Pathology_Result,histology,组织学,categorical,,,"Normal,Chronic_Gastritis,Atrophic_Gastritis,Intestinal_Metaplasia,Dysplasia_LG,Dysplasia_HG,Adenocarcinoma,Signet_Ring_Cell,Lymphoma,GIST,Other,Pending",,,N,病理诊断,金标准
Pathology_Result,sydney_system,Sydney系统评分,string,,,,,N,Sydney胃炎分级,炎症活动度评分
Pathology_Result,olga_stage,OLGA分期,categorical,,,"Stage_0,Stage_I,Stage_II,Stage_III,Stage_IV,NA",,,N,胃炎癌变风险,萎缩分期
Pathology_Result,olgim_stage,OLGIM分期,categorical,,,"Stage_0,Stage_I,Stage_II,Stage_III,Stage_IV,NA",,,N,肠化癌变风险,肠化分期

Diagnosis,primary_diagnosis,主要诊断,categorical,,,"Normal,GERD,Gastritis,Gastric_Ulcer,Duodenal_Ulcer,Gastric_Polyp,Gastric_Cancer,Barretts_Esophagus,Esophageal_Varices,Other",,,Y,主要内镜诊断,疾病分类
Diagnosis,secondary_diagnosis,次要诊断,string,,,,,N,其他诊断,合并疾病

Recommendation,follow_up,随访建议,categorical,,,"No_Follow_Up,3_Months,6_Months,1_Year,2_Years,3_Years,Other",,,N,复查间隔,监测计划
Recommendation,repeat_indication,复查指征,categorical,,,"Ulcer_Healing,Polyp_Surveillance,Barrett_Surveillance,Cancer_Staging,HP_Eradication,Other,NA",,,N,复查原因,随访目的
Recommendation,referral,转诊建议,categorical,,,"Surgery,Oncology,Gastroenterology,None,Other",,,N,专科转诊,多学科协作
Recommendation,medication,用药建议,categorical,,,"PPI,H2RA,HP_Eradication,Mucosal_Protective,None,Other",,,N,药物治疗,医嘱

Quality_Indicators,withdrawal_time,退镜时间,integer,seconds,0-1800,,,N,退镜观察时间,质控指标>6分钟
Quality_Indicators,complete_visualization,完整观察,categorical,,,"Yes,No",,,N,所有部位检查,质量标准
Quality_Indicators,photo_documentation,图像记录,categorical,,,"Adequate,Inadequate",,,N,照片记录充分性,质控
