字段名 (英文),字段名 (中文),数据类型,描述,示例
triglycerides,甘油三酯,Number,"甘油三酯。<br>单位: mmol/L<br>**代谢综合征标准**: ≥1.7",2.5
hdlCholesterol,高密度脂蛋白胆固醇,Number,"HDL胆固醇。<br>单位: mmol/L<br>**代谢综合征标准**: 男性<1.03，女性<1.29",0.95
ldlCholesterol,低密度脂蛋白胆固醇,Number,"LDL胆固醇。<br>单位: mmol/L",3.8
nonHdlCholesterol,非HDL胆固醇,Number,"非HDL胆固醇。<br>单位: mmol/L",4.85
apolipoproteinB,载脂蛋白B,Number,"载脂蛋白B。<br>单位: g/L<br>**参考范围**: 0.52-1.63",1.2
lipoproteinA,脂蛋白(a),Number,"脂蛋白(a)。<br>单位: mg/L<br>**参考范围**: <300",180
smallDenseLdl,小而密LDL,Number,"小而密LDL颗粒浓度。<br>单位: nmol/L",1250
familyHistory.diabetes,家族史.糖尿病,String,"糖尿病家族史。<br>**建议值**: `无`, `一级亲属`, `二级亲属`",一级亲属
familyHistory.obesity,家族史.肥胖,String,"肥胖家族史。<br>**建议值**: `无`, `有`",有
familyHistory.hypertension,家族史.高血压,String,"高血压家族史。<br>**建议值**: `无`, `有`",有
familyHistory.dyslipidemia,家族史.血脂异常,String,"血脂异常家族史。<br>**建议值**: `无`, `有`",有
lifestyleFactors.diet,生活方式.饮食,String,"饮食模式评估。<br>**建议值**: `健康`, `一般`, `不健康`",一般
lifestyleFactors.exercise,生活方式.运动,String,"运动习惯评估。<br>**建议值**: `规律`, `偶尔`, `很少`, `从不`",偶尔
lifestyleFactors.smoking,生活方式.吸烟,String,"吸烟状况。<br>**建议值**: `从不`, `已戒烟`, `目前吸烟`",已戒烟
lifestyleFactors.alcohol,生活方式.饮酒,String,"饮酒习惯。<br>**建议值**: `不饮酒`, `适量`, `过量`",适量
lifestyleFactors.sleep,生活方式.睡眠,String,"睡眠质量。<br>**建议值**: `良好`, `一般`, `较差`",一般
lifestyleFactors.stress,生活方式.压力,String,"压力水平。<br>**建议值**: `轻微`, `中等`, `较大`",中等
clinicalAssessment.acanthosisNigricans,临床评估.黑棘皮病,String,"是否存在黑棘皮病。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",轻度
clinicalAssessment.skinTags,临床评估.皮赘,String,"是否存在皮赘。<br>**建议值**: `无`, `有`",有
clinicalAssessment.hirsutism,临床评估.多毛症,String,"是否存在多毛症（女性）。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
clinicalAssessment.androgenicAlopecia,临床评估.雄激素性脱发,String,"是否存在雄激素性脱发。<br>**建议值**: `无`, `有`",无
riskScore.framingham,风险评分.Framingham,Number,"Framingham心血管风险评分。<br>单位: %",15.2
riskScore.ukpds,风险评分.UKPDS,Number,"UKPDS风险评分（如适用）。<br>单位: %",8.5
treatmentResponse.metformin,治疗反应.二甲双胍,String,"对二甲双胍的治疗反应。<br>**建议值**: `未使用`, `有效`, `部分有效`, `无效`",有效
treatmentResponse.lifestyle,治疗反应.生活方式干预,String,"对生活方式干预的反应。<br>**建议值**: `良好`, `一般`, `较差`",一般
followUpRecommendation,随访建议,String,"随访检查建议频率",每3个月复查
prognosticFactors,预后因素,String,影响预后的主要因素,肥胖和血脂异常
diagnosisImpression,诊断/印象,String,医生对胰岛素抵抗检查结果的综合诊断或印象。,胰岛素抵抗，代谢综合征
recommendation,建议,String,医生根据检查结果提出的建议。,生活方式干预，考虑药物治疗
