Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,乳腺影像检查日期,检查时间点
Ultrasound_Mass,us_shape,超声形态,categorical,,,"Round,Oval,Irregular,NA",,,N,肿块形状,规则良性
Ultrasound_Mass,us_orientation,纵横比,categorical,,,"Parallel,Not_Parallel,NA",,,N,纵横比,<1良性≥1可疑
Ultrasound_Mass,us_margin,超声边缘,categorical,,,"Circumscribed,Indistinct,Angular,Microlobulated,Spiculated,NA",,,N,边界,成角/毛刺恶性
Ultrasound_Mass,us_echo_pattern,回声特征,categorical,,,"Anechoic,Hyperechoic,Isoechoic,Hypoechoic,Complex,NA",,,N,回声,无回声囊肿
Ultrasound_Mass,us_posterior,后方回声,categorical,,,"No_Change,Enhancement,Shadowing,Combined,NA",,,N,后方特征,增强良性/衰减可疑
Ultrasound_Mass,us_calcification,超声钙化,categorical,,,"Macrocalcifications,Microcalcifications,None,NA",,,N,钙化,微钙化可疑

Elastography,elastography_performed,弹性成像,categorical,,,"Yes,No",,,N,超声弹性成像,硬度评估
Elastography,strain_score,应变弹性评分,categorical,,,"Score_1,Score_2,Score_3,Score_4,Score_5,NA",,,N,应变评分1-5,1-2良性4-5可疑
Elastography,shear_wave_velocity,剪切波速度,decimal,m/s,0-10,,,N,SWV,<3.5m/s良性>4.5恶性
Elastography,youngs_modulus,杨氏模量,decimal,kPa,0-200,,,N,弹性模量,<50kPa良性>80恶性

Doppler,doppler_performed,多普勒检查,categorical,,,"Yes,No",,,N,彩色多普勒,血流评估
Doppler,vascularity,血流分级,categorical,,,"Grade_0,Grade_I,Grade_II,Grade_III,NA",,,N,血流丰富度,0无流III级丰富
Doppler,ri,阻力指数,decimal,,0-2,,,N,RI,<0.7良性>0.75恶性
Doppler,pi,搏动指数,decimal,,0-10,,,N,PI,动脉搏动

Lesion_Location,lesion_present,病灶存在,categorical,,,"Yes,No",,,Y,是否发现病灶,阳性发现
Lesion_Location,breast_side,患侧,categorical,,,"Right,Left,Bilateral,NA",,,N,左右侧,定位
Lesion_Location,quadrant,象限,categorical,,,"Upper_Outer,Upper_Inner,Lower_Outer,Lower_Inner,Central_Retroareolar,NA",,,N,象限位置,外上多见
Lesion_Location,clock_position,钟面位置,categorical,,,"1_Oclock,2_Oclock,3_Oclock,4_Oclock,5_Oclock,6_Oclock,7_Oclock,8_Oclock,9_Oclock,10_Oclock,11_Oclock,12_Oclock,NA",,,N,钟面方向,精确定位
Lesion_Location,distance_from_nipple,距乳头距离,decimal,cm,0-30,,,N,距乳头距离,手术定位
Lesion_Location,lesion_size,病灶大小,decimal,mm,0-200,,,N,最大径,分期
Lesion_Location,lesion_count,病灶数量,integer,,0-100,,,N,同侧病灶数,多灶性

MRI,mri_performed,MRI检查,categorical,,,"Yes,No",,,N,乳腺MRI,高危筛查/术前
MRI,mri_indication,MRI指征,categorical,,,"High_Risk_Screening,Preoperative_Staging,Equivocal_Mammo_US,Neoadjuvant_Response,Implant_Integrity,NA",,,N,MRI适应证,BRCA/术前
MRI,enhancement_pattern,强化模式,categorical,,,"Slow_Progressive,Rapid_Initial_Plateau,Rapid_Initial_Washout,NA",,,N,时间-信号曲线,快进快出可疑
MRI,enhancement_morphology,强化形态,categorical,,,"Mass_Enhancement,Non_Mass_Enhancement,NA",,,N,肿块样/非肿块样,形态学
MRI,diffusion_restriction,扩散受限,categorical,,,"Yes,No,NA",,,N,DWI高信号,恶性细胞密度高
MRI,adc_value,ADC值,decimal,10^-3mm²/s,0-3,,,N,表观扩散系数,<1.0恶性

BI_RADS,birads_category,BI-RADS分类,categorical,,,"0,1,2,3,4A,4B,4C,5,6",,,Y,BI-RADS分级,风险分层
BI_RADS,birads_0_reason,0类原因,categorical,,,"Need_Additional_Imaging,Need_Prior_Comparison,Technical_Issues,NA",,,N,需追加检查原因,召回
BI_RADS,birads_assessment,评估描述,string,,,,,N,BI-RADS评估,病灶特征描述
BI_RADS,birads_recommendation,处理建议,categorical,,,"Routine_Screening,Short_Interval_Follow_Up,Biopsy,Surgical_Consultation,Additional_Imaging,NA",,,Y,管理建议,临床决策

Lymph_Nodes,axillary_ln,腋窝淋巴结,categorical,,,"Yes,No",,,N,腋窝淋巴结,转移评估
Lymph_Nodes,ln_location,淋巴结位置,categorical,,,"Axillary_Level_I,Axillary_Level_II,Axillary_Level_III,Supraclavicular,Internal_Mammary,NA",,,N,淋巴结分组,分期
Lymph_Nodes,ln_size,淋巴结大小,decimal,mm,0-100,,,N,短径,>10mm可疑
Lymph_Nodes,ln_morphology,淋巴结形态,categorical,,,"Normal_Oval_Fatty_Hilum,Suspicious_Round_No_Hilum,Suspicious_Cortical_Thickening,NA",,,N,淋巴结特征,正常vs可疑

Biopsy,biopsy_recommended,活检推荐,categorical,,,"Yes,No",,,N,是否推荐活检,BI-RADS 4-5
Biopsy,biopsy_type,活检方式,categorical,,,"Core_Needle_Biopsy_14G,Core_Needle_Biopsy_16G,Vacuum_Assisted_8G,Vacuum_Assisted_11G,FNA,Excisional,NA",,,N,活检方法,CNB首选
Biopsy,biopsy_guidance,引导方式,categorical,,,"Ultrasound,Stereotactic,MRI,Palpation,NA",,,N,引导技术,超声常用
Biopsy,marker_clip,标记夹放置,categorical,,,"Yes,No,NA",,,N,金属标记夹,术前定位

Pathology,pathology_performed,病理检查,categorical,,,"Yes,No,Pending",,,N,是否病理,确诊
Pathology,pathology_result,病理结果,categorical,,,"Benign,High_Risk_Lesion,Malignant,Pending,NA",,,N,病理诊断,良恶性
Pathology,benign_type,良性类型,categorical,,,"Fibroadenoma,Fibrocystic_Change,Papilloma,Fat_Necrosis,Other,NA",,,N,良性病变,具体诊断
Pathology,high_risk_lesion,高危病变,categorical,,,"ADH,ALH,LCIS,Radial_Scar,Flat_Epithelial_Atypia,None,NA",,,N,高危病变,癌变风险
Pathology,malignant_histology,恶性组织学,categorical,,,"Invasive_Ductal,Invasive_Lobular,DCIS,LCIS,Mucinous,Medullary,Tubular,Other,NA",,,N,癌症病理类型,IDC 70-80%
Pathology,histologic_grade,组织学分级,categorical,,,"G1_Well_Differentiated,G2_Moderately_Differentiated,G3_Poorly_Differentiated,NA",,,N,分化程度,预后因素
Pathology,er_status,ER受体,categorical,,,"Positive,Negative,NA",,,N,雌激素受体,≥1%阳性
Pathology,er_percentage,ER阳性率,decimal,%,0-100,,,N,ER阳性百分比,定量
Pathology,pr_status,PR受体,categorical,,,"Positive,Negative,NA",,,N,孕激素受体,预后因素
Pathology,pr_percentage,PR阳性率,decimal,%,0-100,,,N,PR阳性百分比,定量
Pathology,her2_status,HER2状态,categorical,,,"0,1_Plus,2_Plus,3_Plus,NA",,,N,HER2免疫组化,靶向治疗
Pathology,her2_fish,HER2 FISH,categorical,,,"Amplified,Not_Amplified,Not_Done,NA",,,N,FISH确认,2+需FISH
Pathology,ki67_index,Ki-67增殖指数,decimal,%,0-100,,,N,Ki-67百分比,<14%低增殖
Pathology,molecular_subtype,分子分型,categorical,,,"Luminal_A,Luminal_B_HER2_Negative,Luminal_B_HER2_Positive,HER2_Enriched,Triple_Negative,NA",,,N,乳腺癌分子分型,治疗预后

Risk_Factors,family_history,乳腺癌家族史,categorical,,,"Yes_First_Degree,Yes_Second_Degree,No",,,N,家族史,遗传风险
Risk_Factors,brca_status,BRCA基因状态,categorical,,,"BRCA1_Mutation,BRCA2_Mutation,Negative,Unknown",,,N,BRCA检测,高危
Risk_Factors,prior_biopsy,既往活检,categorical,,,"Benign,High_Risk,Malignant,None",,,N,活检史,风险评估
Risk_Factors,prior_breast_cancer,既往乳腺癌,categorical,,,"Yes,No",,,N,对侧乳腺癌史,再发风险
Risk_Factors,chest_radiation,胸部放疗史,categorical,,,"Yes,No",,,N,10-30岁胸部放疗,霍奇金淋巴瘤
Risk_Factors,age_menarche,初潮年龄,integer,years,8-20,,,N,初潮年龄,<12高危
Risk_Factors,age_menopause,绝经年龄,integer,years,35-65,,,N,绝经年龄,>55高危
Risk_Factors,nulliparous,未生育,categorical,,,"Yes,No",,,N,是否未生育,危险因素
Risk_Factors,age_first_birth,初次生育年龄,integer,years,15-50,,,N,首次足月产年龄,>30高危
Risk_Factors,breastfeeding,哺乳史,categorical,,,"Yes,No",,,N,是否哺乳,保护因素
Risk_Factors,hrt_use,激素替代治疗,categorical,,,"Current,Former,Never",,,N,HRT使用,雌孕激素联合风险
Risk_Factors,lifetime_risk,终生患癌风险,categorical,,,"Average_Below_15,Intermediate_15_to_20,High_Above_20",,,N,终生风险评估,Gail/Tyrer-Cuzick模型

Screening,screening_risk_category,筛查风险分层,categorical,,,"Average_Risk,Intermediate_Risk,High_Risk",,,N,风险等级,筛查策略
Screening,screening_recommendation,筛查建议,string,,,,,N,个体化筛查方案,年龄/风险
Screening,next_screening_date,下次筛查日期,date,,,,,N,建议复查时间,随访计划

Follow_Up,follow_up_required,需要随访,categorical,,,"Yes,No",,,N,是否随访,BI-RADS 3
Follow_Up,follow_up_interval,随访间隔,categorical,,,"3_Months,6_Months,12_Months,24_Months,NA",,,N,随访频率,BI-RADS 3: 6/12/24月
Follow_Up,follow_up_modality,随访方式,categorical,,,"Mammography,Ultrasound,MRI,Combined,NA",,,N,随访检查,个体化

Comparison,prior_exam_date,前次检查日期,date,,,,,N,既往检查时间,对比
Comparison,interval_change,间期变化,categorical,,,"New,Increased,Decreased,Stable,Resolved,No_Prior",,,N,病灶变化,进展评估

Quality,image_quality,图像质量,categorical,,,"Excellent,Good,Fair,Poor,Non_Diagnostic",,,N,影像质量,诊断价值
Quality,positioning,体位质量,categorical,,,"Optimal,Suboptimal,NA",,,N,摆位质量,钼靶质控

Report,reporting_physician,报告医师,string,,,,,N,影像医师,质控
Report,report_date,报告日期,date,,,,,N,报告时间,出具日期
Report,report_finalized,报告终审,categorical,,,"Yes,No",,,N,终审状态,质量管理
Report,impression,影像印象,string,,,,,N,影像学结论,综合诊断
Report,notes,备注,string,,,,,N,其他说明,特殊情况
