字段名(英文),字段名(中文),数据类型,描述,示例
labs.egfr,实验室.eGFR,Number,"估算肾小球滤过率。<br>单位: mL/min/1.73m²",85
labs.alt,实验室.ALT,Number,"丙氨酸转氨酶。<br>单位: U/L<br>**严重肝病**: 抗凝药选择受限",28
labs.inr,实验室.基线INR,Number,"基线INR(华法林前)。<br>**正常**: 0.8-1.2",1.05

thrombophiliaScreen.performed,易栓症筛查.是否完成,String,"**筛查适应证**: 年轻(<50岁)无明显诱因VTE,复发性VTE,家族史,不寻常部位血栓(肠系膜/脑静脉)。<br>**不推荐常规筛查**: 不改变急性期抗凝治疗。<br>**建议值**: `已完成`, `未完成`, `符合筛查指征但暂未做`, `不符合筛查指征`",未完成
thrombophiliaScreen.factorVLeiden,易栓症筛查.FV Leiden突变,String,"**最常见遗传性易栓症**(欧洲人5%,杂合子VTE风险↑3-8倍)。<br>**建议值**: `阴性`, `杂合子`, `纯合子`, `未检测`",未检测
thrombophiliaScreen.prothrombinMutation,易栓症筛查.凝血酶原G20210A,String,"**建议值**: `阴性`, `杂合子`, `纯合子`, `未检测`",未检测
thrombophiliaScreen.atIII,易栓症筛查.抗凝血酶III,String,"**建议值**: `正常`, `缺乏`, `未检测`",未检测
thrombophiliaScreen.proteinC,易栓症筛查.蛋白C,String,"**建议值**: `正常`, `缺乏`, `未检测`",未检测
thrombophiliaScreen.proteinS,易栓症筛查.蛋白S,String,"**建议值**: `正常`, `缺乏`, `未检测`",未检测
thrombophiliaScreen.aPL,易栓症筛查.抗磷脂抗体,String,"抗心磷脂抗体/狼疮抗凝物/抗β2-GP1抗体。<br>**建议值**: `阴性`, `阳性(抗磷脂综合征)`, `未检测`",未检测

treatment.anticoagulation.initial,治疗.抗凝.初始治疗,String,"**初始抗凝**(确诊后立即启动):<br>**近端DVT**: 必须抗凝<br>**远端DVT**: 抗凝或密切监测(2周内重复超声,如无进展可不抗凝)<br>**肠道外抗凝**: 低分子肝素(依诺肝素1mg/kg bid,那曲肝素),磺达肝癸钠,普通肝素IV(严重肾功能不全)<br>**口服直接抗凝药**: 利伐沙班,阿哌沙班<br>**示例**: `依诺肝素1mg/kg bid sc`, `利伐沙班15mg bid×3周`, `普通肝素IV`, `磺达肝癸钠(按体重)`, `观察(孤立性小腿DVT)`",依诺肝素1mg/kg bid sc
treatment.anticoagulation.longTerm,治疗.抗凝.长期治疗,String,"**长期抗凝**(至少3个月):<br>**DOAC**(首选): 利伐沙班,阿哌沙班,达比加群,依度沙班<br>**VKA**: 华法林(INR 2-3)<br>**LMWH**: 肿瘤相关VTE首选<br>**示例**: `利伐沙班20mg qd`, `阿哌沙班5mg bid`, `华法林(INR 2-3)`, `依诺肝素长期(肿瘤)`, `达比加群150mg bid`",利伐沙班20mg qd
treatment.anticoagulation.duration,治疗.抗凝.疗程,String,"**抗凝疗程**:<br>**可逆诱因(手术/创伤/制动)**: 3个月<br>**无明显诱因**(首次): 至少3个月,权衡出血/复发风险后决定延长或停药<br>**复发性VTE**: 延长/终身<br>**肿瘤相关VTE**: 至少3-6个月,肿瘤治愈前持续抗凝<br>**易栓症**: 个体化,可能需延长/终身<br>**建议值**: `3个月`, `6个月`, `延长至12个月`, `无限期`, `待评估`,3个月

treatment.anticoagulation.contraindication,治疗.抗凝.禁忌症,String,"**绝对禁忌**: 活动性出血,近期颅内出血,严重血小板减少(<50×10⁹/L)。<br>**相对禁忌**: 近期大手术/创伤,消化道溃疡,严重肾功能不全(CrCl<15),严重肝病,严重高血压。<br>**建议值**: `无禁忌症`, `有绝对禁忌症(具体)`, `有相对禁忌症(权衡利弊)`,无禁忌症

treatment.thrombolysis.indication,治疗.溶栓.指征,String,"**CDT(导管定向溶栓)适应证**: 广泛髂股静脉DVT+肢体缺血/股青肿(挽救肢体),症状<14天,年轻患者,预期寿命>1年,出血风险低。<br>**不常规推荐系统性溶栓**。<br>**建议值**: `无指征(单纯抗凝)`, `符合CDT指征`, `股青肿(急症,需溶栓/取栓)`, `已溶栓`, `有溶栓禁忌`",无指征
treatment.thrombolysis.performed,治疗.溶栓.是否实施,String,"**建议值**: `未溶栓`, `导管定向溶栓(CDT)`, `系统性溶栓(不推荐)`, `药物机械性血栓清除(PMT)`",未溶栓

treatment.thrombectomy,治疗.外科/介入取栓,String,"**适应证**: 股青肿,广泛髂股静脉DVT(防止血栓后综合征)。<br>**方法**: 导管血栓抽吸术,静脉血栓切除术。<br>**建议值**: `未行`, `导管介入取栓`, `外科血栓切除术`, `计划手术`,未行

treatment.ivcFilter.indication,治疗.下腔静脉滤器.指征,String,"**IVC滤器适应证**(不推荐常规使用):<br>1. 近端DVT+抗凝绝对禁忌(活动性出血)<br>2. 充分抗凝下发生PE<br>3. 漂浮血栓+高PE风险<br>4. 可回收滤器: 近期大手术+近端DVT(暂时性禁忌)。<br>**建议值**: `无指征`, `符合指征`, `已置入(永久性)`, `已置入(可回收,留置XX天)`, `已取出`, `计划置入`",无指征

treatment.compression.therapy,治疗.压迫治疗,String,"**医用弹力袜**(30-40 mmHg,膝下):<br>**急性期**: 减轻水肿和疼痛<br>**长期**: 预防血栓后综合征(PTS)。<br>**使用时间**: 至少2年(有争议)。<br>**建议值**: `已开始使用`, `计划开始(水肿减轻后)`, `未使用`, `有禁忌症(动脉疾病)`",计划开始
treatment.elevation,治疗.患肢抬高,String,"**建议值**: `已指导患肢抬高`, `未指导`,已指导
treatment.mobilization,治疗.早期活动,String,"**旧观念**: 卧床制动(担心血栓脱落)。<br>**新证据**: 早期活动(戴弹力袜)+抗凝不增加PE风险,且减轻症状,预防PTS。<br>**建议值**: `已开始早期活动(戴弹力袜)`, `暂时卧床(股青肿/漂浮血栓)`, `逐步活动`,已开始早期活动

complications.pe,并发症.肺栓塞,String,"**近端DVT**: 50%合并无症状性PE,10-20%有症状PE。<br>**建议值**: `无PE`, `疑似PE(需CTPA)`, `已确诊合并PE(无症状)`, `已确诊合并PE(有症状)`",无PE
complications.recurrentDVT,并发症.复发性DVT,String,"**复发风险**: 首次无诱因DVT,10年累积复发率30-40%。<br>**建议值**: `首次DVT`, `复发性DVT(第X次,同侧)`, `复发性DVT(第X次,对侧)`,首次DVT
complications.phlegmasiaCeruleaDolens,并发症.股青肿,String,"**急症**: 广泛髂股静脉血栓→静脉回流完全阻断→肢体高度肿胀+发绀+动脉缺血→肢体坏疽/休克/死亡。<br>**需紧急溶栓/取栓/筋膜切开减压**。<br>**建议值**: `无`, `有(急症处理中)`,无
complications.pts,并发症.血栓后综合征,String,"**PTS**(Post-Thrombotic Syndrome): DVT后1-2年,20-50%患者出现慢性下肢水肿/疼痛/沉重感/色素沉着/静脉曲张/溃疡。<br>**建议值**: `不适用(急性期)`, `随访中未发现`, `轻度PTS(水肿/不适)`, `中度PTS`, `重度PTS(静脉性溃疡)`",不适用
complications.majorBleeding,并发症.大出血,String,"抗凝相关出血。<br>**建议值**: `无`, `大出血(颅内/消化道/需输血)`, `临床相关非大出血`, `轻微出血`,无
complications.hit,并发症.肝素诱导血小板减少,String,"HIT(肝素治疗5-10天后血小板<150或下降>50%)。<br>**建议值**: `无`, `疑似HIT(需HIT抗体检测)`, `确诊HIT(停肝素,改用阿加曲班/磺达肝癸钠/DOAC)`",无

prognosis.outcome,预后.结局,String,"**建议值**: `症状改善出院`, `住院治疗中`, `转院`, `死亡(PE/其他原因)`",症状改善出院
prognosis.recurrenceRisk,预后.复发风险,String,"**低风险**: 手术/创伤等可逆诱因,3个月抗凝后停药,年复发率1-3%<br>**中风险**: 无明显诱因,停药年复发率5-10%<br>**高风险**: 复发性VTE/易栓症/肿瘤,年复发率10-15%<br>**建议值**: `低风险`, `中风险`, `高风险`,中风险

followUp.plan,随访.随访计划,String,"**示例**: `2-4周门诊复查(症状+超声)`, `3个月评估是否延长抗凝`, `INR监测(华法林)`, `肾功能/肝功能监测(DOAC)`, `评估PTS风险`, `远端DVT 2周内重复超声`",2-4周门诊复查
followUp.ultrasoundRepeat,随访.重复超声,String,"**适应证**:<br>- 远端DVT观察策略: 2周内重复超声(评估是否向近端延伸)<br>- 症状恶化<br>- 3-6个月评估血栓消退(可选)<br>**建议值**: `已安排(2周后)`, `已安排(3-6个月)`, `不需要重复超声`,不需要重复超声
followUp.anticoagMonitoring,随访.抗凝监测,String,"**华法林**: 每周INR至稳定(连续2-3次INR 2-3),后每月1次<br>**DOAC**: 肾功能监测(利伐沙班/阿哌沙班: 每年;达比加群CrCl<50: 每6个月)<br>**LMWH**: 血小板监测(第3-5天,后每周,监测HIT)<br>**建议值**: `INR监测`, `肾功能监测`, `血小板监测`, `无需常规监测`,肾功能监测

followUp.durationDecision,随访.抗凝疗程决策,String,"**3个月后评估**: 出血风险(HAS-BLED评分),复发风险(HERDOO2评分/维也纳预测模型/D-二聚体)。<br>**建议值**: `3个月后停药`, `延长抗凝`, `终身抗凝`, `待3个月后评估`,待3个月后评估

prevention.mechanicalProphylaxis,预防.机械预防,String,"**住院/围术期DVT预防**: 间歇充气加压装置(IPC),梯度压力弹力袜(GCS)。<br>**建议值**: `不适用`, `已使用IPC/GCS`, `未使用`,不适用
prevention.pharmacologicalProphylaxis,预防.药物预防,String,"**围术期/住院患者VTE预防**: LMWH,磺达肝癸钠,低剂量普通肝素。<br>**建议值**: `不适用`, `已使用预防剂量LMWH`, `未使用(低危)`, `应使用但未使用`",不适用
prevention.riskAssessment,预防.VTE风险评估,String,"**住院患者**: Padua评分,Caprini评分(外科)。<br>**建议值**: `已评估(高危,需预防)`, `已评估(低危)`, `未评估`, `不适用`",不适用

education.adherence,健康教育.抗凝依从性教育,String,"**建议值**: `已教育(规律服药,不自行停药,出血风险)`, `未教育`,已教育
education.compression,健康教育.弹力袜使用指导,String,"**建议值**: `已教育(穿戴方法,每日使用,至少2年)`, `未教育`,已教育
education.lifestyle,健康教育.生活方式,String,"**建议值**: `已教育(避免长时间制动,活动,减重,戒烟,停用激素)`, `未教育`,已教育
education.warningSymptoms,健康教育.警示症状,String,"PE症状(呼吸困难/胸痛/咯血),出血症状,DVT复发症状。<br>**建议值**: `已教育`, `未教育`,已教育

clinicianNotes,临床医生备注,String,自由文本备注栏,患者为58岁女性,无明显诱因右下肢肿胀疼痛3天。超声确诊右侧腘静脉+股浅静脉急性血栓形成(近端DVT)。Wells评分3分,D-二聚体1200 μg/L。已启动依诺肝素抗凝,后续转利伐沙班长期治疗。计划至少3个月抗凝,3个月后评估复发/出血风险决定疗程。已指导弹力袜使用和早期活动。
dataSource,数据来源,String,"**建议值**: `门诊`, `急诊`, `住院`, `体检发现`, `住院期间并发DVT`, `产后/术后监测`",急诊
