字段路径,中文名称,数据类型,说明,示例值
ihc.thyroidMarkers.ttf1,免疫组化.甲状腺标记.TTF-1,String,"甲状腺转录因子1。<br>**表达模式**: 核染色<br>**建议值**: `阳性`, `阴性`<br>**临床意义**: PTC/FTC阳性,证实甲状腺来源,但肺癌也可阳性,需结合Tg/PAX8",阳性
ihc.thyroidMarkers.pax8,免疫组化.甲状腺标记.PAX8,String,"配对盒基因8。<br>**表达模式**: 核染色<br>**建议值**: `阳性`, `阴性`<br>**临床意义**: 甲状腺/肾脏/Müllerian来源标记,DTC阳性,与TTF-1联合可确认甲状腺来源",阳性
ihc.calcitonin,免疫组化.降钙素,String,"降钙素免疫组化。<br>**表达模式**: 胞质染色<br>**建议值**: `阴性`, `阳性`<br>**临床意义**: MTC特异性标记(100%阳性),PTC/FTC阴性,确诊MTC金标准",阴性(PTC)
ihc.cea,免疫组化.CEA,String,"CEA免疫组化。<br>**建议值**: `阴性`, `阳性`<br>**临床意义**: MTC阳性(80-90%),辅助MTC诊断",阴性(PTC)
ihc.chromogranin,免疫组化.嗜铬粒蛋白,String,"嗜铬粒蛛白A(CgA)。<br>**建议值**: `阴性`, `阳性`<br>**临床意义**: 神经内分泌标记,MTC阳性,PTC/FTC阴性",阴性(PTC)
ihc.ki67,免疫组化.Ki-67,Number,"Ki-67增殖指数(%)。<br>**参考范围**:<br>- PTC: <5%<br>- FTC: 5-10%<br>- PDTC: 10-30%<br>- ATC: >30%<br>**临床意义**: Ki-67高提示侵袭性强,预后差",3
ihc.p53,免疫组化.p53,String,"p53蛋白表达。<br>**建议值**: `野生型(散在阳性)`, `突变型-过表达`, `突变型-完全阴性`<br>**临床意义**: TP53突变见于70% ATC,<5% PTC,p53过表达提示去分化",野生型
ihc.brafV600E,免疫组化.BRAF V600E,String,"BRAF V600E突变特异性抗体(VE1克隆)。<br>**建议值**: `阴性`, `阳性`<br>**临床意义**: BRAF V600E IHC与基因检测一致性95%,阳性提示PTC,可替代分子检测",阳性
molecular.braf,分子标记.BRAF,String,"BRAF基因突变。<br>**BRAF V600E**: PTC中60-80%(经典型45%,高细胞型80%,弥漫硬化型15%)<br>**建议值**: `野生型`, `BRAF V600E突变`, `其他BRAF突变(K601E等)`<br>**临床意义**: BRAF V600E与PTC侵袭性相关(腺外侵犯、淋巴结转移、复发),但对总生存率影响有争议;指导靶向治疗(达拉非尼+曲美替尼)",BRAF V600E突变
molecular.ras,分子标记.RAS,String,"RAS基因突变(NRAS/HRAS/KRAS)。<br>**频率**: FTC中40-50%,滤泡型PTC 20-40%,滤泡腺瘤10-20%<br>**建议值**: `野生型`, `NRAS突变(最常见Q61R)`, `HRAS突变`, `KRAS突变`<br>**临床意义**: RAS突变提示滤泡样病变,但良恶性鉴别困难(20-30%为腺瘤),分子病理学上称为RAS突变甲状腺肿瘤(RMT)",野生型
molecular.retptc,分子标记.RET-PTC融合,String,"RET/PTC基因融合。<br>**RET/PTC1**: 最常见(60-70%),CCDC6-RET融合<br>**RET/PTC3**: 次常见(20-30%),NCOA4-RET融合,辐射相关,儿童多见<br>**频率**: 总体PTC中10-20%,弥漫硬化型40-60%,辐射相关PTC50-80%<br>**建议值**: `阴性`, `RET/PTC1融合`, `RET/PTC3融合`, `其他RET融合`<br>**临床意义**: RET/PTC与年轻、辐射暴露、淋巴结转移相关,但预后相对好;RET/PTC与BRAF突变互斥",阴性
molecular.ret,分子标记.RET,String,"RET基因点突变(胚系)。<br>**建议值**: `未检测`, `野生型`, `RET胚系突变(M918T/C634等)`<br>**临床意义**: RET胚系突变见于遗传性MTC(MEN 2A/2B型,家族性MTC),需检测家系,预防性甲状腺切除",未检测
molecular.tert,分子标记.TERT,String,"TERT启动子突变。<br>**突变位点**: C228T(最常见)、C250T<br>**频率**: ATC 70%、PDTC 40%、FTC 15-20%、PTC 10%(高侵袭性亚型更高)<br>**建议值**: `野生型`, `C228T突变`, `C250T突变`<br>**临床意义**: TERT突变是强烈的不良预后因素,提示去分化、侵袭性强、远处转移、死亡率高;BRAF+TERT双突变预后最差",野生型
molecular.pax8pparg,分子标记.PAX8-PPARγ融合,String,"PAX8-PPARγ基因融合。<br>**频率**: FTC中30-50%(微小侵犯型多见),滤泡腺瘤2-10%<br>**建议值**: `阴性`, `PAX8-PPARγ融合阳性`<br>**临床意义**: PAX8-PPARγ融合多见于微小侵犯型FTC,预后相对好,可作为FNA不确定病变的分子标记",阴性
molecular.ntrk,分子标记.NTRK融合,String,"NTRK基因融合(NTRK1/2/3)。<br>**频率**: 儿童PTC 5-10%,成人PTC <5%<br>**建议值**: `阴性`, `NTRK1融合`, `NTRK3融合`<br>**临床意义**: NTRK融合罕见但重要,可用拉罗替尼(Larotrectinib)/恩曲替尼靶向治疗,ORR>75%",阴性
molecular.tp53,分子标记.TP53,String,"TP53基因突变。<br>**频率**: ATC 70%,PDTC 20-30%,DTC <5%<br>**建议值**: `野生型`, `突变型`<br>**临床意义**: TP53突变提示去分化和极差预后,是ATC特征性改变",野生型
molecular.pik3ca,分子标记.PIK3CA,String,"PIK3CA基因突变。<br>**频率**: ATC 20%,PDTC 10%<br>**建议值**: `野生型`, `突变型`<br>**临床意义**: PIK3CA突变常与其他突变共存,提示PI3K/AKT通路激活",野生型
molecular.apc,分子标记.APC,String,"APC基因突变(胚系)。<br>**建议值**: `未检测`, `野生型`, `APC胚系突变`<br>**临床意义**: APC胚系突变见于家族性腺瘤性息肉病(FAP),伴Cribriform-morular型甲状腺癌",未检测
staging.tnm.version,分期.TNM.版本,String,TNM分期系统版本,AJCC第8版(2017)
staging.tnm.cT,分期.TNM.临床T分期,String,"临床T分期(基于超声/CT,治疗前)。<br>**T1**: ≤2cm局限于甲状腺<br>  - T1a: ≤1cm(微小癌)<br>  - T1b: 1-2cm<br>**T2**: 2-4cm局限于甲状腺<br>**T3**: >4cm局限于甲状腺,或肉眼微小腺外侵犯(带状肌)<br>  - T3a: >4cm局限于甲状腺<br>  - T3b: 肉眼侵犯带状肌<br>**T4**: 腺外侵犯超出带状肌<br>  - T4a: 侵犯皮下软组织/喉/气管/食管/喉返神经(可切除)<br>  - T4b: 侵犯椎前筋膜/包绕颈动脉或纵隔血管(不可切除)<br>**临床意义**: T3b/T4需术前评估可切除性",cT1b
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(基于手术标本)。<br>**AJCC第8版更新**: 镜下微小腺外侵犯不再上调T分期<br>**临床意义**: 病理T分期是预后金标准",pT1b(1.8cm,局限甲状腺)
staging.tnm.cN,分期.TNM.临床N分期,String,"临床N分期(基于超声/CT)。<br>**cN0**: 无淋巴结转移证据<br>**cN1**: 淋巴结转移<br>  - cN1a: 中央区(VI/VII区)淋巴结转移<br>  - cN1b: 侧颈区(I-V区)/咽后/上纵隔淋巴结转移<br>**临床意义**: 超声对淋巴结转移敏感性60-80%,微钙化特异性>95%",cN1a
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(基于淋巴结清扫)。<br>**pN0**: 无淋巴结转移<br>**pN0(i+)**: 仅IHC检出孤立肿瘤细胞<br>**pN1**: 淋巴结转移<br>  - pN1a: 中央区(VI/VII区,喉前/气管前/气管旁/食管旁)淋巴结转移<br>  - pN1b: 侧颈区(I-V区)单侧/双侧/对侧,或咽后/上纵隔淋巴结转移<br>**临床意义**: PTC淋巴结转移率高(30-80%),N1b提示复发风险显著增加",pN1a
staging.tnm.M,分期.TNM.M分期,String,"远处转移分期。<br>**M0**: 无远处转移<br>**M1**: 远处转移<br>**常见转移部位**: 肺(最常见,50%)、骨(25%)、脑(5%)<br>**临床意义**: DTC远处转移率<5%,主要见于FTC和侵袭性PTC亚型;MTC远处转移率10-15%;M1患者10年生存率40%(碘治疗敏感)vs 10%(碘难治)",M0
staging.tnm.overall,分期.TNM.总体分期,String,"AJCC第8版总体分期(DTC,按年龄分层)。<br>**<55岁患者**:<br>- **I期**: 任何T,任何N,M0<br>- **II期**: 任何T,任何N,M1<br>**≥55岁患者**:<br>- **I期**: T1-2,N0,M0<br>- **II期**: T1-2,N1或T3a-3b,N0-1,M0<br>- **III期**: T4a,任何N,M0<br>- **IVA期**: T4b,任何N,M0<br>- **IVB期**: 任何T,任何N,M1<br>**临床意义**: 年龄是最强预后因素,<55岁即使M1也仅II期,≥55岁分期更细化",I期(<55岁,T1N1M0)
staging.ata.riskStratification,分期.ATA.风险分层,String,"美国甲状腺协会(ATA)复发风险分层(2015指南)。<br>**低危**:<br>- 无局部/远处转移<br>- 肉眼全切除<br>- 无肿瘤侵犯甲状腺周围组织<br>- 无侵袭性组织学(高细胞型/柱状细胞型等)<br>- 无血管侵犯<br>- 无RAI摄取甲状腺床外病灶<br>- cN0或≤5个微转移淋巴结(<0.2cm)<br>**中危**:<br>- 镜下腺外侵犯<br>- RAI摄取颈部病灶<br>- 侵袭性组织学亚型<br>- PTC伴血管侵犯<br>- cN1或>5个淋巴结转移(所有<3cm)<br>- 多灶性乳头状微小癌伴腺外侵犯和BRAF V600E突变<br>**高危**:<br>- 肉眼腺外侵犯(T3b/T4)<br>- 不完全肿瘤切除<br>- 远处转移<br>- 术后Tg提示远处转移<br>- 淋巴结转移≥3cm<br>- 滤泡癌广泛血管侵犯(≥4处)<br>**复发率**: 低危1-2%,中危5-20%,高危>50%<br>**临床意义**: ATA风险分层指导术后RAI治疗和TSH抑制目标",中危(镜下腺外侵犯+N1a)
lymphNode.central.dissected,淋巴结.中央区.清扫数,Number,"中央区(VI区)清扫淋巴结总数。<br>**质量标准**: ≥6枚<br>**临床意义**: 清扫数量影响分期准确性",8
lymphNode.central.positive,淋巴结.中央区.阳性数,Number,"中央区转移淋巴结数量。<br>**临床意义**: 中央区转移见于30-80% PTC,隐匿转移率高",3
lymphNode.lateral.dissected,淋巴结.侧颈区.清扫数,Number,"侧颈区(II-V区)清扫淋巴结总数。<br>**质量标准**: ≥15枚(改良根治性清扫)<br>**临床意义**: 侧颈区清扫范围II-V区,保留副神经/胸锁乳突肌/颈内静脉",12
lymphNode.lateral.positive,淋巴结.侧颈区.阳性数,Number,侧颈区转移淋巴结数量,5
lymphNode.largestMetastasis,淋巴结.最大转移灶,Number,"最大淋巴结转移灶直径(mm)。<br>**临床意义**: ≥3cm的大转移灶是ATA高危因素,复发率>50%",8
lymphNode.extranodal,淋巴结.结外侵犯,Boolean,"淋巴结结外侵犯(Extranodal extension, ENE)。<br>**定义**: 肿瘤突破淋巴结包膜<br>**临床意义**: ENE提示侵袭性强,复发风险增加",false
lymphNode.micrometastasis,淋巴结.微转移,String,"淋巴结微转移。<br>**定义**: 转移灶<2mm<br>**建议值**: `无`, `微转移(<2mm)`, `孤立肿瘤细胞ITC(<0.2mm)`<br>**临床意义**: ≤5个微转移淋巴结属ATA低危,>5个属中危",微转移2枚
resectionMargin.status,切缘.状态,String,"手术切缘状态。<br>**R0**: 切缘阴性<br>**R1**: 切缘阳性(镜下残留)<br>**R2**: 肉眼残留<br>**临床意义**: R1/R2是ATA高危因素,需术后RAI清甲或外放疗,复发率>50%",R0
resectionMargin.closestMargin,切缘.最近切缘距离,Number,"最近切缘距离(mm)。<br>**建议值**: <1mm为接近切缘<br>**临床意义**: 切缘<1mm复发风险增加",3
surgery.extent,手术.范围,String,"手术范围。<br>**建议值**:<br>- `腺叶+峡部切除`: 单侧低危微小癌<br>- `近全/次全甲状腺切除`: 双叶大部切除,保留<1g腺体<br>- `全甲状腺切除`: 双叶+峡部完全切除<br>**适应症**: 肿瘤>4cm、双叶多发、淋巴结转移、远处转移、高危组织学、辐射史、家族史需全切<br>**临床意义**: 全切利于术后RAI治疗和Tg监测,但甲旁腺/喉返神经损伤风险增加",全甲状腺切除
surgery.centralDissection,手术.中央区清扫,String,"中央区淋巴结清扫范围。<br>**建议值**: `未清扫`, `患侧中央区清扫`, `双侧中央区清扫(预防性)`, `双侧中央区清扫(治疗性)`<br>**指征**:<br>- 治疗性: cN1a或术中发现中央区转移<br>- 预防性: T3/T4或cN1b(争议中)<br>**临床意义**: 预防性中央区清扫可提高分期准确性,但增加甲旁腺功能减退和喉返神经损伤风险",双侧中央区清扫(治疗性)
surgery.lateralDissection,手术.侧颈区清扫,String,"侧颈区淋巴结清扫范围。<br>**建议值**: `未清扫`, `选择性清扫(受累区域)`, `改良根治性清扫(II-V区)`, `双侧侧颈清扫`<br>**指征**: cN1b或术中发现侧颈区转移<br>**临床意义**: 侧颈区清扫保留副神经/胸锁乳突肌/颈内静脉,预防性侧颈清扫不推荐",左侧改良根治性清扫(II-V区)
complications.recurrentLaryngealNerve,并发症.喉返神经损伤,String,"喉返神经损伤。<br>**建议值**: `无`, `暂时性麻痹(<6个月恢复)`, `永久性麻痹(>6个月)`, `双侧麻痹`<br>**发生率**: 暂时性2-5%,永久性<1%(经验中心)<br>**临床意义**: 单侧损伤致声嘶,双侧损伤需气管切开,严重影响生活质量",无
complications.hypoparathyroidism,并发症.甲旁腺功能减退,String,"甲旁腺功能减退(低钙血症)。<br>**建议值**: `无`, `暂时性(<6个月)`, `永久性(>6个月需长期补钙)`<br>**发生率**: 全甲状腺切除+中央区清扫,暂时性10-30%,永久性1-5%<br>**临床意义**: 术后监测血钙/PTH,补充钙剂+活性维生素D",暂时性
treatment.rai,治疗.放射性碘,String,"术后放射性碘-131(RAI)治疗。<br>**指征**:<br>- **清甲治疗(30-100 mCi)**: 全切术后清除残留甲状腺组织<br>- **辅助治疗(100-150 mCi)**: ATA中高危患者<br>- **治疗性RAI(150-200 mCi)**: 远处转移/局部晚期不可切除病灶<br>**建议值**: `未行RAI`, `清甲治疗(30 mCi)`, `辅助治疗(100 mCi)`, `治疗性RAI(150 mCi)`<br>**准备**: TSH>30 mIU/L(停甲状腺素4-6周或rhTSH刺激),低碘饮食2周<br>**临床意义**: RAI可降低高危患者复发率40-50%,但低危患者获益有限",计划辅助RAI治疗(100 mCi)
