Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,test_date,检测日期,date,,,,,Y,Hp检测日期,诊断时间点
Basic_Info,age,年龄,integer,years,0-120,,,N,患者年龄,流行病学
Serology,serology_performed,血清学检测,categorical,,,"Yes,No",,,N,是否血清学,抗体检测
Serology,serology_method,血清学方法,categorical,,,"ELISA,Western_Blot,Rapid_Test,NA",,,N,抗体检测法,方法学
Serology,igg_result,IgG抗体,categorical,,,"Positive,Negative,Equivocal,NA",,,N,IgG结果,既往/现症感染
Serology,igg_titer,IgG滴度,decimal,,0-200,,,N,IgG定量,抗体水平
Serology,iga_result,IgA抗体,categorical,,,"Positive,Negative,Equivocal,NA",,,N,IgA结果,黏膜免疫

Invasive_Tests,endoscopy_performed,内镜检查,categorical,,,"Yes,No",,,N,是否胃镜,侵入性检查
Endoscopy,biopsy_taken,活检,categorical,,,"Yes,No,NA",,,N,是否取活检,组织学检查
Endoscopy,biopsy_sites,活检部位,categorical,,,"Antrum,Body,Both,Multiple,NA",,,N,活检位置,Sydney方案
Endoscopy,biopsy_number,活检数量,integer,,0-10,,,N,活检标本数,充分性

RUT,rut_performed,快速尿素酶试验,categorical,,,"Yes,No",,,N,是否做RUT,内镜即刻检测
RUT,rut_result,RUT结果,categorical,,,"Positive,Negative,Indeterminate,NA",,,N,RUT定性,快速诊断
RUT,rut_time_positive,RUT阳性时间,integer,minutes,0-1440,,,N,变色时间,1h内强阳性
RUT,rut_color_change,颜色变化,categorical,,,"Red,Pink,Yellow,No_Change,NA",,,N,试剂颜色,阳性判断

Histology,histology_performed,组织学检查,categorical,,,"Yes,No",,,N,病理学检查,金标准
Histology,histology_stain,染色方法,categorical,,,"HE,Giemsa,Warthin_Starry,Immunohistochemistry,Multiple,NA",,,N,特殊染色,Hp显示
Histology,histology_result,组织学结果,categorical,,,"Positive,Negative,Indeterminate,NA",,,N,病理Hp,确诊
Histology,hp_density,Hp密度,categorical,,,"Mild,Moderate,Severe,Absent,NA",,,N,Hp载量,定量评估
Histology,gastritis_activity,炎症活动度,categorical,,,"Mild,Moderate,Severe,None,NA",,,N,活动性炎症,Sydney评分
Histology,chronic_inflammation,慢性炎症,categorical,,,"Mild,Moderate,Severe,None,NA",,,N,慢性炎症,病理评估
Histology,atrophy,萎缩,categorical,,,"Mild,Moderate,Severe,None,NA",,,N,黏膜萎缩,癌前病变
Histology,intestinal_metaplasia,肠化生,categorical,,,"Yes,No,NA",,,N,肠上皮化生,癌前病变
Histology,olga_stage,OLGA分期,categorical,,,"0,I,II,III,IV,NA",,,N,胃炎萎缩分期,癌变风险
Histology,olgim_stage,OLGIM分期,categorical,,,"0,I,II,III,IV,NA",,,N,肠化分期,癌变风险

Culture,culture_performed,细菌培养,categorical,,,"Yes,No",,,N,是否培养,耐药检测
Culture,culture_result,培养结果,categorical,,,"Positive,Negative,Contaminated,NA",,,N,培养定性,活菌检测
Culture,antibiotic_susceptibility,药敏试验,categorical,,,"Done,Not_Done,NA",,,N,抗生素敏感性,个体化治疗

PCR,pcr_performed,PCR检测,categorical,,,"Yes,No",,,N,分子诊断,高灵敏度
PCR,pcr_result,PCR结果,categorical,,,"Positive,Negative,Indeterminate,NA",,,N,PCR定性,基因检测
PCR,caga_gene,CagA基因,categorical,,,"Positive,Negative,NA",,,N,CagA毒力因子,高毒力株
PCR,vaca_gene,VacA基因,categorical,,,"s1m1,s1m2,s2m1,s2m2,Negative,NA",,,N,VacA基因型,致病力
PCR,resistance_mutation,耐药突变,categorical,,,"Detected,Not_Detected,NA",,,N,耐药基因,克拉霉素/喹诺酮

Diagnosis,hp_status,Hp感染状态,categorical,,,"Current_Infection,Past_Infection,No_Infection,Unknown",,,Y,感染诊断,当前/既往
Diagnosis,diagnostic_certainty,诊断确定性,categorical,,,"Definite,Probable,Possible",,,N,诊断把握度,多项检测
Diagnosis,test_agreement,检测一致性,categorical,,,"Concordant,Discordant,Single_Test",,,N,多种方法一致性,诊断可靠性

Eradication_History,prior_eradication,既往根除治疗,categorical,,,"Yes,No,Unknown",,,N,曾根除治疗史,再感染/失败
Eradication_History,prior_regimen,既往方案,categorical,,,"Triple,Quadruple,Bismuth_Quadruple,Sequential,Concomitant,Unknown,NA",,,N,既往用药方案,耐药参考
Eradication_History,prior_result,既往根除结果,categorical,,,"Success,Failure,Unknown,NA",,,N,前次疗效,复治指征
Eradication_History,time_since_eradication,根除后时间,integer,months,0-600,,,N,根除到本次检测月数,再感染评估
Eradication_History,number_of_attempts,根除次数,integer,,0-10,,,N,根除治疗次数,难治性

Current_Treatment,eradication_indicated,根除治疗指征,categorical,,,"Yes,No,Uncertain",,,N,是否需根除,治疗决策
Current_Treatment,treatment_regimen,治疗方案,categorical,,,"Bismuth_Quadruple,Concomitant,Sequential,Hybrid,High_Dose_Dual,Levofloxacin_Triple,Rifabutin_Triple,Vonoprazan_Based,Other,None",,,N,选择方案,一线/挽救
Current_Treatment,treatment_duration,疗程,categorical,,,"7_Days,10_Days,14_Days,Other,NA",,,N,治疗天数,10-14天推荐

Regimen_Details,ppi_type,PPI种类,categorical,,,"Omeprazole,Esomeprazole,Rabeprazole,Lansoprazole,Pantoprazole,Vonoprazan,None,NA",,,N,质子泵抑制剂,酸抑制
Regimen_Details,ppi_dose,PPI剂量,categorical,,,"Standard,Double,High,NA",,,N,PPI剂量,标准/加倍
Regimen_Details,bismuth,铋剂,categorical,,,"Yes,No,NA",,,N,含铋方案,四联疗法
Regimen_Details,amoxicillin,阿莫西林,categorical,,,"Yes,No,NA",,,N,阿莫西林,β-内酰胺类
Regimen_Details,clarithromycin,克拉霉素,categorical,,,"Yes,No,NA",,,N,克拉霉素,大环内酯
Regimen_Details,metronidazole,甲硝唑,categorical,,,"Yes,No,NA",,,N,甲硝唑,硝基咪唑
Regimen_Details,levofloxacin,左氧氟沙星,categorical,,,"Yes,No,NA",,,N,左氧氟沙星,喹诺酮
Regimen_Details,tetracycline,四环素,categorical,,,"Yes,No,NA",,,N,四环素,四环素类
Regimen_Details,furazolidone,呋喃唑酮,categorical,,,"Yes,No,NA",,,N,呋喃唑酮,硝基呋喃
Regimen_Details,rifabutin,利福布汀,categorical,,,"Yes,No,NA",,,N,利福布汀,挽救治疗

Antibiotic_Resistance,resistance_testing,耐药检测,categorical,,,"Done,Not_Done",,,N,是否耐药试验,个体化治疗
Antibiotic_Resistance,clarithromycin_resistance,克拉霉素耐药,categorical,,,"Resistant,Sensitive,Unknown",,,N,克拉霉素耐药,主要耐药
Antibiotic_Resistance,metronidazole_resistance,甲硝唑耐药,categorical,,,"Resistant,Sensitive,Unknown",,,N,甲硝唑耐药,常见耐药
Antibiotic_Resistance,levofloxacin_resistance,左氧耐药,categorical,,,"Resistant,Sensitive,Unknown",,,N,喹诺酮耐药,挽救治疗
Antibiotic_Resistance,amoxicillin_resistance,阿莫西林耐药,categorical,,,"Resistant,Sensitive,Unknown",,,N,阿莫西林耐药,罕见耐药
Antibiotic_Resistance,tetracycline_resistance,四环素耐药,categorical,,,"Resistant,Sensitive,Unknown",,,N,四环素耐药,耐药评估
Antibiotic_Resistance,multidrug_resistance,多重耐药,categorical,,,"Yes,No,Unknown",,,N,多重耐药,难治因素

Eradication_Assessment,toe_test_date,根除后检测日期,date,,,,,N,TOE测试时间,疗效评估
Eradication_Assessment,toe_method,TOE检测方法,categorical,,,"UBT,SAT,Endoscopy,NA",,,N,根除后检测方式,UBT/SAT首选
Eradication_Assessment,toe_timing,TOE时机,categorical,,,"4_Weeks,6_Weeks,8_Weeks,Other,NA",,,N,停药后时间,≥4周
Eradication_Assessment,eradication_result,根除结果,categorical,,,"Success,Failure,Unknown,NA",,,N,根除疗效,成功/失败
Eradication_Assessment,eradication_rate,根除率预测,decimal,%,0-100,,,N,预期根除率,方案依从性

Compliance,medication_adherence,用药依从性,categorical,,,"Excellent,Good,Fair,Poor,Unknown",,,N,服药依从性,疗效关键
Compliance,adherence_percentage,依从百分比,decimal,%,0-100,,,N,服药完成度,>90%理想
Compliance,missed_doses,漏服次数,integer,,0-50,,,N,漏服剂数,依从性量化

Adverse_Effects,adverse_events,不良反应,categorical,,,"Yes,No",,,N,治疗不良反应,安全性
Adverse_Effects,ae_type,不良反应类型,categorical,,,"Nausea,Vomiting,Diarrhea,Constipation,Abdominal_Pain,Taste_Disturbance,Rash,Dizziness,Headache,None,Other",,,N,AE种类,药物副作用
Adverse_Effects,ae_severity,不良反应严重度,categorical,,,"Mild,Moderate,Severe,NA",,,N,AE严重程度,耐受性
Adverse_Effects,treatment_discontinuation,停药,categorical,,,"Yes,No,NA",,,N,因AE终止治疗,依从性影响

Associated_Conditions,peptic_ulcer_disease,消化性溃疡,categorical,,,"Gastric_Ulcer,Duodenal_Ulcer,Both,None",,,N,PUD,Hp相关疾病
Associated_Conditions,gastric_cancer,胃癌,categorical,,,"Yes,No,Suspected",,,N,胃癌,严重并发症
Associated_Conditions,malt_lymphoma,MALT淋巴瘤,categorical,,,"Yes,No,Suspected",,,N,胃MALT淋巴瘤,Hp致癌
Associated_Conditions,functional_dyspepsia,功能性消化不良,categorical,,,"Yes,No",,,N,FD,Hp相关症状
Associated_Conditions,ida,不明原因缺铁性贫血,categorical,,,"Yes,No",,,N,IDA,Hp关联
Associated_Conditions,itp,免疫性血小板减少,categorical,,,"Yes,No",,,N,ITP,Hp相关

Risk_Factors,family_history_gc,胃癌家族史,categorical,,,"First_Degree,Second_Degree,None",,,N,胃癌家族史,高危因素
Risk_Factors,smoking,吸烟,categorical,,,"Current,Former,Never",,,N,吸烟状态,环境因素
Risk_Factors,alcohol,饮酒,categorical,,,"Heavy,Moderate,Light,None",,,N,饮酒,危险因素
Risk_Factors,nsaid_use,NSAID使用,categorical,,,"Regular,Occasional,None",,,N,非甾体药,溃疡风险
Risk_Factors,aspirin_use,阿司匹林,categorical,,,"Yes,No",,,N,阿司匹林,出血风险

Geographic,country_of_origin,来源国家,categorical,,,"China,Japan,Korea,Western,Developing,Other",,,N,出生地,菌株差异
Geographic,endemic_area,高流行区,categorical,,,"Yes,No,Unknown",,,N,Hp高发地区,感染风险

Follow_Up,follow_up_plan,随访计划,categorical,,,"Post_Eradication_Test,Repeat_Eradication,Endoscopy_Surveillance,Symptom_Monitoring,None",,,N,随访安排,管理策略
Follow_Up,surveillance_interval,监测间隔,categorical,,,"6_Months,1_Year,2_Years,3_Years,No_Surveillance",,,N,复查频率,癌前病变监测

Prognosis,gastric_cancer_risk,胃癌风险,categorical,,,"High,Intermediate,Low,Unknown",,,N,胃癌风险分层,OLGA/OLGIM
Prognosis,ulcer_recurrence_risk,溃疡复发风险,categorical,,,"High,Low,Unknown",,,N,PUD复发风险,根除降低
