fieldName,displayName,dataType,description,exampleValue
clinical.colonoscopy,临床表现.肠镜表现,String,"结肠镜下肿瘤表现。<br>**早期结直肠癌**:<br>- 0-Ip型(有蒂息肉样): 5-10%<br>- 0-Is型(无蒂息肉样): 10-15%<br>- 0-IIa型(平坦隆起): 5-10%<br>- 0-IIb型(完全平坦): <5%,易漏诊<br>- 0-IIc型(平坦凹陷): 10-15%<br>- 0-III型(凹陷溃疡): 15-20%<br>**进展期结直肠癌**:<br>- Borrmann I型(隆起型): 10-15%<br>- Borrmann II型(溃疡型,边界清): 25-30%<br>- Borrmann III型(浸润溃疡型,边界不清): 40-50%<br>- Borrmann IV型(弥漫浸润型): <5%<br>**特殊表现**: 环形狭窄(苹果核征,左半结肠多见)、菜花样肿块(右半结肠多见)<br>**建议值**: `0-Ip有蒂息肉`, `0-Is无蒂息肉`, `0-IIa平坦隆起`, `0-IIc平坦凹陷`, `0-III凹陷溃疡`, `Borrmann I型`, `Borrmann II型`, `Borrmann III型`, `环形狭窄(苹果核征)`, `菜花样肿块`<br>**临床意义**: 早期癌(0-I/II/III型)5年生存率>90%,进展期<60%;平坦型(0-IIb/IIc)易漏诊,需染色内镜(靛胭脂/NBI)协助",Borrmann II型溃疡
clinical.tumorMarkers.cea,临床表现.肿瘤标志物.CEA,Number,"癌胚抗原(ng/ml)。<br>**正常值**: <5 ng/ml<br>**阳性率**: 结直肠癌60-70%,与分期相关(I期30%,II期40%,III期60%,IV期75%)<br>**建议值**: <5为阴性,5-10为轻度升高,10-20为中度升高,>20为显著升高<br>**临床意义**: CEA是结直肠癌最重要的标志物,术前CEA>5 ng/ml提示预后差;术后CEA下降提示疗效好,持续升高/复升提示复发(敏感性80%,特异性70%);CEA>20 ng/ml常提示肝转移或广泛转移<br>**监测**: 术前基线+术后每3个月×2年,每6个月×3年",15.8
clinical.tumorMarkers.ca199,临床表现.肿瘤标志物.CA19-9,Number,"糖链抗原19-9(U/ml)。<br>**正常值**: <37 U/ml<br>**阳性率**: 结直肠癌30-40%,黏液腺癌升高率更高(50-60%)<br>**临床意义**: CA19-9在结直肠癌中阳性率低于胰腺癌/胆管癌,但联合CEA可提高检出率;CA19-9>100 U/ml常提示进展期或肝转移;Lewis血型阴性者(5-10%人群)即使有肿瘤CA19-9也不升高<br>**监测**: 与CEA联合监测,每3-6个月",45
clinical.tumorMarkers.ca724,临床表现.肿瘤标志物.CA72-4,Number,"糖链抗原72-4(U/ml)。<br>**正常值**: <6.9 U/ml<br>**阳性率**: 结直肠癌25-35%,黏液腺癌升高率较高<br>**临床意义**: CA72-4特异性较高(90%),CEA+CA19-9+CA72-4三项联合可提高检出率至80%;CA72-4升高提示预后差<br>**监测**: 与CEA联合监测",8.5
imaging.ct.findings,影像学.CT.主要发现,String,"增强CT主要发现。<br>**原发肿瘤**: 肠壁不规则增厚(>5mm)、肠腔狭窄、中度不均匀强化、周围脂肪间隙模糊(T3)、侵犯邻近器官(T4)<br>**淋巴结转移**: 短径>1cm或圆形、融合、坏死<br>**远处转移**: 肝转移(最常见,70%)、肺转移(20%)、腹膜转移(10%)、卵巢Krukenberg瘤<br>**示例**: `乙状结肠肿瘤4cm,肠壁增厚1.2cm,中度强化,周围脂肪间隙清晰,肠系膜淋巴结肿大(3枚,最大1.5cm)`<br>**临床意义**: CT评估T分期准确性75-85%,N分期65-75%,M分期(肝转移)90-95%;T4判断(侵犯膀胱/子宫/腹壁)准确性85%",乙状结肠肿瘤4cm,肠系膜淋巴结肿大
imaging.mri.rectal,影像学.MRI.直肠,String,"直肠MRI主要发现(仅直肠癌)。<br>**T分期**: mrT1-4,MRI对T分期准确性85-90%(优于CT)<br>**壁外血管侵犯(EMVI)**: 肿瘤侵犯肠壁外血管,mrEMVI阳性提示预后差<br>**环周切缘(mrCRM)**: 肿瘤距直肠系膜筋膜(MRF)距离<br>- mrCRM阴性: >1mm<br>- mrCRM阳性: ≤1mm,提示R1切除风险高,需新辅助放化疗<br>**淋巴结**: mrN0-2,MRI识别淋巴结转移准确性70-75%<br>**示例**: `mrT3,距MRF 3mm(mrCRM阴性),mrEMVI阴性,mrN1(2枚可疑淋巴结)`<br>**建议值**: `未做MRI(结肠癌)`, `mrT2 mrCRM阴性`, `mrT3 mrCRM阴性 mrEMVI阴性`, `mrT3 mrCRM阳性`, `mrT4a`<br>**临床意义**: 直肠MRI是术前分期金标准,mrCRM阳性是新辅助放化疗指征,mrEMVI阳性提示预后差、远处转移风险高",mrT3 mrCRM阴性 mrEMVI阴性
pathology.who.type,病理诊断.WHO分类.组织学类型,String,"WHO 2019消化系统肿瘤分类。<br>**腺癌(95%)**: 起源于肠腺上皮<br>- **普通腺癌**: 70-75%,高-中-低分化<br>- **黏液腺癌**: 10-15%,>50%黏液成分,预后差于普通腺癌<br>- **印戒细胞癌**: 1-2%,>50%印戒细胞,预后极差,多为dMMR<br>- **锯齿状腺癌**: 2-3%,与锯齿状息肉相关,常BRAF突变<br>- **微乳头状腺癌**: <1%,淋巴结转移率极高(>60%),预后差<br>- **髓样癌**: 3-5%,常MSI-H/dMMR,预后相对较好<br>- **筛状粉刺型腺癌**: <1%,预后差<br>**神经内分泌肿瘤(3-5%)**:<br>- 高分化神经内分泌瘤(NET G1/G2)<br>- 神经内分泌癌(NEC,高级别)<br>- 混合性神经内分泌-非神经内分泌瘤(MiNEN)<br>**鳞癌**: <1%,罕见<br>**腺鳞癌**: <1%<br>**未分化癌**: <1%<br>**建议值**: `普通腺癌`, `黏液腺癌(>50%黏液)`, `印戒细胞癌`, `锯齿状腺癌`, `微乳头状腺癌`, `髓样癌(MSI-H)`, `神经内分泌癌`, `混合性MiNEN`<br>**临床意义**: 普通腺癌预后最好,黏液腺癌/印戒细胞癌/微乳头状癌预后差;髓样癌虽病理凶险但常MSI-H,免疫治疗疗效好;印戒细胞癌5年生存率<20%",普通腺癌
pathology.grade,病理诊断.分化程度,String,"组织学分化程度。<br>**WHO/AJCC分级**:<br>- **G1(高分化)**: 腺体结构清晰,>95%腺体形成,核异型性轻,10-15%<br>- **G2(中分化)**: 腺体结构部分形成,50-95%腺体,核异型性中度,60-70%<br>- **G3(低分化)**: 实性片状,<50%腺体形成,核异型性重,15-20%<br>- **G4(未分化)**: 完全无腺体分化,<5%<br>**建议值**: `G1-高分化`, `G2-中分化`, `G3-低分化`, `G4-未分化`<br>**临床意义**: 分化程度是独立预后因素,G1-2 5年生存率60-70%,G3-4仅30-40%;G3-4淋巴结转移率(50-60%)显著高于G1-2(30%);低分化腺癌需鉴别是否MSI-H(低分化但预后好)",G2-中分化
pathology.invasionDepth.pT,病理诊断.浸润深度.pT分期,String,"病理T分期(AJCC第8版)。<br>**肠壁层次**(由内至外): 黏膜上皮→固有层→黏膜肌层→黏膜下层→固有肌层→浆膜下层→浆膜(仅结肠有浆膜,直肠无浆膜)<br>**pTis**: 高级别上皮内瘤变(HGIN)/原位癌,未突破黏膜肌层<br>**pT1**: 侵犯黏膜下层,淋巴结转移率8-12%<br>- **pT1a**: 侵犯黏膜下层上1/3(SM1),淋巴结转移率<3%,可内镜治疗<br>- **pT1b**: 侵犯黏膜下层中1/3(SM2),淋巴结转移率5-8%<br>- **pT1c**: 侵犯黏膜下层下1/3(SM3),淋巴结转移率10-15%,需手术<br>**pT2**: 侵犯固有肌层,淋巴结转移率15-20%<br>**pT3**: 穿透固有肌层至浆膜下层或无腹膜覆盖的结直肠周围组织,淋巴结转移率30-40%<br>**pT4**: 穿透脏层腹膜或侵犯邻近器官<br>- **pT4a**: 穿透脏层腹膜(结肠),淋巴结转移率40-50%<br>- **pT4b**: 侵犯邻近器官(膀胱/子宫/小肠/腹壁等),淋巴结转移率50-60%<br>**建议值**: `pTis`, `pT1a(SM1)`, `pT1b(SM2)`, `pT1c(SM3)`, `pT2`, `pT3`, `pT4a`, `pT4b`<br>**临床意义**: pT1a淋巴结转移率<3%,无高危因素可单纯内镜治疗;pT1b-c需评估高危因素(低分化/脉管侵犯/SM浸润深度>1000μm/出芽高级别),有高危因素需追加手术;pT3浸润深度(<5mm vs >5mm)影响预后",pT3
pathology.tumorDeposit,病理诊断.肿瘤结节,String,"肿瘤结节(Tumor Deposit,TD)。<br>**定义**: 结直肠周围脂肪组织内孤立的肿瘤结节,无淋巴结结构(无淋巴窦或淋巴滤泡),直径通常>3mm,且不能归类为淋巴结转移或脉管侵犯<br>**AJCC第8版处理**: TD阴性时按pN分期;TD阳性且pN0时记为pN1c;TD阳性且pN+时不影响N分期,但记录TD数目作为预后参考<br>**建议值**: `无肿瘤结节`, `1-2个肿瘤结节`, `3-5个肿瘤结节`, `>5个肿瘤结节`<br>**临床意义**: TD是强烈的独立不良预后因素,TD阳性5年生存率比阴性低20-30%;TD数目越多预后越差,>5个TD 5年生存率<30%;TD阳性提示远处转移风险高",无肿瘤结节
pathology.lymphovascularInvasion,病理诊断.脉管侵犯,String,"淋巴管/血管侵犯(LVI)。<br>**定义**: 镜下见肿瘤细胞位于淋巴管腔或血管腔内<br>**检出率**: 结直肠癌25-35%,与T分期相关,pT1 10-15%,pT2-3 30-40%<br>**建议值**: `未见脉管侵犯`, `淋巴管侵犯(L1)`, `静脉侵犯(V1)`, `淋巴管+静脉侵犯(L1V1)`, `壁外血管侵犯(EMVI)`<br>**临床意义**: LVI是强烈的独立不良预后因素,LVI阳性患者淋巴结转移率增加2-3倍,5年生存率下降15-20%;pT1 LVI+淋巴结转移率从<3%升至15-20%,是追加手术的指征;EMVI(壁外血管侵犯)提示远处转移风险极高",淋巴管侵犯(L1)
pathology.neuralInvasion,病理诊断.神经侵犯,String,"神经周围侵犯(PNI)。<br>**定义**: 肿瘤细胞围绕或侵犯神经束<br>**检出率**: 结直肠癌15-25%,直肠癌高于结肠癌(20-30% vs 10-15%)<br>**建议值**: `未见神经侵犯`, `有神经侵犯(Pn1)`<br>**临床意义**: PNI是独立不良预后因素,提示局部侵袭性强、局部复发率高;直肠癌PNI阳性局部复发率从10%升至25-30%",有神经侵犯(Pn1)
pathology.tumorBudding,病理诊断.肿瘤出芽,String,"肿瘤出芽(Tumor Budding)。<br>**定义**: 肿瘤浸润前沿单个或<5个癌细胞簇,是上皮间质转化(EMT)标志<br>**ITBCC分级**(International Tumor Budding Consensus Conference):<br>- **Bd1(低级别)**: 0-4个出芽灶/0.785mm²视野<br>- **Bd2(中级别)**: 5-9个出芽灶<br>- **Bd3(高级别)**: ≥10个出芽灶<br>**检出率**: 60-70%结直肠癌有肿瘤出芽,Bd3占20-30%<br>**建议值**: `Bd1(低级别,0-4个)`, `Bd2(中级别,5-9个)`, `Bd3(高级别,≥10个)`, `未评估`<br>**临床意义**: 肿瘤出芽是强烈的独立预后因素,Bd3患者淋巴结转移率是Bd1的2倍,5年生存率低20-30%;Bd3是pT1期追加手术的指征之一;肿瘤出芽与EMT相关,提示侵袭转移能力强",Bd2(中级别,7个/视野)
ihc.cdx2,免疫组化.CDX2,String,"CDX2同源盒蛋白(肠特异性转录因子)。<br>**表达模式**: 核阳性<br>**结直肠腺癌**: 95%阳性,弥漫强阳性<br>**其他肿瘤**: 胃肠道肿瘤可阳性,非胃肠道肿瘤阴性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: CDX2是结直肠癌最特异的标志物,阳性提示肠源性肿瘤;CDX2阴性(<5%)提示预后差,常见于低分化癌/印戒细胞癌/MSI-H肿瘤;CDX2用于鉴别原发vs转移性结直肠癌",弥漫阳性(90%肿瘤细胞)
ihc.ck20,免疫组化.CK20,String,"细胞角蛋白20。<br>**表达模式**: 胞浆阳性<br>**结直肠腺癌**: 85-95%阳性<br>**经典模式**: CK7-/CK20+,提示结直肠癌<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: CK20是胃肠道上皮标志物,与CK7联合可鉴别肿瘤来源;CK7-/CK20+提示结直肠癌,CK7+/CK20+提示胃癌/胰胆管癌,CK7+/CK20-提示肺癌/乳腺癌/妇科肿瘤",弥漫阳性(85%肿瘤细胞)
ihc.ck7,免疫组化.CK7,String,"细胞角蛋白7。<br>**表达模式**: 胞浆阳性<br>**结直肠腺癌**: 5-15%阳性(多为局灶)<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: 结直肠癌通常CK7阴性,CK7+提示非典型(可能为黏液腺癌/印戒细胞癌/转移癌);CK7弥漫阳性需考虑原发性非结直肠肿瘤",阴性
ihc.satb2,免疫组化.SATB2,String,"SATB2核蛋白(下消化道特异性转录因子)。<br>**表达模式**: 核阳性<br>**结直肠腺癌**: 90-95%阳性,比CDX2更特异<br>**上消化道肿瘤**: 胃癌/食管癌阴性<br>**建议值**: `阴性`, `弱阳性(1+)`, `中度阳性(2+)`, `强阳性(3+)`<br>**临床意义**: SATB2是下消化道(结直肠/阑尾)最特异标志物,特异性>CDX2;SATB2+/CDX2+高度提示结直肠癌;SATB2阴性多见于低分化癌/印戒细胞癌",强阳性(3+,85%肿瘤细胞)
ihc.ki67,免疫组化.Ki-67,Number,"Ki-67增殖指数(%)。<br>**判断标准**:<br>- 低增殖: <20%<br>- 中度增殖: 20-60%<br>- 高增殖: >60%<br>**临床意义**: Ki-67与肿瘤分级相关,>60%提示高度恶性;神经内分泌癌Ki-67>55%为高级别NEC;Ki-67可用于评估化疗疗效",50
ihc.mmr.mlh1,免疫组化.MMR蛋白.MLH1,String,"MLH1错配修复蛋白。<br>**表达模式**: 核阳性<br>**建议值**: `表达正常(核阳性)`, `表达缺失(核阴性)`<br>**缺失率**: 结直肠癌MLH1缺失占dMMR的60%,常伴PMS2缺失<br>**临床意义**: MLH1缺失常见于散发性MSI-H结直肠癌(MLH1启动子甲基化导致),或Lynch综合征(MLH1胚系突变);MLH1缺失需进一步检测BRAF V600E和MLH1甲基化:BRAF V600E+或MLH1甲基化+提示散发性,两者均阴性提示Lynch综合征",表达正常(核阳性)
ihc.mmr.msh2,免疫组化.MMR蛋白.MSH2,String,"MSH2错配修复蛋白。<br>**建议值**: `表达正常(核阳性)`, `表达缺失(核阴性)`<br>**缺失率**: MSH2缺失占dMMR的25%,常伴MSH6缺失<br>**临床意义**: MSH2缺失高度提示Lynch综合征(MSH2胚系突变),罕见散发性;MSH2缺失患者需遗传咨询和胚系基因检测",表达正常(核阳性)
ihc.mmr.msh6,免疫组化.MMR蛋白.MSH6,String,"MSH6错配修复蛋白。<br>**建议值**: `表达正常(核阳性)`, `表达缺失(核阴性)`<br>**缺失率**: MSH6缺失占dMMR的10%,可单独缺失或伴MSH2缺失<br>**临床意义**: MSH6单独缺失提示Lynch综合征(MSH6胚系突变);MSH6缺失的Lynch综合征患者发病年龄较晚,肿瘤侵袭性较低",表达正常(核阳性)
ihc.mmr.pms2,免疫组化.MMR蛋白.PMS2,String,"PMS2错配修复蛋白。<br>**建议值**: `表达正常(核阳性)`, `表达缺失(核阴性)`<br>**缺失率**: PMS2缺失占dMMR的5%,可单独缺失或伴MLH1缺失<br>**临床意义**: PMS2常伴MLH1同时缺失(MLH1-PMS2二聚体);PMS2单独缺失罕见,提示Lynch综合征(PMS2胚系突变)",表达正常(核阳性)
molecular.msi.status,分子标记.MSI.状态,String,"微卫星不稳定性(Microsatellite Instability)状态。<br>**检测方法**: PCR检测5-7个微卫星位点或IHC检测MMR蛋白<br>**判读**:<br>- **MSS(微卫星稳定)**: 0个位点不稳定,MMR蛋白表达正常(pMMR)<br>- **MSI-L(低度不稳定)**: <30%位点不稳定<br>- **MSI-H(高度不稳定)**: ≥30%位点不稳定(通常≥2/5位点),或任一MMR蛋白缺失(dMMR)<br>**建议值**: `MSS/pMMR`, `MSI-L`, `MSI-H/dMMR`<br>**阳性率**: 结直肠癌MSI-H占15%(II期结肠癌20%,III-IV期10%);散发性MSI-H占80%(MLH1甲基化),Lynch综合征占20%<br>**临床意义**: MSI-H是最重要的分子标志物,影响预后和治疗选择;II-III期MSI-H预后好于MSS,但不从氟尿嘧啶单药辅助化疗获益;MSI-H/dMMR是免疫治疗强适应症,帕博利珠单抗ORR 30-40%,PFS>16月;MSI-H需鉴别散发vs Lynch综合征",MSS/pMMR
molecular.msi.mechanism,分子标记.MSI.机制,String,"MSI-H/dMMR机制。<br>**散发性MSI-H**(80%):<br>- MLH1启动子甲基化导致MLH1表达缺失<br>- 常伴BRAF V600E突变(60-70%)<br>- 发病年龄较晚(>60岁),右半结肠多见<br>**Lynch综合征**(20%):<br>- MMR基因胚系突变(MLH1/MSH2/MSH6/PMS2)<br>- BRAF V600E阴性,MLH1甲基化阴性<br>- 发病年龄早(<50岁),右半结肠多见,家族史阳性<br>**建议值**: `MSS`, `散发性MSI-H(MLH1甲基化)`, `散发性MSI-H(BRAF V600E+)`, `Lynch综合征可能(需胚系检测)`<br>**临床意义**: 区分散发vs Lynch综合征至关重要,Lynch综合征患者需遗传咨询、家系筛查、预防性手术;散发性MSI-H患者预后好,但BRAF V600E+者预后差",MSS
molecular.kras.status,分子标记.KRAS.状态,String,"KRAS基因突变状态。<br>**建议值**: `野生型`, `突变型`<br>**突变率**: 结直肠癌40-45%<br>**临床意义**: KRAS是结直肠癌最常见驱动基因;KRAS突变是抗EGFR治疗(西妥昔单抗/帕尼单抗)的绝对禁忌,突变患者ORR<5%;仅RAS野生型患者可用抗EGFR治疗",突变型
molecular.kras.mutation,分子标记.KRAS.突变类型,String,"KRAS具体突变位点。<br>**常见突变**:<br>- **外显子2(密码子12/13,80%)**: G12D(35%)、G12V(20%)、G12C(3%)、G12A(5%)、G13D(15%)<br>- **外显子3(密码子61,5%)**: Q61H/Q61L<br>- **外显子4(密码子117/146,<3%)**: K117N/A146T<br>**建议值**: `野生型`, `G12D`, `G12V`, `G12C`, `G12A`, `G12S`, `G13D`, `Q61H`, `Q61L`, `K117N`, `A146T`<br>**临床意义**: G12C突变占3%,可用KRAS G12C抑制剂(索托拉西布/阿达格拉西布,2023 FDA批准结直肠癌二线);G13D突变患者对西妥昔单抗可能有微弱反应(有争议),但总体仍不推荐抗EGFR治疗;外显子2 vs 外显子3/4突变预后相似",G12D
molecular.nras.status,分子标记.NRAS.状态,String,"NRAS基因突变状态。<br>**建议值**: `野生型`, `突变型`<br>**突变率**: 结直肠癌3-5%<br>**常见突变**: Q61K/Q61H/Q61L(外显子3),G12D/G13R(外显子2)<br>**临床意义**: NRAS突变也是抗EGFR治疗的绝对禁忌;NRAS与KRAS突变互斥;KRAS+NRAS=RAS,RAS突变率45-50%",野生型
molecular.braf.status,分子标记.BRAF.状态,String,"BRAF基因突变状态。<br>**建议值**: `野生型`, `BRAF V600E突变`, `BRAF非V600E突变`<br>**突变率**: 结直肠癌8-10%,95%为V600E突变<br>**临床意义**: BRAF V600E是强烈的不良预后因素,IV期中位OS仅10-12月 vs BRAF野生型30月;BRAF V600E常与MSI-H共存(60-70%BRAF V600E突变为MSI-H,主要为散发性MLH1甲基化);BRAF V600E+MSS预后最差,中位OS<10月",BRAF V600E突变
molecular.braf.msiStatus,分子标记.BRAF.MSI共存,String,"BRAF V600E与MSI状态。<br>**BRAF V600E+MSI-H**(60-70% BRAF突变): 散发性MSI-H(MLH1甲基化),预后中等,免疫治疗敏感<br>**BRAF V600E+MSS**(30-40% BRAF突变): 预后极差,中位OS<10月,对化疗抵抗<br>**建议值**: `BRAF野生型`, `BRAF V600E+MSI-H`, `BRAF V600E+MSS`<br>**临床意义**: BRAF V600E+MSS是最差预后组合,需强化治疗;BRAF V600E+MSI-H预后优于BRAF V600E+MSS,免疫治疗疗效好;BRAF V600E阳性可用BRAF抑制剂联合治疗(依西美替尼+西妥昔单抗+康奈非尼,BEACON研究ORR 26%,OS 9.3月)",BRAF V600E+MSS
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(AJCC第8版)。<br>**与上述pT分期一致**<br>**建议值**: `pTis`, `pT1a`, `pT1b`, `pT1c`, `pT2`, `pT3`, `pT4a`, `pT4b`",pT3
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(AJCC第8版)。<br>**pN0**: 0枚区域淋巴结转移<br>**pN1**: 1-3枚淋巴结转移<br>- **pN1a**: 1枚淋巴结转移<br>- **pN1b**: 2-3枚淋巴结转移<br>- **pN1c**: 0枚淋巴结转移,但有肿瘤结节(TD+)<br>**pN2**: ≥4枚淋巴结转移<br>- **pN2a**: 4-6枚淋巴结转移<br>- **pN2b**: ≥7枚淋巴结转移<br>**建议值**: `pN0`, `pN1a(1枚)`, `pN1b(2-3枚)`, `pN1c(TD+,pN0)`, `pN2a(4-6枚)`, `pN2b(≥7枚)`<br>**临床意义**: pN1c虽然淋巴结阴性但因TD+归为III期;淋巴结阳性数目是最重要的预后因素,pN2 5年生存率(40-50%)显著低于pN1(60-70%);需检出至少12枚淋巴结才能准确分期",pN1b(3枚阳性/15枚检出)
staging.tnm.pM,分期.TNM.病理M分期,String,"病理M分期(AJCC第8版)。<br>**pM0**: 无远处转移<br>**pM1**: 有远处转移<br>- **pM1a**: 单器官转移(肝/肺/卵巢/非区域淋巴结),无腹膜转移<br>- **pM1b**: 多器官转移,无腹膜转移<br>- **pM1c**: 腹膜转移(±其他器官)<br>**建议值**: `pM0`, `pM1a-肝转移`, `pM1a-肺转移`, `pM1a-卵巢转移`, `pM1b-肝肺转移`, `pM1c-腹膜转移`<br>**临床意义**: pM1a 5年生存率15-20%,pM1b 5-10%,pM1c <5%;腹膜转移预后最差,中位OS 6-12月;单发肝/肺转移可手术切除,5年生存率30-40%",pM0
staging.stage,分期.AJCC分期,String,"AJCC第8版综合分期。<br>**I期**: T1-2N0M0,5年生存率90-95%<br>**IIA期**: T3N0M0,70-80%<br>**IIB期**: T4aN0M0,60-70%<br>**IIC期**: T4bN0M0,50-60%<br>**IIIA期**: T1-2N1a-b M0, T1N2a M0,80-85%<br>**IIIB期**: T3-4aN1 M0, T2-3N2a M0, T1-2N2b M0,65-75%<br>**IIIC期**: T4aN2 M0, T3-4aN2b M0, T4bN1-2 M0,40-60%<br>**IVA期**: pM1a,15-20%<br>**IVB期**: pM1b,5-10%<br>**IVC期**: pM1c,<5%<br>**建议值**: `0期(Tis)`, `I期`, `IIA期`, `IIB期`, `IIC期`, `IIIA期`, `IIIB期`, `IIIC期`, `IVA期`, `IVB期`, `IVC期`<br>**临床意义**: II期不是同质人群,IIC期预后差于IIIA期;NCCN指南推荐高危II期(IIC/T4a+高危因素)辅助化疗;III期均需辅助化疗",IIIB期
lymphNode.totalNumber,淋巴结.检出总数,Number,"检出淋巴结总数。<br>**AJCC要求**: 至少检出12枚淋巴结才能准确分期<br>**检出率**: 结肠癌平均检出15-20枚,直肠癌(新辅助放化疗后)平均8-12枚<br>**临床意义**: 检出淋巴结<12枚为分期不足,可能遗漏转移,导致分期偏低和治疗不足;检出淋巴结数目越多,分期越准确,预后越好(stage migration效应);新辅助放化疗后淋巴结检出减少,可适当放宽至≥8枚",15
lymphNode.positiveNumber,淋巴结.阳性数目,Number,"转移淋巴结数目。<br>**临床意义**: 阳性淋巴结数目是最重要的预后因素,1枚 vs 4枚 vs 7枚对应pN1a vs pN2a vs pN2b,5年生存率从75%降至65%再降至45%;阳性淋巴结比率(LNR,阳性数/检出数)也是独立预后因素,LNR>0.3预后显著差",3
