Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,心律失常确诊日期,诊断时间点
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关心律失常
AV_Block,pr_interval,PR间期,integer,ms,80-600,8625-6,,N,PR间期,一度AVB>200ms
AV_Block,av_block_level,阻滞部位,categorical,,,"AV_Node,Infranodal,Unknown,NA",,,N,阻滞定位,预后不同
AV_Block,intermittent_block,间歇性阻滞,categorical,,,"Yes,No,NA",,,N,是否间歇出现,Mobitz II特征
AV_Block,av_dissociation,房室分离,categorical,,,"Yes,No,NA",,,N,完全性房室分离,三度AVB

Inherited_Arrhythmia,wpw_syndrome,WPW综合征,categorical,,,"Yes,No,Suspected",,,N,预激综合征,房室旁路
Inherited_Arrhythmia,accessory_pathway_location,旁路位置,categorical,,,"Left_Free_Wall,Septal,Right_Free_Wall,Multiple,Unknown,NA",,,N,旁路部位,消融靶点
Inherited_Arrhythmia,delta_wave,Delta波,categorical,,,"Present,Absent,Intermittent,NA",,,N,预激波,WPW特征
Inherited_Arrhythmia,shortest_rr_af,房颤最短RR,integer,ms,100-500,,,N,房颤时旁路最短RR,猝死风险<250ms
Inherited_Arrhythmia,long_qt_syndrome,长QT综合征,categorical,,,"Yes,No,Suspected",,,N,LQTS,Torsades风险
Inherited_Arrhythmia,qtc_interval,校正QT间期,integer,ms,300-700,8634-8,,N,QTc,男>450女>470异常
Inherited_Arrhythmia,lqts_type,LQTS类型,categorical,,,"LQT1,LQT2,LQT3,Other,Unknown,NA",,,N,基因型,触发因素不同
Inherited_Arrhythmia,brugada_syndrome,Brugada综合征,categorical,,,"Yes,No,Suspected",,,N,Brugada综合征,SCD风险
Inherited_Arrhythmia,brugada_pattern,Brugada波形,categorical,,,"Type_1,Type_2,Type_3,None,NA",,,N,ECG分型,I型高危
Inherited_Arrhythmia,cpvt,儿茶酚胺多形性室速,categorical,,,"Yes,No,Suspected",,,N,CPVT,运动诱发
Inherited_Arrhythmia,arvc,致心律失常右室心肌病,categorical,,,"Yes,No,Suspected",,,N,ARVC,结构性基础

ECG,baseline_rhythm,基础心律,categorical,,,"Sinus,AF,Flutter,Junctional,Paced,Other",,,Y,基线心律,心电图
ECG,heart_rate,心率,integer,bpm,20-300,8867-4,,N,心电图心率,基线
ECG,qrs_duration,QRS时限,integer,ms,40-300,8633-0,,N,QRS宽度,<120ms正常
ECG,wide_qrs,宽QRS,categorical,,,"Yes,No",,,N,QRS≥120ms,室性/束支阻滞
ECG,bundle_branch_block,束支传导阻滞,categorical,,,"RBBB,LBBB,IVCD,Bifascicular,Trifascicular,None",,,N,束支阻滞类型,传导系统
ECG,lv_hypertrophy,左室肥厚,categorical,,,"Present,Absent",,,N,心电图LVH,结构性改变
ECG,st_t_changes,ST-T改变,categorical,,,"Yes,No",,,N,ST-T异常,缺血/复极
ECG,u_wave,U波,categorical,,,"Prominent,Normal,Absent",,,N,显著U波,低钾/长QT

Holter_Monitor,holter_performed,动态心电图,categorical,,,"24_Hour,48_Hour,72_Hour,7_Day,14_Day,30_Day,Not_Done",,,N,Holter监测时长,负荷检测
Holter_Monitor,holter_date,Holter日期,date,,,,,N,动态心电图时间,检查时间
Holter_Monitor,total_beats,总心搏数,integer,,50000-300000,,,N,记录总心搏,基数
Holter_Monitor,average_hr,平均心率,integer,bpm,30-150,,,N,24小时平均心率,整体评估
Holter_Monitor,max_hr,最高心率,integer,bpm,50-250,,,N,最高心率,活动时
Holter_Monitor,min_hr,最低心率,integer,bpm,20-100,,,N,最低心率,夜间
Holter_Monitor,pac_count,房早总数,integer,,0-100000,,,N,房性早搏数,房性负荷
Holter_Monitor,pvc_count,室早总数,integer,,0-100000,,,N,室性早搏数,室性负荷
Holter_Monitor,pvc_percentage,室早百分比,decimal,%,0-100,,,N,PVC占比,>10%显著
Holter_Monitor,af_episodes,房颤发作次数,integer,,0-1000,,,N,AF阵发次数,阵发性AF
Holter_Monitor,af_total_duration,房颤总时长,integer,minutes,0-1440,,,N,AF累计时长,负荷评估
Holter_Monitor,svt_episodes,室上速发作,integer,,0-100,,,N,SVT次数,症状相关
Holter_Monitor,vt_episodes,室速发作,integer,,0-100,,,N,VT次数,危险评估
Holter_Monitor,hrv,心率变异性,categorical,,,"Normal,Reduced,Severely_Reduced,Unknown",,,N,HRV,自主神经/预后

Event_Monitor,event_recorder,事件记录器,categorical,,,"Loop_Recorder,External_Event_Monitor,Not_Used",,,N,事件记录类型,间歇症状
Event_Monitor,implantable_loop_recorder,植入式记录器,categorical,,,"Yes,No",,,N,ILR,不明原因晕厥
Event_Monitor,symptom_rhythm_correlation,症状-心律相关,categorical,,,"Positive,Negative,Unknown,NA",,,N,症状与心律失常相关性,诊断关键

EP_Study,eps_performed,电生理检查,categorical,,,"Yes,No,Planned",,,N,是否EPS,有创检查
EP_Study,eps_date,EPS日期,date,,,,,N,电生理检查时间,检查时间点
EP_Study,inducible_arrhythmia,可诱发心律失常,categorical,,,"Yes,No,NA",,,N,程序刺激诱发,机制确定
EP_Study,induced_arrhythmia_type,诱发类型,categorical,,,"SVT,VT,VF,AF,Flutter,None,NA",,,N,诱发心律失常,消融靶点
EP_Study,ah_interval,AH间期,integer,ms,40-200,,,N,AH时间,房室结传导
EP_Study,hv_interval,HV间期,integer,ms,30-100,,,N,HV时间,希浦系统
EP_Study,sinus_node_recovery_time,窦房结恢复时间,integer,ms,0-3000,,,N,SNRT,窦房结功能
EP_Study,av_node_erp,房室结ERP,integer,ms,150-500,,,N,AVN有效不应期,传导特性
EP_Study,accessory_pathway,旁路,categorical,,,"Confirmed,Absent,NA",,,N,证实旁路存在,WPW确诊

Ablation,ablation_performed,射频消融,categorical,,,"Yes,No,Planned,Failed",,,Y,是否消融治疗,根治性治疗
Ablation,ablation_date,消融日期,date,,,,,N,消融术时间,治疗时间点
Ablation,ablation_type,消融类型,categorical,,,"Radiofrequency,Cryoablation,Pulsed_Field,NA",,,N,消融能量,技术选择
Ablation,ablation_target,消融靶点,categorical,,,"Pulmonary_Vein_Isolation,CTI,AVNRT_Slow_Pathway,Accessory_Pathway,VT_Focus,AV_Node,Other,NA",,,N,消融部位,治疗目标
Ablation,pulmonary_vein_isolation,肺静脉隔离,categorical,,,"All_4_PVs,Partial,Not_Done,NA",,,N,PVI,房颤消融
Ablation,additional_lesions,附加消融线,categorical,,,"Linear_Lesions,CFAE,Rotors,None,NA",,,N,额外消融,复杂房颤
Ablation,ablation_success,消融成功,categorical,,,"Acute_Success,Failed,Partial,Unknown",,,N,即刻成功,术中评估
Ablation,ablation_complication,消融并发症,categorical,,,"Tamponade,Stroke,AV_Block,PV_Stenosis,Vascular,None,Other",,,N,消融相关并发症,安全性

Device_Therapy,device_implanted,植入器械,categorical,,,"Pacemaker,ICD,CRT_P,CRT_D,None",,,N,植入装置类型,器械治疗
Device_Therapy,pacemaker_type,起搏器类型,categorical,,,"Single_Chamber,Dual_Chamber,Leadless,Biventricular,NA",,,N,起搏器分类,起搏模式
Device_Therapy,pacing_indication,起搏指征,categorical,,,"Symptomatic_Bradycardia,High_Grade_AVB,SSS,Post_Ablation,Other,NA",,,N,起搏适应证,治疗原因
Device_Therapy,pacing_mode,起搏模式,categorical,,,"VVI,AAI,DDD,DDDR,CRT,NA",,,N,起搏方式,生理性起搏
Device_Therapy,pacing_percentage,起搏百分比,decimal,%,0-100,,,N,起搏比例,起搏依赖
Device_Therapy,icd_indication,ICD指征,categorical,,,"Secondary_Prevention,Primary_Prevention,NA",,,N,ICD适应证,一级/二级预防
Device_Therapy,icd_shock,ICD放电,categorical,,,"Appropriate,Inappropriate,None,NA",,,N,ICD电击,治疗有效性
Device_Therapy,crt_indication,CRT指征,categorical,,,"LVEF_35_LBBB_QRS_150,LVEF_35_QRS_120to149,Other,NA",,,N,CRT适应证,心衰起搏
Device_Therapy,crt_response,CRT反应,categorical,,,"Responder,Non_Responder,Unknown,NA",,,N,CRT有效性,LVEF改善

Antiarrhythmic_Drugs,antiarrhythmic_use,抗心律失常药,categorical,,,"Yes,No",,,N,是否用抗心律失常药,药物治疗
Antiarrhythmic_Drugs,aad_class,抗心律失常药分类,categorical,,,"Class_Ic,Class_II,Class_III,Class_IV,Multiple,None",,,N,Vaughan Williams分类,药物选择
Antiarrhythmic_Drugs,aad_specific,具体药物,categorical,,,"Flecainide,Propafenone,Amiodarone,Dronedarone,Sotalol,Dofetilide,Verapamil,Diltiazem,None,Other",,,N,抗心律失常药名称,药物种类
Antiarrhythmic_Drugs,beta_blocker,β受体阻滞剂,categorical,,,"Yes,No",,,N,是否用β阻滞剂,心率控制
Antiarrhythmic_Drugs,digoxin,地高辛,categorical,,,"Yes,No",,,N,是否用地高辛,心率控制
Antiarrhythmic_Drugs,aad_efficacy,药物疗效,categorical,,,"Effective,Partially_Effective,Ineffective,Unknown,NA",,,N,抗心律失常药效果,节律控制
Antiarrhythmic_Drugs,aad_side_effects,药物副作用,categorical,,,"Proarrhythmia,Bradycardia,QT_Prolongation,Thyroid,Pulmonary,None,Other",,,N,不良反应,安全性监测

Anticoagulation,anticoagulation,抗凝治疗,categorical,,,"Yes,No",,,N,是否抗凝,房颤卒中预防
Anticoagulation,anticoagulant_type,抗凝药类型,categorical,,,"Warfarin,Dabigatran,Rivaroxaban,Apixaban,Edoxaban,None,Other",,,N,抗凝药种类,NOACs vs VKA
Anticoagulation,inr,INR,decimal,,0-10,6301-6,,N,国际标准化比值,华法林监测
Anticoagulation,anticoagulation_compliance,抗凝依从性,categorical,,,"Good,Moderate,Poor,Unknown",,,N,服药依从性,卒中预防关键
Anticoagulation,bleeding_event,出血事件,categorical,,,"Major,Minor,None",,,N,抗凝出血并发症,安全性
Anticoagulation,laa_occlusion,左心耳封堵,categorical,,,"Yes,No,Planned",,,N,LAA封堵术,抗凝替代

Cardioversion,cardioversion_performed,电复律,categorical,,,"Yes,No,NA",,,N,是否电复律,节律控制
Cardioversion,cardioversion_type,复律类型,categorical,,,"Elective_DC,Emergent_DC,Pharmacological,NA",,,N,复律方式,紧急/择期
Cardioversion,cardioversion_success,复律成功,categorical,,,"Yes,No,NA",,,N,是否转复窦律,即刻效果
Cardioversion,recurrence_post_cv,复律后复发,categorical,,,"Yes,No,Unknown,NA",,,N,复律后复发,维持窦律

Underlying_Disease,coronary_artery_disease,冠心病,categorical,,,"Yes,No,Unknown",,,N,是否冠心病,结构性心脏病
Underlying_Disease,hypertension,高血压,categorical,,,"Yes,No",,,N,是否高血压,危险因素
Underlying_Disease,diabetes,糖尿病,categorical,,,"Yes,No",,,N,是否糖尿病,危险因素
Underlying_Disease,heart_failure,心力衰竭,categorical,,,"Yes,No",,,N,是否心衰,预后影响
Underlying_Disease,valvular_disease,瓣膜病,categorical,,,"Mitral_Stenosis,Mitral_Regurgitation,Aortic,Tricuspid,None,Other",,,N,瓣膜疾病,房颤病因
Underlying_Disease,cardiomyopathy,心肌病,categorical,,,"Dilated,Hypertrophic,Restrictive,ARVC,None,Other",,,N,心肌病类型,VT基质
Underlying_Disease,thyroid_disease,甲状腺疾病,categorical,,,"Hyperthyroidism,Hypothyroidism,None",,,N,甲状腺功能,继发性AF
Underlying_Disease,sleep_apnea,睡眠呼吸暂停,categorical,,,"Yes,No,Unknown",,,N,OSA,房颤危险因素
Underlying_Disease,copd,慢性阻塞性肺病,categorical,,,"Yes,No",,,N,COPD,房性心律失常
Underlying_Disease,ckd,慢性肾病,categorical,,,"Yes,No",,,N,CKD,药物调整

Imaging_Echo,lvef,左室射血分数,decimal,%,0-100,10230-1,,N,LVEF,心功能核心
Imaging_Echo,left_atrial_size,左房大小,decimal,mm,20-80,,,N,左房内径,房颤基质
Imaging_Echo,left_atrial_volume,左房容积,decimal,mL,0-200,18084-6,,N,左房容量,LAVi>34异常
Imaging_Echo,lv_hypertrophy_echo,左室肥厚,categorical,,,"Yes,No",,,N,超声LVH,HCM风险
Imaging_Echo,rv_function,右室功能,categorical,,,"Normal,Mild_Dysfunction,Moderate_Dysfunction,Severe_Dysfunction",,,N,RV功能,ARVC/肺动脉高压
Imaging_Echo,lv_thrombus,左室血栓,categorical,,,"Yes,No,Suspected",,,N,左室血栓,栓塞源

Symptoms,palpitations,心悸,categorical,,,"Frequent,Occasional,Rare,None",,,N,心悸程度,症状表现
Symptoms,syncope,晕厥,categorical,,,"Yes,No",,,N,是否晕厥,高危症状
Symptoms,presyncope,先兆晕厥,categorical,,,"Yes,No",,,N,黑矇/头晕,血流动力学
Symptoms,dyspnea,呼吸困难,categorical,,,"NYHA_IV,NYHA_III,NYHA_II,NYHA_I,None",,,N,气促程度,心功能相关
Symptoms,chest_pain,胸痛,categorical,,,"Yes,No",,,N,是否胸痛,缺血症状
Symptoms,fatigue,乏力,categorical,,,"Severe,Moderate,Mild,None",,,N,疲劳程度,生活质量

Complications,stroke_tia,卒中/TIA,categorical,,,"Ischemic_Stroke,TIA,Hemorrhagic_Stroke,None",,,N,脑血管事件,栓塞并发症
Complications,systemic_embolism,系统性栓塞,categorical,,,"Yes,No",,,N,非CNS栓塞,外周栓塞
Complications,tachycardia_cardiomyopathy,心动过速心肌病,categorical,,,"Yes,No,Suspected",,,N,心律失常性心肌病,高负荷结果
Complications,sudden_cardiac_death_risk,猝死风险,categorical,,,"High,Intermediate,Low",,,N,SCD风险分层,ICD指征

Treatment_Strategy,rhythm_control,节律控制,categorical,,,"Yes,No",,,N,节律控制策略,维持窦律
Treatment_Strategy,rate_control,心室率控制,categorical,,,"Yes,No",,,N,心室率控制策略,AF管理
Treatment_Strategy,rate_control_target,心率控制目标,categorical,,,"Strict_80,Lenient_110,Individualized,NA",,,N,目标心率,房颤心率管理
Treatment_Strategy,pill_in_pocket,口袋药,categorical,,,"Yes,No,NA",,,N,备用药物自行复律,阵发性AF

Prognosis,recurrence,心律失常复发,categorical,,,"Yes,No,Unknown",,,N,是否复发,长期效果
Prognosis,time_to_recurrence,复发时间,integer,months,0-240,,,N,治疗到复发月数,疗效持续性
Prognosis,qol_score,生活质量评分,integer,,0-100,,,N,QOL评分,症状负担
Prognosis,mortality_risk,死亡风险,categorical,,,"High,Intermediate,Low,Unknown",,,N,死亡风险分层,预后评估
