fieldName,displayName,dataType,description,exampleValue
pathology.who.type,病理诊断.WHO分类.组织学类型,String,"WHO 2020女性生殖系统肿瘤分类。<br>**上皮性肿瘤(85-90%)**:<br>- **高级别浆液性癌(HGSC)**: 70%上皮性卵巢癌,起源于输卵管伞端,TP53突变>96%,BRCA1/2突变20%,预后中等(5年生存率40-45%)<br>- **低级别浆液性癌(LGSC)**: 5%,起源于良性浆液性囊腺瘤-交界性肿瘤-LGSC序列,KRAS/BRAF突变常见,预后好(5年生存率70-80%),但化疗不敏感<br>- **黏液性癌(MC)**: 3-5%,起源于良性黏液性囊腺瘤,KRAS突变70%,单侧巨大囊性肿块,预后好(5年生存率60-70%),但需除外转移性黏液癌(胃肠道、阑尾、胰腺)<br>- **子宫内膜样癌(EC)**: 10%,与子宫内膜异位症相关(30%),ARID1A/PIK3CA/PTEN突变,常合并子宫内膜癌(15-20%),预后较好(5年生存率60-70%)<br>- **透明细胞癌(CCC)**: 5-10%,与子宫内膜异位症相关(50%),ARID1A突变50%,PIK3CA突变40%,预后差(5年生存率50-60%),化疗耐药<br>**性索间质肿瘤(5-8%)**:<br>- **颗粒细胞瘤**: 分泌雌激素,成人型和幼年型,FOXL2 C134W突变(成人型95%),预后好但易晚期复发<br>- **卵泡膜细胞瘤**: 分泌雌激素,几乎全为良性<br>- **Sertoli-Leydig细胞瘤**: 分泌雄激素,男性化表现<br>**生殖细胞肿瘤(3-5%)**:<br>- **无性细胞瘤**: 最常见,预后好,化疗敏感<br>- **未成熟畸胎瘤**: 含未成熟神经组织,分级G1-3,预后与分级相关<br>- **卵黄囊瘤**: AFP显著升高,预后中等,化疗敏感<br>- **胚胎性癌/绒毛膜癌**: 罕见,预后差<br>**建议值**: `高级别浆液性癌(HGSC)`, `低级别浆液性癌(LGSC)`, `黏液性癌`, `子宫内膜样癌`, `透明细胞癌`, `癌肉瘤`, `颗粒细胞瘤`, `无性细胞瘤`, `未成熟畸胎瘤`, `卵黄囊瘤`<br>**临床意义**: 组织学类型是最重要的预后因素,HGSC占70%,预后中等但化疗敏感;透明细胞癌预后差且化疗耐药;LGSC化疗不敏感但预后较好;黏液性癌需除外转移性(免疫组化CK7+/CK20-提示原发,CK7+/CK20+提示转移)",高级别浆液性癌(HGSC)
pathology.grade,病理诊断.分化程度,String,"组织学分级(仅适用于浆液性癌、子宫内膜样癌、黏液性癌)。<br>**分级系统**(基于核异型性、有丝分裂象、结构分化):<br>- **G1(低级别)**: 高分化,核异型性轻,有丝分裂象<10/10HPF,腺体结构为主,5-10%<br>- **G2(中级别)**: 中分化,核异型性中度,有丝分裂象10-24/10HPF,10-15%<br>- **G3(高级别)**: 低分化,核异型性重,有丝分裂象≥25/10HPF,实性/乳头状结构为主,75-80%<br>**注意**: HGSC全部为G3高级别,LGSC全部为G1低级别;透明细胞癌不分级(全部视为高级别)<br>**建议值**: `G1-低级别`, `G2-中级别`, `G3-高级别`, `不适用(HGSC全部G3)`, `不适用(透明细胞癌不分级)`<br>**临床意义**: 分级是重要的预后因素,G3 5年生存率40-50%,G1-2 70-80%;但在HGSC中分级意义不大,因全部为G3;组织学类型比分级更重要",G3-高级别
pathology.invasion,病理诊断.浸润情况,String,"肿瘤浸润范围。<br>**卵巢包膜侵犯**: 肿瘤突破卵巢包膜,提示至少IA期<br>**表面种植**: 肿瘤细胞种植于卵巢表面,提示至少IC期<br>**卵巢外播散**:<br>- 输卵管浆膜侵犯: IIB期<br>- 子宫浆膜侵犯: IIB期<br>- 盆腔腹膜播散: IIIA期<br>- 腹腔腹膜播散: IIIB期<br>- 大网膜播散: IIIB期<br>**建议值**: `局限卵巢内`, `包膜侵犯`, `表面种植`, `盆腔器官侵犯`, `盆腔腹膜播散`, `腹腔腹膜播散`, `大网膜播散`<br>**临床意义**: 卵巢癌易早期腹腔播散,70%确诊时已有腹膜播散;大网膜是最常见播散部位(60-70%),形成特征性大网膜饼(omental cake);包膜侵犯/表面种植使I期升至IC期,预后明显变差",盆腔腹膜播散,大网膜播散
staging.figo,分期.FIGO分期,String,"FIGO 2014分期(国际妇产科联盟)。<br>**I期**: 肿瘤局限于卵巢或输卵管<br>- **IA**: 单侧,包膜完整,无表面种植,腹水/腹腔冲洗液细胞学阴性,5年生存率90%<br>- **IB**: 双侧,其余同IA,85%<br>- **IC**: 包膜破裂或表面种植或腹水细胞学阳性,75-80%<br>  - **IC1**: 手术中包膜破裂<br>  - **IC2**: 术前包膜破裂或表面种植<br>  - **IC3**: 腹水或腹腔冲洗液细胞学阳性<br>**II期**: 盆腔扩散(骨盆内)<br>- **IIA**: 累及子宫和/或输卵管和/或卵巢,70%<br>- **IIB**: 累及其他盆腔腹膜,65%<br>**III期**: 腹腔扩散和/或区域淋巴结转移<br>- **IIIA**: 腹膜后淋巴结转移和/或镜下腹膜播散,50-55%<br>  - **IIIA1**: 仅淋巴结转移<br>    - **IIIA1(i)**: 淋巴结转移≤10mm<br>    - **IIIA1(ii)**: 淋巴结转移>10mm<br>  - **IIIA2**: 镜下腹膜播散±淋巴结转移<br>- **IIIB**: 腹腔腹膜播散≤2cm±淋巴结转移,40-45%<br>- **IIIC**: 腹腔腹膜播散>2cm±淋巴结转移,30-35%<br>**IV期**: 远处转移<br>- **IVA**: 胸腔积液伴细胞学阳性,25-30%<br>- **IVB**: 肝脾实质转移、腹腔外淋巴结转移、其他远处器官转移,15-20%<br>**建议值**: `IA期`, `IB期`, `IC1期`, `IC2期`, `IC3期`, `IIA期`, `IIB期`, `IIIA1(i)期`, `IIIA1(ii)期`, `IIIA2期`, `IIIB期`, `IIIC期`, `IVA期`, `IVB期`<br>**临床意义**: FIGO分期是最重要的预后因素,I期5年生存率90%,II期70%,III期40%,IV期20%;IC期预后明显差于IA/IB期,腹水细胞学阳性(IC3)提示腹腔播散;III期占确诊时60%,IV期占10-15%;腹膜播散大小影响分期和预后,>2cm(IIIC)预后显著差于≤2cm(IIIB)",IIIC期
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(AJCC第8版,与FIGO对应)。<br>**pT1**: 肿瘤局限于卵巢或输卵管<br>- **pT1a**: 单侧,包膜完整,无表面种植(对应FIGO IA)<br>- **pT1b**: 双侧,包膜完整,无表面种植(对应FIGO IB)<br>- **pT1c**: 包膜破裂或表面种植或腹水阳性(对应FIGO IC)<br>  - **pT1c1**: 手术中包膜破裂<br>  - **pT1c2**: 术前包膜破裂或表面种植<br>  - **pT1c3**: 腹水或腹腔冲洗液细胞学阳性<br>**pT2**: 盆腔扩散或腹膜原发癌<br>- **pT2a**: 累及子宫和/或输卵管和/或卵巢(对应FIGO IIA)<br>- **pT2b**: 累及其他盆腔腹膜(对应FIGO IIB)<br>**pT3**: 腹腔扩散(镜下或肉眼可见)<br>- **pT3a**: 镜下腹膜播散(对应FIGO IIIA2)<br>- **pT3b**: 肉眼可见腹膜播散≤2cm(对应FIGO IIIB)<br>- **pT3c**: 肉眼可见腹膜播散>2cm(对应FIGO IIIC)<br>**建议值**: `pT1a`, `pT1b`, `pT1c1`, `pT1c2`, `pT1c3`, `pT2a`, `pT2b`, `pT3a`, `pT3b`, `pT3c`<br>**临床意义**: pT分期与FIGO分期高度对应,pT1c3(腹水阳性)预后显著差于pT1a-b,pT3c(播散>2cm)预后最差",pT3c
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(AJCC第8版)。<br>**pN0**: 无区域淋巴结转移<br>**pN1**: 区域淋巴结转移(对应FIGO IIIA1)<br>- **pN1a**: 淋巴结转移≤10mm(对应FIGO IIIA1(i))<br>- **pN1b**: 淋巴结转移>10mm(对应FIGO IIIA1(ii))<br>**区域淋巴结**: 盆腔淋巴结(髂总、髂内、髂外、闭孔、骶前)、腹主动脉旁淋巴结(肾下至骶岬)<br>**建议值**: `pN0`, `pN1a(≤10mm)`, `pN1b(>10mm)`<br>**临床意义**: 淋巴结转移率20-30%(I期5%,II期10-15%,III期30-40%);淋巴结转移是独立不良预后因素,pN1患者5年生存率50% vs pN0 70%;淋巴结大小影响预后,>10mm预后更差;需检出至少10枚淋巴结才能准确分期",pN1a(2枚阳性,最大8mm/共12枚检出)
staging.tnm.pM,分期.TNM.病理M分期,String,"病理M分期(AJCC第8版)。<br>**pM0**: 无远处转移<br>**pM1**: 远处转移(对应FIGO IV)<br>- **pM1a**: 胸腔积液伴细胞学阳性(对应FIGO IVA)<br>- **pM1b**: 肝脾实质转移、腹腔外淋巴结转移(腹股沟、锁骨上等)、其他远处器官转移(肺、骨、脑等)(对应FIGO IVB)<br>**建议值**: `pM0`, `pM1a-胸腔积液阳性`, `pM1b-肝转移`, `pM1b-肺转移`, `pM1b-骨转移`, `pM1b-腹腔外淋巴结转移`<br>**临床意义**: pM1a(胸水阳性) 5年生存率25-30%,pM1b 15-20%;肝转移最常见(10-15%),多为表面种植,实质转移罕见(<5%);胸腔积液伴细胞学阳性直接定为IVA期,但预后优于IVB期实质转移",pM1a-胸腔积液细胞学阳性
lymphNode.totalNumber,淋巴结.检出总数,Number,"检出淋巴结总数。<br>**推荐**: 系统性淋巴结切除术应检出盆腔+腹主动脉旁淋巴结≥10枚<br>**检出率**: 全面分期手术平均检出15-25枚(盆腔10-15枚,腹主动脉旁5-10枚)<br>**临床意义**: 检出淋巴结<10枚为分期不足,可能遗漏转移;系统性淋巴结切除术可提高分期准确性,但不改善总生存(随机对照试验结果);早期卵巢癌(IA-IB期G1-2)可省略淋巴结切除",12
lymphNode.positiveNumber,淋巴结.阳性数目,Number,"转移淋巴结数目。<br>**临床意义**: 阳性淋巴结数目是独立预后因素,1-3枚 vs >3枚对应中位OS 50月 vs 30月;淋巴结阳性比率(LNR,阳性数/检出数)也是预后因素,LNR>0.3预后显著差",2
ihc.wt1,免疫组化.WT1,String,"WT1(Wilms肿瘤蛋白1)核蛋白。<br>**表达模式**: 核阳性<br>**HGSC**: 95-100%阳性,弥漫强阳性<br>**LGSC**: 90-95%阳性<br>**子宫内膜样癌**: 10-20%阳性<br>**黏液性癌**: 0-5%阴性<br>**透明细胞癌**: 0-5%阴性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: WT1是浆液性癌最特异的标志物,WT1+/PAX8+高度提示卵巢高级别浆液性癌;WT1阴性提示非浆液性癌(子宫内膜样/黏液性/透明细胞);WT1用于鉴别卵巢癌vs子宫内膜癌(卵巢浆液性WT1+,子宫内膜样WT1-)",弥漫强阳性(95%肿瘤细胞)
ihc.pax8,免疫组化.PAX8,String,"PAX8(配对盒基因8)核蛋白。<br>**表达模式**: 核阳性<br>**上皮性卵巢癌**: 85-95%阳性(泛卵巢癌标志物)<br>- HGSC: 95%阳性<br>- 子宫内膜样癌: 90%阳性<br>- 透明细胞癌: 85%阳性<br>- 黏液性癌: 40-50%阳性(低于其他亚型)<br>**建议值**: `阴性`, `弱阳性(1+)`, `中度阳性(2+)`, `强阳性(3+)`<br>**临床意义**: PAX8是泛卵巢癌标志物,PAX8+提示苗勒管来源(卵巢/输卵管/子宫内膜/肾);PAX8+/WT1+组合高度特异于卵巢浆液性癌;PAX8用于鉴别原发vs转移性卵巢癌,腹腔转移灶PAX8+提示卵巢原发",强阳性(3+,90%肿瘤细胞)
ihc.p53,免疫组化.p53,String,"p53肿瘤抑制蛋白。<br>**表达模式**: 核阳性<br>**HGSC**: 96%有TP53突变,p53免疫组化异常表达<br>- **过表达型**(60-70%): 弥漫强阳性(>60%肿瘤细胞),提示错义突变<br>- **完全阴性型**(25-30%): 完全阴性(<1%肿瘤细胞),提示无义突变/移码突变<br>- **野生型**(5-10%): 散在弱阳性(5-50%肿瘤细胞),提示野生型<br>**LGSC**: 0-5%突变,p53通常野生型表达<br>**子宫内膜样癌/透明细胞癌**: 10-20%突变<br>**建议值**: `野生型表达(散在阳性)`, `突变型-过表达(弥漫强阳性>60%)`, `突变型-完全阴性(<1%)`<br>**临床意义**: p53异常表达(过表达或完全阴性)是HGSC的诊断金标准,敏感性96%、特异性88%;p53野生型表达提示LGSC或非浆液性癌;p53 IHC可替代TP53基因检测,准确性92%",突变型-过表达(弥漫强阳性90%)
ihc.napsinA,免疫组化.Napsin A,String,"Napsin A天冬氨酸蛋白酶。<br>**表达模式**: 胞浆阳性<br>**透明细胞癌**: 85-95%阳性,弥漫强阳性<br>**子宫内膜样癌**: 5-10%阳性<br>**HGSC**: 0%阴性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: Napsin A是透明细胞癌最特异的标志物,Napsin A+/HNF1β+高度提示透明细胞癌;Napsin A用于鉴别透明细胞癌vs HGSC(透明细胞Napsin A+,HGSC Napsin A-)",弥漫阳性(85%肿瘤细胞)
ihc.hnf1beta,免疫组化.HNF1β,String,"HNF1β(肝细胞核因子1β)核蛋白。<br>**表达模式**: 核阳性<br>**透明细胞癌**: 90-95%阳性,弥漫强阳性<br>**子宫内膜样癌**: 20-30%阳性,通常局灶<br>**HGSC**: 25-30%阳性,通常局灶弱阳性<br>**建议值**: `阴性`, `局灶弱阳性(<30%)`, `弥漫强阳性(≥30%)`<br>**临床意义**: HNF1β弥漫强阳性是透明细胞癌的特征,HNF1β+/Napsin A+组合敏感性90%、特异性95%;HNF1β与ARID1A突变相关,透明细胞癌50%有ARID1A突变",弥漫强阳性(90%肿瘤细胞)
ihc.er,免疫组化.ER,String,"雌激素受体。<br>**表达模式**: 核阳性<br>**HGSC**: 80-85%阳性<br>**LGSC**: 90-95%阳性<br>**子宫内膜样癌**: 70-80%阳性<br>**透明细胞癌**: 5-10%阴性<br>**黏液性癌**: 10-20%阴性<br>**建议值**: `阴性(<1%)`, `弱阳性(1-10%)`, `中度阳性(10-50%)`, `强阳性(>50%)`<br>**临床意义**: ER阳性率在浆液性癌和子宫内膜样癌高,透明细胞癌和黏液性癌低;ER阳性提示内分泌治疗潜在获益(他莫昔芬/芳香化酶抑制剂),LGSC ER+患者内分泌治疗ORR 10-15%;ER阳性是相对较好的预后因素",强阳性(80%肿瘤细胞)
ihc.pr,免疫组化.PR,String,"孕激素受体。<br>**表达模式**: 核阳性<br>**LGSC**: 70-80%阳性<br>**HGSC**: 30-40%阳性<br>**子宫内膜样癌**: 60-70%阳性<br>**透明细胞癌/黏液性癌**: <10%阴性<br>**建议值**: `阴性(<1%)`, `弱阳性(1-10%)`, `中度阳性(10-50%)`, `强阳性(>50%)`<br>**临床意义**: PR阳性率低于ER;LGSC的PR阳性率高于HGSC,是鉴别诊断线索;PR阳性是LGSC的良好预后因素,PR+患者OS和RFS更好",中度阳性(35%肿瘤细胞)
ihc.ki67,免疫组化.Ki-67,Number,"Ki-67增殖指数(%)。<br>**判断标准**:<br>- HGSC: 通常>40%,中位60-70%<br>- LGSC: 通常<10%,中位5%<br>- 透明细胞癌: 30-50%<br>- 子宫内膜样癌: 20-40%<br>**临床意义**: Ki-67是鉴别HGSC vs LGSC的重要指标,Ki-67>10%敏感性93%、特异性95%支持HGSC;Ki-67与肿瘤增殖活性相关,但在同一亚型内预后价值有限",65
molecular.brca.status,分子标记.BRCA.状态,String,"BRCA1/2基因突变状态。<br>**检测方法**: 胚系BRCA检测(血液)或体细胞BRCA检测(肿瘤组织)<br>**突变率**:<br>- **胚系BRCA1/2突变**(遗传性): 15-20%卵巢癌,HGSC占比更高(25-30%)<br>  - BRCA1: 70%胚系BRCA突变<br>  - BRCA2: 30%胚系BRCA突变<br>- **体细胞BRCA1/2突变**: 5-7%卵巢癌<br>- **总BRCA突变率**: 20-25%(胚系+体细胞)<br>**建议值**: `BRCA野生型`, `BRCA1胚系突变`, `BRCA2胚系突变`, `BRCA1体细胞突变`, `BRCA2体细胞突变`<br>**临床意义**: BRCA突变是最重要的分子标志物,决定PARP抑制剂疗效;BRCA突变卵巢癌对铂类化疗和PARP抑制剂高度敏感,中位PFS 56月(SOLO-1研究);胚系BRCA突变提示遗传性卵巢癌,需家系筛查和预防性手术咨询;NCCN/ESMO指南推荐所有HGSC患者检测BRCA",BRCA1胚系突变
molecular.hrd.status,分子标记.HRD.状态,String,"同源重组修复缺陷(HRD)状态。<br>**定义**: 同源重组修复(HRR)通路缺陷,导致基因组不稳定<br>**HRD机制**:<br>- **BRCA1/2突变**(占HRD的50%): 直接导致HRR缺陷<br>- **其他HRR基因突变**(占HRD的25%): RAD51C/RAD51D/PALB2/BRIP1/ATM等<br>- **BRCA1启动子甲基化**(占HRD的10%): 表观遗传沉默<br>- **其他未知机制**(占HRD的15%)<br>**HRD检测**: 基于基因组瘢痕(genomic scarring)评分,检测LOH、TAI、LST三项指标,总分≥42为HRD阳性<br>**HRD阳性率**: HGSC占50%(BRCA突变25%+非BRCA HRD 25%)<br>**建议值**: `HRD阴性(HRS<42)`, `HRD阳性-BRCA突变(HRS≥42)`, `HRD阳性-非BRCA(HRS≥42)`<br>**临床意义**: HRD阳性肿瘤对铂类化疗和PARP抑制剂敏感;PAOLA-1研究显示HRD阳性患者奥拉帕利+贝伐珠单抗维持治疗中位PFS 37.2月 vs 安慰剂17.7月;ESMO指南推荐所有HGSC患者检测HRD以指导PARP抑制剂使用;HRD阳性但BRCA野生型患者仍可从PARP抑制剂获益",HRD阳性-BRCA突变(HRS 68)
molecular.hrd.score,分子标记.HRD.评分,Number,"HRD基因组瘢痕评分。<br>**计算**: LOH(杂合性缺失)+TAI(端粒等位基因失衡)+LST(大片段状态转换)<br>**判断标准**: ≥42为HRD阳性,<42为HRD阴性<br>**临床意义**: HRD评分越高,对PARP抑制剂疗效越好;HRD评分>60患者PARP抑制剂中位PFS>50月",68
surgery.type,手术.术式,String,"手术方式。<br>**早期卵巢癌(I-IIA期)**:<br>- **保留生育功能手术**: 单侧附件切除+全面分期(对侧卵巢活检+大网膜切除+淋巴结切除+腹膜活检+腹腔冲洗),适用于单侧IA-IC期G1-2、年轻希望保留生育功能患者<br>- **全面分期手术**: 双侧附件切除+全子宫切除+大网膜切除+盆腔/腹主动脉旁淋巴结切除+腹膜多点活检+阑尾切除(黏液性癌)+腹腔冲洗细胞学<br>**晚期卵巢癌(IIB-IV期)**:<br>- **初次肿瘤细胞减灭术(PDS)**: 双侧附件+子宫+大网膜+所有可见肿瘤(腹膜播散、肠切除、脾切除、膈肌剥离等),目标达到R0(无肉眼残留)<br>- **间歇性肿瘤细胞减灭术(IDS)**: 新辅助化疗3-4周期后手术,适用于不可切除或手术风险高患者<br>**建议值**: `保留生育功能手术(单侧附件切除+分期)`, `全面分期手术`, `初次肿瘤细胞减灭术(PDS)`, `间歇性肿瘤细胞减灭术(IDS)`, `二次肿瘤细胞减灭术(复发)`, `姑息性手术`<br>**临床意义**: 手术是卵巢癌最重要的治疗,初次手术完整性是最强预后因素;早期卵巢癌全面分期手术可发现隐匿性转移(20-30%临床I期上调至III期);晚期卵巢癌手术目标是R0切除(无肉眼残留),R0患者中位OS 80-100月 vs R1(残留<1cm) 40月 vs R2(残留>1cm) 30月",初次肿瘤细胞减灭术(PDS)
