字段名(英文),字段名(中文),数据类型,描述,示例
labInitial.wbc,初始实验室.白细胞,Number,"白细胞计数。<br>单位: ×10⁹/L<br>**升高(15-40)**: DKA应激反应,不一定代表感染<br>**>25或左移**: 感染可能",18.5
labInitial.hemoglobin,初始实验室.血红蛋白,Number,"血红蛋白。<br>单位: g/L<br>**升高**: 血液浓缩",155
labInitial.hematocrit,初始实验室.红细胞压积,Number,"红细胞压积。<br>单位: %<br>**升高**: 血液浓缩",48
labInitial.platelet,初始实验室.血小板,Number,"血小板计数。<br>单位: ×10⁹/L",280

labInitial.amylase,初始实验室.淀粉酶,Number,"血清淀粉酶。<br>单位: U/L<br>**轻度升高(2-3倍)**: 常见于DKA,不一定是胰腺炎<br>**>5倍**: 胰腺炎可能",180
labInitial.lipase,初始实验室.脂肪酶,Number,"血清脂肪酶。<br>单位: U/L<br>**更特异**: 胰腺炎诊断",95

labInitial.lactate,初始实验室.乳酸,Number,"血乳酸。<br>单位: mmol/L<br>**正常**: <2<br>**>4**: 乳酸酸中毒(脓毒症/休克/组织低灌注)",2.8

labInitial.troponin,初始实验室.肌钙蛋白,String,"cTnI/cTnT(排除ACS)。<br>**建议值**: `正常`, `轻度升高(需求缺血)`, `明显升高(心肌梗死)`, `未检测`",正常
labInitial.bnp,初始实验室.BNP,Number,"脑钠肽(如疑心衰)。<br>单位: pg/mL",

labInitial.cReactiveProtein,初始实验室.CRP,Number,"C反应蛋白。<br>单位: mg/L<br>**>10**: 感染/炎症",85
labInitial.procalcitonin,初始实验室.降钙素原,Number,"降钙素原。<br>单位: ng/mL<br>**>0.5**: 细菌感染/脓毒症",1.2

labInitial.urinalysis,初始实验室.尿常规,String,"**示例**: `尿糖++++,尿酮++++,尿蛋白±,白细胞++(需尿培养除外UTI)`,尿糖++++;尿酮++++

imaging.chestXray,影像学.胸部X线,String,"**适应证**: 排除肺炎。<br>**建议值**: `未做`, `正常`, `肺炎`, `肺水肿(过度补液)`, `ARDS`",肺炎
imaging.ecg,影像学.心电图,String,"**适应证**: 排除心肌梗死,监测电解质紊乱(T波改变)。<br>**建议值**: `正常窦性心律`, `窦速`, `高钾T波高尖`, `低钾T波低平/U波`, `心肌缺血`, `STEMI`",窦速;T波低平
imaging.ctHead,影像学.头颅CT,String,"**适应证**: 持续意识障碍(除外脑水肿/脑卒中)。<br>**建议值**: `未做`, `正常`, `脑水肿`, `脑梗死`, `脑出血`",未做

treatment.location,治疗.治疗地点,String,"**建议值**: `ICU`, `急诊留观`, `内分泌病房`, `普通病房`<br>**ICU指征**: pH<7.0,昏迷,血流动力学不稳定,严重电解质紊乱",ICU
treatment.protocol,治疗.治疗方案,String,"**建议值**: `遵循ADA指南`, `遵循中华医学会指南`, `自拟方案`",遵循ADA指南

treatment.fluids.initialFluid,治疗.液体复苏.初始液体,String,"**首选**: 0.9%生理盐水。<br>**建议值**: `0.9% NS`, `乳酸林格液`, `平衡盐溶液`",0.9% NS
treatment.fluids.initialRate,治疗.液体复苏.初始输液速度,String,"**成人**: 1000-1500 mL/h×1-2小时(血流动力学不稳定)或250-500 mL/h(稳定)。<br>**示例**: `1000 mL/h×1h`, `500 mL/h`,1000 mL/h×1h
treatment.fluids.maintenanceFluid,治疗.液体复苏.维持液体,String,"校正钠后选择:<br>**校正钠高**: 0.45% NS<br>**校正钠正常/低**: 0.9% NS<br>**血糖<14 mmol/L后**: 加5%葡萄糖。<br>**示例**: `0.9% NS 250 mL/h`, `0.45% NS+5%葡萄糖 150 mL/h`",0.9% NS 250 mL/h
treatment.fluids.totalFirst12h,治疗.液体复苏.前12小时总量,Number,"前12小时补液总量。<br>单位: mL<br>**目标**: 补足液体缺失(约100 mL/kg体重)",4500

treatment.insulin.initialBolus,治疗.胰岛素.初始负荷量,String,"**ADA 2023**: 0.1 U/kg IV bolus(可选,直接持续输注也可)。<br>**示例**: `0.1 U/kg IV(6 U)`, `未给负荷量`",0.1 U/kg IV
treatment.insulin.initialInfusion,治疗.胰岛素.初始输注速度,String,"**标准**: 0.1 U/kg/h(或0.14 U/kg/h不给负荷量)。<br>**示例**: `0.1 U/kg/h(6 U/h)`, `固定剂量4-6 U/h`",0.1 U/kg/h
treatment.insulin.adjustmentProtocol,治疗.胰岛素.调整方案,String,"**目标**: 血糖下降2.8-4.2 mmol/h。<br>**血糖下降不足**: 每小时增加1 U/h。<br>**血糖<14 mmol/L**: 降至0.05-0.1 U/kg/h,同时输注5%葡萄糖。<br>**建议值**: `按标准方案调整`, `个体化调整`",按标准方案调整
treatment.insulin.dualInsulin,治疗.胰岛素.双胰岛素方案,String,"血糖<14 mmol/L后:<br>**方案1**: 持续IV胰岛素+5%葡萄糖<br>**方案2**: 持续IV胰岛素+皮下基础胰岛素(重叠2-4h)。<br>**建议值**: `单纯IV`, `IV+SC基础胰岛素`, `未到该阶段`",未到该阶段

treatment.potassium.initialK,治疗.钾补充.初始血钾,Number,"治疗前血钾。<br>单位: mmol/L",5.2
treatment.potassium.supplementProtocol,治疗.钾补充.补钾方案,String,"**血钾<3.3**: 暂缓胰岛素,补钾至>3.3<br>**血钾3.3-5.2**: 补钾20-30 mEq/L液体<br>**血钾>5.2**: 暂不补钾,监测<br>**目标**: 维持血钾4-5 mmol/L。<br>**示例**: `KCl 20 mEq/L(补液中)`, `KCl 10 mEq/h IV`, `暂不补钾`",KCl 20 mEq/L
treatment.potassium.monitoring,治疗.钾补充.监测频率,String,"**建议值**: `每1-2小时`, `每2-4小时`, `血钾稳定后每4-6小时`",每2小时

treatment.bicarbonate.indication,治疗.碳酸氢钠.使用指征,String,"**争议大,不常规推荐**。<br>**可能适应证**: pH<6.9+血流动力学不稳定/高钾血症(>6 mmol/L)。<br>**建议值**: `未使用(pH≥6.9)`, `使用(pH<6.9)`, `使用(高钾血症)`",未使用
treatment.bicarbonate.dose,治疗.碳酸氢钠.剂量,String,"**剂量**(如使用): 100 mmol碳酸氢钠+20 mEq KCl于400 mL水中,2小时输注。<br>**示例**: `100 mmol NaHCO₃ IV over 2h`, `未使用`",未使用

treatment.phosphate.supplementation,治疗.磷补充,String,"**常规不推荐**。<br>**适应证**: 血磷<0.3 mmol/L+心肌病/呼吸肌无力/溶血。<br>**建议值**: `未补充`, `补充(磷酸钾)`",未补充

monitoring.glucoseFrequency,监测.血糖监测频率,String,"**建议值**: `每1小时(至血糖<14)`, `血糖稳定后每2-4小时`",每1小时
monitoring.electrolyteFrequency,监测.电解质监测频率,String,"**建议值**: `每2-4小时(至稳定)`, `稳定后每6-8小时`",每2-4小时
monitoring.abgFrequency,监测.血气监测频率,String,"**建议值**: `每2-4小时(至AG<12,pH>7.30)`, `稳定后1-2次/天`",每2-4小时

resolution.criteria,DKA纠正.达标标准,String,"**DKA纠正标准**(满足以下所有条件):<br>1. 血糖<11.1 mmol/L(200 mg/dL)<br>2. 血清HCO₃⁻≥18 mmol/L<br>3. 静脉pH>7.30<br>4. AG≤12。<br>**建议值**: `已达标`, `部分达标`, `未达标`",已达标
resolution.timeToResolution,DKA纠正.纠正时间,Number,"从治疗开始到DKA纠正的时间。<br>单位: 小时<br>**通常**: 12-24小时",18

transition.scInsulinStart,过渡治疗.皮下胰岛素启动,String,"**时机**: DKA纠正+患者能进食。<br>**方案**: 皮下速效/短效胰岛素(餐前)+基础胰岛素(每日1-2次)或预混胰岛素。<br>**重叠**: 皮下注射后继续IV胰岛素2-4小时(防止酮症反弹)。<br>**建议值**: `已启动(方案)`, `计划启动`, `仍在IV胰岛素`",已启动(基础-餐时)
transition.totalDailyDose,过渡治疗.每日胰岛素总量,Number,"TDD(皮下)。<br>单位: U/天<br>**估算**: 0.5-0.8 U/kg/天(1型),0.5-1.0 U/kg/天(2型)",40
transition.basalBolus,过渡治疗.基础-餐时分配,String,"**基础胰岛素**: TDD的50%<br>**餐时胰岛素**: TDD的50%,三餐分配。<br>**示例**: `基础20U(甘精/地特),餐前各6-7U(门冬/赖脯)`",基础20U;餐时各7U

complications.cerebralEdema,并发症.脑水肿,String,"**罕见但致命(儿童多见)**。<br>**危险因素**: 年龄<5岁,新诊断DM,高BUN,重度酸中毒,过度补液,血糖下降过快。<br>**表现**: 头痛,意识恶化,呕吐,心动过缓,瞳孔改变。<br>**建议值**: `无`, `疑似(需头颅CT)`, `确诊`,无
complications.akiRequiringDialysis,并发症.急性肾损伤需透析,String,"**建议值**: `无AKI`, `AKI 1-2期(肾前性,可逆)`, `AKI 3期`, `需透析`,无AKI
complications.ards,并发症.急性呼吸窘迫综合征,String,"**建议值**: `无`, `有(需机械通气)`,无
complications.thrombosis,并发症.血栓形成,String,"DKA高凝状态。<br>**示例**: `无`, `深静脉血栓`, `肺栓塞`, `脑卒中`, `心肌梗死`",无
complications.rhabdomyolysis,并发症.横纹肌溶解,String,"**建议值**: `无`, `有(CK升高>5倍,肌红蛋白尿)`,无
complications.mucormycosis,并发症.毛霉菌病,String,"**罕见但严重**(鼻脑型)。<br>**建议值**: `无`, `疑似(鼻窦炎/眼眶周围症状)`, `确诊`,无

outcome.dischargeCriteria,结局.出院标准,String,"**出院标准**: DKA纠正+皮下胰岛素稳定+能正常进食+患者/家属教育完成。<br>**建议值**: `已出院`, `住院中`,住院中
outcome.lengthOfStay,结局.住院天数,Number,"住院总天数。<br>单位: 天",
outcome.icuLengthOfStay,结局.ICU住院天数,Number,"ICU住院天数。<br>单位: 天",
outcome.finalOutcome,结局.最终结局,String,"**建议值**: `痊愈出院`, `好转出院`, `转院`, `死亡`, `自动出院`",
outcome.mortality,结局.死亡,String,"**建议值**: `否`, `是`<br>**DKA死亡率**: <1%(发达国家),儿童脑水肿致死多见",否

education.dkaEducation,健康教育.DKA教育,String,"**内容**: 病情日记,胰岛素不能中断,生病日规则(Sick Day Rules),酮体监测,何时就医。<br>**建议值**: `已教育`, `部分教育`, `未教育`,已教育
education.sickDayRules,健康教育.病情日规则,String,"**要点**: 继续胰岛素(即使不能进食),多饮水,监测血糖/血酮,血酮>1.5或持续呕吐需就医。<br>**建议值**: `已书面告知`, `口头教育`, `未教育`",已书面告知
education.insulinPump,健康教育.胰岛素泵教育,String,"如使用泵。<br>**建议值**: `不适用`, `已教育(泵故障处理/基础率调整)`, `未教育`",不适用

followUp.endocrinologyReferral,随访.内分泌专科转诊,String,"**建议值**: `已预约`, `建议转诊`, `已在专科随访`, `无需转诊`,已预约
followUp.nextVisitDate,随访.下次随访日期,Date,出院后随访日期,2025-02-01
followUp.hba1cPlan,随访.HbA1c复查,String,"**建议值**: `出院后3个月`, `已安排`, `未安排`",出院后3个月

riskFactors.recurrence,复发风险.复发风险评估,String,"**高危因素**: 1型DM青少年,精神心理问题,依从性差,经济困难,既往≥2次DKA。<br>**建议值**: `低风险`, `中风险`, `高风险(需加强教育/心理支持)`,中风险

specialPopulations.pediatric,特殊人群.儿童,String,"**建议值**: `否`, `是(年龄:<18岁)`,否
specialPopulations.pregnant,特殊人群.妊娠,String,"**妊娠期DKA**: 母胎死亡率高(胎儿>30%),需多学科协作。<br>**建议值**: `否`, `是(孕周:XX周)`,否
specialPopulations.esrd,特殊人群.终末期肾病,String,"**建议值**: `否`, `是(需调整补液/胰岛素剂量)`",否

clinicianNotes,临床医生备注,String,自由文本备注栏,患者为1型糖尿病青年,自行停用胰岛素3天后出现DKA。已纠正,加强依从性教育和心理支持。
dataSource,数据来源,String,"**建议值**: `急诊`, `ICU`, `内分泌科`, `转院`,急诊
