Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,CT检查日期,检查时间点
Basic_Info,exam_id,检查编号,string,,,,,N,CT报告编号,唯一检查标识
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关病变
Pulmonary_Nodules,nodule_growth,结节增长,categorical,,,"Yes,No,Unknown,NA",,,N,结节是否增大,恶性提示
Pulmonary_Nodules,vdt,体积倍增时间,integer,days,0-3650,,,N,VDT,<400天恶性

Lung_Mass,mass_present,肺肿块,categorical,,,"Yes,No",,,N,>3cm占位,肿瘤可能
Lung_Mass,mass_size,肿块大小,decimal,cm,0-30,,,N,肿块最大径,T分期
Lung_Mass,mass_location,肿块部位,categorical,,,"RUL,RML,RLL,LUL,LLL,NA",,,N,肿块位置,解剖定位
Lung_Mass,cavitation,空洞,categorical,,,"Yes,No,NA",,,N,空洞形成,鳞癌/感染
Lung_Mass,necrosis,坏死,categorical,,,"Yes,No,NA",,,N,肿瘤坏死,增强CT
Lung_Mass,pleural_invasion,胸膜侵犯,categorical,,,"Yes,No,Suspected,NA",,,N,胸膜受侵,T3/T4
Lung_Mass,chest_wall_invasion,胸壁侵犯,categorical,,,"Yes,No,Suspected,NA",,,N,胸壁受侵,T3

Airways,bronchiectasis,支气管扩张,categorical,,,"Yes,No",,,N,支气管扩张,慢性感染
Airways,bronchiectasis_type,支扩类型,categorical,,,"Cylindrical,Varicose,Cystic,Traction,NA",,,N,支扩分型,病因不同
Airways,bronchial_wall_thickening,支气管壁增厚,categorical,,,"Yes,No",,,N,支气管壁增厚,炎症
Airways,mucoid_impaction,黏液嵌塞,categorical,,,"Yes,No",,,N,黏液栓,ABPA/感染
Airways,bronchial_obstruction,支气管梗阻,categorical,,,"Yes,No",,,N,支气管阻塞,肿瘤/异物

Emphysema,emphysema_present,肺气肿,categorical,,,"Yes,No",,,N,肺气肿,COPD
Emphysema,emphysema_type,肺气肿类型,categorical,,,"Centrilobular,Panlobular,Paraseptal,Bullous,NA",,,N,气肿分型,小叶中心/全小叶
Emphysema,emphysema_severity,肺气肿程度,categorical,,,"Mild,Moderate,Severe,Very_Severe,NA",,,N,气肿严重度,Goddard评分
Emphysema,bullae,肺大疱,categorical,,,"Yes,No",,,N,肺大疱,气胸风险

Interstitial_Lung_Disease,ild_pattern,ILD模式,categorical,,,"UIP,NSIP,OP,HP,Sarcoidosis,None,Other",,,N,间质性肺病,HRCT分型
Interstitial_Lung_Disease,uip_pattern,UIP模式,categorical,,,"Definite,Probable,Indeterminate,Alternative,NA",,,N,寻常型间质性肺炎,IPF诊断
Interstitial_Lung_Disease,fibrosis_extent,纤维化程度,categorical,,,"Mild,Moderate,Severe,Extensive,None",,,N,纤维化范围,预后评估
Interstitial_Lung_Disease,subpleural_fibrosis,胸膜下纤维化,categorical,,,"Yes,No",,,N,胸膜下主导,UIP特征
Interstitial_Lung_Disease,lower_lobe_predominance,下肺为主,categorical,,,"Yes,No",,,N,下肺分布为主,UIP/NSIP

Infection_Pattern,covid19_pattern,COVID-19征象,categorical,,,"Typical,Indeterminate,Atypical,Negative",,,N,新冠肺炎,CO-RADS
Infection_Pattern,bacterial_pneumonia,细菌性肺炎,categorical,,,"Yes,No",,,N,细菌性肺炎,实变为主
Infection_Pattern,viral_pneumonia,病毒性肺炎,categorical,,,"Yes,No",,,N,病毒性肺炎,GGO/双肺
Infection_Pattern,fungal_infection,真菌感染,categorical,,,"Yes,No,Suspected",,,N,真菌感染,晕征/新月征
Infection_Pattern,tuberculosis,结核,categorical,,,"Active,Inactive,Suspected,No",,,N,肺结核,树芽/空洞
Infection_Pattern,tb_pattern,结核征象,categorical,,,"Cavitary,Miliary,TB_Nodule,Fibronodular,Pleural,NA",,,N,结核类型,活动/陈旧

Pleura,pleural_effusion,胸腔积液,categorical,,,"Yes,No",,,N,胸腔积液,渗出/漏出
Pleural_Effusion,effusion_side,积液侧别,categorical,,,"Right,Left,Bilateral,NA",,,N,积液位置,单双侧
Pleural_Effusion,effusion_volume,积液量,categorical,,,"Small,Moderate,Large,Massive,NA",,,N,积液量,<500/500-1500/>1500mL
Pleural_Effusion,loculated_effusion,包裹性积液,categorical,,,"Yes,No,NA",,,N,包裹性,慢性炎症
Pleura,pleural_thickening,胸膜增厚,categorical,,,"Yes,No",,,N,胸膜增厚,炎症/石棉
Pleura,pneumothorax,气胸,categorical,,,"Yes,No",,,N,气胸,肺萎陷
Pneumothorax,pneumothorax_size,气胸大小,categorical,,,"Small,Moderate,Large,Tension,NA",,,N,气胸量,<15%/15-60%/>60%
Pneumothorax,tension_pneumothorax,张力性气胸,categorical,,,"Yes,No,NA",,,N,张力性气胸,急症

Mediastinum,mediastinal_mass,纵隔肿块,categorical,,,"Yes,No",,,N,纵隔占位,前/中/后纵隔
Mediastinal_Mass,mediastinal_compartment,纵隔分区,categorical,,,"Anterior,Middle,Posterior,NA",,,N,纵隔部位,鉴别诊断
Mediastinal_Mass,mass_characteristics,肿块特征,categorical,,,"Cystic,Solid,Fat_Density,Calcified,Vascular,NA",,,N,肿块性质,病理提示
Mediastinum,lymphadenopathy,淋巴结肿大,categorical,,,"Yes,No",,,N,淋巴结,肿瘤/感染
Lymphadenopathy,ln_stations,淋巴结站,string,,,,,N,肿大淋巴结站位,IASLC分站
Lymphadenopathy,ln_size,最大淋巴结,decimal,mm,0-100,,,N,最大短径,>10mm异常
Lymphadenopathy,ln_pattern,淋巴结模式,categorical,,,"Hilar,Mediastinal,Diffuse,Calcified,Necrotic,NA",,,N,淋巴结特征,肉芽肿/转移

Heart_Pericardium,cardiomegaly,心脏增大,categorical,,,"Yes,No",,,N,心影增大,心衰/积液
Heart_Pericardium,ctr,心胸比,decimal,,0-1,,,N,CTR,>0.5心大
Heart_Pericardium,pericardial_effusion,心包积液,categorical,,,"Yes,No",,,N,心包积液,炎症/肿瘤
Heart_Pericardium,pericardial_calcification,心包钙化,categorical,,,"Yes,No",,,N,心包钙化,缩窄性心包炎
Heart_Pericardium,coronary_calcification,冠脉钙化,categorical,,,"None,Mild,Moderate,Severe",,,N,冠脉钙化,CAD
Heart_Pericardium,agatston_score,钙化积分,integer,,0-5000,,,N,Agatston评分,CAD风险

Pulmonary_Vasculature,pulmonary_embolism,肺栓塞,categorical,,,"Yes,No,Suspected",,,N,肺动脉栓塞,CTPA
Pulmonary_Embolism,pe_location,栓塞部位,categorical,,,"Main_PA,Lobar,Segmental,Subsegmental,Saddle,Bilateral,NA",,,N,血栓位置,严重程度
Pulmonary_Embolism,rv_strain,右心负荷,categorical,,,"Yes,No,NA",,,N,RV/LV>1,预后指标
Pulmonary_Vasculature,pulmonary_hypertension,肺动脉高压征,categorical,,,"Yes,No",,,N,肺动脉增宽,PH
Pulmonary_Vasculature,mosaic_attenuation,马赛克灌注,categorical,,,"Yes,No",,,N,马赛克征,慢性血栓/小气道

Thoracic_Aorta,aortic_aneurysm,主动脉瘤,categorical,,,"Yes,No",,,N,主动脉瘤,破裂风险
Aortic_Aneurysm,aneurysm_size,主动脉瘤直径,decimal,mm,0-150,,,N,最大径,>55mm手术
Thoracic_Aorta,aortic_dissection,主动脉夹层,categorical,,,"Yes,No",,,N,主动脉夹层,急症
Aortic_Dissection,stanford_type,Stanford分型,categorical,,,"A,B,NA",,,N,夹层分型,A型急诊手术
Thoracic_Aorta,aortic_calcification,主动脉钙化,categorical,,,"None,Mild,Moderate,Severe",,,N,主动脉粥样硬化,动脉硬化

Chest_Wall,rib_fracture,肋骨骨折,categorical,,,"Yes,No",,,N,肋骨骨折,创伤
Rib_Fracture,fracture_number,骨折数量,integer,,0-30,,,N,骨折肋骨数,严重程度
Chest_Wall,bone_lesion,骨质病变,categorical,,,"Lytic,Sclerotic,Mixed,None",,,N,骨质破坏,转移/骨髓瘤
Chest_Wall,subcutaneous_emphysema,皮下气肿,categorical,,,"Yes,No",,,N,皮下气肿,气胸/创伤

Incidental_Findings,thyroid_nodule,甲状腺结节,categorical,,,"Yes,No",,,N,甲状腺结节,偶发瘤
Incidental_Findings,breast_mass,乳腺肿块,categorical,,,"Yes,No",,,N,乳腺占位,偶发瘤
Incidental_Findings,adrenal_mass,肾上腺肿块,categorical,,,"Yes,No",,,N,肾上腺占位,偶发瘤
Incidental_Findings,liver_lesion,肝脏病变,categorical,,,"Yes,No",,,N,肝脏占位,偶发瘤
Incidental_Findings,vertebral_fracture,椎体骨折,categorical,,,"Yes,No",,,N,椎体骨折,骨质疏松

Lung_Cancer_Staging,primary_tumor_t,T分期,categorical,,,"Tis,T1a,T1b,T1c,T2a,T2b,T3,T4,TX",,,N,原发肿瘤T,TNM第8版
Lung_Cancer_Staging,nodal_n,N分期,categorical,,,"N0,N1,N2,N3,NX",,,N,淋巴结N,TNM
Lung_Cancer_Staging,metastasis_m,M分期,categorical,,,"M0,M1a,M1b,M1c,MX",,,N,远处转移M,TNM
Lung_Cancer_Staging,tnm_stage,TNM分期,categorical,,,"IA1,IA2,IA3,IB,IIA,IIB,IIIA,IIIB,IIIC,IVA,IVB",,,N,肺癌分期,预后治疗

Comparison,prior_exam_date,前次检查日期,date,,,,,N,既往CT时间,对比
Comparison,interval_change,间期变化,categorical,,,"Improved,Stable,Progressed,New_Findings,No_Prior",,,N,病变变化,疗效/进展
Comparison,nodule_change,结节变化,categorical,,,"Increased,Decreased,Stable,New,Resolved,NA",,,N,结节改变,随访关键

Quality,image_quality,图像质量,categorical,,,"Excellent,Good,Fair,Poor,Non_Diagnostic",,,N,图像质量,诊断价值
Quality,motion_artifact,运动伪影,categorical,,,"None,Mild,Moderate,Severe",,,N,运动伪影,呼吸/心搏
Quality,beam_hardening,硬化伪影,categorical,,,"None,Mild,Moderate,Severe",,,N,射束硬化,金属植入

Diagnosis,primary_finding,主要诊断,categorical,,,"Normal,Lung_Cancer,Pulmonary_Nodule,Pneumonia,ILD,COPD,PE,Pleural_Effusion,Pneumothorax,Other",,,Y,主要影像诊断,疾病分类
Diagnosis,incidental_finding,偶发发现,string,,,,,N,其他发现,附加诊断

Recommendation,follow_up_imaging,随访建议,categorical,,,"No_Follow_Up,3_Months,6_Months,1_Year,2_Years,PET_CT,Biopsy,Other",,,N,影像随访,监测计划
Recommendation,clinical_correlation,临床相关,categorical,,,"Recommended,Not_Needed",,,N,建议临床相关,多学科
Recommendation,urgent_attention,紧急处理,categorical,,,"Yes,No",,,N,需紧急处理,危急值
