Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,病毒性肝炎确诊日期,诊断时间点
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关进展
Liver_Function,cholinesterase,胆碱酯酶,integer,U/L,0-20000,2152-7,,N,ChE,肝储备功能

Hematology,hemoglobin,血红蛋白,decimal,g/L,40-200,718-7,,N,Hb,贫血
Hematology,wbc_count,白细胞计数,decimal,10^9/L,0-50,6690-2,,N,WBC,感染/脾亢
Hematology,platelet_count,血小板计数,decimal,10^9/L,0-1000,777-3,,Y,PLT,门脉高压/脾亢
Hematology,neutrophil_count,中性粒细胞,decimal,10^9/L,0-30,751-8,,N,NEUT,感染

Renal_Function,creatinine,肌酐,decimal,μmol/L,20-1500,2160-0,,N,SCr,肾功能
Renal_Function,bun,尿素氮,decimal,mmol/L,0-50,3094-0,,N,BUN,肾功能
Renal_Function,egfr,肾小球滤过率,decimal,mL/min/1.73m²,0-200,33914-3,,N,eGFR,抗病毒药调整

Metabolic,glucose,血糖,decimal,mmol/L,2-50,2345-7,,N,GLU,糖代谢
Metabolic,hba1c,糖化血红蛋白,decimal,%,3-18,4548-4,,N,HbA1c,糖尿病
Metabolic,afp,甲胎蛋白,decimal,ng/mL,0-10000,1834-1,,Y,AFP,HCC筛查
Metabolic,afp_elevated,AFP升高,categorical,,,"Yes,No",,,N,AFP>20ng/mL,肝癌风险

Non_Invasive_Fibrosis,apri_score,APRI评分,decimal,,0-20,,,N,AST-PLT比值指数,纤维化评估
Non_Invasive_Fibrosis,fib4_score,FIB-4评分,decimal,,0-30,,,N,FIB-4指数,纤维化无创
Non_Invasive_Fibrosis,fibrosis_stage_nit,无创纤维化分期,categorical,,,"F0_F1,F2,F3,F4,Unknown",,,N,非侵入性纤维化,APRI/FIB-4
Non_Invasive_Fibrosis,fibroscan_performed,肝脏硬度检测,categorical,,,"Yes,No",,,N,瞬时弹性成像,FibroScan
Non_Invasive_Fibrosis,liver_stiffness,肝脏硬度值,decimal,kPa,0-75,,,N,LSM,纤维化硬度
Non_Invasive_Fibrosis,fibroscan_fibrosis_stage,FibroScan纤维化,categorical,,,"F0_F1,F2,F3,F4,Unknown",,,N,弹性成像分期,无创金标准
Non_Invasive_Fibrosis,cap_value,肝脏脂肪衰减,decimal,dB/m,100-400,,,N,CAP值,脂肪变>248

Liver_Biopsy,biopsy_performed,肝活检,categorical,,,"Yes,No",,,N,是否肝穿刺,有创金标准
Liver_Biopsy,biopsy_date,活检日期,date,,,,,N,肝活检时间,病理时间
Liver_Biopsy,histologic_activity,组织学活动度,categorical,,,"G0,G1,G2,G3,G4",,,N,炎症分级,Scheuer/Metavir
Liver_Biopsy,fibrosis_stage,纤维化分期,categorical,,,"F0,F1,F2,F3,F4",,,N,纤维化Metavir,病理分期
Liver_Biopsy,steatosis,脂肪变,categorical,,,"None,Mild,Moderate,Severe",,,N,肝脂肪变,NAFLD合并
Liver_Biopsy,cirrhosis,肝硬化,categorical,,,"Yes,No",,,N,病理肝硬化,终末期

Imaging_Ultrasound,us_performed,肝脏超声,categorical,,,"Yes,No",,,N,是否超声检查,常规影像
Imaging_Ultrasound,liver_echogenicity,肝脏回声,categorical,,,"Normal,Coarse,Heterogeneous",,,N,肝实质回声,慢性肝病
Imaging_Ultrasound,liver_size,肝脏大小,categorical,,,"Normal,Enlarged,Shrunken",,,N,肝脏体积,肝硬化萎缩
Imaging_Ultrasound,splenomegaly,脾肿大,categorical,,,"Yes,No",,,N,脾脏增大,门脉高压
Imaging_Ultrasound,ascites,腹水,categorical,,,"Yes,No",,,N,腹腔积液,失代偿
Imaging_Ultrasound,portal_vein_diameter,门静脉内径,decimal,mm,5-30,,,N,PV直径,门脉高压>13mm
Imaging_Ultrasound,focal_lesion,局灶性病变,categorical,,,"Yes,No",,,N,占位性病变,HCC筛查

Imaging_CT_MRI,ct_mri_performed,CT/MRI,categorical,,,"CT,MRI,Both,None",,,N,CT或MRI检查,高级影像
Imaging_CT_MRI,hcc_detected,肝细胞癌检出,categorical,,,"Yes,No,Suspected",,,N,HCC影像,肿瘤筛查
Imaging_CT_MRI,hcc_lirads,LI-RADS分类,categorical,,,"LR_1,LR_2,LR_3,LR_4,LR_5,LR_M,NA",,,N,肝脏影像报告,HCC诊断
Imaging_CT_MRI,largest_lesion_size,最大病灶大小,decimal,cm,0-30,,,N,病灶最大径,分期/BCLC
Imaging_CT_MRI,number_of_lesions,病灶数量,categorical,,,"Solitary,2to3,More_than_3,Diffuse,None",,,N,肿瘤数目,Milan标准

Disease_Phase_HBV,hbv_phase,HBV自然史分期,categorical,,,"Immune_Tolerant,Immune_Active,Inactive_Carrier,HBeAg_Negative_CHB,HBsAg_Negative,NA",,,N,慢乙肝分期,治疗决策
Disease_Phase_HBV,immune_tolerant,免疫耐受期,categorical,,,"Yes,No,NA",,,N,IT期,HBeAg+高病毒低ALT
Disease_Phase_HBV,immune_active,免疫清除期,categorical,,,"Yes,No,NA",,,N,IA期,HBeAg+高病毒高ALT
Disease_Phase_HBV,inactive_carrier,非活动性携带,categorical,,,"Yes,No,NA",,,N,IC期,HBeAg-低病毒正常ALT
Disease_Phase_HBV,reactivation,再活动,categorical,,,"Yes,No,NA",,,N,HBV再激活,免疫抑制/化疗

Cirrhosis_Staging,cirrhosis_present,肝硬化,categorical,,,"Yes,No,Unknown",,,N,是否肝硬化,疾病终末期
Cirrhosis_Staging,child_pugh_score,Child-Pugh评分,integer,,5-15,,,N,CP评分,肝功能分级
Cirrhosis_Staging,child_pugh_class,Child-Pugh分级,categorical,,,"A,B,C,NA",,,N,CP分级,预后评估
Cirrhosis_Staging,meld_score,MELD评分,integer,,-10-60,,,N,MELD分数,移植排序
Cirrhosis_Staging,meld_na_score,MELD-Na评分,integer,,0-50,,,N,MELD-Na,改良MELD
Cirrhosis_Staging,decompensation,失代偿,categorical,,,"Yes,No,NA",,,N,失代偿事件,腹水/出血/肝性脑病

Complications,variceal_bleeding,食管胃底静脉曲张出血,categorical,,,"Yes,No",,,N,静脉曲张破裂,门脉高压并发症
Complications,hepatic_encephalopathy,肝性脑病,categorical,,,"Grade_0,Grade_1,Grade_2,Grade_3,Grade_4,None",,,N,HE分级,肝衰竭
Complications,hrs,肝肾综合征,categorical,,,"Yes,No",,,N,HRS,功能性肾衰
Complications,sbp,自发性细菌性腹膜炎,categorical,,,"Yes,No,Suspected",,,N,SBP,腹水感染
Complications,hepatopulmonary_syndrome,肝肺综合征,categorical,,,"Yes,No",,,N,HPS,低氧血症
Complications,portopulmonary_hypertension,门脉性肺动脉高压,categorical,,,"Yes,No",,,N,POPH,肺高压

HCC_Screening,surveillance_program,HCC监测,categorical,,,"Regular,Irregular,None",,,N,肝癌监测计划,6月超声+AFP
HCC_Screening,surveillance_interval,监测间隔,categorical,,,"Every_3_Months,Every_6_Months,Annually,None",,,N,筛查频率,高危3月
HCC_Screening,hcc_risk,HCC风险,categorical,,,"High,Intermediate,Low",,,N,肝癌风险分层,PAGE-B/mPAGE-B

Antiviral_Treatment_HBV,hbv_treatment,HBV抗病毒治疗,categorical,,,"Yes,No",,,N,乙肝抗病毒,NA(s)治疗
Antiviral_Treatment_HBV,hbv_treatment_indication,HBV治疗指征,categorical,,,"ALT_HBV_DNA,Cirrhosis,Family_History_HCC,Extrahepatic,Immune_Suppression,NA",,,N,抗病毒适应证,指南推荐
Antiviral_Treatment_HBV,hbv_drug,HBV抗病毒药物,categorical,,,"Entecavir,Tenofovir_DF,Tenofovir_AF,Lamivudine,Adefovir,Telbivudine,PegIFN,Combination,None",,,N,NA(s)种类,一线ETV/TDF
Antiviral_Treatment_HBV,hbv_treatment_start,HBV治疗开始日期,date,,,,,N,抗病毒起始时间,治疗时长
Antiviral_Treatment_HBV,hbv_treatment_duration,HBV治疗时长,integer,months,0-600,,,N,抗病毒月数,长期治疗
Antiviral_Treatment_HBV,hbv_virologic_response,HBV病毒学应答,categorical,,,"Complete,Partial,None,NA",,,N,病毒学应答,HBV DNA检测不到
Antiviral_Treatment_HBV,hbv_biochemical_response,HBV生化应答,categorical,,,"Yes,No,NA",,,N,生化应答,ALT正常化
Antiviral_Treatment_HBV,hbeag_seroconversion,HBeAg血清转换,categorical,,,"Yes,No,NA",,,N,e抗原血清转换,功能性治愈
Antiviral_Treatment_HBV,hbsag_loss,HBsAg清除,categorical,,,"Yes,No,NA",,,N,表面抗原消失,临床治愈
Antiviral_Treatment_HBV,hbsag_seroconversion,HBsAg血清转换,categorical,,,"Yes,No,NA",,,N,s抗原血清转换,完全治愈

Antiviral_Treatment_HCV,hcv_treatment,HCV抗病毒治疗,categorical,,,"Yes,No",,,N,丙肝抗病毒,DAA治疗
Antiviral_Treatment_HCV,hcv_treatment_naive,丙肝初治,categorical,,,"Treatment_Naive,Treatment_Experienced,NA",,,N,治疗史,初治/经治
Antiviral_Treatment_HCV,hcv_daa_regimen,DAA方案,categorical,,,"Sofosbuvir_Velpatasvir,Glecaprevir_Pibrentasvir,Sofosbuvir_Daclatasvir,Ledipasvir_Sofosbuvir,Elbasvir_Grazoprevir,Other,None",,,N,直接抗病毒药,泛基因型
Antiviral_Treatment_HCV,hcv_treatment_duration,HCV治疗疗程,categorical,,,"8_Weeks,12_Weeks,16_Weeks,24_Weeks,Other,NA",,,N,DAA疗程,8-12周
Antiviral_Treatment_HCV,hcv_on_treatment_response,HCV治疗中应答,categorical,,,"RVR,cEVR,ETR,NA",,,N,治疗应答,快速/早期/结束
Antiviral_Treatment_HCV,hcv_svr12,SVR12,categorical,,,"Yes,No,Pending,NA",,,N,持续病毒学应答12周,治愈标准
Antiviral_Treatment_HCV,hcv_relapse,HCV复发,categorical,,,"Yes,No,NA",,,N,病毒学复发,治疗失败

Interferon,interferon_use,干扰素治疗,categorical,,,"Yes,No",,,N,IFN治疗,免疫调节
Interferon,interferon_type,干扰素类型,categorical,,,"PegIFN_alpha_2a,PegIFN_alpha_2b,Standard_IFN,NA",,,N,IFN种类,聚乙二醇化
Interferon,interferon_duration,干扰素疗程,integer,weeks,0-200,,,N,IFN治疗周数,HBeAg+48周
Interferon,interferon_response,干扰素应答,categorical,,,"Yes,No,NA",,,N,IFN疗效,HBeAg转换
Interferon,interferon_side_effects,干扰素副作用,categorical,,,"Flu_Like,Cytopenia,Thyroid,Depression,Autoimmune,None,Other",,,N,IFN不良反应,耐受性

Treatment_Adherence,medication_adherence,用药依从性,categorical,,,"Good,Fair,Poor,Unknown",,,N,服药依从性,疗效关键
Treatment_Adherence,missed_doses_per_month,月漏服次数,integer,,0-100,,,N,每月漏服,依从性量化
Treatment_Adherence,treatment_interruption,治疗中断,categorical,,,"Yes,No",,,N,是否停药,依从性

Extrahepatic_Manifestations,cryoglobulinemia,冷球蛋白血症,categorical,,,"Yes,No",,,N,冷球蛋白,HCV肝外表现
Extrahepatic_Manifestations,glomerulonephritis,肾小球肾炎,categorical,,,"Yes,No",,,N,膜增生性肾小球肾炎,HCV/HBV相关
Extrahepatic_Manifestations,polyarteritis_nodosa,结节性多动脉炎,categorical,,,"Yes,No",,,N,PAN,HBV血管炎
Extrahepatic_Manifestations,diabetes,糖尿病,categorical,,,"Yes,No",,,N,糖尿病,HCV相关

Transmission_Risk,transmission_route,传播途径,categorical,,,"Blood_Transfusion,IVDU,Sexual,Vertical,Nosocomial,Unknown,Other",,,N,感染途径,流行病学
Transmission_Risk,family_screening,家庭筛查,categorical,,,"Done,Not_Done",,,N,家庭成员筛查,HBV阻断
Transmission_Risk,vaccination_status,疫苗接种,categorical,,,"Vaccinated,Not_Vaccinated,Unknown",,,N,HBV疫苗史,预防

Pregnancy,pregnancy_status,妊娠状态,categorical,,,"Pregnant,Planning,Postpartum,Not_Applicable",,,N,是否妊娠,特殊人群
Pregnancy,mtct_prophylaxis,母婴阻断,categorical,,,"Antiviral,HBIG,Both,None,NA",,,N,母婴传播阻断,HBV DNA>200000
Pregnancy,infant_vaccination,婴儿疫苗,categorical,,,"Yes,No,NA",,,N,新生儿HBV疫苗,主动免疫

Transplant,liver_transplant,肝移植,categorical,,,"Listed,Performed,Not_Indicated",,,N,肝移植状态,终末期治疗
Transplant,transplant_indication,移植指征,categorical,,,"Decompensated_Cirrhosis,HCC,Acute_Liver_Failure,NA",,,N,移植适应证,MELD评分
Transplant,post_transplant_prophylaxis,移植后预防,categorical,,,"HBIG,Antiviral,Combination,NA",,,N,移植后HBV预防,复发预防

Prognosis,disease_progression_risk,疾病进展风险,categorical,,,"High,Intermediate,Low",,,N,肝硬化/HCC风险,综合评估
Prognosis,mortality_risk,死亡风险,categorical,,,"High,Intermediate,Low",,,N,肝病相关死亡,MELD/CP
Prognosis,cure_likelihood,治愈可能性,categorical,,,"High,Moderate,Low,NA",,,N,HCV治愈/HBV功能治愈,DAA/NA

Follow_Up,monitoring_interval,随访间隔,categorical,,,"Every_3_Months,Every_6_Months,Annually",,,N,随访频率,疾病监测
Follow_Up,next_assessment,下次评估项目,categorical,,,"Virology,LFT,Imaging,Fibrosis,Comprehensive",,,N,复查项目,个体化监测
