Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,眼底检查日期,检查时间点
AMD,drusen_type,玻璃疣类型,categorical,,,"None,Small_Hard,Intermediate,Large_Soft,Reticular,Confluent,NA",,,N,玻璃疣分型,进展风险
AMD,geographic_atrophy,地图状萎缩,categorical,,,"Yes,No,NA",,,N,GA,晚期干性AMD
AMD,cnv,脉络膜新生血管,categorical,,,"Type_1_Occult,Type_2_Classic,Type_3_RAP,PCV,None,NA",,,N,CNV类型,湿性AMD
AMD,subretinal_fluid,视网膜下液,categorical,,,"Yes,No,NA",,,N,SRF,湿性AMD
AMD,subretinal_hemorrhage,视网膜下出血,categorical,,,"Yes,No,NA",,,N,出血,CNV
AMD,pigment_epithelial_detachment,RPE脱离,categorical,,,"Serous,Fibrovascular,Drusenoid,None,NA",,,N,PED类型,湿性AMD

Other_Retinal,retinal_detachment,视网膜脱离,categorical,,,"Rhegmatogenous,Tractional,Exudative,None",,,N,RD类型,裂孔性/牵拉性/渗出性
Other_Retinal,retinal_break,视网膜裂孔,categorical,,,"Yes,No",,,N,视网膜裂孔,RD高危
Other_Retinal,lattice_degeneration,格子样变性,categorical,,,"Yes,No",,,N,格子样变性,RD易感
Other_Retinal,cystoid_degeneration,囊样变性,categorical,,,"Yes,No",,,N,周边囊样变性,老化
Other_Retinal,retinitis_pigmentosa,视网膜色素变性,categorical,,,"Yes,No",,,N,RP,遗传性
Other_Retinal,csr,中心性浆液性脉络膜视网膜病变,categorical,,,"Yes,No",,,N,CSR,浆液性脱离
Other_Retinal,choroidal_nevus,脉络膜痣,categorical,,,"Yes,No",,,N,脉络膜痣,良性vs恶性鉴别

OCT,oct_performed,OCT检查,categorical,,,"Yes,No",,,N,光学相干断层扫描,黄斑结构
OCT,oct_quality,OCT质量,categorical,,,"Excellent,Good,Fair,Poor",,,N,OCT图像质量,信号强度
OCT,central_thickness_od,右眼中心凹厚度,integer,μm,0-1000,,,N,右眼CFT,正常200-300μm
OCT,central_thickness_os,左眼中心凹厚度,integer,μm,0-1000,,,N,左眼CFT,黄斑水肿>300
OCT,macular_volume_od,右眼黄斑容积,decimal,mm³,0-20,,,N,右眼黄斑体积,定量评估
OCT,macular_volume_os,左眼黄斑容积,decimal,mm³,0-20,,,N,左眼黄斑体积,定量评估

OCT_Findings,oct_cme,OCT囊样水肿,categorical,,,"Yes,No,NA",,,N,囊样改变,CME
OCT_Findings,oct_srf,OCT视网膜下液,categorical,,,"Yes,No,NA",,,N,SRF,渗出/CNV
OCT_Findings,oct_irf,OCT视网膜内液,categorical,,,"Yes,No,NA",,,N,IRF,黄斑水肿
OCT_Findings,oct_epiretinal_membrane,OCT黄斑前膜,categorical,,,"Yes,No,NA",,,N,ERM,牵拉
OCT_Findings,oct_vitreo_macular_traction,OCT玻璃体黄斑牵拉,categorical,,,"Yes,No,NA",,,N,VMT,黄斑裂孔前期
OCT_Findings,oct_macular_hole,OCT黄斑裂孔,categorical,,,"Full_Thickness,Lamellar,Pseudo,None,NA",,,N,MH,分层
OCT_Findings,oct_drusen,OCT玻璃疣,categorical,,,"Yes,No,NA",,,N,玻璃疣,AMD
OCT_Findings,oct_rpe_changes,OCT RPE改变,categorical,,,"Normal,Irregular,Detachment,Atrophy,NA",,,N,RPE异常,AMD/CSR
OCT_Findings,ellipsoid_zone_disruption,椭圆体带中断,categorical,,,"Yes,No,NA",,,N,EZ破坏,光感受器损伤

OCT_RNFL,rnfl_od_average,右眼平均RNFL厚度,integer,μm,0-200,,,N,右眼RNFL平均,青光眼
OCT_RNFL,rnfl_os_average,左眼平均RNFL厚度,integer,μm,0-200,,,N,左眼RNFL平均,神经纤维层
OCT_RNFL,rnfl_thinning,RNFL变薄,categorical,,,"Superior,Inferior,Nasal,Temporal,Diffuse,None",,,N,RNFL缺损象限,青光眼
OCT_RNFL,gcipl_od,右眼GC-IPL厚度,integer,μm,0-150,,,N,右眼神经节细胞层,青光眼
OCT_RNFL,gcipl_os,左眼GC-IPL厚度,integer,μm,0-150,,,N,左眼神经节细胞层,早期青光眼敏感

OCT_Angiography,octa_performed,OCTA检查,categorical,,,"Yes,No",,,N,OCT血管成像,无创血流
OCTA,superficial_capillary_plexus,浅层毛细血管丛,categorical,,,"Normal,Reduced_Density,Enlarged_FAZ,Nonperfusion,NA",,,N,SCP,黄斑区血流
OCTA,deep_capillary_plexus,深层毛细血管丛,categorical,,,"Normal,Reduced_Density,Nonperfusion,NA",,,N,DCP,深层缺血
OCTA,faz_area,中心凹无血管区,decimal,mm²,0-2,,,N,FAZ面积,正常0.2-0.3mm²
OCTA,vessel_density,血管密度,decimal,%,0-100,,,N,血管密度,灌注评估
OCTA,cnv_octa,OCTA新生血管,categorical,,,"Yes,No,NA",,,N,CNV检出,湿性AMD

Fluorescein_Angiography,fa_performed,荧光血管造影,categorical,,,"Yes,No",,,N,FFA检查,血流动力学
FA,fa_timing,造影时期,categorical,,,"Early,Mid_Phase,Late,Recirculation,NA",,,N,造影时相,动态观察
FA,hyperfluorescence,高荧光,categorical,,,"Window_Defect,Pooling,Leakage,Staining,None,NA",,,N,高荧光类型,渗漏vs透见
FA,hypofluorescence,低荧光,categorical,,,"Blocked_Fluorescence,Filling_Defect,None,NA",,,N,低荧光,阻挡vs缺血
FA,capillary_nonperfusion,毛细血管无灌注,categorical,,,"Yes,No,NA",,,N,无灌注区,缺血性病变
FA,neovascularization_fa,FA新生血管,categorical,,,"Yes,No,NA",,,N,新生血管渗漏,PDR/湿性AMD
FA,cme_petalloid,花瓣状CME,categorical,,,"Yes,No,NA",,,N,花瓣状水肿,CME特征

ICGA,icga_performed,吲哚青绿造影,categorical,,,"Yes,No",,,N,ICGA检查,脉络膜
ICGA,polypoidal_lesions,息肉样病变,categorical,,,"Yes,No,NA",,,N,息肉样,PCV
ICGA,plaque,斑块,categorical,,,"Yes,No,NA",,,N,ICGA斑块,PCV
ICGA,branching_vascular_network,分支血管网,categorical,,,"Yes,No,NA",,,N,BVN,PCV特征

Treatment,prior_treatment,既往治疗,categorical,,,"None,Laser,Anti_VEGF,Steroid,Surgery,Combination",,,N,治疗史,疗效评估
Treatment,anti_vegf_injections,抗VEGF注射,categorical,,,"Yes,No",,,N,玻璃体腔注药,湿性AMD/DME
Treatment,anti_vegf_agent,抗VEGF药物,categorical,,,"Ranibizumab,Aflibercept,Bevacizumab,Brolucizumab,Faricimab,None",,,N,具体药物,治疗方案
Treatment,number_of_injections,注射次数,integer,,0-100,,,N,累计注射数,疗程
Treatment,laser_photocoagulation,激光光凝,categorical,,,"Focal,Grid,PRP,Barrier,None",,,N,激光类型,DR/RVO/RD
Treatment,steroid_implant,激素植入,categorical,,,"Dexamethasone,Fluocinolone,None",,,N,缓释激素,DME/RVO
Treatment,vitrectomy,玻璃体切除术,categorical,,,"Yes,No",,,N,玻切手术,VH/TRD/MH

Response,treatment_response,治疗反应,categorical,,,"Complete,Partial,Stable,Progression,NA",,,N,疗效评估,应答
Response,vision_change,视力变化,categorical,,,"Improved,Stable,Worse,NA",,,N,视力改变,功能结局
Response,anatomic_response,解剖反应,categorical,,,"Resolution,Reduction,No_Change,Worse,NA",,,N,结构改善,OCT厚度

Follow_Up,follow_up_interval,随访间隔,categorical,,,"1_Month,3_Months,6_Months,12_Months,As_Needed",,,N,复查频率,个体化
Follow_Up,next_appointment,下次复诊,date,,,,,N,预约时间,随访计划

Diagnosis,primary_diagnosis,主要诊断,categorical,,,"Normal,Diabetic_Retinopathy,AMD,RVO,Glaucoma,Macular_Hole,ERM,RD,Other",,,Y,主要诊断,疾病分类
Diagnosis,secondary_diagnoses,次要诊断,string,,,,,N,其他诊断,合并眼病
