Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,甲减确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,years,0-120,,,N,甲减确诊时年龄,各年龄段可发病
Presentation_Symptoms,dry_skin,皮肤干燥,categorical,,,"Severe,Moderate,Mild,None",,,N,皮肤干燥程度,黏液性水肿
Presentation_Symptoms,hair_loss,脱发,categorical,,,"Severe,Moderate,Mild,None",,,N,脱发程度,毛发稀疏
Presentation_Symptoms,hoarseness,声音嘶哑,categorical,,,"Yes,No",,,N,是否声嘶,声带水肿
Presentation_Symptoms,muscle_cramps,肌肉痉挛,categorical,,,"Frequent,Occasional,None",,,N,肌肉痉挛,肌病表现
Presentation_Symptoms,paresthesia,感觉异常,categorical,,,"Yes,No",,,N,麻木刺痛,周围神经病变
Presentation_Symptoms,menorrhagia,月经过多,categorical,,,"Yes,No,NA",,,N,月经量增加(女性),生育影响
Presentation_Symptoms,cognitive_impairment,认知障碍,categorical,,,"Severe,Moderate,Mild,None",,,N,记忆力减退,精神症状
Presentation_Symptoms,depression,抑郁,categorical,,,"Severe,Moderate,Mild,None",,,N,抑郁程度,情绪改变
Presentation_Symptoms,bradycardia,心动过缓,categorical,,,"Yes,No",,,N,是否心率慢,心脏表现

Physical_Exam,heart_rate,心率,integer,bpm,30-200,8867-4,,N,静息心率,心动过缓<60
Physical_Exam,systolic_bp,收缩压,integer,mmHg,60-250,8480-6,,N,收缩压,舒张压升高为主
Physical_Exam,diastolic_bp,舒张压,integer,mmHg,30-150,8462-4,,N,舒张压,舒张压升高
Physical_Exam,bmi,体质指数,decimal,kg/m²,10-60,39156-5,,N,BMI,体重增加趋势
Physical_Exam,temperature,体温,decimal,°C,35-42,8310-5,,N,体温,偏低
Physical_Exam,goiter,甲状腺肿大,categorical,,,"None,Grade_1,Grade_2,Grade_3",,,N,甲状腺肿大程度,桥本可有肿大
Physical_Exam,thyroid_texture,甲状腺质地,categorical,,,"Firm,Nodular,Rubbery,Soft,Normal",,,N,甲状腺触诊,桥本质韧
Physical_Exam,myxedema,黏液性水肿,categorical,,,"Severe,Moderate,Mild,None",,,N,非凹陷性水肿,面部/眼睑
Physical_Exam,periorbital_edema,眼睑水肿,categorical,,,"Present,Absent",,,N,眼周水肿,特征表现
Physical_Exam,facial_puffiness,面部浮肿,categorical,,,"Present,Absent",,,N,颜面浮肿,黏液性水肿
Physical_Exam,macroglossia,舌大,categorical,,,"Present,Absent",,,N,舌体肥大,黏蛋白沉积
Physical_Exam,delayed_relaxation,腱反射延迟,categorical,,,"Present,Absent,Not_Tested",,,N,反射松弛期延长,神经系统体征
Physical_Exam,skin_pallor,皮肤苍白,categorical,,,"Present,Absent",,,N,皮肤苍白,贫血/循环
Physical_Exam,yellowish_skin,皮肤发黄,categorical,,,"Present,Absent",,,N,胡萝卜素血症,维生素A代谢

Laboratory_Thyroid,tsh,促甲状腺激素,decimal,mIU/L,0-200,3016-3,,Y,TSH水平,原发性甲减升高
Laboratory_Thyroid,ft4,游离甲状腺素,decimal,pmol/L,0-50,3024-7,,Y,FT4水平,原发性甲减降低
Laboratory_Thyroid,ft3,游离三碘甲腺原氨酸,decimal,pmol/L,0-20,3021-3,,N,FT3水平,晚期降低
Laboratory_Thyroid,total_t4,总甲状腺素,decimal,nmol/L,0-300,3053-6,,N,TT4水平,受结合蛋白影响
Laboratory_Thyroid,total_t3,总三碘甲腺原氨酸,decimal,nmol/L,0-5,3051-0,,N,TT3水平,辅助诊断
Laboratory_Thyroid,tsh_ft4_pattern,甲功模式,categorical,,,"Primary_Hypothyroidism,Subclinical_Hypothyroidism,Central_Hypothyroidism,Normal",,,N,甲减类型,诊断分类

Laboratory_Antibodies,tpo_antibody,甲状腺过氧化物酶抗体,decimal,IU/mL,0-2000,8099-7,,N,TPO-Ab滴度,桥本标志
Laboratory_Antibodies,tpo_positive,TPO-Ab阳性,categorical,,,"Positive,Negative",,,N,TPO-Ab定性,90-95%桥本阳性
Laboratory_Antibodies,tg_antibody,甲状腺球蛋白抗体,decimal,IU/mL,0-1000,8098-9,,N,TG-Ab滴度,桥本80%阳性
Laboratory_Antibodies,tg_positive,TG-Ab阳性,categorical,,,"Positive,Negative",,,N,TG-Ab定性,辅助桥本诊断
Laboratory_Antibodies,trab,TSH受体抗体,decimal,IU/L,0-50,8098-9,,N,TRAb水平,罕见阻断型抗体

Laboratory_Lipids,total_cholesterol,总胆固醇,decimal,mmol/L,0-20,2093-3,,N,TC水平,常升高
Laboratory_Lipids,ldl_cholesterol,低密度脂蛋白胆固醇,decimal,mmol/L,0-15,18262-6,,N,LDL-C水平,升高显著
Laboratory_Lipids,hdl_cholesterol,高密度脂蛋白胆固醇,decimal,mmol/L,0-5,2085-9,,N,HDL-C水平,可降低
Laboratory_Lipids,triglycerides,甘油三酯,decimal,mmol/L,0-20,2571-8,,N,TG水平,常升高
Laboratory_Lipids,lipid_abnormality,血脂异常,categorical,,,"Yes,No",,,N,是否血脂异常,继发性高脂血症

Laboratory_Other,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,N,Hb水平,贫血常见
Laboratory_Other,anemia_type,贫血类型,categorical,,,"Normocytic,Macrocytic,Microcytic,None",,,N,贫血分型,正细胞性常见
Laboratory_Other,creatine_kinase,肌酸激酶,integer,U/L,0-5000,2157-6,,N,CK水平,肌病升高
Laboratory_Other,liver_alt,丙氨酸转氨酶,integer,U/L,0-1000,1742-6,,N,ALT水平,偶尔升高
Laboratory_Other,liver_ast,天冬氨酸转氨酶,integer,U/L,0-1000,1920-8,,N,AST水平,肝功能
Laboratory_Other,creatinine,肌酐,decimal,μmol/L,0-1000,2160-0,,N,血肌酐,肾功能
Laboratory_Other,sodium,血钠,decimal,mmol/L,100-200,2951-2,,N,血清钠,低钠血症风险
Laboratory_Other,prolactin,泌乳素,decimal,ng/mL,0-200,2842-3,,N,PRL水平,原发性甲减可升高
Laboratory_Other,ferritin,铁蛋白,decimal,ng/mL,0-2000,2276-4,,N,铁蛋白水平,评估铁储备

Subclinical,subclinical_hypothyroidism,亚临床甲减,categorical,,,"Yes,No",,,N,是否亚临床甲减,TSH↑FT4正常
Subclinical,tsh_level_category,TSH水平分层,categorical,,,"4.5_to_10,10_to_20,Greater_than_20,Normal",,,N,TSH升高程度,治疗指征
Subclinical,symptoms_present,有症状,categorical,,,"Yes,No,Unclear",,,N,亚临床是否有症状,治疗决策
Subclinical,cardiovascular_risk,心血管风险,categorical,,,"High,Moderate,Low,Unknown",,,N,心血管危险分层,亚临床治疗考量
Subclinical,pregnancy_planning,备孕/妊娠,categorical,,,"Yes,No,NA",,,N,是否备孕或妊娠,治疗指征

Imaging,ultrasound_performed,超声检查,categorical,,,"Yes,No",,,N,是否做甲状腺超声,基线评估
Imaging,ultrasound_date,超声日期,date,,,,,N,甲状腺超声时间,影像时间
Imaging,thyroid_volume,甲状腺体积,decimal,mL,0-150,,,N,腺体总体积,萎缩或肿大
Imaging,gland_size,腺体大小,categorical,,,"Enlarged,Normal,Atrophic",,,N,大小评估,桥本可肿大
Imaging,echogenicity,回声,categorical,,,"Hypoechoic,Heterogeneous,Normal",,,N,回声特征,桥本低回声
Imaging,vascularity,血流,categorical,,,"Increased,Normal,Decreased",,,N,血流信号,炎症期增加
Imaging,nodules,结节,categorical,,,"Yes,No",,,N,是否有结节,桥本可伴结节

Congenital,newborn_screening,新生儿筛查,categorical,,,"Positive,Negative,Not_Done,NA",,,N,新筛结果,先天性甲减
Congenital,screening_tsh,筛查TSH,decimal,mIU/L,0-200,,,N,新筛TSH值,>20可疑
Congenital,age_at_treatment_start,治疗开始年龄,integer,days,0-365,,,N,开始治疗日龄,<14天理想
Congenital,congenital_type,先天类型,categorical,,,"Dysgenesis,Dyshormonogenesis,Central,Transient,Unknown,NA",,,N,先天性甲减分型,病因分类

Treatment_LT4,levothyroxine_treatment,左旋甲状腺素治疗,categorical,,,"Yes,No,Planned",,,Y,是否LT4替代,标准治疗
Treatment_LT4,lt4_start_date,LT4开始日期,date,,,,,N,开始替代治疗时间,治疗记录
Treatment_LT4,lt4_initial_dose,LT4起始剂量,decimal,μg/day,0-500,,,N,初始每日剂量,1.6μg/kg理想体重
Treatment_LT4,lt4_current_dose,LT4当前剂量,decimal,μg/day,0-500,,,N,当前每日剂量,个体化调整
Treatment_LT4,lt4_formulation,LT4制剂,categorical,,,"Tablet,Liquid,Gel_Cap,Injection",,,N,剂型,液体吸收更稳定
Treatment_LT4,lt4_brand,LT4品牌,categorical,,,"Consistent_Brand,Switched,Generic,Unknown",,,N,品牌一致性,避免频繁更换
Treatment_LT4,lt4_timing,服药时间,categorical,,,"Morning_Fasting,Bedtime,With_Food,Variable",,,N,服药时机,空腹晨服吸收最佳
Treatment_LT4,lt4_compliance,依从性,categorical,,,"Good,Moderate,Poor,Unknown",,,N,服药依从性,疗效关键

Treatment_Pregnancy,pregnancy_hypothyroidism,妊娠期甲减,categorical,,,"Yes,No,NA",,,N,妊娠合并甲减,特殊人群
Treatment_Pregnancy,pregnancy_trimester,妊娠期,categorical,,,"Preconception,First,Second,Third,Postpartum,NA",,,N,妊娠阶段,剂量调整
Treatment_Pregnancy,lt4_dose_increase,孕期剂量增加,categorical,,,"Yes,No,NA",,,N,是否增加LT4,通常需增加25-50%
Treatment_Pregnancy,pregnancy_tsh_target,孕期TSH目标,categorical,,,"Less_than_2.5,2.5_to_3.0,Individualized,NA",,,N,TSH控制目标,孕早期<2.5
Treatment_Pregnancy,fetal_development,胎儿发育,categorical,,,"Normal,Abnormal,Unknown,NA",,,N,胎儿发育情况,神经发育关键

Response_Assessment,latest_tsh,最近TSH,decimal,mIU/L,0-200,3016-3,,N,最近TSH水平,疗效监测
Response_Assessment,latest_ft4,最近FT4,decimal,pmol/L,0-50,3024-7,,N,最近FT4水平,达标评估
Response_Assessment,latest_assessment_date,最近评估日期,date,,,,,N,最近一次随访时间,监测频率
Response_Assessment,euthyroid_achieved,达到甲功正常,categorical,,,"Yes,No,Not_Yet",,,N,是否恢复正常,治疗目标
Response_Assessment,time_to_euthyroid,达正常时间,integer,weeks,0-104,,,N,从治疗到正常周数,通常6-8周
Response_Assessment,dose_stable,剂量稳定,categorical,,,"Yes,No",,,N,LT4剂量是否稳定,调整完成
Response_Assessment,overtreatment,过度治疗,categorical,,,"Yes,No",,,N,是否过度替代,TSH抑制风险
Response_Assessment,undertreatment,治疗不足,categorical,,,"Yes,No",,,N,是否替代不足,TSH仍高

Complications,myxedema_coma,黏液性水肿昏迷,categorical,,,"Yes,No,Resolved",,,N,是否发生昏迷,严重急症
Complications,coma_trigger,昏迷诱因,categorical,,,"Infection,Cold_Exposure,Sedatives,Stroke,Surgery,Unknown,NA",,,N,触发因素,急症预防
Complications,cardiac_complications,心脏并发症,categorical,,,"Pericardial_Effusion,Heart_Failure,Bradycardia,None,Other",,,N,心脏受累,心包积液
Complications,atherosclerosis,动脉粥样硬化,categorical,,,"Yes,No,Unknown",,,N,是否动脉硬化,长期并发症
Complications,fertility_issues,生育问题,categorical,,,"Infertility,Miscarriage,None,Unknown,NA",,,N,生育受影响,女性并发症
Complications,cognitive_decline,认知下降,categorical,,,"Severe,Moderate,Mild,None",,,N,认知功能减退,老年患者

Follow_Up,follow_up_interval,随访间隔,categorical,,,"Every_4_Weeks,Every_6_to_8_Weeks,Every_3_Months,Every_6_Months,Annually",,,N,随访频率,调整期vs稳定期
Follow_Up,monitoring_parameters,监测指标,categorical,,,"TSH_Only,TSH_FT4,Full_Panel,Plus_Lipids,Comprehensive",,,N,监测项目,个体化
Follow_Up,dose_adjustment_frequency,剂量调整频率,categorical,,,"Frequent,Occasional,Stable,Not_Needed",,,N,调整频率,滴定阶段
Follow_Up,interfering_factors,干扰因素,categorical,,,"Medications,Malabsorption,Pregnancy,None,Other",,,N,影响因素,调整考量
Follow_Up,medication_interactions,药物相互作用,categorical,,,"PPI,Iron,Calcium,Soy,Fiber,None,Other",,,N,相互作用药物,分开服用

Prognosis,long_term_outcome,长期结局,categorical,,,"Well_Controlled,Partial_Control,Refractory,Progression,Unknown",,,N,疾病转归,治疗效果
Prognosis,quality_of_life,生活质量,categorical,,,"Good,Fair,Poor,Unknown",,,N,生活质量评估,症状控制
Prognosis,treatment_burden,治疗负担,categorical,,,"Low,Moderate,High,Unknown",,,N,治疗负担程度,依从性影响
