字段名(英文),字段名(中文),数据类型,描述,示例
mammography.mass.density,肿块密度,String,"**高密度**: 常见于癌/纤维腺瘤<br>**等密度**: 可良可恶<br>**低密度**: 多为良性(脂肪瘤)<br>**含脂密度**: 良性(脂肪瘤/油囊肿)",高密度

# 钙化灶分析 (Calcification)
calcification.present,钙化存在,Boolean,是否存在钙化,true
calcification.distribution,钙化分布,String,"**散在**: 良性<br>**区域性**: 可疑<br>**线性/段状**: 高度可疑(导管内癌可能)<br>**簇状**: 可疑(≥5个钙化点/1cm²)",簇状
calcification.morphology,钙化形态,String,"**粗大良性钙化**: 爆米花样/棒状/圆形/蛋壳样/血管壁钙化<br>**可疑钙化**: 无定形/粗糙不均匀<br>**高度可疑钙化**: 细小多形性(<0.5mm)/细小线样/分支状",细小多形性钙化
calcification.birads,钙化BI-RADS,String,"**典型良性钙化**: BI-RADS 2<br>**可疑钙化**: BI-RADS 4A-4B<br>**高度可疑钙化**: BI-RADS 4C-5",BI-RADS 4B
calcification.size,钙化范围,Number,钙化灶范围最大径(mm),12

# 超声检查特有字段
ultrasound.mass.shape,超声肿块形态,String,"**圆形/椭圆形**: 良性倾向<br>**不规则**: 可疑恶性",椭圆形
ultrasound.mass.orientation,肿块纵横比,String,"**纵横比<1**: 良性倾向(平行于皮肤)<br>**纵横比≥1**: 可疑恶性(垂直于皮肤,不平行征)",纵横比0.7
ultrasound.mass.margin,超声边缘,String,"**清晰光滑**: 良性<br>**微分叶**: 中等可疑<br>**不规则**: 可疑<br>**成角/毛刺**: 高度可疑恶性",清晰光滑
ultrasound.mass.echoPattern,回声特征,String,"**无回声**: 囊肿<br>**低回声**: 纤维腺瘤/癌<br>**等回声**: 少见<br>**高回声**: 脂肪瘤/错构瘤<br>**复杂回声**: 可疑",低回声
ultrasound.mass.posteriorFeatures,后方回声,String,"**后方增强**: 良性(囊肿/纤维腺瘤)<br>**后方衰减**: 可疑恶性/纤维化<br>**无变化**: 无特异性",后方增强
ultrasound.calcification,超声钙化,String,"**粗大钙化**: 良性<br>**微小钙化**: 可疑(需结合钼靶)",无钙化

# 超声弹性成像 (Elastography)
elastography.performed,弹性成像检查,Boolean,是否进行超声弹性成像,true
elastography.strain.score,应变弹性评分,Number,"**1分**: 整体弹性均匀(良性)<br>**2分**: 大部分弹性(良性倾向)<br>**3分**: 部分弹性(可疑)<br>**4分**: 整体僵硬(可疑恶性)<br>**5分**: 整体僵硬+周围组织(高度可疑)",2
elastography.shearWave.velocity,剪切波速度,Number,"**良性**: <3.5 m/s<br>**恶性**: >4.5 m/s<br>**灰区**: 3.5-4.5 m/s",2.8
elastography.shearWave.elasticity,杨氏模量,Number,"**良性**: <50 kPa<br>**恶性**: >80 kPa<br>**界值**: 50-80 kPa",38

# 血流评估 (Color Doppler)
doppler.performed,多普勒检查,Boolean,是否进行彩色多普勒血流检查,true
doppler.vascularity,血流分级,String,"**0级**: 无血流<br>**I级**: 少许血流(1-2个血管)<br>**II级**: 中等血流(3-4个血管)<br>**III级**: 丰富血流(≥5个血管或穿支血管)<br>**恶性倾向**: II-III级",I级
doppler.ri,阻力指数RI,Number,"**良性**: RI <0.7<br>**恶性**: RI >0.75<br>**灰区**: 0.7-0.75",0.58
doppler.pulsatility,搏动指数PI,Number,动脉搏动指数,1.2

# 淋巴结评估
lymphNode.present,腋窝淋巴结,Boolean,是否发现腋窝淋巴结肿大,false
lymphNode.location,淋巴结位置,String,"**腋窝**: I/II/III组<br>**锁骨上**: 可疑远处转移<br>**内乳**: 少见",腋窝I组
lymphNode.size,淋巴结大小,Number,"淋巴结短径(mm)<br>**正常**: <10mm<br>**可疑**: >10mm",8
lymphNode.morphology,淋巴结形态,String,"**正常**: 椭圆形,皮髓质分界清,门部血流<br>**可疑**: 圆形,皮髓质分界消失,周边血流<br>**高度可疑**: 不规则形态,不均匀回声",正常椭圆形

# MRI检查字段 (高危筛查/术前评估)
mri.performed,MRI检查,Boolean,是否进行乳腺MRI检查,false
mri.indication,MRI指征,String,"**高危筛查**: BRCA突变(年度MRI+钼靶)<br>**术前评估**: 评估肿瘤范围/多灶性/对侧乳腺<br>**钼靶/超声不确定**: BI-RADS 0/3/4<br>**新辅助化疗评估**: 肿瘤退缩评估<br>**假体完整性**: 假体破裂评估",术前评估
mri.enhancement.pattern,强化模式,String,"**良性强化**: 缓慢持续性强化<br>**可疑强化**: 快速早期强化+平台期<br>**恶性强化**: 快进快出(wash-out型)",缓慢持续性强化
mri.enhancement.morphology,强化形态,String,"**肿块样强化**: 边缘/内部强化特点<br>**非肿块样强化**: 线样/段样/区域性/弥漫性<br>**环形强化**: 可疑恶性",肿块样强化
mri.diffusion,DWI扩散受限,Boolean,"**DWI高信号+ADC低值**: 可疑恶性(细胞密度高)<br>**ADC值**: <1.0×10⁻³ mm²/s可疑恶性",false
mri.birads,MRI BI-RADS,String,MRI检查BI-RADS分类,BI-RADS 2

# 活检建议与穿刺
biopsy.recommended,活检推荐,Boolean,"**BI-RADS 4-5**: 强烈推荐活检<br>**BI-RADS 3**: 短期随访或活检可选",true
biopsy.type,活检方式,String,"**空芯针活检**: CNB(14-16G),首选<br>**真空辅助**: VAB(8-11G),微小钙化灶<br>**细针穿刺**: FNA(21-25G),囊肿抽吸<br>**切除活检**: 开放手术活检",空芯针活检(14G)
biopsy.guidance,引导方式,String,"**超声引导**: 实时可视,常用<br>**立体定位**: 钼靶引导,钙化灶<br>**MRI引导**: MRI可见非超声可见病灶",超声引导
biopsy.clips,标记夹放置,Boolean,"活检后放置金属标记夹<br>**目的**: 术前定位/新辅助化疗后定位",true

# 病理结果 (如已活检)
pathology.performed,病理检查,Boolean,是否已完成病理检查,false
pathology.result,病理结果,String,"**良性**: 纤维腺瘤/腺病/导管内乳头状瘤/脂肪坏死<br>**高危病变**: 不典型增生(ADH/ALH)/LCIS/扁平上皮不典型增生/放射状瘢痕<br>**恶性**: 浸润性导管癌/浸润性小叶癌/DCIS/LCIS",纤维腺瘤
pathology.histology,组织学类型,String,"**浸润性导管癌**: 70-80%<br>**浸润性小叶癌**: 10-15%<br>**DCIS**: 导管原位癌<br>**LCIS**: 小叶原位癌<br>**特殊类型**: 黏液癌/髓样癌/管状癌",浸润性导管癌
pathology.grade,组织学分级,String,"**G1**: 高分化(预后好)<br>**G2**: 中分化<br>**G3**: 低分化(预后差)",G2
pathology.ihc.er,ER受体,String,"**阳性**: ≥1%细胞核阳性<br>**Allred评分**: 0-8分",ER阳性(80%)
pathology.ihc.pr,PR受体,String,"**阳性**: ≥1%细胞核阳性",PR阳性(60%)
pathology.ihc.her2,HER2状态,String,"**0/1+**: 阴性<br>**2+**: 可疑,需FISH确认<br>**3+**: 阳性(曲妥珠单抗适应证)<br>**FISH**: HER2/CEP17比值≥2.0",HER2 1+(阴性)
pathology.ihc.ki67,Ki-67增殖指数,Number,"**<14%**: 低增殖<br>**14-30%**: 中等增殖<br>**>30%**: 高增殖(化疗获益)",18
pathology.molecularSubtype,分子分型,String,"**Luminal A**: ER+/PR+,HER2-,Ki67<14%(预后最好)<br>**Luminal B(HER2-)**: ER+,HER2-,Ki67≥14%或PR低<br>**Luminal B(HER2+)**: ER+,HER2+<br>**HER2富集**: ER-,PR-,HER2+<br>**三阴性**: ER-,PR-,HER2-(预后最差,BRCA相关)",Luminal A

# 高危因素评估
riskFactors.age,年龄,Number,患者年龄(岁),45
riskFactors.familyHistory,家族史,Boolean,"一级亲属乳腺癌/卵巢癌史<br>**BRCA1/2突变**: 终生乳腺癌风险40-80%",false
riskFactors.brca,BRCA基因检测,String,"**BRCA1突变**: 乳腺癌风险55-72%,卵巢癌风险39-46%<br>**BRCA2突变**: 乳腺癌风险45-69%,卵巢癌风险11-27%<br>**建议年度MRI+钼靶**: 25-30岁起",未检测
riskFactors.priorBiopsy,既往活检史,String,"**高危病变**: ADH/ALH/LCIS/放射状瘢痕→癌变风险↑4-5倍<br>**良性病变**: 纤维腺瘤/囊肿→风险不增加",无
riskFactors.priorCancer,既往乳腺癌史,Boolean,对侧乳腺癌风险↑2-6倍,false
riskFactors.chestRadiation,胸部放疗史,Boolean,"10-30岁间胸部放疗(霍奇金淋巴瘤)<br>**癌变风险**: ↑8-10倍,放疗后8-10年起筛查",false
riskFactors.menstrualHistory,月经史,String,"**初潮早**: <12岁<br>**绝经晚**: >55岁<br>**未生育/晚育**: >30岁首次生育<br>**未哺乳**: 风险↑",初潮13岁,绝经未至
riskFactors.hrt,激素替代治疗,Boolean,"**雌孕激素联合HRT**: 风险↑1.26倍<br>**单纯雌激素**: 风险不明显↑<br>**停用5年后**: 风险恢复正常",false

# 筛查建议
screening.category,筛查风险分层,String,"**一般风险**: 无高危因素<br>**中等风险**: 一级亲属乳腺癌史/既往高危病变<br>**高危**: BRCA突变/胸部放疗史/终生风险>20%",一般风险
screening.recommendation,筛查建议,String,"**一般风险女性**:<br>  - 40-44岁: 可选择年度钼靶<br>  - 45-54岁: 年度钼靶<br>  - ≥55岁: 每2年钼靶或继续年度<br>  - 致密乳腺: 联合超声<br>**高危女性**:<br>  - 25-30岁起: 年度MRI+钼靶<br>  - BRCA突变: 考虑预防性乳房切除/卵巢切除",45岁起年度钼靶+超声
screening.nextExam,下次检查时间,Date,建议下次检查日期,2026-03-15

# 随访计划
followUp.required,需要随访,Boolean,是否需要随访,true
followUp.interval,随访间隔,String,"**BI-RADS 3**: 6个月/12个月/24个月(共2年)<br>**BI-RADS 4-5活检后**: 根据病理结果<br>**良性高危病变**: 6个月影像+每年体检",6个月
followUp.modality,随访方式,String,"**超声**: 致密乳腺年轻女性<br>**钼靶**: 标准筛查<br>**MRI**: 高危人群/术前评估<br>**联合**: 钼靶+超声",钼靶+超声

# 报告信息
reportingPhysician,报告医师,String,影像报告医师姓名,李医师
reportDate,报告日期,Date,报告签发日期,2025-03-16
reportFinalized,报告终审,Boolean,报告是否已终审,true
comparisonStudy,对比检查,String,与既往检查对比情况,较2024-03-10检查无明显变化
impression,影像学印象,String,总体影像学印象和结论,右乳外上象限圆形低回声结节,考虑纤维腺瘤,BI-RADS 3,建议6个月随访
notes,备注,String,其他重要信息或特殊说明,患者对活检有顾虑,选择短期随访方案
