字段名 (英文),字段名 (中文),数据类型,描述,示例
symptoms.cushingDisease.purpleStriae,库欣病症状.紫纹,String,"紫纹分布。<br>**建议值**: `无`, `少量`, `广泛`",无
symptoms.cushingDisease.muscleWeakness,库欣病症状.肌无力,String,"肌无力程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.prolactinoma.galactorrhea,泌乳素瘤症状.溢乳,String,"溢乳情况。<br>**建议值**: `无`, `少量`, `大量`",无
symptoms.prolactinoma.amenorrhea,泌乳素瘤症状.闭经,String,"闭经情况（女性）。<br>**建议值**: `无`, `继发性闭经`, `原发性闭经`",无
symptoms.prolactinoma.erectileDysfunction,泌乳素瘤症状.勃起功能障碍,String,"勃起功能障碍（男性）。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.prolactinoma.libidoDecrease,泌乳素瘤症状.性欲减退,String,"性欲减退程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hypopituitarism.fatigue,垂体功能减退症状.乏力,String,"乏力程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hypopituitarism.coldIntolerance,垂体功能减退症状.怕冷,String,"怕冷程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.hypopituitarism.weightLoss,垂体功能减退症状.体重减轻,String,"体重减轻程度。<br>**建议值**: `无`, `轻度`, `中度`, `明显`",无
symptoms.hypopituitarism.hypotension,垂体功能减退症状.低血压,String,"低血压程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.diabetesInsipidus.polyuria,尿崩症症状.多尿,String,"多尿程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.diabetesInsipidus.polydipsia,尿崩症症状.多饮,String,"多饮程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
symptoms.diabetesInsipidus.nocturia,尿崩症症状.夜尿,String,"夜尿情况。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
reproductiveFunction.menstrualHistory,生殖功能.月经史,String,"月经史（女性）。<br>**建议值**: `正常`, `月经稀发`, `闭经`, `月经不规律`",正常
reproductiveFunction.fertilityStatus,生殖功能.生育状况,String,"生育功能状况。<br>**建议值**: `正常`, `不孕`, `不育`",正常
reproductiveFunction.sexualFunction,生殖功能.性功能,String,"性功能评估。<br>**建议值**: `正常`, `减退`, `消失`",正常
comorbidities.diabetes,合并症.糖尿病,String,"糖尿病合并情况。<br>**建议值**: `无`, `糖尿病前期`, `2型糖尿病`",无
comorbidities.hypertension,合并症.高血压,String,"高血压合并情况。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
comorbidities.osteoporosis,合并症.骨质疏松,String,"骨质疏松合并情况。<br>**建议值**: `无`, `骨量减少`, `骨质疏松`",无
comorbidities.cardiovascularDisease,合并症.心血管疾病,String,"心血管疾病合并情况。<br>**建议值**: `无`, `冠心病`, `心衰`, `心律失常`",无
familyHistory.pituitaryDisorders,家族史.垂体疾病,String,"垂体疾病家族史。<br>**建议值**: `无`, `垂体瘤`, `垂体功能减退`",无
familyHistory.endocrineNeoplasia,家族史.内分泌肿瘤,String,"内分泌肿瘤综合征家族史。<br>**建议值**: `无`, `MEN1`, `Carney复合征`",无
currentMedications.hormonalTherapy,目前用药.激素治疗,String,"激素替代治疗情况。<br>**建议值**: `无`, `甲状腺素`, `皮质醇`, `性激素`, `生长激素`",无
currentMedications.dopamineAgonists,目前用药.多巴胺激动剂,String,"多巴胺激动剂使用情况。<br>**建议值**: `无`, `溴隐亭`, `卡麦角林`",无
currentMedications.somatostatinAnalogs,目前用药.生长抑素类似物,String,"生长抑素类似物使用情况。<br>**建议值**: `无`, `奥曲肽`, `兰瑞肽`",无
treatmentResponse.medicationResponse,治疗反应.药物治疗反应,String,"对药物治疗的反应。<br>**建议值**: `良好`, `部分反应`, `无反应`, `不耐受`",良好
treatmentResponse.surgicalConsideration,治疗反应.手术考虑,String,"手术治疗考虑。<br>**建议值**: `不需要`, `考虑中`, `计划手术`, `已手术`",不需要
treatmentResponse.radiationConsideration,治疗反应.放疗考虑,String,"放疗考虑。<br>**建议值**: `不需要`, `考虑中`, `计划放疗`, `已放疗`",不需要
qualityOfLife.physicalFunction,生活质量.身体功能,String,"身体功能评估。<br>**建议值**: `正常`, `轻度受限`, `中度受限`, `重度受限`",正常
qualityOfLife.mentalHealth,生活质量.心理健康,String,"心理健康状况。<br>**建议值**: `正常`, `轻度焦虑`, `抑郁`, `严重心理问题`",正常
qualityOfLife.socialFunction,生活质量.社会功能,String,"社会功能评估。<br>**建议值**: `正常`, `轻度受限`, `中度受限`, `重度受限`",正常
monitoringPlan.hormoneMonitoring,监测计划.激素监测,String,"激素水平监测计划",每3-6个月复查相关激素
monitoringPlan.imagingFollowup,监测计划.影像随访,String,"影像学随访计划",每年MRI复查
monitoringPlan.clinicalAssessment,监测计划.临床评估,String,"临床评估计划",每3个月门诊随访
riskAssessment.tumorProgression,风险评估.肿瘤进展,String,"肿瘤进展风险。<br>**建议值**: `低`, `中`, `高`",低
riskAssessment.hormonalComplications,风险评估.激素并发症,String,"激素相关并发症风险。<br>**建议值**: `低`, `中`, `高`",低
riskAssessment.visualComplications,风险评估.视觉并发症,String,"视觉并发症风险。<br>**建议值**: `低`, `中`, `高`",低
prognosis.functionalRecovery,预后.功能恢复,String,"垂体功能恢复预后。<br>**建议值**: `良好`, `部分`, `不良`",良好
prognosis.overallPrognosis,预后.总体预后,String,"总体预后评估。<br>**建议值**: `良好`, `一般`, `较差`",良好
specialConsiderations.pregnancy,特殊考虑.妊娠,String,"妊娠期特殊考虑。<br>**建议值**: `不适用`, `需要考虑`",不适用
specialConsiderations.pediatric,特殊考虑.儿科,String,"儿科患者特殊考虑。<br>**建议值**: `不适用`, `需要考虑`",不适用
specialConsiderations.elderly,特殊考虑.老年,String,"老年患者特殊考虑。<br>**建议值**: `不适用`, `需要考虑`",不适用
patientEducation.diseaseUnderstanding,患者教育.疾病认知,String,"患者疾病认知程度。<br>**建议值**: `差`, `一般`, `良好`",一般
patientEducation.selfManagement,患者教育.自我管理,String,"自我管理教育。<br>**建议值**: `未接受`, `已接受`",已接受
followUpPlan.frequency,随访计划.随访频率,String,"随访频率安排",3-6个月随访
followUpPlan.parameters,随访计划.随访参数,String,随访检查参数,垂体激素、影像学检查
multidisciplinaryCare.endocrinology,多学科协作.内分泌科,String,"内分泌科参与情况。<br>**建议值**: `主管`, `会诊`, `未参与`",主管
multidisciplinaryCare.neurosurgery,多学科协作.神经外科,String,"神经外科参与情况。<br>**建议值**: `主管`, `会诊`, `未参与`",未参与
multidisciplinaryCare.ophthalmology,多学科协作.眼科,String,"眼科参与情况。<br>**建议值**: `主管`, `会诊`, `未参与`",未参与
multidisciplinaryCare.radiology,多学科协作.放射科,String,"放射科参与情况。<br>**建议值**: `主管`, `会诊`, `未参与`",会诊
emergencyManagement.hormonalCrisis,急症处理.激素危象,String,"激素危象处理。<br>**建议值**: `无`, `肾上腺危象`, `甲状腺危象`, `低血糖昏迷`",无
emergencyManagement.massEffect,急症处理.占位效应,String,"占位效应处理。<br>**建议值**: `无`, `视野缺损`, `颅内压增高`",无
diagnosisImpression,诊断/印象,String,医生对垂体功能检查结果的综合诊断或印象。,垂体功能正常
recommendation,建议,String,医生根据检查结果提出的建议。,继续观察，年度体检时复查
