fieldKey,fieldName,fieldType,fieldDescription,exampleValue
pathology.hcc.whoGrade,HCC.WHO分化程度,String,"WHO分化程度分级(简化三级分类)。<br>**建议值**: `高分化(G1,相当于E-S I-II级)`, `中分化(G2,相当于E-S II-III级)`, `低分化(G3,相当于E-S III-IV级)`<br>**临床意义**: 与Edmondson-Steiner对应,临床常用",中分化(G2)
pathology.hcc.nuclearGrade,HCC.核分级,String,"核异型性程度。<br>**建议值**: `轻度异型性`, `中度异型性`, `重度异型性`, `核分裂象多见(>5个/10HPF)`<br>**临床意义**: 核异型性是分级重要依据",中度异型性
pathology.hcc.steatosis,HCC.脂肪变性,String,"肿瘤内脂肪变性程度。<br>**建议值**: `无(<5%)`, `轻度(5-33%)`, `中度(34-66%)`, `重度(>66%)`<br>**临床意义**: 脂肪变性型HCC影像学类似肝腺瘤,需病理鉴别",轻度(5-33%)
pathology.hcc.bileDucts,HCC.胆管结构,String,"肿瘤内胆管结构。<br>**建议值**: `无胆管成分`, `散在胆管结构(<5%)`, `混合型cHCC-CCA(胆管成分5-50%)`, `胆管成分为主(>50%,考虑ICC)`<br>**临床意义**: 胆管成分>5%诊断为cHCC-CCA,预后较HCC差",无胆管成分
pathology.icc.type,ICC.组织学类型,String,"肝内胆管癌组织学类型(如适用)。<br>**建议值**: `小管型(腺癌,最常见)`, `大管型`, `胆管内生长型`, `导管周浸润型`, `肿块型`, `粘液腺癌`, `腺鳞癌`<br>**临床意义**: 大管型类似肝外胆管癌,小管型类似胰腺癌",
pathology.icc.differentiation,ICC.分化程度,String,"ICC分化程度(如适用)。<br>**建议值**: `高分化`, `中分化`, `低分化`, `未分化`<br>**临床意义**: 低分化预后显著差于高分化",
pathology.fibrolamellar.features,纤维板层型HCC.特征,String,"纤维板层型HCC特征(如适用)。<br>**特点**: 年轻患者(<40岁)、无肝硬化背景、AFP阴性、预后较好<br>**病理**: 大嗜酸性肿瘤细胞 + 板层状纤维间质<br>**建议值**: `不符合`, `符合纤维板层型HCC特征`",不符合
pathology.microscopy.trabecularThickness,镜下.肝索/小梁厚度,String,"肿瘤性肝索/小梁厚度。<br>**建议值**: `2-3个细胞(类似正常,高分化)`, `4-10个细胞(中分化)`, `>10个细胞或实性巢状(低分化)`<br>**临床意义**: 小梁厚度是Edmondson分级依据之一",4-6个细胞厚
pathology.microscopy.sinusoids,镜下.血窦,String,"肿瘤内血窦情况。<br>**建议值**: `丰富血窦(类似正常肝组织)`, `血窦减少`, `血窦消失(实性生长)`, `血窦内瘤栓`<br>**临床意义**: 丰富血窆是HCC典型表现,解释动脉期强化",丰富血窦
pathology.microscopy.reticulinStain,镜下.网状纤维染色,String,"网状纤维(Reticulin)染色。<br>**建议值**: `未做`, `网状支架破坏/消失(HCC)`, `网状支架保留(再生结节/异型增生)`, `纤维间隔(ICC)`<br>**临床意义**: 网状纤维丢失是HCC与异型增生结节鉴别要点",网状支架破坏
pathology.microscopy.bileProduction,镜下.胆汁分泌,String,"肿瘤细胞胆汁分泌。<br>**建议值**: `无`, `细胞内胆汁(胆汁小栓)`, `毛细胆管内胆汁`, `胆汁湖形成`<br>**临床意义**: 胆汁分泌是HCC特异性特征,ICC无此表现",细胞内胆汁小栓
pathology.microscopy.glycogen,镜下.糖原,String,"PAS染色(糖原)。<br>**建议值**: `未做`, `PAS阳性(糖原丰富)`, `PAS阴性/弱阳性`, `透明细胞型(糖原丰富)`<br>**临床意义**: 高分化HCC糖原丰富,低分化HCC糖原减少",PAS阳性
pathology.microscopy.mucin,镜下.粘液,String,"粘液分泌(PAS-D/Alcian蓝染色)。<br>**建议值**: `未做`, `粘液阴性(HCC)`, `粘液阳性(ICC或cHCC-CCA)`<br>**临床意义**: 粘液分泌提示胆管来源,HCC不分泌粘液",粘液阴性
pathology.microscopy.malloryHyaline,镜下.Mallory小体,String,"Mallory透明小体。<br>**建议值**: `未见`, `散在可见`, `较多`<br>**临床意义**: 常见于酒精性肝病背景的HCC,也可见于其他原因",未见
pathology.vascularInvasion.microscopic,血管侵犯.镜下微血管侵犯,String,"镜下微血管侵犯(Microvascular invasion, MVI)。<br>**建议值**: `无(MVI 0)`, `低危MVI(≤5个,距肿瘤<1cm)`, `高危MVI(>5个或距肿瘤≥1cm)`<br>**临床意义**: MVI是术后复发最强预测因素,高危MVI复发率>50%",低危MVI
pathology.vascularInvasion.macroscopic,血管侵犯.大血管侵犯,String,"大血管侵犯(肉眼可见)。<br>**建议值**: `无`, `门静脉分支侵犯`, `门静脉主干侵犯`, `肝静脉侵犯`, `下腔静脉侵犯`<br>**临床意义**: 大血管侵犯是BCLC C期(晚期),极差预后因素",无
pathology.vascularInvasion.tumorThrombus,血管侵犯.瘤栓性质,String,"血管内瘤栓性质(如有)。<br>**建议值**: `无瘤栓`, `肿瘤细胞瘤栓`, `血栓伴肿瘤细胞`, `完全阻塞血管`<br>**Vp分类(门脉瘤栓)**: Vp0-Vp4(0=无,4=主干+对侧支)",
pathology.vascularInvasion.veinInvasionGrade,血管侵犯.静脉侵犯分级,String,"静脉侵犯分级(Vv分级)。<br>**Vv0**: 无静脉侵犯<br>**Vv1**: 肝静脉分支<br>**Vv2**: 肝静脉主干<br>**Vv3**: 下腔静脉<br>**临床意义**: Vv2-3预后极差",Vv0
pathology.bileDuctInvasion,胆管侵犯,String,"胆管侵犯情况。<br>**建议值**: `无`, `微小胆管侵犯`, `肝内胆管侵犯`, `主胆管侵犯`, `胆管癌栓`<br>**临床意义**: 胆管侵犯可导致梗阻性黄疸,需与ICC鉴别",无
pathology.perineural.invasion,神经周围侵犯,String,"神经周围侵犯(Perineural invasion)。<br>**建议值**: `无`, `有`<br>**临床意义**: HCC神经侵犯相对少见(5-10%),ICC更常见(30-50%)",无
pathology.lymphocyticInfiltrate,淋巴细胞浸润,String,"肿瘤内/周围淋巴细胞浸润。<br>**建议值**: `无或稀少`, `轻度`, `中度`, `重度(淋巴细胞为主炎症)`, `生发中心形成`<br>**临床意义**: 重度淋巴细胞浸润可能提示更好免疫应答和预后",轻度
pathology.fibrosis.intratumoral,纤维化.瘤内纤维化,String,"肿瘤内纤维化程度。<br>**建议值**: `无或极少`, `轻度纤维化`, `中度纤维化`, `硬化型(广泛纤维化)`<br>**临床意义**: 硬化型HCC罕见,易误诊为良性",无或极少
pathology.fibrosis.capsule,纤维化.纤维包膜,String,"肿瘤纤维包膜。<br>**建议值**: `无包膜`, `薄层包膜`, `厚包膜`, `包膜不完整`, `包膜侵犯/穿破`<br>**临床意义**: 完整厚包膜是预后良好因素,提示肿瘤生长缓慢",薄层包膜,局部不完整
pathology.necrosis.extent,坏死.范围,String,"肿瘤坏死范围。<br>**建议值**: `无坏死`, `局灶坏死(<10%)`, `中度坏死(10-50%)`, `广泛坏死(>50%)`, `几乎完全坏死(介入治疗后)`<br>**临床意义**: 自发性大面积坏死提示肿瘤快速生长,介入治疗后坏死是疗效标志",局灶坏死(<10%)
pathology.necrosis.pattern,坏死.模式,String,"坏死模式。<br>**建议值**: `无`, `凝固性坏死`, `液化性坏死`, `桥接坏死`, `出血坏死`<br>**临床意义**: 不同坏死模式反映病理过程",凝固性坏死
pathology.hemorrhage,出血,String,"肿瘤内出血情况。<br>**建议值**: `无`, `点状出血`, `片状出血`, `血窦扩张充血`, `肿瘤破裂出血`<br>**临床意义**: 肿瘤破裂是急腹症原因,需急诊处理",点状出血
ihc.hepar1,免疫组化.Hepar-1,String,"Hepar-1(肝细胞标志物)。<br>**建议值**: `未做`, `阴性`, `弱阳性`, `阳性(+)`, `强阳性(++)`, `阳性百分比`<br>**敏感性/特异性**: HCC 90-95%阳性,ICC阴性<br>**临床意义**: HCC最特异标志物,与Arginase-1联用诊断效能最高",阳性(++)
ihc.arginase1,免疫组化.Arginase-1,String,"Arginase-1(肝细胞标志物)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**敏感性/特异性**: HCC 95%阳性,特异性>Hepar-1<br>**临床意义**: Arginase-1+Hepar-1双阳性几乎确诊HCC",阳性
ihc.glypican3,免疫组化.Glypican-3,String,"Glypican-3 (GPC3)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**敏感性/特异性**: HCC 70-80%阳性,高度特异(正常肝/良性病变阴性)<br>**临床意义**: GPC3对高分化HCC诊断价值高,可鉴别异型增生结节",阳性
ihc.afp.ihc,免疫组化.AFP,String,"AFP免疫组化。<br>**建议值**: `未做`, `阴性`, `局灶阳性`, `弥漫阳性`<br>**临床意义**: 50-70% HCC阳性,与血清AFP不完全相关",局灶阳性
ihc.ck7,免疫组化.CK7,String,"细胞角蛋白7。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**鉴别诊断**: HCC通常阴性,ICC阳性(80-90%)<br>**临床意义**: CK7阳性支持胆管来源",阴性
ihc.ck19,免疫组化.CK19,String,"细胞角蛋白19。<br>**建议值**: `未做`, `阴性`, `局灶阳性(<5%)`, `阳性(>5%)`<br>**临床意义**: HCC一般阴性,CK19阳性HCC预后较差(干细胞特征),ICC阳性",阴性
ihc.ck20,免疫组化.CK20,String,"细胞角蛋白20。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**鉴别诊断**: HCC/ICC阴性,CK20阳性提示转移性腺癌(结直肠来源)",阴性
ihc.cea.ihc,免疫组化.CEA,String,"CEA免疫组化。<br>**建议值**: `未做`, `阴性`, `毛细胆管型阳性(HCC)`, `腺腔型阳性(ICC)`, `胞质弥漫阳性`<br>**临床意义**: HCC可呈毛细胆管型CEA阳性(特征性),ICC为腺腔型",毛细胆管型阳性
ihc.cd10,免疫组化.CD10,String,"CD10(毛细胆管标志)。<br>**建议值**: `未做`, `阴性`, `毛细胆管型阳性`<br>**临床意义**: 与CEA类似,毛细胆管型阳性支持HCC",毛细胆管型阳性
ihc.cd34,免疫组化.CD34,String,"CD34(血管内皮标志)。<br>**建议值**: `未做`, `血窦内皮阳性(HCC)`, `仅门脉周围阳性(正常肝)`, `阴性`<br>**临床意义**: HCC血窦内皮CD34阳性(毛细血管化),正常肝/增生结节阴性",血窦内皮阳性
ihc.ki67,免疫组化.Ki-67,Number,"Ki-67增殖指数。<br>单位: %<br>**参考范围**: 高分化HCC <5%, 中分化5-20%, 低分化>20%<br>**临床意义**: Ki-67高提示增殖活跃,预后差",15
ihc.p53,免疫组化.p53,String,"p53蛋白表达。<br>**建议值**: `未做`, `阴性/野生型表达`, `过表达(突变型)`, `完全阴性(无效突变)`<br>**临床意义**: p53突变见于30-50% HCC,提示去分化和预后差",阴性
ihc.betaCatenin,免疫组化.β-catenin,String,"β-catenin表达。<br>**建议值**: `未做`, `膜阳性(正常)`, `核/胞质阳性(CTNNB1突变)`, `阴性`<br>**临床意义**: 核阳性提示Wnt通路激活(20-40% HCC),与低分化和预后差相关",膜阳性
ihc.glutamineSynthetase,免疫组化.Glutamine Synthetase,String,"谷氨酰胺合成酶(GS)。<br>**建议值**: `未做`, `阴性`, `局灶阳性`, `弥漫阳性`<br>**临床意义**: 弥漫强阳性支持β-catenin激活型HCC",局灶阳性
ihc.hsaStain,免疫组化.HSA染色,String,"肝特异性抗原(Hepatocyte-Specific Antigen)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: HCC标志物,但敏感性低于Hepar-1",阳性
ihc.pdl1,免疫组化.PD-L1,String,"PD-L1表达(22C3/SP263克隆)。<br>**建议值**: `未做`, `阴性(TPS<1%)`, `低表达(TPS 1-49%)`, `高表达(TPS≥50%)`<br>**临床意义**: PD-L1高表达预测免疫治疗(PD-1/PD-L1抑制剂)疗效",低表达(TPS 5%)
molecularMarkers.ctnnb1,分子标志物.CTNNB1,String,"CTNNB1(β-catenin)基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型(外显子3)`<br>**频率**: 20-40% HCC<br>**临床意义**: Wnt通路激活,与低分化HCC和预后差相关",未检测
molecularMarkers.tp53,分子标志物.TP53,String,"TP53基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 30-50% HCC<br>**临床意义**: 最常见驱动突变之一,与预后差相关",未检测
molecularMarkers.tert,分子标志物.TERT,String,"TERT启动子突变。<br>**建议值**: `未检测`, `野生型`, `突变型(C228T/C250T)`<br>**频率**: 50-60% HCC(最常见突变)<br>**临床意义**: 端粒酶激活,早期事件",未检测
molecularMarkers.axin1,分子标志物.AXIN1,String,"AXIN1基因突变/缺失。<br>**建议值**: `未检测`, `野生型`, `突变/缺失`<br>**频率**: 10-15% HCC<br>**临床意义**: Wnt通路调控基因,与CTNNB1突变互斥",未检测
molecularMarkers.arid1a,分子标志物.ARID1A,String,"ARID1A基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 10-15% HCC<br>**临床意义**: 染色质重塑基因,与免疫治疗敏感性相关",未检测
molecularMarkers.pikca,分子标志物.PIK3CA,String,"PIK3CA基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 5-10% HCC<br>**临床意义**: PI3K/AKT通路,潜在靶向治疗靶点",未检测
molecularMarkers.kras,分子标志物.KRAS,String,"KRAS基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**临床意义**: HCC罕见(<5%),KRAS突变更支持ICC或转移性腺癌",未检测
molecularMarkers.microsatellite,分子标志物.微卫星状态,String,"微卫星不稳定性(MSI)。<br>**建议值**: `未检测`, `MSS(微卫星稳定)`, `MSI-L(低度不稳定)`, `MSI-H(高度不稳定)`<br>**临床意义**: HCC极少MSI-H(<3%),MSI-H对免疫治疗高度敏感",MSS
molecularMarkers.tmb,分子标志物.TMB,Number,"肿瘤突变负荷(Tumor Mutational Burden)。<br>单位: 突变/Mb<br>**参考范围**: HCC通常<6 mut/Mb(低TMB)<br>**临床意义**: TMB高(>10)预测免疫治疗疗效,但HCC罕见",4.2
molecularMarkers.hbvIntegration,分子标志物.HBV整合,String,"HBV DNA整合入宿主基因组。<br>**建议值**: `未检测`, `阴性`, `阳性(整合位点:TERT/MLL4等)`<br>**临床意义**: HBV整合导致基因组不稳定和TERT激活,是肝癌发生机制",未检测
molecularMarkers.afpMrna,分子标志物.AFP mRNA,String,"AFP mRNA表达水平。<br>**建议值**: `未检测`, `低表达`, `高表达`<br>**临床意义**: 与血清AFP相关但不完全一致",未检测
staging.tnm.t,分期.TNM.T,String,"AJCC第8版T分期。<br>**T1a**: 单发≤2cm,无血管侵犯<br>**T1b**: 单发>2cm,无血管侵犯<br>**T2**: 单发伴血管侵犯 或 多发≤5cm<br>**T3**: 多发>5cm<br>**T4**: 侵犯门静脉/肝静脉主支 或 直接侵犯邻近脏器/穿破脏层腹膜<br>**临床意义**: T分期基于大小、数目、血管侵犯",T2
staging.tnm.n,分期.TNM.N,String,"AJCC第8版N分期。<br>**N0**: 无区域淋巴结转移<br>**N1**: 有区域淋巴结转移<br>**临床意义**: HCC淋巴结转移少见(5-10%),N1提示晚期",N0
staging.tnm.m,分期.TNM.M,String,"AJCC第8版M分期。<br>**M0**: 无远处转移<br>**M1**: 有远处转移<br>**临床意义**: 肺、骨、肾上腺是常见转移部位",M0
staging.tnm.stage,分期.TNM.总体分期,String,"AJCC第8版总体分期。<br>**I期**: T1N0M0<br>**II期**: T2N0M0<br>**IIIA期**: T3N0M0<br>**IIIB期**: T4N0M0<br>**IVA期**: 任何T,N1,M0<br>**IVB期**: 任何T,任何N,M1",II期
