Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,甲亢确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,years,0-120,,,N,甲亢确诊时年龄,青壮年多见
Graves_Ophthalmopathy,proptosis_measurement,突眼度,decimal,mm,0-40,,,N,Hertel测量值,>20mm异常
Graves_Ophthalmopathy,lid_retraction,眼睑退缩,categorical,,,"Present,Absent",,,N,上睑退缩,暴露角膜
Graves_Ophthalmopathy,lid_lag,眼睑迟落,categorical,,,"Present,Absent",,,N,眼睑迟落征,von Graefe征
Graves_Ophthalmopathy,diplopia,复视,categorical,,,"Present,Absent",,,N,是否复视,眼肌受累
Graves_Ophthalmopathy,optic_neuropathy,视神经病变,categorical,,,"Present,Absent",,,N,压迫性视神经病变,严重并发症
Graves_Ophthalmopathy,cas_score,临床活动性评分,integer,,0-10,,,N,CAS评分,≥3活动期
Graves_Ophthalmopathy,eugogo_severity,EUGOGO严重度,categorical,,,"Mild,Moderate_to_Severe,Sight_Threatening,None",,,N,眼病严重度分级,治疗指导

Laboratory_Thyroid,tsh,促甲状腺激素,decimal,mIU/L,0-100,3016-3,,Y,TSH水平,抑制<0.01典型
Laboratory_Thyroid,ft4,游离甲状腺素,decimal,pmol/L,0-200,3024-7,,Y,FT4水平,升高程度
Laboratory_Thyroid,ft3,游离三碘甲腺原氨酸,decimal,pmol/L,0-50,3021-3,,Y,FT3水平,T3型甲亢常见
Laboratory_Thyroid,total_t4,总甲状腺素,decimal,nmol/L,0-400,3053-6,,N,TT4水平,受结合蛋白影响
Laboratory_Thyroid,total_t3,总三碘甲腺原氨酸,decimal,nmol/L,0-10,3051-0,,N,TT3水平,辅助诊断
Laboratory_Thyroid,t3_t4_ratio,T3/T4比值,decimal,,0-1,,,N,T3与T4比值,Graves病比值高

Laboratory_Antibodies,trab,TSH受体抗体,decimal,IU/L,0-100,8098-9,,N,TRAb水平,Graves诊断>1.5
Laboratory_Antibodies,trab_positive,TRAb阳性,categorical,,,"Positive,Negative,Borderline",,,N,TRAb定性,Graves特异性80-95%
Laboratory_Antibodies,tpo_antibody,甲状腺过氧化物酶抗体,decimal,IU/mL,0-1000,8099-7,,N,TPO-Ab滴度,自身免疫标志
Laboratory_Antibodies,tpo_positive,TPO-Ab阳性,categorical,,,"Positive,Negative",,,N,TPO-Ab定性,50-80% Graves阳性
Laboratory_Antibodies,tg_antibody,甲状腺球蛋白抗体,decimal,IU/mL,0-500,8098-9,,N,TG-Ab滴度,辅助诊断
Laboratory_Antibodies,tg_positive,TG-Ab阳性,categorical,,,"Positive,Negative",,,N,TG-Ab定性,非特异性

Laboratory_Other,wbc_count,白细胞计数,decimal,10^9/L,0-50,6690-2,,N,白细胞数,可减少
Laboratory_Other,neutrophil_count,中性粒细胞,decimal,10^9/L,0-30,751-8,,N,中性粒细胞数,监测ATD副作用
Laboratory_Other,liver_alt,丙氨酸转氨酶,integer,U/L,0-1000,1742-6,,N,ALT水平,肝功能监测
Laboratory_Other,liver_ast,天冬氨酸转氨酶,integer,U/L,0-1000,1920-8,,N,AST水平,ATD肝毒性
Laboratory_Other,alkaline_phosphatase,碱性磷酸酶,integer,U/L,0-1000,6768-6,,N,ALP水平,骨代谢指标
Laboratory_Other,calcium,血钙,decimal,mmol/L,0-5,17861-6,,N,血清钙,监测甲旁亢
Laboratory_Other,creatinine,肌酐,decimal,μmol/L,0-1000,2160-0,,N,血肌酐,基线肾功能

Imaging_Ultrasound,ultrasound_date,超声检查日期,date,,,,,N,甲状腺超声时间,基线评估
Imaging_Ultrasound,thyroid_volume,甲状腺体积,decimal,mL,0-200,,,N,腺体总体积,正常10-25mL
Imaging_Ultrasound,gland_echogenicity,腺体回声,categorical,,,"Hypoechoic,Heterogeneous,Normal",,,N,回声特征,Graves低回声
Imaging_Ultrasound,vascularity,血流,categorical,,,"Markedly_Increased,Increased,Normal",,,N,血流信号,甲状腺风暴
Imaging_Ultrasound,nodules_present,结节,categorical,,,"Yes,No",,,N,是否有结节,鉴别结节性甲亢
Imaging_Ultrasound,dominant_nodule_size,主要结节大小,decimal,cm,0-20,,,N,最大结节直径,>1cm评估

Imaging_Nuclear,raiu_performed,摄碘率检查,categorical,,,"Yes,No",,,N,是否做RAIU,鉴别诊断关键
Imaging_Nuclear,raiu_4h,4小时摄碘率,decimal,%,0-100,,,N,早期摄碘率,Graves升高
Imaging_Nuclear,raiu_24h,24小时摄碘率,decimal,%,0-100,,,N,24h摄碘率,正常5-30%
Imaging_Nuclear,raiu_pattern,摄碘模式,categorical,,,"Elevated_Diffuse,Elevated_Focal,Low,Normal",,,N,摄碘分布,诊断分型
Imaging_Nuclear,scan_pattern,核素显像,categorical,,,"Diffuse_Increased,Hot_Nodule,Cold_Nodule,Heterogeneous,Not_Done",,,N,显像模式,病因诊断

Treatment_Initial,treatment_modality,治疗方式,categorical,,,"Antithyroid_Drug,Radioiodine,Surgery,Observation,Combined",,,Y,初始治疗选择,三大方法
Treatment_Initial,treatment_start_date,治疗开始日期,date,,,,,N,开始治疗时间,病程记录

Treatment_ATD,atd_drug,抗甲状腺药物,categorical,,,"Methimazole,Propylthiouracil,Carbimazole,None",,,N,ATD种类,MMI首选
Treatment_ATD,atd_initial_dose,ATD起始剂量,decimal,mg/day,0-100,,,N,ATD每日剂量,MMI 10-40mg
Treatment_ATD,atd_current_dose,ATD当前剂量,decimal,mg/day,0-100,,,N,当前每日剂量,滴定调整
Treatment_ATD,atd_regimen,ATD方案,categorical,,,"Block_Replace,Titration",,,N,给药策略,滴定vs替代
Treatment_ATD,atd_duration,ATD疗程,integer,months,0-120,,,N,已用药月数,12-18月疗程
Treatment_ATD,ptu_in_pregnancy,妊娠期PTU,categorical,,,"Yes,No,NA",,,N,孕期是否用PTU,孕早期首选
Treatment_ATD,adverse_reaction,ATD不良反应,categorical,,,"Rash,Agranulocytosis,Hepatotoxicity,Arthralgia,Vasculitis,None,Other",,,N,药物副作用,粒缺严重

Treatment_Radioiodine,rai_performed,放射碘治疗,categorical,,,"Yes,No,Planned",,,N,是否接受131I,永久性治疗
Treatment_Radioiodine,rai_date,131I治疗日期,date,,,,,N,放射碘日期,治疗时间点
Treatment_Radioiodine,rai_dose,131I剂量,decimal,mCi,0-50,,,N,给予剂量,通常5-20 mCi
Treatment_Radioiodine,rai_indication,RAI指征,categorical,,,"ATD_Failure,ATD_Intolerance,Patient_Preference,Recurrence,Other",,,N,选择RAI原因,治疗决策
Treatment_Radioiodine,rai_contraindication,RAI禁忌症,categorical,,,"Pregnancy,Lactation,Severe_Ophthalmopathy,None,Other",,,N,RAI禁忌,安全评估

Treatment_Surgery,thyroidectomy,甲状腺切除术,categorical,,,"Total,Subtotal,Lobectomy,None,Planned",,,N,手术类型,永久性治疗
Treatment_Surgery,surgery_date,手术日期,date,,,,,N,手术时间,治疗记录
Treatment_Surgery,surgery_indication,手术指征,categorical,,,"Large_Goiter,Compression,Malignancy_Suspicion,Patient_Preference,ATD_Failure,Other",,,N,手术原因,治疗决策
Treatment_Surgery,preop_euthyroid,术前甲功正常,categorical,,,"Yes,No",,,N,术前是否达甲功正常,手术准备关键

Treatment_Adjunct,beta_blocker,β受体阻滞剂,categorical,,,"Propranolol,Atenolol,Metoprolol,Other,None",,,N,β阻滞剂种类,症状控制
Treatment_Adjunct,beta_blocker_dose,β阻滞剂剂量,decimal,mg/day,0-500,,,N,每日剂量,心率控制
Treatment_Adjunct,corticosteroid,糖皮质激素,categorical,,,"Yes,No",,,N,是否用激素,眼病/危象治疗
Treatment_Adjunct,corticosteroid_indication,激素指征,categorical,,,"Graves_Ophthalmopathy,Thyroid_Storm,None,Other",,,N,激素使用原因,特殊情况

Response_Assessment,latest_assessment_date,最近评估日期,date,,,,,N,最近一次随访,疗效监测
Response_Assessment,euthyroid_achieved,达到甲功正常,categorical,,,"Yes,No,Not_Yet",,,N,是否恢复正常甲功,治疗目标
Response_Assessment,time_to_euthyroid,达正常时间,integer,weeks,0-200,,,N,从治疗到正常周数,ATD通常4-8周
Response_Assessment,treatment_response,治疗反应,categorical,,,"Complete_Remission,Partial_Response,Stable,Progression,Recurrence",,,N,疗效分类,长期评估
Response_Assessment,remission_status,缓解状态,categorical,,,"In_Remission,Not_in_Remission,NA",,,N,是否缓解,ATD停药后评估
Response_Assessment,atd_remission_rate,ATD缓解率预测,categorical,,,"Likely_High,Moderate,Low,Unknown",,,N,缓解可能性,小腺体TRAb低

Complications,thyroid_storm,甲状腺危象,categorical,,,"Yes,No,Resolved",,,N,是否发生危象,急症
Complications,storm_date,危象发生日期,date,,,,,N,甲状腺危象时间,严重并发症
Complications,storm_trigger,危象诱因,categorical,,,"Infection,Surgery,Iodine_Load,Trauma,DKA,Stress,Unknown",,,N,触发因素,预防关键
Complications,cardiac_complications,心脏并发症,categorical,,,"Atrial_Fibrillation,Heart_Failure,Angina,None,Other",,,N,心脏受累,老年常见
Complications,osteoporosis,骨质疏松,categorical,,,"Yes,No,Not_Assessed",,,N,是否骨质疏松,长期并发症
Complications,bone_density_tscore,骨密度T值,decimal,,,,,N,DXA扫描T-score,<-2.5骨质疏松

Pregnancy,pregnancy_status,妊娠状态,categorical,,,"Pregnant,Planning,Postpartum,Not_Applicable",,,N,是否妊娠,特殊人群
Pregnancy,trimester,妊娠期,categorical,,,"First,Second,Third,NA",,,N,妊娠孕期,药物选择
Pregnancy,pregnancy_onset,妊娠诊断日期,date,,,,,N,确认怀孕时间,孕期管理
Pregnancy,fetal_thyroid_status,胎儿甲状腺,categorical,,,"Normal,Fetal_Hyperthyroidism,Fetal_Hypothyroidism,Unknown,NA",,,N,胎儿甲功状态,TRAb穿过胎盘
Pregnancy,postpartum_thyroiditis,产后甲状腺炎,categorical,,,"Yes,No,NA",,,N,产后甲状腺炎,产后监测

Follow_Up,follow_up_interval,随访间隔,categorical,,,"Every_2_Weeks,Monthly,Every_3_Months,Every_6_Months,Annually,As_Needed",,,N,随访频率,疗程阶段
Follow_Up,monitoring_parameters,监测指标,categorical,,,"TSH_FT4,Full_Thyroid_Panel,CBC,LFT,TRAb,Comprehensive",,,N,监测项目,个体化
Follow_Up,post_rai_hypothyroidism,RAI后甲减,categorical,,,"Yes,No,NA",,,N,RAI后甲减,常见结局
Follow_Up,levothyroxine_replacement,左旋甲状腺素替代,categorical,,,"Yes,No",,,N,是否需甲状腺素,术后/RAI后
Follow_Up,levothyroxine_dose,左旋甲状腺素剂量,decimal,μg/day,0-500,,,N,每日替代剂量,个体化调整

Prognosis,recurrence_risk,复发风险,categorical,,,"High,Moderate,Low,Unknown",,,N,复发风险分层,大腺体高TRAb
Prognosis,long_term_outcome,长期结局,categorical,,,"Sustained_Remission,Recurrent,Permanent_Hypothyroidism,On_ATD,Unknown",,,N,最终转归,治疗结局
