字段名(英文),字段名(中文),数据类型,描述,示例
diabetesHistory.previousSevereHypoglycemia,糖尿病史.既往严重低血糖,String,"过去1年严重低血糖史。<br>**建议值**: `从未`, `1次`, `≥2次(反复严重低血糖)`, `不详`",1次
diabetesHistory.hypoglycemiaUnawareness,糖尿病史.低血糖未察觉,String,"**Clarke评分或Gold评分**评估IAH。<br>**建议值**: `察觉正常(有自主神经症状)`, `部分未察觉`, `完全未察觉(无警觉症状)`<br>**完全未察觉**: 严重低血糖风险↑6-7倍",部分未察觉

medications.insulin.regimen,药物.胰岛素.方案,String,"**示例**: `基础-餐时(多次注射)`, `预混胰岛素bid`, `胰岛素泵(CSII)`, `基础胰岛素qd`, `未用胰岛素`",基础-餐时
medications.insulin.basalType,药物.胰岛素.基础胰岛素类型,String,"**示例**: `甘精胰岛素U100`, `地特胰岛素`, `德谷胰岛素(超长效)`, `NPH`, `未用基础胰岛素`",甘精胰岛素U100
medications.insulin.basalDose,药物.胰岛素.基础胰岛素剂量,String,"基础胰岛素剂量。<br>**示例**: `20 U qd`, `12 U bid`",20 U qd
medications.insulin.bolusType,药物.胰岛素.餐时胰岛素类型,String,"**示例**: `门冬胰岛素`, `赖脯胰岛素`, `谷赖胰岛素`, `常规胰岛素(短效)`, `未用餐时胰岛素`",门冬胰岛素
medications.insulin.bolusDose,药物.胰岛素.餐时胰岛素剂量,String,"餐时胰岛素剂量。<br>**示例**: `早6U,午6U,晚8U`, `ICR 1:10`, `可变剂量`",早6U,午6U,晚8U
medications.insulin.recentChange,药物.胰岛素.近期调整,String,"**建议值**: `无近期调整`, `剂量增加(XX天前)`, `剂量减少`, `更换类型`, `新启动胰岛素`",剂量增加(3天前)

medications.sulfonylurea,药物.磺脲类,String,"**最常见口服降糖药致低血糖**。<br>**示例**: `格列本脲(最高风险)`, `格列齐特`, `格列美脲`, `格列吡嗪`, `未使用磺脲类`",格列本脲
medications.sulfonylurea.dose,药物.磺脲类.剂量,String,磺脲类剂量,格列本脲5mg bid
medications.glinide,药物.格列奈类,String,"**短效促泌剂**。<br>**示例**: `瑞格列奈`, `那格列奈`, `未使用`",瑞格列奈
medications.otherDM,药物.其他降糖药,String,"**低血糖风险低**。<br>**示例**: `二甲双胍`, `SGLT2i`, `GLP-1RA`, `DPP-4i`, `α-糖苷酶抑制剂`, `吡格列酮`",二甲双胍;DPP-4i

medications.nonDM,药物.非降糖药物,String,"**可致低血糖的药物**。<br>**示例**: `喹诺酮类(左氧氟沙星)`, `磺胺类`, `奎宁/奎尼丁`, `五羟色胺再摄取抑制剂(氟西汀)`, `β受体阻滞剂(掩盖低血糖症状)`, `血管紧张素转换酶抑制剂(增强胰岛素敏感性)`, `水杨酸盐(大剂量)`, `无相关用药`",β受体阻滞剂

precipitatingFactors.missedMeal,诱因.漏餐/进食不足,String,"**建议值**: `否`, `是(漏餐)`, `是(进食量明显减少)`, `是(呕吐/腹泻)`,是(漏餐)
precipitatingFactors.exercise,诱因.运动,String,"**建议值**: `无运动`, `轻度运动`, `中等强度运动`, `剧烈运动`, `运动时间延长`",剧烈运动
precipitatingFactors.alcohol,诱因.饮酒,String,"**机制**: 抑制肝糖原分解,空腹饮酒高危。<br>**建议值**: `未饮酒`, `少量饮酒(<1单位)`, `中等量(1-3单位)`, `大量饮酒(>3单位)`, `空腹饮酒`,大量饮酒
precipitatingFactors.renalFailure,诱因.肾功能恶化,String,"**机制**: 胰岛素清除减少,磺脲类蓄积。<br>**建议值**: `无肾功能问题`, `eGFR下降(需调整剂量)`, `急性肾损伤`, `透析患者`",无肾功能问题
precipitatingFactors.hepaticFailure,诱因.肝功能不全,String,"**机制**: 糖异生减少。<br>**建议值**: `无肝功能问题`, `慢性肝病`, `急性肝衰竭`",无肝功能问题
precipitatingFactors.adrenalInsufficiency,诱因.肾上腺功能不全,String,"**建议值**: `无`, `疑似(需查皮质醇/ACTH)`, `确诊Addison病`",无
precipitatingFactors.infection,诱因.感染/疾病,String,"**建议值**: `无`, `胃肠炎(呕吐/腹泻→进食减少)`, `其他感染`, `慢性疾病恶化`",无
precipitatingFactors.fasting,诱因.禁食,String,"**示例**: `无`, `检查前禁食`, `宗教禁食`, `术前禁食`,无

riskFactors.age,危险因素.年龄,Number,"年龄。<br>单位: 岁<br>**老年人(≥65岁)**: 低血糖风险↑(认知功能下降,多重用药,肾功能下降)",72
riskFactors.ckd,危险因素.慢性肾病,String,"**建议值**: `无CKD`, `CKD 3期(eGFR 30-59)`, `CKD 4-5期(eGFR<30)`, `透析`<br>**CKD**: 胰岛素/磺脲类半衰期延长",CKD 3期
riskFactors.cognitiveDysfunction,危险因素.认知功能障碍,String,"**建议值**: `无`, `轻度认知障碍`, `痴呆`<br>**影响**: 用药依从性差,无法识别低血糖",轻度认知障碍
riskFactors.liveAlone,危险因素.独居,String,"**建议值**: `否`, `是`<br>**风险**: 严重低血糖无人发现",是
riskFactors.hypoglycemiaHistory,危险因素.低血糖史,String,"**最强预测因子**。<br>**建议值**: `无低血糖史`, `偶发低血糖(<1次/周)`, `频繁低血糖(≥2次/周)`, `既往严重低血糖`",既往严重低血糖

cgmData.available,CGM数据.是否可用,String,"**建议值**: `有CGM数据`, `无CGM`,有CGM数据
cgmData.tbr,CGM数据.低血糖时间<3.9mmol/L,Number,"TBR(Time Below Range <3.9 mmol/L)。<br>单位: %<br>**目标**: <4%(1型DM),<1%(2型DM)",8
cgmData.tbrSevere,CGM数据.低血糖时间<3.0mmol/L,Number,"TBR <3.0 mmol/L。<br>单位: %<br>**目标**: <1%",2
cgmData.nocturnalTbr,CGM数据.夜间低血糖时间,Number,"夜间(00:00-06:00) TBR <3.9 mmol/L。<br>单位: %",15
cgmData.cv,CGM数据.血糖变异系数,Number,"CV(Coefficient of Variation)。<br>单位: %<br>**>36%**: 血糖波动大,低血糖风险高",45
cgmData.lowestGlucose,CGM数据.最低血糖,Number,"过去7-14天最低血糖。<br>单位: mmol/L",2.5

labTests.serumGlucose,实验室.静脉血糖,Number,"实验室静脉血糖(如在急诊/住院)。<br>单位: mmol/L",2.1
labTests.cPeptide,实验室.C肽,Number,"血清C肽(如怀疑胰岛素瘤/外源胰岛素)。<br>单位: ng/mL<br>**低血糖时C肽**: <0.6提示外源胰岛素,>0.6提示内源性高胰岛素血症",
labTests.insulin,实验室.胰岛素,Number,"血清胰岛素(低血糖时)。<br>单位: μU/mL<br>**低血糖时胰岛素**: >3提示不适当高胰岛素",
labTests.proinsulin,实验室.胰岛素原,Number,"胰岛素原。<br>单位: pmol/L<br>**胰岛素瘤**: 胰岛素原/胰岛素比值>0.2",
labTests.betaHydroxybutyrate,实验室.β-羟丁酸,Number,"血酮体。<br>单位: mmol/L<br>**低血糖时**: 应被抑制(<0.6),升高提示酮症性低血糖",
labTests.cortisol,实验室.皮质醇,Number,"血清皮质醇(低血糖时)。<br>单位: μg/dL<br>**低血糖时应激反应**: 应>18-20,低提示肾上腺功能不全",
labTests.gh,实验室.生长激素,Number,"血清生长激素(低血糖时)。<br>单位: ng/mL<br>**低血糖时**: 应>10,低提示GH缺乏",

labTests.creatinine,实验室.肌酐,Number,"血清肌酐。<br>单位: μmol/L",110
labTests.egfr,实验室.eGFR,Number,"估算肾小球滤过率。<br>单位: mL/min/1.73m²<br>**<60**: 需调整降糖药剂量",52
labTests.alt,实验室.ALT,Number,"丙氨酸转氨酶。<br>单位: U/L<br>**升高**: 肝病,影响糖异生",35
labTests.ast,实验室.AST,Number,"天冬氨酸转氨酶。<br>单位: U/L",40

nonDiabeticCauses.insulinoma,非糖尿病原因.胰岛素瘤,String,"**Whipple三联征**: ①空腹/运动后低血糖症状②血糖<2.8 mmol/L③进食后症状缓解。<br>**建议值**: `不考虑`, `疑似(需72h禁食试验)`, `确诊`,不考虑
nonDiabeticCauses.postBariatric,非糖尿病原因.减重术后低血糖,String,"胃旁路术后晚期倾倒综合征。<br>**建议值**: `无减重手术史`, `胃旁路术后`, `袖状胃切除术后`",无减重手术史
nonDiabeticCauses.criticalIllness,非糖尿病原因.危重症相关,String,"脓毒症、肝衰竭、心衰、肾衰、营养不良。<br>**建议值**: `无`, `有(具体)`,无
nonDiabeticCauses.autoimmune,非糖尿病原因.自身免疫性低血糖,String,"胰岛素自身抗体综合征(IAS)、胰岛素受体抗体。<br>**建议值**: `不考虑`, `疑似(需查胰岛素抗体)`,不考虑
nonDiabeticCauses.factitious,非糖尿病原因.人为低血糖,String,"外源胰岛素/磺脲类滥用。<br>**建议值**: `不考虑`, `疑似(低血糖时低C肽+高胰岛素)`,不考虑

management.immediateActions,管理.即刻处理,String,"本次低血糖处理总结。<br>**示例**: `口服15g葡萄糖,15分钟后血糖恢复`, `IM胰高糖素1mg+急诊IV葡萄糖`, `ICU监护24h(长效胰岛素)`",IM胰高糖素+急诊IV葡萄糖
management.treatmentAdjustment,管理.治疗调整,String,"低血糖后降糖方案调整。<br>**示例**: `基础胰岛素减量20%`, `停用磺脲类,改用DPP-4i`, `放宽血糖目标至HbA1c<8%`, `启动CGM`, `暂不调整`,基础胰岛素减量20%
management.glucoseTarget,管理.血糖目标调整,String,"**放宽目标适应证**: 反复低血糖/低血糖未察觉/预期寿命短/老年/严重合并症。<br>**示例**: `维持原目标(HbA1c<7%)`, `放宽至HbA1c<8%`, `放宽至HbA1c<8.5%`,放宽至HbA1c<8%

education.recognitionTraining,教育.低血糖识别训练,String,"**建议值**: `已教育(症状识别+血糖监测)`, `未教育`,已教育
education.treatment15_15Rule,教育.15-15法则教育,String,"**建议值**: `已教育`, `需强化教育`, `未教育`",已教育
education.glucagonKit,教育.胰高糖素套装,String,"**建议值**: `已配备家用胰高糖素+家人已培训`, `已配备但家人未培训`, `未配备`, `不适用(低危患者)`",已配备+家人已培训
education.sickDayRules,教育.病情日规则,String,"**建议值**: `已教育(生病时血糖监测频率↑,调整胰岛素)`, `未教育`,已教育

prevention.structuredEducation,预防.结构化教育,String,"**DAFNE(1型DM)**, **DESMOND(2型DM)**等。<br>**建议值**: `已参加`, `建议参加`, `未参加`,建议参加
prevention.cgmInitiation,预防.启动CGM,String,"**适应证**: 反复低血糖/低血糖未察觉。<br>**建议值**: `已使用CGM`, `建议启动CGM`, `经济原因未启动`, `不需要`",建议启动CGM
prevention.pumpWithLGS,预防.带低血糖暂停功能的胰岛素泵,String,"LGS(Low Glucose Suspend)或混合闭环系统。<br>**建议值**: `已使用`, `建议使用`, `不适用`,不适用
prevention.avoidOvertreatment,预防.避免过度治疗,String,"放宽血糖目标,简化方案。<br>**建议值**: `已调整`, `需调整`,已调整

complicationsOfHypoglycemia.cardiovascular,低血糖并发症.心血管事件,String,"低血糖诱发心律失常/心肌缺血/猝死。<br>**建议值**: `无`, `心律失常`, `心肌梗死`, `猝死`",无
complicationsOfHypoglycemia.neurological,低血糖并发症.神经系统后遗症,String,"严重低血糖致永久性脑损伤(罕见)。<br>**建议值**: `无`, `认知功能下降`, `癫痫`, `昏迷>30分钟(脑损伤风险)`",无
complicationsOfHypoglycemia.traumaticInjury,低血糖并发症.创伤,String,"低血糖致跌倒/车祸。<br>**示例**: `无`, `跌倒`, `交通事故`, `其他创伤`",跌倒
complicationsOfHypoglycemia.death,低血糖并发症.死亡,String,"**建议值**: `否`, `是(死于低血糖)`, `是(低血糖可能相关)`",否

drivingRisk.assessed,驾驶风险.已评估,String,"**建议值**: `已评估`, `未评估`<br>**反复低血糖**: 需限制驾驶",已评估
drivingRisk.recommendation,驾驶风险.建议,String,"**建议值**: `可驾驶`, `驾驶前测血糖`, `暂停驾驶(至低血糖控制)`, `永久不宜驾驶`,驾驶前测血糖

followUp.plan,随访.随访计划,String,"**示例**: `2周后门诊复查`, `1个月后评估CGM数据`, `每日电话随访血糖`, `转诊内分泌专科`",2周后门诊复查
followUp.cgmReview,随访.CGM数据回顾,String,"**建议值**: `已安排(7-14天后)`, `未安排`, `不适用`,已安排
followUp.medicationReview,随访.药物重新评估,String,"**建议值**: `已安排`, `未安排`,已安排

prognosis.risk,预后.复发风险,String,"**建议值**: `低风险(诱因已去除)`, `中风险`, `高风险(低血糖未察觉/反复低血糖/未调整治疗)`,高风险

clinicianNotes,临床医生备注,String,自由文本备注栏,患者为老年1型糖尿病,合并CKD 3期和部分低血糖未察觉。本次为夜间严重低血糖,家人发现昏迷,急诊IM胰高糖素后恢复。已减少基础胰岛素剂量20%,放宽HbA1c目标至<8%,建议启动CGM。
dataSource,数据来源,String,"**建议值**: `急诊`, `门诊`, `住院`, `患者自报(电话/APP)`, `CGM回顾性数据`",急诊
