Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,T1DM确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,0-80,,,Y,确诊时年龄,儿童青少年多发
Genetics,hla_typing,HLA分型,categorical,,,"DR3_DQ2,DR4_DQ8,DR3_DR4,Other,Unknown",,,N,人类白细胞抗原,遗传易感性
Genetics,hla_dr3,HLA-DR3,categorical,,,"Yes,No,Unknown",,,N,DR3等位基因,高风险单倍型
Genetics,hla_dr4,HLA-DR4,categorical,,,"Yes,No,Unknown",,,N,DR4等位基因,高风险单倍型
Genetics,hla_dr3_dr4,DR3/DR4杂合,categorical,,,"Yes,No,Unknown",,,N,DR3/DR4双阳性,最高风险>30倍
Genetics,hla_dq2,HLA-DQ2,categorical,,,"Yes,No,Unknown",,,N,DQ2等位基因,乳糜泻相关
Genetics,hla_dq8,HLA-DQ8,categorical,,,"Yes,No,Unknown",,,N,DQ8等位基因,T1DM易感
Genetics,protective_hla,保护性HLA,categorical,,,"DQB1_0602,Other,None",,,N,保护性单倍型,降低风险
Genetics,monogenic_diabetes_ruled_out,单基因糖尿病排除,categorical,,,"Yes,No,Unknown",,,N,MODY/NDM排除,鉴别诊断
Classification,t1dm_subtype,T1DM亚型,categorical,,,"Type1A_Autoimmune,Type1B_Idiopathic,LADA,Fulminant",,,Y,分型,免疫vs特发vs缓慢
Classification,lada_diagnosis,LADA,categorical,,,"Yes,No",,,N,成人隐匿性自免糖尿病,>30岁缓慢起病
Classification,lada_criteria_met,LADA诊断标准,categorical,,,"Age>30,GAD+,Insulin_Free_6m,All_Met,Not_Applicable",,,N,LADA标准,年龄+抗体+暂不需胰岛素
Classification,fulminant_t1dm,暴发性T1DM,categorical,,,"Yes,No",,,N,暴发性1型,亚洲多见1周内DKA
Classification,honeymoon_period,蜜月期,categorical,,,"Yes,No,Past",,,N,蜜月期,诊断后部分缓解
Classification,honeymoon_duration,蜜月期持续,decimal,月,0-36,,,N,蜜月期时长,残存β细胞功能
Treatment_Insulin,insulin_regimen,胰岛素方案,categorical,,,"MDI,Basal_Bolus,Pump_CSII,Premixed,Other",,,Y,治疗方案,多次注射vs泵
Treatment_Insulin,mdi_regimen,MDI方案,categorical,,,"Basal_Bolus,Basal_Plus,Split_Mixed,Not_Applicable",,,N,多次注射细化,基础-餐时
Treatment_Insulin,basal_insulin,基础胰岛素,categorical,,,"Glargine_U100,Glargine_U300,Degludec,Detemir,NPH,Other,None",,,Y,长效胰岛素,基础胰岛素类型
Treatment_Insulin,basal_dose,基础胰岛素剂量,decimal,U/日,0-150,,,N,基础胰岛素总量,通常占总量40-50%
Treatment_Insulin,bolus_insulin,餐时胰岛素,categorical,,,"Aspart,Lispro,Glulisine,Regular,Faster_Aspart,Other,None",,,Y,速效/短效胰岛素,餐时覆盖
Treatment_Insulin,total_daily_dose,胰岛素总量,decimal,U/日,0-300,,,Y,TDD,总日剂量
Treatment_Insulin,insulin_per_kg,单位体重胰岛素,decimal,U/kg,0-3,,,N,TDD/体重,0.5-1.0 U/kg典型
Treatment_Insulin,csii_pump_use,胰岛素泵,categorical,,,"Yes,No",,,N,CSII使用,连续皮下输注
Treatment_Insulin,pump_type,泵类型,categorical,,,"Standard_Pump,Hybrid_Closed_Loop,Automated_Insulin_Delivery,Not_Applicable",,,N,泵技术,传统vs闭环
Treatment_Insulin,insulin_initiation_date,胰岛素起始日期,date,,,,,N,开始胰岛素时间,治疗起点
Treatment_Insulin,insulin_dependent,胰岛素依赖,categorical,,,"Yes,No",,,Y,胰岛素依赖性,绝对需要
Treatment_Adjunct,metformin_use,二甲双胍,categorical,,,"Yes,No",,,N,联合二甲双胍,超重T1DM
Treatment_Adjunct,sglt2i_use,SGLT-2抑制剂,categorical,,,"Yes,No",,,N,钠-葡萄糖协同转运蛋白2,心肾获益
Treatment_Adjunct,sglt2i_agent,SGLT-2i药物,categorical,,,"Dapagliflozin,Empagliflozin,Sotagliflozin,Other,None",,,N,具体SGLT-2i,DKA风险需注意
Treatment_Adjunct,pramlintide_use,普兰林肽,categorical,,,"Yes,No",,,N,胰淀素类似物,餐后血糖
Treatment_Adjunct,immunotherapy_trial,免疫治疗试验,categorical,,,"Yes,No",,,N,免疫调节治疗,保护β细胞研究
Monitoring_SMBG,smbg_frequency,SMBG频率,categorical,,,"<3/day,4-6/day,>7/day",,,N,自我血糖监测次数,指尖血糖
Monitoring_SMBG,fasting_smbg_target,空腹SMBG目标,categorical,,,"<7.0,7.0-8.0,Individualized",,,N,空腹血糖目标,mmol/L
Monitoring_SMBG,postprandial_smbg_target,餐后SMBG目标,categorical,,,"<10.0,<11.1,Individualized",,,N,餐后2h血糖目标,mmol/L
Monitoring_CGM,cgm_use,CGM使用,categorical,,,"Real_Time,Intermittent_Scan,None",,,Y,持续血糖监测,实时vs扫描
Monitoring_CGM,cgm_system,CGM系统,categorical,,,"Dexcom,FreeStyle_Libre,Medtronic,Other,None",,,N,具体CGM设备,品牌
Monitoring_CGM,time_in_range,TIR目标范围内时间,decimal,%,0-100,,,N,3.9-10.0 mmol/L时间百分比,>70%目标
Monitoring_CGM,time_below_range,TBR低于目标时间,decimal,%,0-50,,,N,<3.9 mmol/L时间,<4%目标<1%<3.0
Monitoring_CGM,time_above_range,TAR高于目标时间,decimal,%,0-100,,,N,>10.0 mmol/L时间,<25%目标
Monitoring_CGM,glucose_cv,血糖变异系数,decimal,%,0-100,,,N,CV=(SD/Mean)×100,<36%稳定
Monitoring_CGM,gmi,血糖管理指标,decimal,%,4-12,,,N,GMI估算HbA1c,CGM衍生指标
Glycemic_Control,current_hba1c,当前HbA1c,decimal,%,4-18,4548-4,,Y,最近糖化血红蛋白,控制评估
Glycemic_Control,hba1c_target,HbA1c目标,categorical,,,"<7.0%,<7.5%,<8.0%,Individualized",,,N,个体化目标,年龄/并发症调整
Glycemic_Control,hba1c_at_target,达到HbA1c目标,categorical,,,"Yes,No",,,N,是否达标,控制质量
Glycemic_Control,time_to_target,达标时间,decimal,月,0-60,,,N,诊断至达标时长,治疗反应
Glycemic_Control,glycemic_variability,血糖波动,categorical,,,"Low,Moderate,High",,,N,血糖变异性,低血糖风险
Hypoglycemia,hypoglycemia_awareness,低血糖感知,categorical,,,"Normal,Impaired,Unaware",,,Y,低血糖感知能力,Clarke问卷
Hypoglycemia,severe_hypoglycemia_events,严重低血糖事件数,integer,次/年,0-50,,,Y,需他人帮助低血糖,年发生率
Hypoglycemia,nocturnal_hypoglycemia,夜间低血糖,categorical,,,"Frequent,Occasional,Rare,None",,,N,夜间低血糖频率,危险时段
Hypoglycemia,hypoglycemia_frequency,低血糖频率,categorical,,,"Daily,Weekly,Monthly,Rare",,,N,任何低血糖频率,<3.9 mmol/L
Hypoglycemia,fear_of_hypoglycemia,低血糖恐惧,categorical,,,"Severe,Moderate,Mild,None",,,N,恐惧心理,影响控制
Complications_Microvascular,retinopathy,视网膜病变,categorical,,,"None,Mild_NPDR,Moderate_NPDR,Severe_NPDR,PDR,Maculopathy",,,Y,糖尿病视网膜病,微血管并发症
Complications_Microvascular,nephropathy,糖尿病肾病,categorical,,,"None,A1,A2,A3_Macroalbuminuria,CKD_Stage",,,Y,糖尿病肾病,尿白蛋白/eGFR
Complications_Microvascular,uacr,尿白蛋白肌酐比,decimal,mg/g,0-5000,14959-1,,N,UACR,<30正常30-300微量>300大量
Complications_Microvascular,egfr,eGFR,decimal,mL/min/1.73m²,5-150,98979-8,,N,肾小球滤过率,肾功能评估
Complications_Microvascular,neuropathy,糖尿病神经病变,categorical,,,"None,Peripheral,Autonomic,Mixed",,,Y,神经病变,DPN/自主神经
Complications_Microvascular,dspn,远端对称性多发神经病,categorical,,,"Yes,No",,,N,DSPN,最常见周围神经病
Complications_Microvascular,monofilament_test,10g尼龙丝检查,categorical,,,"Normal,Abnormal,Not_Done",,,N,足部感觉检查,DPN筛查
Complications_Microvascular,vibration_perception,振动觉,categorical,,,"Normal,Reduced,Absent,Not_Done",,,N,128Hz音叉,DPN评估
Complications_Microvascular,ankle_reflex,踝反射,categorical,,,"Normal,Reduced,Absent",,,N,跟腱反射,DPN体征
Complications_Microvascular,autonomic_neuropathy,自主神经病变,categorical,,,"Yes,No",,,N,自主神经功能障碍,心血管/胃肠/泌尿
Complications_Macrovascular,cardiovascular_disease,心血管疾病,categorical,,,"None,CAD,MI,Stroke,PAD,Multiple",,,N,大血管并发症,动脉粥样硬化
Complications_Macrovascular,cad_diagnosis,冠心病,categorical,,,"Yes,No",,,N,冠状动脉疾病,T1DM心血管风险
Complications_Macrovascular,myocardial_infarction,心肌梗死,categorical,,,"Yes,No",,,N,MI病史,重大心血管事件
Complications_Macrovascular,stroke,脑卒中,categorical,,,"Yes,No",,,N,脑血管意外,MACE
Complications_Macrovascular,peripheral_arterial_disease,外周动脉疾病,categorical,,,"Yes,No",,,N,PAD,下肢动脉病变
Complications_Other,diabetic_foot,糖尿病足,categorical,,,"None,At_Risk,Ulcer,Infection,Charcot",,,N,足部病变,神经+血管
Complications_Other,foot_ulcer,足溃疡,categorical,,,"Yes,No",,,N,足部溃疡,严重并发症
Complications_Other,amputation,截肢,categorical,,,"None,Toe,Foot,Below_Knee,Above_Knee",,,N,截肢史,最严重结局
Complications_Other,lipodystrophy,脂肪营养不良,categorical,,,"Lipohypertrophy,Lipoatrophy,None",,,N,注射部位脂肪改变,影响吸收
Complications_Other,injection_site_rotation,注射部位轮换,categorical,,,"Adequate,Inadequate",,,N,注射部位管理,预防脂肪营养不良
Comorbidities,hypertension,高血压,categorical,,,"Yes,No",,,N,高血压,心血管危险因素
Comorbidities,dyslipidemia,血脂异常,categorical,,,"Yes,No",,,N,血脂紊乱,他汀适应证
Comorbidities,ldl_cholesterol,LDL胆固醇,decimal,mmol/L,0.5-8,18262-6,,N,低密度脂蛋白,<2.6目标无CVD
Comorbidities,statin_use,他汀使用,categorical,,,"Yes,No",,,N,他汀治疗,>40岁或CVD
Comorbidities,aspirin_use,阿司匹林,categorical,,,"Yes,No",,,N,抗血小板,一级/二级预防
Comorbidities,celiac_disease_diagnosed,乳糜泻诊断,categorical,,,"Yes,No,Unknown",,,N,确诊乳糜泻,5-10%合并
Comorbidities,hashimoto_thyroiditis,桥本甲状腺炎,categorical,,,"Yes,No,Unknown",,,N,Hashimoto甲状腺炎,20-30%合并
Comorbidities,addison_disease,Addison病,categorical,,,"Yes,No",,,N,原发性肾上腺皮质功能减退,APS-2
Comorbidities,autoimmune_polyglandular_syndrome,多腺体自身免疫综合征,categorical,,,"APS-1,APS-2,None",,,N,多发自身免疫,T1DM+甲状腺+Addison
Education_Support,diabetes_education,糖尿病教育,categorical,,,"Comprehensive,Basic,Minimal,None",,,Y,结构化教育,DAFNE/BERTIE
Education_Support,carbohydrate_counting,碳水化合物计数,categorical,,,"Proficient,Learning,None",,,Y,碳水计算能力,餐时胰岛素调整
Education_Support,insulin_dose_adjustment,胰岛素剂量调整,categorical,,,"Independent,Assisted,Physician_Only",,,N,剂量调整能力,自我管理
Education_Support,sick_day_management,病假日管理,categorical,,,"Adequate,Inadequate,Unknown",,,N,疾病日处理,DKA预防
Education_Support,exercise_education,运动教育,categorical,,,"Yes,No",,,N,运动指导,低血糖预防
Psychosocial,diabetes_distress,糖尿病困扰,categorical,,,"Severe,Moderate,Mild,None",,,N,心理负担,DDS量表
Psychosocial,depression,抑郁,categorical,,,"Yes,No,Screening_Positive",,,N,抑郁症,2-3倍风险
Psychosocial,anxiety,焦虑,categorical,,,"Yes,No",,,N,焦虑障碍,常见心理问题
Psychosocial,eating_disorder,进食障碍,categorical,,,"Yes,No,Suspected",,,N,进食障碍,女性青少年风险
Psychosocial,insulin_omission,胰岛素漏打,categorical,,,"Frequent,Occasional,Rare,Never",,,N,故意漏打胰岛素,减肥行为危险
Psychosocial,quality_of_life,生活质量,categorical,,,"Good,Fair,Poor",,,N,QOL评估,总体生活质量
Pregnancy,pregnancy_planning,妊娠计划,categorical,,,"Yes,No,Not_Applicable",,,N,计划妊娠,育龄女性
Pregnancy,preconception_hba1c,孕前HbA1c,decimal,%,4-12,,,N,受孕前糖化,<6.5%最佳<7%可接受
Pregnancy,pregnancy_current,当前妊娠,categorical,,,"Yes,No,Not_Applicable",,,N,妊娠状态,特殊管理
Pregnancy,gestational_complications,妊娠并发症,categorical,,,"Preeclampsia,Preterm,Macrosomia,Congenital_Anomaly,Multiple,None,Not_Applicable",,,N,妊娠结局,高危妊娠
Technology,aic_system,自动胰岛素输注,categorical,,,"Hybrid_Closed_Loop,Advanced_Hybrid,Full_Closed_Loop,None",,,N,闭环系统,人工胰腺
Technology,smart_insulin_pen,智能胰岛素笔,categorical,,,"Yes,No",,,N,智能笔,剂量记录
Technology,diabetes_app_use,糖尿病App使用,categorical,,,"Yes,No",,,N,数字化管理工具,数据整合
Outcomes,severe_dka_events,严重DKA事件数,integer,次,0-20,,,N,需住院DKA,年发生率
Outcomes,hospitalization_diabetes,糖尿病相关住院,integer,次/年,0-20,,,N,住院次数,疾病负担
Outcomes,emergency_visits,急诊就诊,integer,次/年,0-50,,,N,急诊次数,急性事件
Outcomes,diabetes_duration,糖尿病病程,decimal,年,0-80,,,N,确诊至今年限,并发症相关
Outcomes,life_expectancy_impact,预期寿命影响,categorical,,,"Minimal,Moderate,Significant",,,N,寿命影响评估,控制相关
Survival,vital_status,生存状态,categorical,,,"Alive,Dead,Lost_to_Followup",,,N,随访结局,生存分析
Survival,cause_of_death,死亡原因,categorical,,,"DKA,Hypoglycemia,Cardiovascular,Renal_Failure,Infection,Other,Unknown",,,N,死因分类,主要死因
Survival,last_followup_date,末次随访日期,date,,,,,N,最后接触日期,随访数据
