字段名(英文),字段名(中文),数据类型,描述,示例
treatment.surgery.approach,治疗.手术.入路,String,"**开放**: 传统手术<br>**腹腔镜**: 微创,适合小肿瘤<br>**机器人**: 精准操作",腹腔镜
treatment.surgery.margin,治疗.手术.切缘,Number,"切缘宽度(cm)。<br>**≥1cm**: 宽切缘,复发率低<br>**<1cm**: 窄切缘,复发风险高",1.5
treatment.surgery.bloodLoss,治疗.手术.出血量,Number,术中出血量(mL),400
treatment.surgery.complications,治疗.手术.并发症,String,"**胆漏**: 5-10%<br>**肝衰竭**: 2-5%<br>**出血**: 1-3%<br>**感染**: 5-10%",无严重并发症

treatment.ablation.performed,治疗.消融治疗.是否实施,Boolean,"**射频消融(RFA)**: ≤3个,每个≤3cm<br>**微波消融(MWA)**: 消融范围大<br>**Child-Pugh A-B**: 肝功能要求",false
treatment.ablation.type,治疗.消融治疗.类型,String,"**RFA**: 射频消融<br>**MWA**: 微波消融<br>**冷冻**: 冷冻消融<br>**PEI**: 无水酒精注射",无
treatment.ablation.sessions,治疗.消融治疗.次数,Number,消融治疗次数,0

treatment.transplant.evaluated,治疗.肝移植.是否评估,Boolean,"**Milan标准**: 单发≤5cm或≤3个,每个≤3cm,无血管侵犯<br>**Hangzhou标准**: 中国扩大标准<br>**根治性治疗**: 合并肝硬化首选",false
treatment.transplant.criteria,治疗.肝移植.标准,String,"**Milan标准**: 符合<br>**UCSF标准**: 单发≤6.5cm或≤3个,最大≤4.5cm,总和≤8cm<br>**Hangzhou标准**: AFP≤400 ng/mL,肿瘤≤8cm或多发总和≤15cm",超出Milan标准

# 治疗方案 - 局部治疗
treatment.tace.performed,治疗.TACE.是否实施,Boolean,"**TACE**: 肝动脉化疗栓塞<br>**适应证**: BCLC B期,中期多发肿瘤<br>**禁忌**: 门静脉主干癌栓、肝功能差",false
treatment.tace.sessions,治疗.TACE.次数,Number,TACE治疗次数,0
treatment.tace.response,治疗.TACE.疗效,String,"**CR**: 完全缓解<br>**PR**: 部分缓解<br>**SD**: 疾病稳定<br>**PD**: 疾病进展<br>**mRECIST**: 实体瘤疗效评价",未实施

treatment.radiotherapy,治疗.放疗,Boolean,"**SBRT**: 立体定向放疗,小病灶<br>**适应证**: 不能手术/消融,门静脉癌栓<br>**剂量**: 30-60Gy",false

# 治疗方案 - 系统治疗
treatment.systemic.firstLine,治疗.系统治疗.一线方案,String,"**索拉非尼**: 多激酶抑制剂,标准一线<br>**仑伐替尼**: 非劣效于索拉非尼<br>**阿替利珠单抗+贝伐珠单抗**: IMbrave150,新一线标准<br>**Child-Pugh A**: 肝功能要求",未开始
treatment.systemic.firstLine.cycles,治疗.系统治疗.一线疗程,Number,一线治疗持续时间(月),0
treatment.systemic.firstLine.response,治疗.系统治疗.一线疗效,String,"**mRECIST**: 评价疗效<br>**CR/PR/SD/PD**: 疗效分级",未开始

treatment.systemic.secondLine,治疗.系统治疗.二线方案,String,"**瑞戈非尼**: 索拉非尼进展后<br>**卡博替尼**: 多激酶抑制剂<br>**雷莫芦单抗**: AFP≥400,抗血管<br>**纳武利尤单抗**: PD-1抑制剂,索拉非尼耐药",无

treatment.immunotherapy,治疗.免疫治疗,Boolean,"**PD-1/PD-L1抑制剂**: 纳武利尤单抗、帕博利珠单抗、阿替利珠单抗<br>**联合治疗**: 免疫+抗血管(IMbrave150)<br>**一线**: T+A成为新标准",false
treatment.immunotherapy.agent,治疗.免疫治疗.药物,String,"**阿替利珠单抗+贝伐珠单抗**: 一线标准<br>**信迪利单抗**: 中国PD-1抑制剂<br>**卡瑞利珠单抗+阿帕替尼**: 中国方案",无

# 辅助治疗
treatment.adjuvant,治疗.术后辅助,Boolean,"**术后辅助**: 降低复发<br>**TACE**: 高危复发因素<br>**索拉非尼**: STORM研究阴性<br>**免疫治疗**: 临床研究中",false
treatment.adjuvant.regimen,治疗.术后辅助.方案,String,"**TACE**: 微血管侵犯、多发肿瘤<br>**免疫治疗**: IMbrave050研究,T+A辅助治疗",无

# 转移情况
metastasis.lung,转移.肺转移,Boolean,"**最常见**: 血行转移<br>**肺结节**: 多发<br>**预后**: 中位生存6-12个月",false
metastasis.bone,转移.骨转移,Boolean,"**椎体**: 常见<br>**疼痛**: 骨痛、病理性骨折<br>**放疗**: 姑息止痛",false
metastasis.lymphNode,转移.淋巴结转移,Boolean,"**肝门**: 区域淋巴结<br>**腹膜后**: 远处淋巴结<br>**预后**: 差",false
metastasis.peritoneal,转移.腹膜转移,Boolean,"**腹膜种植**: 罕见<br>**腹水**: 癌性腹水",false
metastasis.adrenal,转移.肾上腺转移,Boolean,"**血行转移**: 右肾上腺多见",false

# 血管侵犯
vascularInvasion.pvtt,血管侵犯.门静脉癌栓,Boolean,"**PVTT**: 门静脉癌栓<br>**30-40%**: HCC伴PVTT<br>**预后**: 极差,中位生存2-4个月",false
vascularInvasion.pvtt.cheng,血管侵犯.PVTT.Cheng分型,String,"**I型**: 分支<br>**II型**: 右/左门静脉<br>**III型**: 门静脉主干<br>**IV型**: 肠系膜上静脉<br>**分型**: 影响治疗选择和预后",无PVTT
vascularInvasion.hvtt,血管侵犯.肝静脉癌栓,Boolean,"**HVTT**: 肝静脉癌栓<br>**下腔静脉**: IVC癌栓<br>**Budd-Chiari**: 类Budd-Chiari综合征",false
vascularInvasion.ivc,血管侵犯.下腔静脉癌栓,Boolean,"**IVC癌栓**: 下腔静脉癌栓<br>**右心房**: 癌栓延伸<br>**手术**: 需体外循环",false

# 随访与预后
followUp.interval,随访.随访间隔,String,"**术后2年内**: 每3个月<br>**3-5年**: 每3-6个月<br>**>5年**: 每6-12个月",每3个月
followUp.methods,随访.随访方法,String,"**AFP**: 每3个月<br>**影像**: 增强CT/MRI,每3-6个月<br>**肝功能**: Child-Pugh评估",AFP+增强MRI
followUp.recurrence,随访.复发,Boolean,"**术后复发**: 50-70%,5年内<br>**肝内复发**: 最常见<br>**肝外转移**: 肺、骨",false
followUp.recurrence.site,随访.复发.部位,String,"**肝内**: 残肝复发<br>**肺**: 最常见肝外转移<br>**骨**: 椎体",无
followUp.recurrence.time,随访.复发.时间,Number,术后复发时间(月),无复发

prognosis.stage,预后.分期预后,String,"**BCLC 0-A期**: 5年生存率50-70%<br>**BCLC B期**: 中位生存20-30个月<br>**BCLC C期**: 中位生存6-12个月<br>**BCLC D期**: 中位生存<6个月",A期,预计5年生存率60-70%
prognosis.factors,预后.预后因素,String,"**良好**: 单发、<5cm、无血管侵犯、AFP正常、R0切除、Child-Pugh A<br>**不良**: 多发、血管侵犯、AFP高、肝功能差、肝外转移",单发、R0切除、Child-Pugh A

# 危险因素
riskFactors.hbv,危险因素.HBV感染,Boolean,"**HBV**: 中国最主要病因(80%)<br>**OR 15-20**: 相对风险<br>**预防**: 疫苗接种,抗病毒治疗",true
riskFactors.hcv,危险因素.HCV感染,Boolean,"**HCV**: 西方主要病因<br>**OR 10-15**: 相对风险<br>**治愈**: DAA治愈后降低风险",false
riskFactors.alcohol,危险因素.酒精性肝病,Boolean,"**酒精**: 协同HBV/HCV<br>**每日>80g**: 20-30年→肝硬化→HCC",false
riskFactors.nafld,危险因素.非酒精性脂肪肝,Boolean,"**NASH**: 非酒精性脂肪性肝炎<br>**肥胖、糖尿病**: 危险因素<br>**西方**: 发病率上升",false
riskFactors.aflatoxin,危险因素.黄曲霉毒素,Boolean,"**黄曲霉毒素B1**: TP53突变<br>**花生、玉米**: 霉变食物<br>**协同HBV**: 风险倍增",false
riskFactors.cirrhosis,危险因素.肝硬化,Boolean,"**肝硬化**: 最重要危险因素<br>**年发病率**: 3-5%<br>**监测**: 每6月超声+AFP",true
riskFactors.familyHistory,危险因素.家族史,Boolean,"**一级亲属**: 风险增加2-3倍<br>**HBV母婴传播**: 家族聚集",true

# 实验室检查
labs.liver.albumin,实验室.肝功能.白蛋白,Number,"血清白蛋白(g/L)。<br>**<35**: 肝功能受损<br>**<28**: 严重肝功能不全",38
labs.liver.bilirubin,实验室.肝功能.总胆红素,Number,"总胆红素(μmol/L)。<br>**<34**: 正常<br>**>34**: 黄疸",28
labs.liver.alt,实验室.肝功能.ALT,Number,丙氨酸转氨酶(U/L),正常<40,65
labs.liver.ast,实验室.肝功能.AST,Number,天冬氨酸转氨酶(U/L),正常<40,80
labs.liver.alp,实验室.肝功能.ALP,Number,碱性磷酸酶(U/L),正常<120,150
labs.liver.ggt,实验室.肝功能.GGT,Number,γ-谷氨酰转肽酶(U/L),正常<50,男性<60,女性<40,180

labs.coagulation.pt,实验室.凝血.PT,Number,凝血酶原时间(秒),正常11-15,14.5
labs.coagulation.inr,实验室.凝血.INR,Number,"INR。<br>**<1.7**: Child-Pugh 1分<br>**1.7-2.3**: 2分<br>**>2.3**: 3分",1.2

labs.renal.creatinine,实验室.肾功能.肌酐,Number,血清肌酐(μmol/L),男性57-111,女性41-73,85
labs.cbc.platelet,实验室.血常规.血小板,Number,"血小板(×10⁹/L)。<br>**<100**: 门脉高压、脾功能亢进",85
labs.cbc.wbc,实验室.血常规.白细胞,Number,白细胞(×10⁹/L),正常3.5-9.5,4.5

# 基因检测
genetics.tp53,基因检测.TP53,String,"**TP53突变**: 30-40% HCC<br>**黄曲霉毒素**: R249S突变<br>**预后**: 不良",野生型
genetics.ctnnb1,基因检测.CTNNB1,String,"**β-catenin突变**: 20-30% HCC<br>**Wnt信号**: 激活",野生型
genetics.tert,基因检测.TERT,String,"**TERT启动子突变**: 50-60% HCC<br>**端粒酶**: 激活",突变

performanceStatus,体能状态.ECOG评分,Number,"**0**: 完全活动<br>**1**: 限制重体力<br>**2**: 生活自理<br>**3**: 有限自理<br>**4**: 完全失能",0

notes,备注,String,其他重要临床信息,HBV相关肝硬化背景,肝功能Child-Pugh A级,单发肿瘤,已行手术切除
