字段名 (英文),字段名 (中文),数据类型,描述,示例
clinicalActionability.recommendedScreening,临床可操作性.推荐筛查,String,"基于遗传结果的筛查建议",定期血糖监测
clinicalActionability.lifestyleModifications,临床可操作性.生活方式调整,String,"基于遗传结果的生活方式建议",低糖饮食和规律运动
clinicalActionability.pharmacogenomicGuidance,临床可操作性.药物基因组学指导,String,"基于遗传结果的用药指导",他汀类药物需要较低起始剂量
clinicalActionability.familyScreening,临床可操作性.家族筛查,String,"家族成员筛查建议",建议一级亲属进行糖尿病筛查
incidentalFindings.pathogenic,偶然发现.致病,String,"偶然发现的致病变异",无
incidentalFindings.likelyPathogenic,偶然发现.可能致病,String,"偶然发现的可能致病变异",无
incidentalFindings.variantOfUncertainSignificance,偶然发现.意义不明变异,String,"意义不明的变异",BRCA2基因VUS
reportedVariants.pathogenic,报告变异.致病,String,"报告的致病变异",无
reportedVariants.likelyPathogenic,报告变异.可能致病,String,"报告的可能致病变异",无
reportedVariants.variantOfUncertainSignificance,报告变异.意义不明,String,"报告的意义不明变异",2个VUS
reportedVariants.likelyBenign,报告变异.可能良性,String,"报告的可能良性变异",15个
reportedVariants.benign,报告变异.良性,String,"报告的良性变异",283个
qualityMetrics.readQuality,质量指标.读段质量,String,"测序读段质量。<br>**建议值**: `优`, `良`, `可`",良
qualityMetrics.mappingRate,质量指标.比对率,Number,"序列比对率。<br>单位: %<br>**合格**: >95%",98.5
qualityMetrics.duplicateRate,质量指标.重复率,Number,"PCR重复率。<br>单位: %<br>**合格**: <20%",8.5
qualityMetrics.contaminationRate,质量指标.污染率,Number,"样本污染率。<br>单位: %<br>**合格**: <5%",1.2
interpretation.overall Risk,解读.总体风险,String,"总体遗传风险评估。<br>**建议值**: `低`, `中`, `高`",中
interpretation.clinicalSignificance,解读.临床意义,String,"检测结果的临床意义",需要定期监测和生活方式干预
interpretation.limitations,解读.局限性,String,"检测局限性说明",仅检测常见变异，无法排除所有遗传风险
interpretation.recommendations,解读.建议,String,"基于遗传检测的建议",定期健康检查，保持健康生活方式
followUp.geneticCounseling,随访.遗传咨询,String,"遗传咨询建议。<br>**建议值**: `不需要`, `建议`, `强烈建议`",建议
followUp.retesting,随访.重新检测,String,"重新检测建议",技术升级后可考虑重新检测
followUp.familyTesting,随访.家族检测,String,"家族检测建议",建议一级亲属检测
followUp.clinicalManagement,随访.临床管理,String,"临床管理建议",内分泌科定期随访
ethicalConsiderations.informedConsent,伦理考虑.知情同意,String,"知情同意获得情况。<br>**建议值**: `已获得`, `部分获得`, `未获得`",已获得
ethicalConsiderations.privacyConcerns,伦理考虑.隐私关注,String,"隐私保护措施",严格保密，限制访问
ethicalConsiderations.discrimination Risk,伦理考虑.歧视风险,String,"遗传歧视风险评估",低风险
ethicalConsiderations.psychologicalImpact,伦理考虑.心理影响,String,"心理影响评估",轻度焦虑，需要支持
dataSharing.researchParticipation,数据共享.研究参与,String,"研究数据共享同意。<br>**建议值**: `同意`, `不同意`, `有条件同意`",有条件同意
dataSharing.anonymization,数据共享.匿名化,String,"数据匿名化程度",完全匿名化
dataSharing.retention Period,数据共享.保存期限,String,"数据保存期限",10年
costEffectiveness.costPerQaly,成本效益.每QALY成本,Number,"每质量调整生命年成本（如果计算）",25000
costEffectiveness.clinicalUtility,成本效益.临床效用,String,"临床效用评估。<br>**建议值**: `高`, `中`, `低`",中
costEffectiveness.economicImpact,成本效益.经济影响,String,"经济影响评估",预防性干预可能降低未来医疗成本
technicalValidation.concordance,技术验证.一致性,Number,"与金标准的一致性。<br>单位: %",99.2
technicalValidation.sensitivity,技术验证.敏感性,Number,"检测敏感性。<br>单位: %",95.8
technicalValidation.specificity,技术验证.特异性,Number,"检测特异性。<br>单位: %",99.5
technicalValidation.positivePredi ctiveValue,技术验证.阳性预测值,Number,"阳性预测值。<br>单位: %",88.5
technicalValidation.negativePredict iveValue,技术验证.阴性预测值,Number,"阴性预测值。<br>单位: %",99.8
bioinformaticsAnalysis.pipeline,生物信息学分析.分析流程,String,"使用的分析流程",GATK Best Practices
bioinformaticsAnalysis.referenceGenome,生物信息学分析.参考基因组,String,"参考基因组版本",GRCh38/hg38
bioinformaticsAnalysis.annotationDatabases,生物信息学分析.注释数据库,String,"变异注释数据库",ClinVar, dbSNP, gnomAD
bioinformaticsAnalysis.variantCalling,生物信息学分析.变异识别,String,"变异识别算法",GATK HaplotypeCaller
futureDirections.emergingTechnologies,未来方向.新兴技术,String,"新兴技术应用前景",长读长测序，单细胞分析
futureDirections.therapeuticTargets,未来方向.治疗靶点,String,"潜在治疗靶点",表观遗传药物，基因治疗
futureDirections.personalized Medicine,未来方向.个体化医学,String,"个体化医学应用",精准营养，个体化用药
diagnosisImpression,诊断/印象,String,医生对遗传与表观遗传学检查结果的综合诊断或印象。,中等遗传风险，需要生活方式干预和定期监测
recommendation,建议,String,医生根据检查结果提出的建议。,定期健康检查，生活方式调整，遗传咨询，家族筛查
