Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,肺癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,预后因素
Treatment_Chemotherapy,chemo_cycles,化疗周期数,integer,周期,1-20,,,N,完成周期数,疗程评估
Treatment_Targeted,targeted_therapy,靶向治疗,categorical,,,"Yes,No",,,N,是否靶向治疗,精准治疗
Treatment_Targeted,targeted_agent,靶向药物,categorical,,,"Osimertinib,Erlotinib,Gefitinib,Afatinib,Dacomitinib,Alectinib,Crizotinib,Ceritinib,Lorlatinib,Sotorasib,Other",,,N,具体靶向药,基于驱动基因
Treatment_Targeted,egfr_tki_line,EGFR-TKI线数,categorical,,,"First,Second,Third,Resistance",,,N,TKI治疗线别,耐药追踪
Treatment_Targeted,egfr_tki_generation,EGFR-TKI代数,categorical,,,"First,Second,Third",,,N,TKI代数,三代对T790M
Treatment_Targeted,targeted_response,靶向治疗反应,categorical,,,"CR,PR,SD,PD",,,N,靶向疗效评价,RECIST评估
Treatment_Targeted,targeted_pfs,靶向PFS,decimal,月,0-100,,,N,靶向无进展生存,疗效持续时间
Treatment_Immunotherapy,immunotherapy_given,免疫治疗,categorical,,,"Yes,No",,,N,是否免疫治疗,检查点抑制剂
Treatment_Immunotherapy,immune_agent,免疫药物,categorical,,,"Pembrolizumab,Nivolumab,Atezolizumab,Durvalumab,Sintilimab,Camrelizumab,Tislelizumab,Other",,,N,具体PD-1/PD-L1,国产/进口
Treatment_Immunotherapy,immune_line,免疫线数,categorical,,,"First,Second,Third_or_More",,,N,免疫治疗线别,单药vs联合
Treatment_Immunotherapy,immune_combination,免疫联合方案,categorical,,,"Monotherapy,Chemo-Immune,Dual-Immune,Chemo-Antiangio-Immune",,,N,联合治疗模式,一线多联合
Treatment_Immunotherapy,immune_response,免疫治疗反应,categorical,,,"CR,PR,SD,PD,Pseudoprogression",,,N,免疫疗效,可能假性进展
Treatment_Immunotherapy,irAE_occurred,免疫相关不良事件,categorical,,,"Yes,No",,,N,irAE发生,特殊毒性
Treatment_Immunotherapy,irAE_type,irAE类型,categorical,,,"Pneumonitis,Colitis,Hepatitis,Thyroiditis,Rash,Hypophysitis,Myocarditis,Multiple,None",,,N,irAE器官,肺炎/肠炎常见
Treatment_Immunotherapy,irAE_grade,irAE级别,categorical,,,"Grade1,Grade2,Grade3,Grade4,Grade5",,,N,CTCAE分级,≥3级需处理
Antiangiogenic,antiangio_therapy,抗血管生成治疗,categorical,,,"Yes,No",,,N,抗血管治疗,血管靶向
Antiangiogenic,antiangio_agent,抗血管药物,categorical,,,"Bevacizumab,Ramucirumab,Anlotinib,Apatinib,Other",,,N,具体药物,VEGF/VEGFR抑制
Antiangiogenic,antiangio_combination,抗血管联合,categorical,,,"Chemo,Chemo-Immune,Monotherapy",,,N,联合模式,非鳞癌bevacizumab
Response_Assessment,best_response,最佳疗效,categorical,,,"CR,PR,SD,PD",,,N,治疗最佳反应,RECIST 1.1
Response_Assessment,response_evaluation_date,疗效评估日期,date,,,,,N,评价时间点,影像学评估
Response_Assessment,progression_status,进展状态,categorical,,,"No_Progression,Local,Regional,Distant,Mixed",,,N,疾病进展,进展模式
Response_Assessment,progression_date,疾病进展日期,date,,,,,N,PD确认日期,PFS计算
Response_Assessment,progression_site,进展部位,categorical,,,"Primary,Regional_Nodes,Brain,Bone,Liver,Lung,New_Site,Multiple",,,N,进展位置,局部vs远处
Survival,vital_status,生存状态,categorical,,,"Alive,Dead,Lost_to_Followup",,,Y,随访结局,总生存
Survival,death_date,死亡日期,date,,,,,N,死亡时间,OS计算
Survival,cause_of_death,死亡原因,categorical,,,"Lung_Cancer,Treatment_Toxicity,Other_Cancer,Cardiovascular,Infection,Other,Unknown",,,N,死因分类,肿瘤相关死亡
Survival,overall_survival,总生存期,decimal,月,0-300,,,N,诊断至死亡/末次随访,OS
Survival,progression_free_survival,无进展生存期,decimal,月,0-200,,,N,治疗至进展/死亡,PFS
Survival,last_followup_date,末次随访日期,date,,,,,N,最后接触日期,删失数据
Complications,pneumonia,肺炎,categorical,,,"Yes,No",,,N,感染并发症,免疫抑制
Complications,pulmonary_embolism,肺栓塞,categorical,,,"Yes,No",,,N,静脉血栓栓塞,高凝状态
Complications,superior_vena_cava_syndrome,上腔静脉综合征,categorical,,,"Yes,No",,,N,SVC阻塞,急症
Complications,spinal_cord_compression,脊髓压迫,categorical,,,"Yes,No",,,N,椎管内压迫,肿瘤急症
Complications,pathologic_fracture,病理性骨折,categorical,,,"Yes,No",,,N,骨转移骨折,骨事件
Complications,brain_edema,脑水肿,categorical,,,"Yes,No",,,N,颅内压增高,脑转移并发症
