fieldName,displayName,dataType,description,exampleValue
clinical.tumorMarkers.scc,临床表现.肿瘤标志物.SCC,Number,"鳞状细胞癌抗原(ng/ml)。<br>**正常值**: <1.5 ng/ml<br>**阳性率**: 食管鳞癌40-60%,腺癌不升高<br>**临床意义**: SCC是食管鳞癌特异性标志物,>2.0 ng/ml提示鳞癌可能;SCC与肿瘤分期相关,≥3.0 ng/ml常提示III-IV期;术后SCC下降提示疗效,复升提示复发(敏感性60-70%,特异性85-90%)<br>**监测**: 仅用于鳞癌患者,每3个月检测",2.8
clinical.tumorMarkers.cyfra211,临床表现.肿瘤标志物.CYFRA21-1,Number,"细胞角蛋白19片段(ng/ml)。<br>**正常值**: <3.3 ng/ml<br>**阳性率**: 食管鳞癌50-70%(敏感性优于SCC),腺癌20-30%<br>**临床意义**: CYFRA21-1是食管鳞癌最敏感的标志物,>5.0 ng/ml高度提示鳞癌;与肿瘤负荷和分期相关,≥10 ng/ml常提示晚期;SCC+CYFRA21-1联合检测可提高敏感性至80%<br>**监测**: 鳞癌患者术后每3个月",5.2
clinical.tumorMarkers.ca199,临床表现.肿瘤标志物.CA19-9,Number,"糖链抗原19-9(U/ml)。<br>**正常值**: <37 U/ml<br>**阳性率**: 食管腺癌30-50%,鳞癌15-20%<br>**临床意义**: CA19-9在食管腺癌(尤其EGJ腺癌)中升高率较高,>100 U/ml常提示进展期或转移;Lewis血型阴性者(5-10%人群)即使有肿瘤CA19-9也不升高<br>**监测**: 腺癌患者术后每3个月",45
clinical.tumorMarkers.ca724,临床表现.肿瘤标志物.CA72-4,Number,"糖链抗原72-4(U/ml)。<br>**正常值**: <6.9 U/ml<br>**阳性率**: 食管腺癌(尤其EGJ腺癌)40-50%,鳞癌<10%<br>**临床意义**: CA72-4是EGJ腺癌的较好标志物,特异性高(90%);CA72-4+CEA+CA19-9三项联合可提高腺癌检出率至70-80%<br>**监测**: 腺癌患者术后每3个月",8.5
imaging.ct.findings,影像学.CT.主要发现,String,"增强CT主要发现。<br>**原发肿瘤**:<br>- 食管壁不规则增厚(>5mm)<br>- 管腔狭窄或梗阻<br>- 肿瘤强化程度(轻-中度不均匀强化)<br>- 食管周围脂肪间隙模糊(T3)<br>- 侵犯邻近器官(气管/主动脉/心包,T4)<br>**淋巴结转移**: 短径>1cm或圆形、融合、坏死<br>**远处转移**: 肝、肺、骨、腹腔淋巴结<br>**示例**: `胸中段食管壁增厚1.2cm,管腔狭窄,中度强化,周围脂肪间隙清晰,纵隔淋巴结肿大(4R站1.5cm,7站1.8cm)`<br>**临床意义**: CT评估T分期准确性70-80%,N分期60-70%,M分期85-90%;T4判断(侵犯大血管/气管)准确性85-90%",胸中段食管壁增厚1.2cm,纵隔淋巴结肿大
imaging.petct.suvmax,影像学.PET-CT.SUVmax,Number,"原发肿瘤最大标准摄取值。<br>**判断标准**:<br>- SUVmax<2.5: 良性可能大<br>- SUVmax 2.5-5.0: 可疑恶性<br>- SUVmax>5.0: 高度提示恶性<br>- SUVmax>10.0: 恶性程度高/代谢旺盛<br>**临床意义**: SUVmax与肿瘤分级、分期相关,SUVmax>10提示预后差;PET-CT在M分期(发现隐匿远处转移)准确性90-95%,优于CT;SUVmax下降>35%提示新辅助治疗有效",12.5
imaging.petct.metastasis,影像学.PET-CT.远处转移,String,"PET-CT发现的远处转移。<br>**常见转移部位**(按频率):<br>- **淋巴结**: 腹腔淋巴结(胃左/腹腔干,20-30%),锁骨上淋巴结(15-20%)<br>- **肝**: 15-25%,多发小病灶<br>- **肺**: 10-20%,多发结节<br>- **骨**: 5-10%,脊柱/肋骨/盆骨<br>- **腹膜**: 5-10%,腹水/腹膜结节<br>**建议值**: `未见远处转移`, `腹腔淋巴结转移`, `锁骨上淋巴结转移`, `肝转移`, `肺转移`, `骨转移`, `腹膜转移`, `多发转移`<br>**临床意义**: PET-CT发现隐匿远处转移率15-20%,可避免不必要的手术;锁骨上淋巴结转移属M1,不适合手术",未见远处转移
pathology.who.type,病理诊断.WHO分类.组织学类型,String,"WHO 2019食管肿瘤分类。<br>**上皮性肿瘤**:<br>- **鳞状细胞癌(SCC)**: 90%(中国),50%(西方),起源于食管固有鳞状上皮<br>  - 角化型鳞癌: 30%,角化珠形成,分化较好<br>  - 非角化型鳞癌: 60%,无角化,分化中-差<br>  - 基底样鳞癌: 5-10%,预后差<br>  - 梭形细胞癌: 1-2%,肉瘤样,预后差<br>- **腺癌(AC)**: 10%(中国),50%(西方),起源于Barrett食管或贲门腺<br>  - Barrett食管相关腺癌: 90%,胃型/肠型<br>  - 贲门腺癌<br>- **腺鳞癌**: 1-2%,含鳞癌和腺癌成分(各≥10%),预后差于单纯鳞癌<br>- **小细胞癌**: 0.5-2.4%,神经内分泌肿瘤,预后极差(中位OS 7-10月)<br>- **未分化癌**: <1%,预后极差<br>**建议值**: `鳞状细胞癌-角化型`, `鳞状细胞癌-非角化型`, `鳞状细胞癌-基底样`, `鳞状细胞癌-梭形细胞`, `腺癌-Barrett相关`, `腺癌-贲门腺癌`, `腺鳞癌`, `小细胞癌`, `未分化癌`<br>**临床意义**: 中国以鳞癌为主(90%),好发于胸中段,与吸烟、饮酒、热饮食相关;西方以腺癌为主(50%),多位于胸下段/EGJ,与Barrett食管、肥胖、GERD相关;基底样鳞癌、梭形细胞癌、小细胞癌预后显著差于普通鳞癌",鳞状细胞癌-非角化型
pathology.grade,病理诊断.分化程度,String,"组织学分化程度。<br>**AJCC第8版分级**:<br>- **G1(高分化)**: 鳞癌角化明显/腺癌腺体结构清晰,<10%<br>- **G2(中分化)**: 鳞癌中度角化/腺癌腺体部分形成,40-50%<br>- **G3(低分化)**: 鳞癌角化少/腺癌实性片状,40-50%<br>- **G4(未分化)**: 无分化特征,<5%<br>**建议值**: `G1-高分化`, `G2-中分化`, `G3-低分化`, `G4-未分化`<br>**临床意义**: 分化程度是独立预后因素,AJCC第8版将G分级纳入分期(同样T1N0,G1为IA期,G2-3为IB期);G1 5年生存率70-80%,G3-4仅20-30%;G3-4淋巴结转移率(50-60%)显著高于G1(20-30%)",G2-中分化
pathology.invasionDepth.pT,病理诊断.浸润深度.pT分期,String,"病理T分期(AJCC第8版)。<br>**食管壁层次**(由内至外): 上皮→固有层→黏膜肌层→黏膜下层→固有肌层→外膜<br>**pTis**: 高级别上皮内瘤变(HGIN)/原位癌,未突破基底膜<br>**pT1**: 侵犯固有层/黏膜肌层/黏膜下层<br>- **pT1a**: 侵犯固有层或黏膜肌层(上皮内癌,EP;固有层,LPM;黏膜肌层,MM),淋巴结转移率<5%,可ESD<br>- **pT1b**: 侵犯黏膜下层(SM),淋巴结转移率10-30%,需手术<br>  - SM1: 侵犯黏膜下层上1/3,淋巴结转移率10-15%<br>- SM2: 侵犯黏膜下层中1/3,淋巴结转移率15-20%<br>  - SM3: 侵犯黏膜下层下1/3,淋巴结转移率20-30%<br>**pT2**: 侵犯固有肌层,淋巴结转移率30-40%<br>**pT3**: 侵犯食管外膜(adventitia,食管无浆膜),淋巴结转移率50-60%<br>**pT4**: 侵犯邻近结构<br>- **pT4a**: 可切除,侵犯胸膜/心包/膈肌/腹膜,淋巴结转移率60-70%<br>- **pT4b**: 不可切除,侵犯主动脉/椎体/气管,淋巴结转移率70-80%<br>**建议值**: `pTis`, `pT1a(EP)`, `pT1a(LPM)`, `pT1a(MM)`, `pT1b(SM1)`, `pT1b(SM2)`, `pT1b(SM3)`, `pT2`, `pT3`, `pT4a`, `pT4b`<br>**临床意义**: T1a淋巴结转移率<5%,可内镜治疗;T1b(SM3)淋巴结转移率20-30%,需手术+淋巴结清扫;T4b 5年生存率<10%,不推荐手术",pT3
pathology.lymphovascularInvasion,病理诊断.脉管侵犯,String,"淋巴管/血管侵犯(LVI)。<br>**定义**: 镜下见肿瘤细胞位于淋巴管腔或血管腔内<br>**检出率**: 食管癌30-50%,T1b 20-30%,T2-3 40-60%<br>**建议值**: `未见脉管侵犯`, `淋巴管侵犯(L1)`, `静脉侵犯(V1)`, `淋巴管+静脉侵犯(L1V1)`<br>**临床意义**: LVI是强烈的独立不良预后因素,LVI阳性患者淋巴结转移率增加2-3倍,5年生存率下降15-20%;T1b LVI+患者淋巴结转移率从10%升至30%,即使pN0也应考虑辅助治疗",淋巴管侵犯(L1)
pathology.neuralInvasion,病理诊断.神经侵犯,String,"神经周围侵犯(PNI)。<br>**定义**: 肿瘤细胞围绕或侵犯神经束<br>**检出率**: 食管癌20-40%,与T分期和分化程度相关<br>**建议值**: `未见神经侵犯`, `有神经侵犯(Pn1)`<br>**临床意义**: PNI是独立不良预后因素,提示局部侵袭性强、淋巴结转移风险高、局部复发率高;PNI阳性5年生存率比阴性低15-25%",有神经侵犯(Pn1)
pathology.resectionMargin.proximal,病理诊断.切缘.近端切缘,String,"食管近端切缘。<br>**标准**: 距肿瘤边缘≥5cm为安全,≥3cm可接受,<3cm不足<br>**建议值**: `阴性(距离≥5cm)`, `阴性(距离3-5cm)`, `接近(距离1-3cm)`, `阳性-原位癌`, `阳性-浸润癌`<br>**临床意义**: 近端切缘阳性是局部复发的主要原因,R1切除5年生存率<20%;鳞癌易有黏膜内播散,建议切缘≥5cm;术中冰冻切缘检查可指导切除范围",阴性(距离5.5cm)
pathology.resectionMargin.distal,病理诊断.切缘.远端切缘,String,"食管或胃远端切缘。<br>**标准**: 距肿瘤边缘≥5cm(鳞癌),≥3cm(腺癌)<br>**建议值**: `阴性(距离≥5cm)`, `阴性(距离3-5cm)`, `接近(距离1-3cm)`, `阳性-原位癌`, `阳性-浸润癌`<br>**临床意义**: 远端切缘阳性局部复发率>50%;EGJ腺癌远端切缘需≥3cm",阴性(距离6.0cm)
pathology.resectionMargin.circumferential,病理诊断.切缘.环周切缘,String,"环周切缘(CRM,径向切缘)。<br>**定义**: 肿瘤边缘到食管外膜切除面的最短距离<br>**判断标准**:<br>- **CRM阴性(R0)**: 肿瘤距切缘>1mm<br>- **CRM接近**: 肿瘤距切缘≤1mm但未累及<br>- **CRM阳性(R1)**: 肿瘤累及切缘<br>**建议值**: `CRM阴性(>1mm)`, `CRM接近(≤1mm)`, `CRM阳性`<br>**临床意义**: CRM是食管癌预后最重要的病理因素之一,CRM阳性局部复发率60-80%,5年生存率<15%;新辅助治疗后CRM阳性率从30%降至10-15%",CRM阴性(3mm)
ihc.p40,免疫组化.p40,String,"p40(ΔNp63)核蛋白。<br>**表达模式**: 核阳性<br>**鳞状细胞癌(SCC)**: 98%阳性,弥漫强阳性<br>**腺癌(AC)**: 4%阳性,阴性或局灶弱阳性<br>**建议值**: `阴性`, `弱阳性(1+)`, `中度阳性(2+)`, `强阳性(3+)`<br>**临床意义**: p40是鳞癌最特异的标志物,特异性>95%(优于p63的85%);p40+/CK5/6+组合敏感性98%、特异性99%;低分化鳞癌p40表达可能减弱",强阳性(3+,90%肿瘤细胞)
ihc.p63,免疫组化.p63,String,"p63核蛋白。<br>**表达模式**: 核阳性<br>**鳞状细胞癌**: 100%阳性,弥漫强阳性<br>**腺癌**: 4%阳性<br>**建议值**: `阴性`, `弱阳性(1+)`, `中度阳性(2+)`, `强阳性(3+)`<br>**临床意义**: p63是鳞癌高敏感标志物(敏感性100%),但特异性(85%)低于p40;p63在部分腺癌可局灶阳性,鉴别时需结合p40和CK5/6;高分化鳞癌p63/p40表达强,低分化鳞癌可减弱",强阳性(3+,95%肿瘤细胞)
ihc.ck56,免疫组化.CK5/6,String,"细胞角蛋白5/6。<br>**表达模式**: 胞浆阳性<br>**鳞状细胞癌**: 100%阳性<br>**腺癌**: 8%阳性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: CK5/6是鳞癌标志物,与p40/p63联合使用;CK5/6+p63双阳性对鳞癌敏感性98%、特异性99%;基底样鳞癌CK5/6强阳性",弥漫阳性(95%肿瘤细胞)
ihc.cdx2,免疫组化.CDX2,String,"CDX2同源盒蛋白。<br>**表达模式**: 核阳性<br>**腺癌(Barrett相关)**: 90-95%阳性,肠型腺癌弥漫阳性<br>**鳞状细胞癌**: 阴性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: CDX2是Barrett食管和食管腺癌特异标志物,阳性提示肠化生;CDX2+Villin双阳性高度提示Barrett相关腺癌;CDX2在所有Barrett组织(包括无明确杯状细胞者)均阳性,是早期肠化生标志",弥漫阳性(85%肿瘤细胞)
ihc.villin,免疫组化.Villin,String,"Villin微绒毛蛋白。<br>**表达模式**: 胞浆阳性,刷状缘强阳性<br>**腺癌(Barrett相关)**: 90%阳性<br>**鳞状细胞癌**: 阴性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: Villin是肠化生敏感标志物,与CDX2联合可提高Barrett食管检出率;Villin在早期肠化生(无杯状细胞阶段)即可表达,早于MUC2和杯状细胞出现",弥漫阳性(80%肿瘤细胞)
ihc.muc5ac,免疫组化.MUC5AC,String,"黏蛋白5AC。<br>**表达模式**: 胞浆阳性<br>**腺癌**: 85-90%阳性,胃型腺癌强阳性<br>**鳞状细胞癌**: <5%阳性<br>**建议值**: `阴性`, `局灶阳性(<10%)`, `弥漫阳性(≥10%)`<br>**临床意义**: MUC5AC主要见于腺癌,几乎不见于鳞癌;MUC5AC联合CDX2可区分鳞癌(MUC5AC-/CDX2-)和腺癌(MUC5AC+/CDX2+)",局灶阳性(20%肿瘤细胞)
ihc.agr2,免疫组化.AGR2,String,"前梯度蛋白2(Anterior Gradient 2)。<br>**表达模式**: 胞浆阳性<br>**腺癌**: 95%阳性<br>**鳞状细胞癌**: <5%阳性<br>**建议值**: `阴性`, `弱阳性(1+)`, `中度阳性(2+)`, `强阳性(3+)`<br>**临床意义**: AGR2是食管腺癌高特异标志物,p63+CK5/6+MUC5AC+AGR2四项组合可100%区分鳞癌和腺癌;AGR2在Barrett化生-低级别不典型增生-高级别不典型增生-腺癌进展中逐渐升高",阴性(鳞癌)
ihc.ki67,免疫组化.Ki-67,Number,"Ki-67增殖指数(%)。<br>**判断标准**:<br>- 低增殖: <20%<br>- 中度增殖: 20-50%<br>- 高增殖: >50%<br>**临床意义**: Ki-67与肿瘤分级和预后相关,>50%提示高度恶性;小细胞癌Ki-67通常>80%;Ki-67>50%的T1期食管癌淋巴结转移率增加2倍<br>**监测**: 可用于评估新辅助治疗疗效,治疗后Ki-67下降>30%提示疗效好",45
ihc.pdl1.cps,免疫组化.PD-L1.CPS评分,Number,"联合阳性评分(Combined Positive Score,%)。<br>**定义**: (PD-L1阳性肿瘤细胞数+PD-L1阳性免疫细胞数)/总肿瘤细胞数×100<br>**判读标准**(22C3 pharmDx):<br>- **CPS<1**: 阴性,不推荐免疫治疗<br>- **CPS 1-9**: 低表达<br>- **CPS≥10**: 高表达,帕博利珠单抗单药适应症(KEYNOTE-180/181研究)<br>- **CPS≥20**: 极高表达,免疫治疗疗效更好<br>**临床意义**: CPS是食管癌免疫治疗最重要的预测标志物;KEYNOTE-590研究显示帕博利珠单抗+化疗 vs 化疗,CPS≥10患者OS 13.5月 vs 9.4月,CPS<10患者OS 10.5月 vs 10.6月;纳武利尤单抗+化疗(CheckMate 648)CPS≥5获益显著<br>**食管鳞癌**: CPS≥10占40-50%<br>**食管腺癌**: CPS≥10占20-30%",25
ihc.pdl1.tps,免疫组化.PD-L1.TPS评分,Number,"肿瘤细胞阳性比例分数(Tumor Proportion Score,%)。<br>**定义**: PD-L1阳性肿瘤细胞占总肿瘤细胞百分比<br>**判读标准**: TPS≥1%为阳性<br>**临床意义**: TPS在食管癌中不如CPS常用,主要用于肺癌;食管癌免疫治疗疗效预测首选CPS评分",15
molecular.her2.status,分子标记.HER2.状态,String,"HER2(ERBB2)基因扩增/蛋白过表达状态。<br>**检测方法**: IHC+FISH双平台<br>**IHC判读**(Ruschoff评分系统,修订版):<br>- **0**: 无染色或<10%肿瘤细胞膜染色<br>- **1+**: 微弱/不完整膜染色,≥10%肿瘤细胞<br>- **2+**: 弱-中度完整或强不完整膜染色,≥10%肿瘤细胞→需FISH确认<br>- **3+**: 强完整膜染色,≥10%肿瘤细胞→HER2阳性<br>**FISH判读**: HER2/CEP17比值≥2.0或HER2拷贝数≥6/细胞<br>**建议值**: `HER2阴性(IHC 0/1+)`, `HER2可疑(IHC 2+,FISH阴性)`, `HER2阳性(IHC 2+,FISH阳性)`, `HER2阳性(IHC 3+)`<br>**阳性率**:<br>- 食管腺癌/EGJ腺癌: 15-25%(高于胃腺癌的10%)<br>- 食管鳞癌: 5-10%<br>**临床意义**: HER2阳性是曲妥珠单抗靶向治疗适应症;ToGA研究显示曲妥珠单抗+化疗 vs 化疗,中位OS 13.8月 vs 11.1月,IHC3+/FISH+患者获益最大(OS 16.0月);HER2阳性腺癌预后稍好",HER2阳性(IHC 3+)
molecular.her2.ihcScore,分子标记.HER2.IHC评分,String,"HER2免疫组化评分。<br>**建议值**: `0`, `1+`, `2+`, `3+`",3+
molecular.her2.fishRatio,分子标记.HER2.FISH比值,Number,"HER2/CEP17比值(仅IHC 2+需做)。<br>**判读**: ≥2.0为阳性,<2.0为阴性",不适用(IHC 3+)
molecular.her2.copyNumber,分子标记.HER2.拷贝数,Number,"HER2基因平均拷贝数/细胞。<br>**判读**: ≥6为阳性,<4为阴性,4-6为临界",不适用(IHC 3+)
molecular.msi.status,分子标记.MSI.状态,String,"微卫星不稳定性(Microsatellite Instability)状态。<br>**检测方法**: PCR检测5个微卫星位点(BAT25/BAT26/D2S123/D5S346/D17S250)或IHC检测MMR蛋白(MLH1/MSH2/MSH6/PMS2)<br>**判读**:<br>- **MSS(微卫星稳定)**: 0个位点不稳定,MMR蛋白表达正常<br>- **MSI-L(低度不稳定)**: 1个位点不稳定<br>- **MSI-H(高度不稳定)**: ≥2个位点不稳定,或任一MMR蛋白缺失<br>**建议值**: `MSS(微卫星稳定)`, `MSI-L(低度不稳定)`, `MSI-H(高度不稳定)`, `dMMR(MMR蛋白缺失)`<br>**阳性率**: 食管癌MSI-H仅2-5%(远低于结直肠癌的15%),多见于腺癌<br>**临床意义**: MSI-H/dMMR是帕博利珠单抗tissue-agnostic适应症(2017 FDA批准,首个基于生物标志物而非肿瘤来源的适应症);MSI-H食管癌免疫治疗ORR 50-70%,PFS>12月,疗效优于MSS;MSI-H预后优于MSS",MSS(微卫星稳定)
molecular.mmr.mlh1,分子标记.MMR蛋白.MLH1,String,"MLH1蛋白表达。<br>**表达模式**: 核阳性<br>**建议值**: `表达正常`, `表达缺失`<br>**临床意义**: MLH1缺失常伴PMS2缺失,提示Lynch综合征可能或MLH1启动子甲基化;MLH1缺失需进一步检测BRAF V600E突变和MLH1甲基化,排除Lynch综合征",表达正常
molecular.mmr.msh2,分子标记.MMR蛋白.MSH2,String,"MSH2蛋白表达。<br>**建议值**: `表达正常`, `表达缺失`<br>**临床意义**: MSH2缺失常伴MSH6缺失,高度提示Lynch综合征",表达正常
molecular.mmr.msh6,分子标记.MMR蛋白.MSH6,String,"MSH6蛋白表达。<br>**建议值**: `表达正常`, `表达缺失`",表达正常
molecular.mmr.pms2,分子标记.MMR蛋白.PMS2,String,"PMS2蛋白表达。<br>**建议值**: `表达正常`, `表达缺失`",表达正常
staging.tnm.cT,分期.TNM.临床T分期,String,"临床T分期(AJCC第8版)。<br>**cTis**: 高级别上皮内瘤变<br>**cT1**: 侵犯固有层/黏膜肌层/黏膜下层<br>**cT2**: 侵犯固有肌层<br>**cT3**: 侵犯外膜<br>**cT4a**: 侵犯胸膜/心包/膈肌<br>**cT4b**: 侵犯主动脉/椎体/气管<br>**建议值**: `cTis`, `cT1`, `cT2`, `cT3`, `cT4a`, `cT4b`<br>**临床意义**: cT1-2为早期,可考虑ESD或手术;cT3为局部进展期,推荐新辅助治疗;cT4b不可切除",cT3
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(已在前述浸润深度中详细说明)。<br>**建议值**: `pTis`, `pT1a`, `pT1b`, `pT2`, `pT3`, `pT4a`, `pT4b`",pT3
staging.tnm.cN,分期.TNM.临床N分期,String,"临床N分期。<br>**cN0**: 无区域淋巴结转移<br>**cN1**: 1-2枚区域淋巴结转移<br>**cN2**: 3-6枚区域淋巴结转移<br>**cN3**: ≥7枚区域淋巴结转移<br>**判断**: 短径>1cm或PET-CT SUV>2.5提示转移<br>**建议值**: `cN0`, `cN1`, `cN2`, `cN3`",cN1
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(AJCC第8版)。<br>**pN0**: 无区域淋巴结转移<br>**pN1**: 1-2枚区域淋巴结转移<br>**pN2**: 3-6枚区域淋巴结转移<br>**pN3**: ≥7枚区域淋巴结转移<br>**建议值**: `pN0`, `pN1(1枚)`, `pN1(2枚)`, `pN2(3-6枚)`, `pN3(≥7枚)`<br>**临床意义**: N分期是最重要预后因素,pN0 5年生存率60-70%,pN1 30-40%,pN2 15-25%,pN3 <10%;阳性淋巴结数每增加1枚,死亡风险增加5-10%",pN1(2枚)
staging.tnm.M,分期.TNM.M分期,String,"远处转移分期。<br>**M0**: 无远处转移<br>**M1**: 有远处转移<br>**常见转移部位**: 肝(30%)、肺(20%)、骨(10%)、腹腔淋巴结(20-30%)、锁骨上淋巴结(15%)<br>**建议值**: `M0`, `M1-肝转移`, `M1-肺转移`, `M1-骨转移`, `M1-腹腔淋巴结`, `M1-锁骨上淋巴结`, `M1-多发转移`<br>**临床意义**: M1患者中位生存期8-12月,不推荐手术,以姑息化疗或免疫治疗为主",M0
