字段路径,中文名称,数据类型,说明,示例值
pathology.adenocarcinoma.invasiveness,腺癌.浸润程度,String,"肺腺癌浸润程度分级(IASLC/ATS/ERS 2011分类,WHO 2021沿用)。<br>**不典型腺瘤样增生(AAH)**: ≤5mm局灶性增生,纯GGN,良性<br>**原位腺癌(AIS)**: ≤3cm纯贴壁生长,无浸润,纯GGN,5年生存率100%<br>**微浸润腺癌(MIA)**: ≤3cm以贴壁为主,浸润灶≤5mm,部分实性GGN(实性成分≤5mm),5年生存率100%<br>**浸润性腺癌(IAC)**: 浸润灶>5mm或肿瘤>3cm,混合GGN(实性成分>5mm)或实性结节<br>**建议值**: `AAH`, `AIS`, `MIA`, `IAC`<br>**临床意义**: AIS和MIA术后几乎不复发,可楔形切除;IAC需肺叶切除+淋巴结清扫",IAC(浸润性腺癌)
pathology.adenocarcinoma.predominantPattern,腺癌.主要组织学亚型,String,"浸润性腺癌主要组织学模式(占比最大的亚型,IASLC 2020分级系统)。<br>**五种亚型**:<br>- **贴壁型(Lepidic,LPA)**: 沿肺泡壁生长,预后最好,多为pGGN/mGGN,5年生存率>90%<br>- **腺泡型(Acinar,APA)**: 腺泡样/腺管状结构,预后中等,5年生存率70-80%<br>- **乳头型(Papillary,PPA)**: 乳头状结构,预后中等,5年生存率70-80%<br>- **微乳头型(Micropapillary,MPA)**: 无纤维血管轴心的小乳头簇,侵袭性强,淋巴管/血管侵犯多,5年生存率50-60%<br>- **实性型(Solid,SPA)**: 实性片状生长无腺体结构,侵袭性强,5年生存率50-60%<br>**建议值**: `贴壁为主`, `腺泡为主`, `乳头为主`, `微乳头为主`, `实性为主`, `混合型`<br>**临床意义**: 微乳头型和实性型是高级别模式(预后差),即使占比≥1%也显著影响预后",腺泡为主
pathology.adenocarcinoma.highGradePattern,腺癌.高级别模式占比,Number,"高级别模式(微乳头型+实性型+复杂腺型)占肿瘤百分比(%)。<br>**IASLC 2020组织学分级**:<br>- **1级(高分化)**: 贴壁为主且高级别模式<20%<br>- **2级(中分化)**: 腺泡/乳头为主且高级别模式<20%<br>- **3级(低分化)**: 高级别模式≥20%<br>**临床意义**: 高级别模式≥1%即显著影响预后,5年RFS从91.5%降至69.1%;高级别模式≥20%归为低分化,5年生存率<60%",15
pathology.adenocarcinoma.minorPatterns,腺癌.次要亚型,String,"次要组织学模式(占比<50%的其他亚型)。<br>**示例**: 腺泡为主60%+微乳头15%+实性10%+贴壁10%+乳头5%<br>**建议值**: 列出各亚型及其百分比<br>**临床意义**: 完整记录所有亚型有助于准确分级和预后评估",微乳头15%+实性10%+贴壁10%+乳头5%
pathology.adenocarcinoma.specialSubtype,腺癌.特殊亚型,String,"腺癌特殊亚型(WHO 2021)。<br>**浸润性黏液腺癌**: 黏液产生型,常多灶/双侧,KRAS突变高频,预后中等<br>**胶样腺癌**: 大量细胞外黏液(>90%),预后较好<br>**胎儿型腺癌**: 类似胎儿肺,低级别,预后好<br>**肠型腺癌**: 类似结直肠癌,CDX2/CK20阳性,罕见<br>**微乳头为主腺癌**: 微乳头>50%,预后极差<br>**建议值**: `无特殊亚型`, `浸润性黏液腺癌`, `胶样腺癌`, `胎儿型腺癌`, `肠型腺癌`<br>**临床意义**: 特殊亚型有独特的分子特征和预后",无特殊亚型
pathology.squamous.differentiation,鳞癌.分化程度,String,"鳞状细胞癌分化程度。<br>**建议值**: `高分化`, `中分化`, `低分化`, `未分化`<br>**判断标准**: 角化程度、细胞间桥、核异型性<br>**临床意义**: 分化程度影响预后,低分化鳞癌5年生存率<40%",不适用(腺癌)
pathology.squamous.keratinization,鳞癌.角化,String,"鳞癌角化程度。<br>**建议值**: `角化型(细胞间桥明显/角化珠)`, `非角化型`, `基底样鳞癌(预后差)`<br>**临床意义**: 基底样鳞癌侵袭性强,预后差",不适用(腺癌)
pathology.sclc.variant,小细胞肺癌.亚型,String,"小细胞肺癌亚型(WHO 2021)。<br>**纯小细胞癌**: 纯小细胞成分<br>**复合型小细胞癌**: 小细胞癌+NSCLC成分(腺癌/鳞癌/大细胞癌),占10-20%<br>**建议值**: `纯小细胞癌`, `复合型-伴腺癌`, `复合型-伴鳞癌`, `复合型-伴大细胞癌`<br>**临床意义**: 复合型SCLC对化疗敏感性可能降低,需考虑NSCLC治疗策略",不适用(腺癌)
pathology.lcnec,大细胞神经内分泌癌,String,"大细胞神经内分泌癌(LCNEC)特征。<br>**诊断标准**(需满足):<br>1. 大细胞形态(细胞大,核浆比低,核仁明显)<br>2. 神经内分泌形态(器官样/栅栏状/菊形团/小梁状排列)<br>3. 核分裂≥10个/10HPF(高增殖)<br>4. 坏死(通常大片坏死)<br>5. 神经内分泌标记阳性(CD56/嗜铬粒蛋白/突触素,至少1个阳性)<br>**建议值**: `不符合LCNEC`, `符合LCNEC诊断`<br>**临床意义**: LCNEC预后类似SCLC(中位生存期15-30个月),需铂类化疗,但不如SCLC敏感",不适用(腺癌)
pathology.differentiation,病理.分化程度,String,"肿瘤分化程度(NSCLC)。<br>**建议值**: `高分化(G1)`, `中分化(G2)`, `低分化(G3)`, `未分化(G4)`<br>**腺癌**: 根据IASLC 2020分级(高级别模式占比)<br>**鳞癌**: 根据角化程度和核异型性<br>**临床意义**: 低分化/未分化预后差,复发率高",中分化(腺癌IASLC 2级)
pathology.pleural.invasion,胸膜侵犯,String,"脏层胸膜侵犯程度(PL分级)。<br>**PL0**: 肿瘤未达脏层胸膜弹力层<br>**PL1**: 肿瘤侵犯超过脏层胸膜弹力层,但未达脏层胸膜表面<br>**PL2**: 肿瘤达脏层胸膜表面<br>**PL3**: 肿瘤侵犯壁层胸膜或直接侵犯胸壁<br>**建议值**: `PL0`, `PL1`, `PL2(T2)`, `PL3`<br>**临床意义**: PL1-3属于T2,脏层胸膜侵犯是独立不良预后因素,增加复发风险",PL0
pathology.lymphovascular.invasion,淋巴血管侵犯,String,"淋巴管和/或血管侵犯(LVI)。<br>**建议值**: `无`, `淋巴管侵犯`, `血管侵犯`, `淋巴血管均侵犯`, `广泛LVI(≥5处)`<br>**识别**: D2-40(淋巴管标记)/CD31/CD34(血管标记)免疫组化<br>**临床意义**: LVI是淋巴结转移和远处转移的强预测因子,显著增加复发风险,即使I期肺癌LVI阳性5年复发率>30%",淋巴管侵犯
pathology.perineural.invasion,神经周围侵犯,String,"神经周围侵犯(PNI)。<br>**建议值**: `无`, `有`<br>**临床意义**: PNI见于5-15%肺癌,提示侵袭性强,复发风险增加",无
pathology.necrosis,坏死,String,"肿瘤坏死。<br>**建议值**: `无坏死`, `局灶坏死(<10%)`, `中度坏死(10-50%)`, `广泛坏死(>50%)`<br>**临床意义**: 广泛坏死见于SCLC/LCNEC/低分化NSCLC,提示侵袭性强,预后差",局灶坏死
pathology.tumorBudding,肿瘤出芽,String,"肿瘤浸润前缘出芽。<br>**定义**: 浸润前缘单个或<5个细胞簇<br>**建议值**: `无或低度出芽`, `中度出芽`, `高度出芽`<br>**临床意义**: 肺癌肿瘤出芽与淋巴结转移和预后相关,高度出芽提示EMT和侵袭性",低度出芽
pathology.airSpaceSpread,气腔播散,String,"经气腔播散(Spread through air spaces,STAS)。<br>**定义**: 肿瘤主体外肺泡腔内见肿瘤细胞(单个/簇状/微乳头样),非人工假象<br>**建议值**: `无STAS`, `有STAS`<br>**临床意义**: STAS见于30-40%肺腺癌,是早期肺癌(包括AIS/MIA)复发的重要预测因素,STAS阳性的MIA复发率从0%升至15-20%;亚肺叶切除术中STAS阳性复发率显著增加,应考虑肺叶切除",无STAS
ihc.ttf1,免疫组化.TTF-1,String,"甲状腺转录因子1。<br>**表达模式**: 核染色<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: 腺癌75-85%,小细胞癌90%,鳞癌<5%<br>**临床意义**: TTF-1是腺癌和SCLC的敏感标记,阴性腺癌多为黏液腺癌/肠型腺癌;TTF-1+Napsin A双阳性高度特异于肺腺癌(>95%)",阳性
ihc.napsinA,免疫组化.Napsin A,String,"天门冬氨酸蛋白酶A。<br>**表达模式**: 胞质染色<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: 腺癌80-90%,鳞癌/SCLC阴性<br>**临床意义**: Napsin A是肺腺癌高特异性标记,与TTF-1联合可确认肺腺癌原发;黏液腺癌/印戒细胞癌Napsin A可阴性",阳性
ihc.p40,免疫组化.p40,String,"p63的ΔN亚型。<br>**表达模式**: 核染色<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: 鳞癌95-100%,腺癌<5%<br>**临床意义**: p40是鳞癌高度特异性标记(特异性>p63),几乎不表达于腺癌,是鳞腺癌鉴别的金标准",阴性
ihc.ck5_6,免疫组化.CK5/6,String,"高分子量细胞角蛋白5/6。<br>**表达模式**: 胞质染色<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: 鳞癌80-90%,腺癌<10%<br>**临床意义**: CK5/6是鳞癌标记,与p40联合诊断鳞癌敏感性>95%",阴性
ihc.ck7,免疫组化.CK7,String,"细胞角蛋白7。<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: 腺癌90-95%,鳞癌10-20%<br>**临床意义**: CK7是腺癌标记,肺腺癌转移灶CK7+/TTF-1+/Napsin A+提示肺来源",阳性
ihc.synaptophysin,免疫组化.突触素,String,"神经内分泌标记。<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: SCLC 90%,LCNEC 70%,类癌100%<br>**临床意义**: 突触素是神经内分泌肿瘤标记,SCLC/LCNEC诊断必需",阴性(腺癌)
ihc.chromogranin,免疫组化.嗜铬粒蛋白,String,"神经内分泌标记。<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: 类癌100%,SCLC 70%,LCNEC 60%<br>**临床意义**: 嗜铬粒蛋白特异性高于突触素,但敏感性稍低",阴性(腺癌)
ihc.cd56,免疫组化.CD56,String,"神经细胞黏附分子。<br>**建议值**: `阴性`, `阳性`<br>**阳性率**: SCLC 90%,LCNEC 80%<br>**临床意义**: CD56是神经内分泌肿瘤敏感标记,但特异性低于突触素/嗜铬粒蛋白",阴性(腺癌)
ihc.ki67,免疫组化.Ki-67,Number,"增殖指数(%)。<br>**参考范围**:<br>- 类癌: <5%<br>- 不典型类癌: 5-20%<br>- LCNEC: >20%(通常50-80%)<br>- SCLC: >50%(通常>80%)<br>**临床意义**: Ki-67是神经内分泌肿瘤分级关键指标,也是NSCLC预后因素,>50%提示高度侵袭性",25
ihc.pdl1.clone,免疫组化.PD-L1.检测克隆,String,"PD-L1检测抗体克隆。<br>**NMPA批准克隆**: 22C3 pharmDx(Dako)、28-8 pharmDx(Dako)、SP263(Ventana)、SP142(Ventana)<br>**建议值**: `22C3`, `28-8`, `SP263`, `SP142`<br>**临床意义**: 22C3/28-8/SP263在肿瘤细胞染色一致性好,SP142敏感性低;不同克隆cutoff值不同",22C3
ihc.pdl1.tps,免疫组化.PD-L1.TPS评分,Number,"肿瘤细胞阳性比例分数(Tumor Proportion Score,%)。<br>**定义**: 肿瘤细胞膜染色(任何强度,部分或完整)占总肿瘤细胞百分比<br>**判读标准**(22C3/28-8/SP263):<br>- **TPS<1%**: 阴性,一线化疗<br>- **TPS 1-49%**: 低表达,免疫+化疗联合<br>- **TPS≥50%**: 高表达,一线免疫单药(帕博利珠单抗KEYNOTE-024研究)<br>**临床意义**: TPS≥50%患者帕博利珠单抗单药PFS 10.3月 vs 化疗6.0月,OS 30.0月 vs 14.2月;TPS 1-49%需联合化疗",60
ihc.pdl1.cps,免疫组化.PD-L1.CPS评分,Number,"联合阳性分数(Combined Positive Score)。<br>**定义**: CPS=(PD-L1阳性肿瘤细胞+淋巴细胞+巨噬细胞数)/总肿瘤细胞数×100<br>**判读标准**: CPS<1、1-49、≥50<br>**临床意义**: CPS用于部分免疫治疗药物疗效预测,如纳武利尤单抗+化疗",65
ihc.pdl1.interpretation,免疫组化.PD-L1.临床解读,String,"PD-L1表达临床意义。<br>**建议值**:<br>- `TPS<1%,不推荐一线免疫单药`<br>- `TPS 1-49%,推荐免疫+化疗联合`<br>- `TPS≥50%,推荐一线免疫单药(帕博利珠单抗/阿替利珠单抗)`<br>**临床意义**: PD-L1是免疫治疗疗效预测最重要的生物标志物,但非绝对,TPS<1%患者仍有10-15% ORR",TPS≥50%,推荐一线帕博利珠单抗单药
molecular.egfr.status,分子标记.EGFR.状态,String,"EGFR基因突变状态。<br>**建议值**: `野生型`, `突变型`<br>**突变率**: 亚洲腺癌40-50%,西方腺癌10-15%,鳞癌<5%,SCLC<1%<br>**临床意义**: EGFR突变是肺腺癌最常见驱动基因,突变阳性可用TKI靶向治疗",突变型
molecular.egfr.mutation,分子标记.EGFR.突变类型,String,"EGFR具体突变类型。<br>**经典突变(90%,敏感突变)**:<br>- **外显子19缺失(Ex19del,45%)**: Del E746-A750最常见,一代TKI ORR 70-80%,PFS 9-13月<br>- **外显子21 L858R点突变(40%)**: ORR 60-70%,PFS 8-10月,预后稍差于19del<br>**罕见突变(10%)**:<br>- **外显子18 G719X(3%)**: 一代TKI有效但疗效稍差<br>- **外显子21 L861Q(2%)**: 一代TKI有效<br>- **外显子20插入突变(Ex20ins,4%)**: 对一代/二代/三代TKI耐药,需Ex20特异性抑制剂(莫博塞替尼/阿美替尼)<br>**不敏感突变**:<br>- **外显子20 T790M**: 一代/二代TKI耐药突变(50%获得性耐药),三代TKI敏感<br>- **外显子20 C797S**: 三代TKI耐药突变<br>**建议值**: `19del`, `L858R`, `G719X`, `L861Q`, `Ex20ins`, `T790M`, `C797S`, `复合突变`, `其他罕见突变`<br>**临床意义**: 19del和L858R是一代TKI标准适应症;Ex20ins需特殊Ex20抑制剂;T790M提示一代TKI耐药,改用奥希替尼",19del(E746-A750)
molecular.egfr.t790m,分子标记.EGFR.T790M,String,"EGFR T790M耐药突变。<br>**建议值**: `未检测到`, `检测到T790M`<br>**发生率**: 一代/二代TKI治疗后50%患者出现T790M耐药<br>**治疗**: 三代TKI(奥希替尼/阿美替尼/伏美替尼)<br>**临床意义**: T790M是最常见获得性耐药机制,奥希替尼对T790M+患者ORR 61%,PFS 10.1月",未检测到(初治)
molecular.egfr.c797s,分子标记.EGFR.C797S,String,"EGFR C797S三代TKI耐药突变。<br>**建议值**: `未检测到`, `检测到C797S`<br>**发生率**: 奥希替尼耐药后7%<br>**治疗**: 目前无特效药,顺式C797S(同等位基因)可尝试一代+三代TKI联合,反式C797S无有效治疗<br>**临床意义**: C797S是奥希替尼耐药的新机制",未检测到
molecular.alk.status,分子标记.ALK.状态,String,"ALK基因融合状态。<br>**建议值**: `阴性`, `阳性`<br>**检测方法**: IHC(D5F3克隆,敏感性高)/FISH/RT-PCR/NGS<br>**融合率**: NSCLC 3-5%,多见于年轻/不吸烟/腺癌患者<br>**临床意义**: ALK阳性可用ALK-TKI,EGFR与ALK突变几乎互斥",阴性
molecular.alk.fusion,分子标记.ALK.融合类型,String,"ALK融合伴侣基因。<br>**EML4-ALK**: 最常见(85-90%),有多种变异体(V1/V2/V3a/V3b等)<br>**其他融合**: KIF5B-ALK、TFG-ALK、KLC1-ALK等(罕见)<br>**建议值**: `EML4-ALK V1`, `EML4-ALK V3`, `其他EML4-ALK变异体`, `非EML4-ALK融合`<br>**临床意义**: V1疗效最好,V3对一代ALK-TKI疗效稍差但对二代/三代有效",不适用(ALK阴性)
molecular.alk.treatment,分子标记.ALK.治疗药物,String,"ALK-TKI治疗药物。<br>**一代**: 克唑替尼(Crizotinib),PFS 8-11月<br>**二代**: 色瑞替尼(Ceritinib)/阿来替尼(Alectinib)/布格替尼(Brigatinib),PFS 16-35月<br>**三代**: 洛拉替尼(Lorlatinib),PFS >30月,可透过血脑屏障治疗脑转移<br>**建议值**: `未使用`, `克唑替尼`, `阿来替尼(推荐)`, `色瑞替尼`, `布格替尼`, `洛拉替尼`<br>**临床意义**: NCCN推荐二代ALK-TKI(阿来替尼/布格替尼)作为一线治疗,优于克唑替尼",不适用(ALK阴性)
molecular.ros1.status,分子标记.ROS1.状态,String,"ROS1基因融合状态。<br>**建议值**: `阴性`, `阳性`<br>**检测方法**: IHC(D4D6克隆筛查,阳性需FISH确认)/FISH/NGS<br>**融合率**: NSCLC 1-2%,多见于年轻/不吸烟/腺癌患者<br>**临床意义**: ROS1阳性可用克唑替尼/恩曲替尼/瑞泊替尼,与EGFR/ALK互斥",阴性
molecular.ros1.fusion,分子标记.ROS1.融合类型,String,"ROS1融合伴侣基因。<br>**常见融合**: CD74-ROS1(最常见,45%)、SLC34A2-ROS1(30%)、EZR-ROS1(10%)、TPM3-ROS1(5%)<br>**建议值**: `CD74-ROS1`, `SLC34A2-ROS1`, `EZR-ROS1`, `其他ROS1融合`<br>**临床意义**: 不同融合伴侣对TKI疗效可能略有差异",不适用(ROS1阴性)
molecular.ros1.treatment,分子标记.ROS1.治疗药物,String,"ROS1-TKI治疗药物。<br>**克唑替尼**: ROS1抑制剂,ORR 72%,PFS 19.3月<br>**恩曲替尼(Entrectinib)**: ROS1/TRK/ALK三靶点抑制剂,ORR 77%,可透过血脑屏障<br>**瑞泊替尼(Repotrectinib)**: 下一代ROS1抑制剂<br>**建议值**: `未使用`, `克唑替尼`, `恩曲替尼(推荐)`, `瑞泊替尼`<br>**临床意义**: 恩曲替尼对中枢转移疗效好,颅内ORR 55%",不适用(ROS1阴性)
molecular.braf.status,分子标记.BRAF.状态,String,"BRAF基因突变状态。<br>**建议值**: `野生型`, `V600E突变`, `非V600突变`<br>**突变率**: NSCLC 1-3%,多见于吸烟者<br>**临床意义**: BRAF V600E可用达拉非尼+曲美替尼靶向治疗,非V600突变疗效差",野生型
molecular.braf.v600e,分子标记.BRAF.V600E,String,"BRAF V600E突变。<br>**建议值**: `阴性`, `阳性`<br>**治疗**: 达拉非尼(BRAF抑制剂)+曲美替尼(MEK抑制剂)联合,ORR 64%,PFS 10.9月<br>**临床意义**: BRAF V600E约占BRAF突变的50%,双靶联合优于单药",阴性
molecular.kras.status,分子标记.KRAS.状态,String,"KRAS基因突变状态。<br>**建议值**: `野生型`, `突变型`<br>**突变率**: 腺癌20-30%(西方更高),鳞癌<5%,吸烟相关<br>**临床意义**: KRAS突变既往无有效靶向治疗,但G12C突变可用特异性抑制剂",野生型
molecular.kras.g12c,分子标记.KRAS.G12C,String,"KRAS G12C突变。<br>**建议值**: `阴性`, `阳性`<br>**频率**: KRAS突变中40-45%,肺腺癌总体12-14%<br>**治疗**: 索托拉西布(Sotorasib,AMG510)/阿达格拉西布(Adagrasib,MRTX849),ORR 30-40%,PFS 6-8月<br>**临床意义**: KRAS G12C抑制剂是KRAS突变首个有效靶向药,2021 FDA批准索托拉西布",阴性
molecular.kras.otherMutations,分子标记.KRAS.其他突变,String,"KRAS其他突变类型。<br>**常见突变**: G12C(40%)、G12V(20%)、G12D(15%)、G13X(10%)、Q61X(5%)<br>**建议值**: `无`, `G12V`, `G12D`, `G13X`, `Q61X`, `其他`<br>**临床意义**: 除G12C外,其他KRAS突变目前无特异性靶向药,需化疗或免疫治疗",不适用
