Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,admission_date,入院日期,date,,,,,Y,急诊入院时间,时间零点
Basic_Info,mi_diagnosis_date,AMI确诊日期,date,,,,,Y,心肌梗死确诊时间,诊断时间点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,危险分层
STEMI_Criteria,st_elevation_leads,ST抬高导联,categorical,,,"Anterior,Inferior,Lateral,Posterior,Septal,Extensive,None",,,N,抬高导联位置,梗死部位
STEMI_Criteria,pathological_q_waves,病理性Q波,categorical,,,"Yes,No,Not_Yet",,,N,是否有病理性Q波,透壁梗死
STEMI_Criteria,new_lbbb,新发左束支传导阻滞,categorical,,,"Yes,No,Unknown",,,N,新出现LBBB,STEMI等同
STEMI_Criteria,infarct_location,梗死部位,categorical,,,"Anterior,Inferior,Lateral,Posterior,Right_Ventricular,Anteroseptal,Inferolateral,Extensive",,,Y,心肌梗死位置,治疗预后
STEMI_Criteria,culprit_vessel_ecg,心电图责任血管,categorical,,,"LAD,RCA,LCx,Left_Main,Unknown",,,N,ECG推测罪犯血管,梗死定位

NSTEMI_Criteria,nstemi_diagnosis,NSTEMI诊断,categorical,,,"Yes,No",,,N,非ST段抬高型心梗,另一分型
NSTEMI_Criteria,st_depression,ST段压低,categorical,,,"Yes,No",,,N,心电图ST压低,缺血表现
NSTEMI_Criteria,t_wave_inversion,T波倒置,categorical,,,"Yes,No",,,N,T波倒置,缺血征象
NSTEMI_Criteria,grace_score,GRACE评分,integer,,0-400,,,N,GRACE风险评分,危险分层
NSTEMI_Criteria,timi_risk_score,TIMI风险评分,integer,,0-7,,,N,TIMI评分,预后评估

Vital_Signs,initial_sbp,初始收缩压,integer,mmHg,40-300,8480-6,,Y,入院收缩压,血流动力学
Vital_Signs,initial_dbp,初始舒张压,integer,mmHg,20-200,8462-4,,Y,入院舒张压,灌注评估
Vital_Signs,initial_hr,初始心率,integer,bpm,20-250,8867-4,,Y,入院心率,心律状态
Vital_Signs,shock,休克,categorical,,,"Cardiogenic,Hypovolemic,None",,,N,是否休克,严重并发症
Vital_Signs,hypotension,低血压,categorical,,,"Yes,No",,,N,SBP<90mmHg,血流动力学不稳
Vital_Signs,initial_spo2,初始血氧饱和度,decimal,%,50-100,2708-6,,N,入院SpO2,呼吸状态

Laboratory_Cardiac,troponin_type,肌钙蛋白类型,categorical,,,"High_Sensitivity_TnI,TnI,High_Sensitivity_TnT,TnT",,,Y,肌钙蛋白种类,检测方法
Laboratory_Cardiac,troponin_peak,肌钙蛋白峰值,decimal,ng/L,0-100000,6598-7,,Y,最高肌钙蛋白值,梗死范围
Laboratory_Cardiac,troponin_0h,肌钙蛋白0小时,decimal,ng/L,0-100000,6598-7,,N,入院即刻值,基线
Laboratory_Cardiac,troponin_1h,肌钙蛋白1小时,decimal,ng/L,0-100000,6598-7,,N,1小时值,快速排除/诊断
Laboratory_Cardiac,troponin_3h,肌钙蛋白3小时,decimal,ng/L,0-100000,6598-7,,N,3小时值,确诊
Laboratory_Cardiac,ck_mb,肌酸激酶同工酶,decimal,ng/mL,0-500,13969-1,,N,CK-MB峰值,传统标志物
Laboratory_Cardiac,bnp,脑钠肽,decimal,pg/mL,0-10000,30934-4,,N,BNP水平,心衰评估
Laboratory_Cardiac,nt_probnp,N端脑钠肽前体,decimal,pg/mL,0-50000,33762-6,,N,NT-proBNP水平,预后标志

Laboratory_Other,hemoglobin,血红蛋白,decimal,g/L,40-200,718-7,,N,Hb水平,贫血影响
Laboratory_Other,wbc_count,白细胞计数,decimal,10^9/L,0-50,6690-2,,N,白细胞数,炎症反应
Laboratory_Other,platelet_count,血小板计数,decimal,10^9/L,0-1000,777-3,,N,血小板数,抗栓治疗
Laboratory_Other,creatinine,肌酐,decimal,μmol/L,20-1500,2160-0,,Y,血肌酐,肾功能/对比剂
Laboratory_Other,egfr,肾小球滤过率,decimal,mL/min/1.73m²,0-200,33914-3,,N,eGFR,肾功能评估
Laboratory_Other,glucose,血糖,decimal,mmol/L,2-50,2345-7,,N,入院血糖,应激高血糖
Laboratory_Other,hba1c,糖化血红蛋白,decimal,%,3-18,4548-4,,N,HbA1c,糖尿病状态
Laboratory_Other,lipid_profile,血脂,categorical,,,"Done,Not_Done",,,N,是否查血脂,危险因素
Laboratory_Other,ldl_cholesterol,低密度脂蛋白,decimal,mmol/L,0-15,18262-6,,N,LDL-C,他汀治疗

ECG,ecg_time,心电图时间,datetime,,,,,Y,首份心电图时间,10分钟内完成
ECG,door_to_ecg_time,门-心电图时间,integer,minutes,0-60,,,N,入院到心电图分钟数,目标<10分钟
ECG,rhythm,心律,categorical,,,"Sinus,Atrial_Fibrillation,Atrial_Flutter,Ventricular_Tachycardia,Ventricular_Fibrillation,AV_Block,Other",,,Y,心电图心律,基础心律
ECG,conduction_block,传导阻滞,categorical,,,"LBBB,RBBB,Bifascicular,AV_Block_1,AV_Block_2,AV_Block_3,None",,,N,传导系统异常,并发症
ECG,arrhythmia,心律失常,categorical,,,"VT,VF,SVT,Bradycardia,AV_Block,PVC,None,Other",,,N,心律失常类型,恶性心律失常

Imaging_Echo,echo_performed,超声心动图,categorical,,,"Yes,No,Planned",,,N,是否做超声,评估心功能
Imaging_Echo,echo_date,超声日期,date,,,,,N,超声检查时间,影像时间
Imaging_Echo,lvef,左室射血分数,decimal,%,0-100,10230-1,,N,LVEF,心功能核心指标
Imaging_Echo,lvef_category,LVEF分级,categorical,,,"Preserved_50plus,Mildly_Reduced_40to49,Moderately_Reduced_30to39,Severely_Reduced_below30",,,N,射血分数分级,预后分层
Imaging_Echo,wall_motion_abnormality,室壁运动异常,categorical,,,"Yes,No",,,N,是否室壁运动异常,梗死证据
Imaging_Echo,wall_motion_location,室壁异常部位,categorical,,,"Anterior,Inferior,Lateral,Apical,Septal,Multiple,None",,,N,异常室壁位置,梗死定位
Imaging_Echo,mr_severity,二尖瓣反流,categorical,,,"None,Mild,Moderate,Severe",,,N,二尖瓣反流程度,机械并发症
Imaging_Echo,vsd,室间隔穿孔,categorical,,,"Yes,No",,,N,是否室间隔穿孔,机械并发症
Imaging_Echo,free_wall_rupture,游离壁破裂,categorical,,,"Yes,No,Suspected",,,N,游离壁破裂,致命并发症
Imaging_Echo,lv_thrombus,左室血栓,categorical,,,"Yes,No,Suspected",,,N,左室附壁血栓,栓塞风险
Imaging_Echo,pericardial_effusion,心包积液,categorical,,,"Yes,No",,,N,是否心包积液,破裂征象

Angiography,cag_performed,冠脉造影,categorical,,,"Yes,No,Contraindicated",,,Y,是否冠脉造影,诊断金标准
Angiography,cag_date,造影日期,date,,,,,N,冠脉造影时间,介入时间
Angiography,door_to_cag_time,门-造影时间,integer,minutes,0-1440,,,N,入院到造影分钟数,时间质控
Angiography,culprit_vessel,罪犯血管,categorical,,,"LAD,RCA,LCx,Left_Main,Diagonal,OM,RV_Branch,Graft,Multiple",,,N,责任血管,治疗靶点
Angiography,culprit_lesion_location,病变位置,categorical,,,"Proximal,Mid,Distal,Ostial,Bifurcation",,,N,病变部位,介入难度
Angiography,stenosis_severity,狭窄程度,categorical,,,"Total_Occlusion,99,90to99,75to89,50to74,Below50",,,N,狭窄百分比,病变严重度
Angiography,timi_flow_pre,介入前TIMI血流,categorical,,,"0,1,2,3",,,N,术前TIMI分级,基线血流
Angiography,timi_flow_post,介入后TIMI血流,categorical,,,"0,1,2,3",,,N,术后TIMI分级,再灌注效果
Angiography,multivessel_disease,多支病变,categorical,,,"Single,Two_Vessel,Three_Vessel,Left_Main",,,N,冠脉病变范围,预后影响
Angiography,syntax_score,SYNTAX评分,integer,,0-100,,,N,病变复杂度评分,血运重建决策

Reperfusion_PCI,pci_performed,PCI治疗,categorical,,,"Yes,No",,,N,是否经皮冠脉介入,首选再灌注
Reperfusion_PCI,pci_date,PCI日期,date,,,,,N,PCI时间,介入时间点
Reperfusion_PCI,symptom_to_balloon_time,症状-球囊时间,integer,minutes,0-1440,,,N,胸痛到球囊扩张分钟,总缺血时间
Reperfusion_PCI,door_to_balloon_time,门-球囊时间,integer,minutes,0-360,,,N,入院到球囊扩张分钟,STEMI目标<90分钟
Reperfusion_PCI,dtb_within_90min,DTB<90分钟,categorical,,,"Yes,No,NA",,,N,是否达标,质量指标
Reperfusion_PCI,stent_type,支架类型,categorical,,,"Drug_Eluting,Bare_Metal,Bioresorbable,None",,,N,支架种类,DES首选
Reperfusion_PCI,number_of_stents,支架数量,integer,,0-10,,,N,置入支架个数,介入规模
Reperfusion_PCI,pci_success,PCI成功,categorical,,,"Yes,No,Partial",,,N,介入是否成功,TIMI 3血流
Reperfusion_PCI,no_reflow,无复流,categorical,,,"Yes,No",,,N,是否无复流现象,微循环障碍
Reperfusion_PCI,pci_complication,PCI并发症,categorical,,,"Dissection,Perforation,Side_Branch_Occlusion,Stroke,Death,None,Other",,,N,介入相关并发症,安全性

Reperfusion_Fibrinolysis,fibrinolysis_performed,溶栓治疗,categorical,,,"Yes,No,Contraindicated",,,N,是否溶栓,无PCI条件
Reperfusion_Fibrinolysis,fibrinolytic_agent,溶栓药物,categorical,,,"Alteplase,Reteplase,Tenecteplase,Streptokinase,Urokinase,None",,,N,溶栓药种类,纤溶剂
Reperfusion_Fibrinolysis,door_to_needle_time,门-针时间,integer,minutes,0-180,,,N,入院到溶栓分钟,目标<30分钟
Reperfusion_Fibrinolysis,fibrinolysis_success,溶栓成功,categorical,,,"Yes,No,Unknown",,,N,溶栓是否成功,ST回落>50%
Reperfusion_Fibrinolysis,rescue_pci,补救PCI,categorical,,,"Yes,No,NA",,,N,溶栓失败补救PCI,二次再灌注
Reperfusion_Fibrinolysis,bleeding_complication,出血并发症,categorical,,,"Intracranial,Major,Minor,None",,,N,溶栓出血,安全性

Reperfusion_CABG,cabg_performed,冠脉搭桥术,categorical,,,"Yes,No,Planned",,,N,是否CABG,外科血运重建
Reperfusion_CABG,cabg_timing,CABG时机,categorical,,,"Emergent,Urgent,Elective,NA",,,N,手术紧急程度,时间窗
Reperfusion_CABG,cabg_indication,CABG指征,categorical,,,"Left_Main,Three_Vessel,PCI_Failure,Mechanical_Complication,Other,NA",,,N,搭桥原因,适应证

Treatment_Antiplatelet,aspirin,阿司匹林,categorical,,,"Yes,No,Contraindicated",,,Y,是否用阿司匹林,基石治疗
Treatment_Antiplatelet,aspirin_loading_dose,阿司匹林负荷量,decimal,mg,0-500,,,N,负荷剂量,150-300mg
Treatment_Antiplatelet,p2y12_inhibitor,P2Y12抑制剂,categorical,,,"Ticagrelor,Clopidogrel,Prasugrel,None",,,Y,P2Y12抑制剂种类,双抗
Treatment_Antiplatelet,p2y12_loading_dose,P2Y12负荷量,decimal,mg,0-600,,,N,负荷剂量,替格瑞洛180mg
Treatment_Antiplatelet,dapt_duration,双抗疗程,categorical,,,"12_Months,6_Months,3_Months,Longer,Individualized",,,N,双联抗血小板持续时间,标准12月

Treatment_Anticoagulation,anticoagulant,抗凝药,categorical,,,"Heparin,Enoxaparin,Bivalirudin,Fondaparinux,None",,,N,抗凝药物,PCI围术期
Treatment_Anticoagulation,long_term_anticoagulation,长期抗凝,categorical,,,"Warfarin,NOAC,None",,,N,长期抗凝,房颤/血栓
Treatment_Anticoagulation,triple_therapy,三联抗栓,categorical,,,"Yes,No",,,N,是否三联,DAPT+抗凝

Treatment_Medical,beta_blocker,β受体阻滞剂,categorical,,,"Yes,No,Contraindicated",,,Y,是否用β阻滞剂,一线药物
Treatment_Medical,beta_blocker_type,β阻滞剂种类,categorical,,,"Metoprolol,Bisoprolol,Carvedilol,Atenolol,Other,None",,,N,具体β阻滞剂,优选
Treatment_Medical,acei_arb,ACEI/ARB,categorical,,,"ACEI,ARB,ARNI,None,Contraindicated",,,Y,肾素-血管紧张素系统抑制剂,LVEF降低必须
Treatment_Medical,acei_arb_type,ACEI/ARB种类,categorical,,,"Perindopril,Ramipril,Enalapril,Valsartan,Sacubitril_Valsartan,Other,None",,,N,具体药物,足量
Treatment_Medical,statin,他汀,categorical,,,"Yes,No,Contraindicated",,,Y,是否用他汀,所有患者
Treatment_Medical,statin_type,他汀种类,categorical,,,"Atorvastatin,Rosuvastatin,Simvastatin,Other,None",,,N,具体他汀,高强度
Treatment_Medical,statin_intensity,他汀强度,categorical,,,"High,Moderate,Low,None",,,N,剂量强度,高强度首选
Treatment_Medical,aldosterone_antagonist,醛固酮拮抗剂,categorical,,,"Spironolactone,Eplerenone,None",,,N,醛固酮拮抗剂,LVEF≤40%
Treatment_Medical,sglt2_inhibitor,SGLT2抑制剂,categorical,,,"Yes,No",,,N,是否用SGLT2i,糖尿病/心衰

Complications_Mechanical,mechanical_complication,机械并发症,categorical,,,"VSD,Free_Wall_Rupture,Papillary_Muscle_Rupture,LV_Aneurysm,None",,,N,机械性并发症,致命
Complications_Mechanical,vsd_date,室间隔穿孔日期,date,,,,,N,VSD发生时间,通常3-5天
Complications_Mechanical,surgical_repair,外科修复,categorical,,,"Yes,No,Planned,NA",,,N,是否手术修复,机械并发症处理

Complications_Arrhythmia,ventricular_arrhythmia,室性心律失常,categorical,,,"VF,Sustained_VT,Non_Sustained_VT,PVC,None",,,N,室性心律失常,恶性
Complications_Arrhythmia,atrial_fibrillation,房颤,categorical,,,"New_Onset,Paroxysmal,Persistent,None",,,N,房颤类型,栓塞风险
Complications_Arrhythmia,av_block,房室传导阻滞,categorical,,,"First_Degree,Second_Degree,Third_Degree,None",,,N,AVB程度,起搏适应证
Complications_Arrhythmia,pacemaker,起搏器植入,categorical,,,"Temporary,Permanent,No",,,N,起搏治疗,传导阻滞

Complications_HF,heart_failure,心力衰竭,categorical,,,"Yes,No",,,N,是否心衰,常见并发症
Complications_HF,pulmonary_edema,肺水肿,categorical,,,"Yes,No",,,N,急性肺水肿,左心衰
Complications_HF,cardiogenic_shock,心源性休克,categorical,,,"Yes,No",,,N,心源性休克,严重并发症
Complications_HF,iabp,主动脉内球囊反搏,categorical,,,"Yes,No",,,N,IABP支持,循环辅助
Complications_HF,mcs,机械循环支持,categorical,,,"ECMO,Impella,TandemHeart,None",,,N,MCS类型,高级循环支持

Complications_Other,reinfarction,再梗死,categorical,,,"Yes,No",,,N,是否再次梗死,早期并发症
Complications_Other,stroke,脑卒中,categorical,,,"Ischemic,Hemorrhagic,No",,,N,卒中类型,栓塞/出血
Complications_Other,renal_failure,肾功能衰竭,categorical,,,"AKI_Stage_1,AKI_Stage_2,AKI_Stage_3,No",,,N,急性肾损伤,对比剂/低灌注
Complications_Other,major_bleeding,大出血,categorical,,,"Yes,No",,,N,BARC 3-5出血,抗栓治疗并发症

Outcome,hospital_los,住院天数,integer,days,0-365,,,N,总住院天数,医疗资源
Outcome,icu_los,ICU天数,integer,days,0-100,,,N,ICU住院天数,重症时间
Outcome,discharge_status,出院状态,categorical,,,"Alive,Dead,Transfer",,,Y,出院结局,院内死亡
Outcome,discharge_destination,出院去向,categorical,,,"Home,Rehabilitation,Nursing_Home,Transfer,Deceased",,,N,出院地点,康复需求
Outcome,in_hospital_mortality,院内死亡,categorical,,,"Yes,No",,,N,住院期间死亡,主要结局
Outcome,cause_of_death,死亡原因,categorical,,,"Cardiogenic_Shock,Arrhythmia,Mechanical_Complication,Stroke,Bleeding,Other,NA",,,N,死因,死亡分析

Follow_Up,cardiac_rehab,心脏康复,categorical,,,"Yes,No,Planned",,,N,是否心脏康复,二级预防
Follow_Up,smoking_cessation,戒烟,categorical,,,"Yes,No,Not_Applicable",,,N,是否戒烟,危险因素控制
Follow_Up,follow_up_interval,随访间隔,categorical,,,"1_Month,3_Months,6_Months,12_Months",,,N,随访频率,长期管理
Follow_Up,medication_compliance,药物依从性,categorical,,,"Good,Moderate,Poor,Unknown",,,N,服药依从性,二级预防关键

Prognosis,grace_6month_mortality,GRACE 6月死亡率,decimal,%,0-100,,,N,GRACE预测6月死亡率,风险预测
Prognosis,timi_risk_category,TIMI风险分层,categorical,,,"Low,Intermediate,High",,,N,TIMI风险等级,预后分层
Prognosis,lvef_at_discharge,出院LVEF,decimal,%,0-100,10230-1,,N,出院时射血分数,预后核心
