Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,screening_date,筛查日期,date,,,,,Y,宫颈癌筛查日期,检查时间点
Basic_Info,age,年龄,integer,years,18-100,,,Y,患者年龄,筛查年龄21-65
Colposcopy,scj_visualization,鳞柱交界可见,categorical,,,"Fully_Visible,Partially_Visible,Not_Visible,NA",,,N,SCJ可视,转化区
Colposcopy,acetowhite_epithelium,醋白上皮,categorical,,,"None,Faint,Dense,NA",,,N,醋酸白反应,异常上皮
Colposcopy,punctation,点状血管,categorical,,,"Yes,No,NA",,,N,点状血管,异常血管
Colposcopy,mosaic,镶嵌,categorical,,,"Yes,No,NA",,,N,镶嵌结构,CIN
Colposcopy,atypical_vessels,异常血管,categorical,,,"Yes,No,NA",,,N,异形血管,浸润癌
Colposcopy,colposcopic_impression,阴道镜印象,categorical,,,"Normal,Low_Grade,High_Grade,Cancer_Suspected,Unsatisfactory,NA",,,N,阴道镜诊断,术前评估

Biopsy,biopsy_taken,活检,categorical,,,"Yes,No,NA",,,N,是否取活检,病理诊断
Biopsy,biopsy_number,活检数量,integer,,0-10,,,N,活检块数,充分取材
Biopsy,biopsy_location,活检部位,string,,,,,N,活检位置,病变定位
Biopsy,ecc_performed,颈管搔刮,categorical,,,"Yes,No,NA",,,N,ECC,腺上皮评估

Histology,histology_result,组织学结果,categorical,,,"Normal,CIN1,CIN2,CIN3,CIN2_3,AIS,Squamous_Cell_Carcinoma,Adenocarcinoma,Other,Pending,NA",,,N,病理诊断,金标准
Histology,cin_grade,CIN分级,categorical,,,"CIN1,CIN2,CIN3,CIN2_3,None,NA",,,N,上皮内瘤变,癌前病变
Histology,invasion,浸润,categorical,,,"Yes,No,Cannot_Assess,NA",,,N,是否浸润,浸润癌
Histology,glandular_neoplasia,腺性病变,categorical,,,"AIS,Adenocarcinoma,None,NA",,,N,腺癌/前病变,腺上皮
Histology,p16_staining,p16免疫组化,categorical,,,"Positive,Negative,Not_Done,NA",,,N,p16过表达,HPV转化

Management,management_plan,管理方案,categorical,,,"Routine_Screening,Repeat_Cytology,Repeat_HPV,Co_Test_1_Year,Colposcopy,Treatment,Hysterectomy",,,Y,处理策略,临床决策
Management,treatment_indicated,治疗指征,categorical,,,"Yes,No",,,N,是否需治疗,CIN2+处理
Management,treatment_type,治疗方式,categorical,,,"LEEP,Cone_Biopsy,Cryotherapy,Laser_Ablation,Cold_Knife_Cone,Hysterectomy,None,NA",,,N,治疗类型,宫颈锥切

Treatment,treatment_performed,治疗实施,categorical,,,"Yes,No,Planned",,,N,是否已治疗,治疗完成
Treatment,treatment_date,治疗日期,date,,,,,N,治疗时间,治疗时间点
Treatment,excision_margins,切缘,categorical,,,"Negative,Positive_Ectocervical,Positive_Endocervical,Positive_Both,Cannot_Assess,NA",,,N,切除边缘,残留风险
Treatment,excision_depth,切除深度,decimal,mm,0-50,,,N,锥切深度,充分性
Treatment,complications,并发症,categorical,,,"Bleeding,Infection,Stenosis,None,Other,NA",,,N,治疗并发症,安全性

Post_Treatment,post_treatment_testing,治疗后检测,categorical,,,"Yes,No,Pending",,,N,治疗后随访检测,疗效评估
Post_Treatment,post_tx_method,治疗后检测方式,categorical,,,"Co_Testing,HPV_Only,Cytology_Only,NA",,,N,随访方法,监测策略
Post_Treatment,post_tx_result,治疗后结果,categorical,,,"Negative,Positive,Recurrence,Pending,NA",,,N,随访结果,治愈/复发
Post_Treatment,recurrence,复发,categorical,,,"Yes,No,NA",,,N,是否复发,治疗失败
Post_Treatment,time_to_recurrence,复发时间,integer,months,0-240,,,N,治疗到复发月数,无病生存

Pregnancy,pregnancy_status,妊娠状态,categorical,,,"Pregnant,Not_Pregnant,Unknown",,,N,是否妊娠,特殊人群
Pregnancy,trimester,妊娠期,categorical,,,"First,Second,Third,Postpartum,NA",,,N,孕期,孕期管理
Pregnancy,pregnancy_management,孕期处理,categorical,,,"Observation,Colposcopy_Only,Postpartum_Evaluation,NA",,,N,妊娠期策略,延迟治疗

Vaccination,hpv_vaccination,HPV疫苗,categorical,,,"Yes,No,Unknown",,,N,是否接种疫苗,预防措施
Vaccination,vaccine_type,疫苗类型,categorical,,,"Bivalent,Quadrivalent,Nonavalent,Unknown,NA",,,N,疫苗种类,2/4/9价
Vaccination,vaccine_doses,疫苗剂次,integer,,0-3,,,N,接种剂数,完成接种

Guidelines,screening_guideline,筛查指南,categorical,,,"USPSTF,ASCCP,ACOG,WHO,National,Other",,,N,遵循指南,标准化
Guidelines,guideline_adherent,指南依从,categorical,,,"Yes,No",,,N,符合指南推荐,质控

Follow_Up,follow_up_interval,随访间隔,categorical,,,"3_Months,6_Months,1_Year,3_Years,5_Years,No_Further_Screening",,,N,下次筛查时间,个体化间隔
Follow_Up,follow_up_test_type,随访检测类型,categorical,,,"Cytology,HPV,Co_Testing,Colposcopy,Clinical_Exam",,,N,随访方法,监测方式
Follow_Up,screening_cessation,停止筛查,categorical,,,"Yes,No",,,N,是否停筛,>65岁充分筛查
Follow_Up,cessation_criteria_met,停筛标准,categorical,,,"Age_Adequate_Screening,Post_Hysterectomy,Other,NA",,,N,停筛依据,指南标准

Outcome,final_diagnosis,最终诊断,categorical,,,"Normal,CIN1,CIN2,CIN3,AIS,Cervical_Cancer,Other,Pending",,,N,确诊结果,疾病诊断
Outcome,cancer_stage,癌症分期,categorical,,,"IA1,IA2,IB1,IB2,IB3,IIA,IIB,III,IV,NA",,,N,FIGO分期,宫颈癌分期
Outcome,cancer_histology,癌症组织学,categorical,,,"Squamous,Adenocarcinoma,Adenosquamous,Small_Cell,Other,NA",,,N,癌症病理类型,组织学

Quality_Metrics,screening_appropriate,筛查恰当性,categorical,,,"Yes,No",,,N,筛查适宜,质量指标
Quality_Metrics,overscreening,过度筛查,categorical,,,"Yes,No",,,N,筛查过频,资源浪费
Quality_Metrics,underscreening,筛查不足,categorical,,,"Yes,No",,,N,筛查间隔过长,漏诊风险
