Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Trauma,Stress_Fracture,stress_fracture_present,应力性骨折,Boolean,,Yes/No,No,Yes,"Stress fracture detected","Linear cortical uptake without trauma history",Stress_Fracture,Medium,Activity modification, rest,,"Athletes, military, elderly (insufficiency)"
Trauma,Old_Fracture,old_fracture,陈旧骨折,Boolean,,Yes/No,No,,"Old healed fracture","Mild uptake or normal, deformity on correlative imaging",,Low,Incidental finding,,"Uptake normalizes over months to years"

Soft_Tissue,Uptake,soft_tissue_uptake,软组织摄取,Boolean,,Yes/No,No,Yes,"Abnormal soft tissue uptake","Heterotopic ossification, myositis ossificans, tumor calcification, recent MI",Soft_Tissue_Calcification,Medium,Determine cause,,"Ddx: HO, tumor, infarct, injection site"
Soft_Tissue,Heterotopic_Ossification,heterotopic_ossification,异位骨化,Boolean,,Yes/No,No,Yes,"Heterotopic ossification","Soft tissue uptake around joints after trauma/surgery",Heterotopic_Ossification,Low,Common after hip surgery/trauma,,"Peaks 3-6 months post-injury"
Soft_Tissue,Calcification,vascular_calcification,血管钙化,Boolean,,Yes/No,No,,"Vascular calcification","Linear uptake along vessels, common in diabetics/renal failure",,Low,Marker of vascular disease,,"Common incidental finding"

Kidneys_Bladder,Renal,renal_uptake,肾脏摄取,Categorical,,"Normal/Decreased/Absent/Increased",Normal,Decreased/Absent,"Renal tracer uptake","Normal: bilateral symmetric; Decreased: renal dysfunction; Absent: superscan or renal failure",,Medium,Absent kidneys: superscan or renal failure,,"Absent in superscan"
Kidneys_Bladder,Bladder,bladder_activity,膀胱活性,Categorical,,"Normal/Decreased/Intense",Normal,Decreased,"Bladder tracer activity","Normal: significant activity from urinary excretion; Decreased: dehydration, obstruction",,Low,Decreased: poor hydration,,"Reflects renal clearance"
Kidneys_Bladder,Obstruction,urinary_obstruction,尿路梗阻,Boolean,,Yes/No,No,Yes,"Urinary tract obstruction","Dilated collecting system, delayed drainage",Urinary_Obstruction,Medium,Assess for hydronephrosis,,"Delayed renal clearance"

Breast,Uptake,breast_uptake,乳腺摄取,Boolean,,Yes/No,No,Yes,"Breast uptake","Breast cancer with microcalcifications, metastases",Breast_Microcalcifications,Medium,Correlate with mammogram,,"Uncommon, suggests calcifications"

Thyroid,Uptake,thyroid_uptake,甲状腺摄取,Boolean,,Yes/No,No,Yes,"Thyroid gland uptake","Thyroid cancer metastases, medullary thyroid ca",Thyroid_Cancer,Medium,Endocrine evaluation,,"Uncommon on bone scan"

Lung,Uptake,lung_uptake,肺部摄取,Boolean,,Yes/No,No,Yes,"Pulmonary uptake","Metastatic calcification (hypercalcemia), bone metastases to lung",Metastatic_Calcification,High,Check calcium level,,"Hypercalcemia causes lung uptake"

Liver,Uptake,liver_uptake,肝脏摄取,Boolean,,Yes/No,No,Yes,"Hepatic uptake","Metastatic disease, colloid shift, liver disease",Liver_Metastases,High,Assess for metastases,,"Abnormal soft tissue uptake"

Special_Patterns,Flare,flare_phenomenon,闪烁现象,Boolean,,Yes/No,No,,"Flare phenomenon","Paradoxical increase in uptake/number of lesions after starting treatment in responding patients",Treatment_Response,Medium,May indicate response, not progression,,"Healing bone increases uptake"
Special_Patterns,Response,treatment_response,治疗反应,Categorical,,"Not_assessed/Complete_response/Partial_response/Stable/Progression",,,"Response to therapy","Decrease in intensity/number: response; Increase: progression or flare",Cancer_Treatment_Response,High,Sequential scans for comparison,,"Compare with prior scans"

Three_Phase_Scan,Blood_Flow,blood_flow_phase,血流相,Categorical,,"Not_performed/Normal/Increased/Decreased",,,"Blood flow phase (if performed)","Increased: infection, tumor, RSD; Normal: degenerative",Osteomyelitis,High,Increased flow: infection/tumor,,"Osteomyelitis: positive all 3 phases"
Three_Phase_Scan,Blood_Pool,blood_pool_phase,血池相,Categorical,,"Not_performed/Normal/Increased/Decreased",,,"Blood pool phase (if performed)","Increased soft tissue: infection, inflammation, RSD",Cellulitis,High,Differentiates infection from other causes,,"Soft tissue phase"
Three_Phase_Scan,Delayed,delayed_phase,延迟相,Categorical,,"Normal/Increased/Decreased",,,"Delayed bone phase","Standard phase for bone imaging, always performed",,High,Always performed,,
Three_Phase_Scan,Interpretation,three_phase_pattern,三期扫描模式,Categorical,,"Normal/Osteomyelitis/Cellulitis/Fracture/Tumor/RSD",,,"Three-phase scan interpretation","Osteomyelitis: +/+/+; Cellulitis: +/+/-; Fracture: -/-/+; RSD: +/+/+",Osteomyelitis,High,Pattern differentiates etiologies,,"Triple positive: infection, RSD, tumor"

SPECT_CT,Performed,spect_ct_performed,SPECT-CT检查,Boolean,,Yes/No,No,,"SPECT/CT performed","Hybrid imaging for anatomical localization",,Low,Improves lesion localization,,"SPECT/CT increasingly standard"
SPECT_CT,Benefit,spect_ct_benefit,SPECT-CT获益,Boolean,,Yes/No,No,,"SPECT/CT provided additional value","Improved anatomical localization, characterization",,Medium,Especially for spine, pelvis,,"Particularly useful for complex anatomy"

Report_Summary,Impression,primary_finding,主要发现,String,,,,,Primary bone scan finding,,,High,,,Most important finding
Report_Summary,Impression,differential_diagnosis,鉴别诊断,String,,,,,Differential diagnosis,,,Medium,,,Possible etiologies
Report_Summary,Impression,comparison_prior,与前次比较,String,,,,,Comparison with prior bone scan if available,"Progression, stability, improvement, response to therapy",,High,Serial scans critical for monitoring,,"Always compare if prior available"
Report_Summary,Impression,metastatic_burden_change,转移负荷变化,Categorical,,"Not_applicable/Decreased/Stable/Increased",,Increased,"Change in metastatic burden","Decreased: response; Increased: progression (or flare)",,High,Guide treatment decisions,,"Flare vs progression: clinical correlation"

Report_Summary,Recommendations,correlative_imaging,相关影像检查,String,,,,,Recommended correlative imaging,"X-ray, CT, MRI, PET-CT for characterization",,Medium,Bone scan nonspecific, needs correlation,,"MRI for spine, X-ray for extremities"
Report_Summary,Recommendations,follow_up_scan,随访扫描,String,,,,,Recommended follow-up bone scan interval,"3-6 months for metastases monitoring",,Medium,Monitor treatment response,,"Timing depends on indication"
Report_Summary,Recommendations,clinical_correlation,临床相关性,String,,,,,Clinical correlation needed,"Tumor markers, biopsy, labs, clinical symptoms",,Medium,,,

Report_Summary,Quality,nuclear_medicine_physician,核医学医师,String,,,,,Interpreting nuclear medicine physician,,,Low,,,
Report_Summary,Quality,report_date,报告日期,Date,,,,,Date of report generation,,,Low,,,"Format: YYYY-MM-DD"
Report_Summary,Quality,comparison_available,既往对比,Boolean,,Yes/No,No,,"Prior bone scan available for comparison",,,Low,Comparison critical for interpretation,,"Always request priors"
