fieldKey,fieldName,fieldType,fieldDescription,exampleValue
tumorMarkers.ca199,肿瘤标志物.CA19-9,Number,"糖类抗原19-9。<br>单位: U/mL<br>**参考值**: <37<br>**阳性率**: 胃癌20-30%<br>**临床意义**: CA199>1000提示广泛转移或胰腺受累",85
tumorMarkers.ca724,肿瘤标志物.CA72-4,Number,"糖类抗原72-4。<br>单位: U/mL<br>**参考值**: <6.9<br>**阳性率**: 胃癌40-50%(特异性最高)<br>**临床意义**: CA724是胃癌最特异标志物,与CEA/CA199联合敏感性可达70%",18.5
tumorMarkers.ca125,肿瘤标志物.CA125,Number,"糖类抗原125。<br>单位: U/mL<br>**参考值**: <35<br>**临床意义**: 胃癌伴腹水、腹膜转移时CA125显著升高",55
tumorMarkers.afp,肿瘤标志物.AFP,Number,"甲胎蛋白。<br>单位: ng/mL<br>**参考值**: <20<br>**临床意义**: AFP产生型胃癌罕见(<5%),预后极差,需与肝转移鉴别",8
imaging.endoscopy.type,内镜.检查类型,String,"内镜检查类型。<br>**建议值**: `普通胃镜`, `放大内镜(ME)`, `窄带成像(NBI)`, `色素内镜`, `超声内镜(EUS)`<br>**临床意义**: NBI/ME可提高早期胃癌检出率",普通胃镜
imaging.endoscopy.findings,内镜.主要发现,String,"内镜主要表现。<br>**早期胃癌(0型)**: 隆起型(0-I)、平坦型(0-II)、凹陷型(0-III)<br>**进展期**: 肿块型、溃疡型、浸润型<br>**示例**: 胃窦小弯侧见3×4cm溃疡型肿物,边缘隆起不规则,质脆易出血",胃窦见溃疡型肿物3×4cm,边缘不规则
imaging.endoscopy.biopsyQuality,内镜.活检质量,String,"内镜活检标本质量。<br>**建议值**: `充分(≥8块)`, `足够(4-7块)`, `不充分(<4块)`, `仅表面黏膜`, `深达固有肌层`<br>**临床意义**: 活检块数≥8可提高诊断准确率至95%",充分(10块)
imaging.eus.depth,超声内镜.浸润深度,String,"EUS评估肿瘤浸润深度(T分期)。<br>**T1**: 黏膜层/黏膜下层<br>**T2**: 固有肌层<br>**T3**: 浆膜下层<br>**T4**: 穿透浆膜/侵犯邻近器官<br>**临床意义**: EUS对T分期准确率80-90%,指导治疗方式选择",T3(浆膜下层)
imaging.eus.lymphNodes,超声内镜.淋巴结,String,"EUS评估淋巴结。<br>**可疑标准**: 短径>1cm、圆形、低回声、边界清楚<br>**建议值**: `未见肿大淋巴结`, `胃周淋巴结可疑`, `腹腔干/腹主动脉旁淋巴结可疑`<br>**临床意义**: EUS-FNA可获取淋巴结病理",胃周多个可疑淋巴结
imaging.ct.findings,CT.主要发现,String,"增强CT主要发现。<br>**胃壁增厚**: >5mm提示病变<br>**强化模式**: 明显强化提示肠型,低强化提示弥漫型<br>**示例**: 胃窦壁不规则增厚达1.5cm,动脉期轻度强化,周围脂肪间隙模糊",胃窦壁增厚1.5cm,周围脂肪间隙浑浊
imaging.ct.metastasis,CT.转移评估,String,"CT发现的转移灶。<br>**建议值**: `无转移`, `肝转移`, `腹膜转移/腹水`, `卵巢转移(Krukenberg瘤)`, `肺转移`, `腹膜后淋巴结转移`, `腹腔广泛种植`<br>**临床意义**: 腹膜转移最常见(40-50%),肝转移次之(30-40%)",无转移
pathology.grossDescription.size,大体.肿瘤大小,String,"肿瘤最大径×次大径。<br>单位: cm<br>**早期胃癌**: ≤2cm<br>**进展期**: >2cm<br>**临床意义**: 大小是T分期和预后因素",5.0×3.5cm
pathology.grossDescription.borrmann,大体.Borrmann分型,String,"Borrmann大体分型(进展期胃癌)。<br>**I型(息肉/结节型,5%)**: 隆起型,边界清,预后最好<br>**II型(溃疡局限型,25%)**: 盘状溃疡,边缘隆起,境界清<br>**III型(溃疡浸润型,50%)**: 最常见,溃疡深,边缘浸润,境界不清<br>**IV型(弥漫浸润型,10%)**: 革囊胃,胃壁僵硬,预后最差<br>**临床意义**: Borrmann IV型5年生存率<10%",III型(溃疡浸润型)
pathology.grossDescription.earlyGastricCancer,大体.早期胃癌分型,String,"早期胃癌(T1)大体分型(日本分类)。<br>**0-I型(隆起型)**: 高度>5mm<br>**0-IIa(浅表隆起型)**: 高度<5mm<br>**0-IIb(浅表平坦型)**: 几乎平坦<br>**0-IIc(浅表凹陷型)**: 凹陷但不超过黏膜下层<br>**0-III型(凹陷型)**: 明显凹陷<br>**混合型**: 如IIc+IIa<br>**临床意义**: IIc型最常见(60-70%),预后好",
pathology.grossDescription.appearance,大体.肿瘤外观,String,"肿瘤大体外观描述。<br>**建议值**: `息肉样隆起`, `溃疡型`, `盘状`, `浸润性增厚`, `弥漫性增厚`, `革囊胃(皮革胃)`, `出血坏死`<br>**临床意义**: 革囊胃提示Borrmann IV型,预后极差",溃疡型,边缘隆起
pathology.grossDescription.color,大体.切面颜色,String,"肿瘤切面颜色。<br>**建议值**: `灰白色`, `灰红色`, `黏液样半透明`, `出血暗红色`, `坏死灰黄`<br>**临床意义**: 黏液样提示黏液腺癌或印戒细胞癌",灰白色,质硬
pathology.grossDescription.ulcer,大体.溃疡,String,"溃疡情况。<br>**建议值**: `无溃疡`, `浅表溃疡`, `深大溃疡(穿透浆膜)`, `溃疡穿孔`, `溃疡直径>3cm`<br>**临床意义**: 溃疡型预后较非溃疡型差,穿孔提示T4期",深大溃疡,未穿孔
pathology.grossDescription.texture,大体.质地,String,"肿瘤质地。<br>**建议值**: `软`, `中等`, `硬`, `硬韧(革囊胃)`, `脆易碎`<br>**临床意义**: 硬韧质地提示纤维组织增生(弥漫浸润型)",中等
pathology.grossDescription.serosal,大体.浆膜面,String,"浆膜面观察。<br>**建议值**: `光滑`, `轻度浑浊`, `明显浑浊/粗糙`, `肿瘤结节突出`, `穿破浆膜`, `纤维素性渗出`<br>**临床意义**: 浆膜受累是T4a,穿破是腹腔种植危险因素",轻度浑浊
pathology.histologicalType,病理.组织学类型,String,"WHO 2019组织学分型。<br>**建议值**: `管状腺癌(最常见40-50%)`, `乳头状腺癌`, `黏液腺癌`, `低黏附性癌(含印戒细胞癌)`, `混合型腺癌`, `腺鳞癌`, `鳞状细胞癌`, `类癌/神经内分泌肿瘤`, `未分化癌`<br>**中国特点**: 管状腺癌和印戒细胞癌最常见",管状腺癌
pathology.lauren.type,Lauren分型,String,"Lauren组织学分型(1965)。<br>**肠型(Intestinal,50%)**: 有腺管结构,细胞黏附性好,膨胀性生长,类似肠癌,常伴肠上皮化生,男性/老年多见,预后较好<br>**弥漫型(Diffuse,30%)**: 无/少腺管,细胞分散浸润,缺乏黏附,年轻/女性多见,早期转移,预后差<br>**混合型(Mixed,20%)**: 兼有肠型和弥漫型特征<br>**临床意义**: Lauren分型是预后和治疗反应的独立预测因素",弥漫型(Diffuse)
pathology.differentiation,病理.分化程度,String,"肿瘤分化程度(WHO分级)。<br>**建议值**: `高分化(G1)`, `中分化(G2)`, `低分化(G3)`, `未分化(G4)`<br>**判断标准**: 腺管形成程度、核异型性、核分裂象<br>**临床意义**: 低分化/未分化预后差,淋巴结转移率高",低分化(G3)
pathology.tubularAdenocarcinoma,管状腺癌.亚型,String,"管状腺癌亚型(如适用)。<br>**建议值**: `高分化管状腺癌`, `中分化管状腺癌`, `低分化管状腺癌`, `伴黏液分泌`, `伴印戒细胞成分(<50%)`<br>**临床意义**: 高分化管状腺癌多为肠型,预后相对好",中分化管状腺癌
pathology.papillaryAdenocarcinoma,乳头状腺癌,String,"乳头状腺癌特征(如适用)。<br>**定义**: 肿瘤呈乳头状结构,纤维血管轴心<br>**分化**: 多为高-中分化<br>**临床意义**: 较少见(5-10%),预后相对好",
pathology.mucinousAdenocarcinoma,黏液腺癌,String,"黏液腺癌特征(如适用)。<br>**定义**: >50%肿瘤为细胞外黏液湖<br>**建议值**: `不符合`, `黏液腺癌(细胞外黏液>50%)`, `伴黏液分泌(<50%)`<br>**临床意义**: 纯黏液腺癌较少见(5-10%),预后中等",不符合
pathology.signetRingCell.present,印戒细胞癌.存在,Boolean,"是否存在印戒细胞成分。<br>**定义**: 细胞内黏液,将核推向周边,呈印戒状<br>**临床意义**: 印戒细胞癌恶性度高,早期转移,年轻女性多见",true
pathology.signetRingCell.percentage,印戒细胞癌.百分比,Number,"印戒细胞占肿瘤细胞百分比。<br>单位: %<br>**诊断标准**: >50%为印戒细胞癌<br>**建议值**: 如为混合型,注明百分比<br>**临床意义**: 印戒细胞成分越多预后越差",65
pathology.signetRingCell.pure,印戒细胞癌.纯印戒,Boolean,"是否为纯印戒细胞癌(>50%)。<br>**临床意义**: 纯印戒细胞癌5年生存率<20%,常见于Borrmann IV型",true
pathology.poorlyCohesive,低黏附性癌,String,"低黏附性癌(Poorly Cohesive Carcinoma, WHO 2019)。<br>**定义**: 缺乏细胞黏附,单个或小簇细胞浸润<br>**亚型**: 印戒细胞癌型、非印戒细胞型、混合型<br>**建议值**: `不符合`, `低黏附性癌-印戒细胞型`, `低黏附性癌-非印戒型`, `低黏附性癌-混合型`<br>**临床意义**: WHO 2019新分类,强调缺乏黏附是关键特征",低黏附性癌-印戒细胞型
pathology.adenosquamous,腺鳞癌,String,"腺鳞癌成分(如适用)。<br>**定义**: 同时含腺癌和鳞癌成分,各占一定比例<br>**建议值**: `无`, `腺鳞癌(各>25%)`, `腺癌伴局灶鳞化`<br>**临床意义**: 罕见(<1%),预后差",无
pathology.neuroendocrine,神经内分泌分化,String,"神经内分泌分化(如适用)。<br>**建议值**: `无`, `混合性腺-神经内分泌癌(MiNEN)`, `高分化神经内分泌肿瘤(NET G1-G2)`, `神经内分泌癌(NEC)`, `腺癌伴神经内分泌分化`<br>**临床意义**: 混合性肿瘤需注明各成分比例",无
pathology.microscopy.architecturalPattern,镜下.结构模式,String,"肿瘤组织结构模式。<br>**建议值**: `腺管状`, `乳头状`, `实性巢状`, `单个细胞弥散`, `筛状`, `黏液湖`<br>**临床意义**: 结构模式反映分化程度和Lauren分型",单个细胞弥散(弥漫型)
pathology.microscopy.glandFormation,镜下.腺管形成,String,"腺管形成程度。<br>**建议值**: `明显腺管形成(>95%,高分化)`, `中等腺管形成(50-95%,中分化)`, `少量腺管(<50%,低分化)`, `无腺管形成(未分化)`<br>**临床意义**: 腺管形成是分化分级主要依据",少量腺管(<50%)
pathology.microscopy.nuclearGrade,镜下.核分级,String,"核异型性程度。<br>**建议值**: `轻度异型性(核大小均一)`, `中度异型性`, `重度异型性(核大小不一,深染)`, `奇异核/巨核`<br>**临床意义**: 核异型性是分化分级重要指标",重度异型性
pathology.microscopy.mitoticActivity,镜下.核分裂活性,String,"核分裂象。<br>**建议值**: `低(<5个/10HPF)`, `中(5-10个/10HPF)`, `高(>10个/10HPF)`, `病理性核分裂`<br>**临床意义**: 核分裂多提示增殖活跃,预后差",高(>10个/10HPF)
pathology.microscopy.mucin,镜下.黏液,String,"黏液类型和分布。<br>**建议值**: `无明显黏液`, `细胞内黏液(印戒)`, `细胞外黏液池`, `混合型黏液`<br>**特殊染色**: PAS、PAS-D、Alcian蓝<br>**临床意义**: 细胞内黏液(印戒)预后较细胞外黏液差",细胞内黏液(印戒细胞)
pathology.microscopy.desmoplasia,镜下.促纤维增生,String,"间质纤维化反应。<br>**建议值**: `无/轻度`, `中度纤维增生`, `重度纤维增生(革囊胃)`, `黏液样间质`<br>**临床意义**: 重度纤维增生见于Borrmann IV型和弥漫型,影响化疗药物渗透",重度纤维增生
pathology.microscopy.lymphocyticInfiltrate,镜下.淋巴细胞浸润,String,"肿瘤内/周围淋巴细胞浸润。<br>**建议值**: `无或稀少`, `轻度`, `中度`, `重度(淋巴细胞为主)`, `生发中心形成(Crohn样反应)`<br>**临床意义**: 重度淋巴细胞浸润(MSI-H型)预后较好",轻度
pathology.microscopy.tumorBudding,镜下.肿瘤出芽,String,"肿瘤浸润前缘出芽。<br>**建议值**: `无出芽`, `低度出芽`, `中度出芽`, `高度出芽`<br>**临床意义**: 肿瘤出芽是上皮间质转化标志,与淋巴结转移和预后相关",高度出芽
pathology.invasion.depth,侵犯.浸润深度,String,"肿瘤浸润胃壁深度(T分期依据)。<br>**Tis**: 原位癌,局限于上皮<br>**T1a**: 黏膜层(M)<br>**T1b**: 黏膜下层(SM)<br>**T2**: 固有肌层(MP)<br>**T3**: 浆膜下层(SS)<br>**T4a**: 穿透浆膜(SE)<br>**T4b**: 侵犯邻近器官<br>**临床意义**: T1可内镜治疗,T4需扩大切除",T3(浆膜下层)
pathology.invasion.submucosa,侵犯.黏膜下层浸润,String,"黏膜下层浸润深度(T1b细分)。<br>**SM1**: 浅1/3<br>**SM2**: 中1/3<br>**SM3**: 深1/3<br>**临床意义**: SM3淋巴结转移率20%,SM1仅5%,影响内镜治疗适应症",
pathology.invasion.lymphaticVessel,侵犯.淋巴管侵犯,String,"淋巴管侵犯(LVI)。<br>**建议值**: `阴性(-)`, `阳性(+)`, `广泛(++/+++)`<br>**识别**: D2-40/CD31免疫组化标记<br>**临床意义**: LVI是淋巴结转移最强预测因素,阳性者转移率>50%",阳性(+)
pathology.invasion.vascularInvasion,侵犯.血管侵犯,String,"血管侵犯(VI)。<br>**建议值**: `阴性(-)`, `小静脉侵犯(+)`, `大血管侵犯(++)`<br>**临床意义**: 血管侵犯提示血行转移风险,见于20-30%胃癌",阴性(-)
pathology.invasion.perineural,侵犯.神经周围侵犯,String,"神经周围侵犯(PNI)。<br>**建议值**: `阴性(-)`, `阳性(+)`, `广泛(++/+++)`<br>**临床意义**: PNI见于30-50%胃癌,与局部复发和疼痛相关",阳性(+)
pathology.invasion.adjacentOrgan,侵犯.邻近器官,String,"侵犯邻近器器官(T4b)。<br>**建议值**: `无`, `胰腺`, `脾脏`, `横结肠`, `肝脏`, `膈肌`, `腹主动脉`, `多个脏器`<br>**临床意义**: T4b需联合脏器切除,预后差",无
ihc.her2.score,免疫组化.HER2评分,String,"HER2免疫组化评分(胃癌专用标准,2022共识)。<br>**0**: 无染色或<10%细胞膜染色<br>**1+**: >10%细胞弱/不完整膜染色<br>**2+**: >10%细胞弱-中度完整/侧基底膜染色 → 需FISH/SISH确认<br>**3+**: >10%细胞强完整膜染色<br>**注意**: 胃癌HER2判读与乳腺癌不同,允许基底侧面染色,异质性更高<br>**临床意义**: 3+或2+FISH阳性可用曲妥珠单抗,PFS延长约3月",2+
ihc.her2.fish,免疫组化.HER2-FISH,String,"HER2基因扩增FISH/SISH检测(IHC 2+时必需)。<br>**建议值**: `未做`, `阴性(HER2/CEP17<2.0)`, `阳性(HER2/CEP17≥2.0)`, `低水平扩增(2.0-3.0)`, `高水平扩增(>3.0)`<br>**临床意义**: 2+FISH阳性也可用曲妥珠单抗",未做
ihc.her2.finalStatus,免疫组化.HER2最终状态,String,"HER2综合判定。<br>**建议值**: `HER2阴性(IHC 0/1+)`, `HER2阳性(IHC 3+或IHC 2+FISH+)`<br>**阳性率**: 胃癌10-30%,GEJ癌更高(32%),肠型>弥漫型<br>**临床意义**: HER2阳性可用曲妥珠单抗(T-DXd为二线)",HER2阴性
ihc.her2.heterogeneity,免疫组化.HER2异质性,String,"HER2表达异质性。<br>**建议值**: `均匀一致`, `局灶阳性(<10%)`, `散在阳性(10-30%)`, `广泛阳性(>30%)`, `显著异质性`<br>**临床意义**: 胃癌HER2异质性高于乳腺癌,需多点取材",
ihc.ck7,免疫组化.CK7,String,"细胞角蛋白7。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 胃癌CK7阳性(80-90%),鉴别原发vs转移",阳性
ihc.ck20,免疫组化.CK20,String,"细胞角蛋白20。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 胃癌CK20阳性率30-60%,肠型>弥漫型",阳性
ihc.cdx2,免疫组化.CDX2,String,"CDX2(肠分化标志)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 肠型胃癌CDX2阳性(70-80%),弥漫型阴性,提示肠化生背景",阳性
ihc.villin,免疫组化.Villin,String,"Villin(肠刷状缘标志)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 肠型胃癌Villin阳性",未做
ihc.muc2,免疫组化.MUC2,String,"MUC2(肠型黏蛋白)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 肠型胃癌MUC2阳性(50-60%)",未做
ihc.muc5ac,免疫组化.MUC5AC,String,"MUC5AC(胃黏蛋白)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 胃癌MUC5AC阳性(70-80%),胃型分化标志",未做
ihc.muc6,免疫组化.MUC6,String,"MUC6(幽门腺黏蛋白)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: 胃底腺型胃癌MUC6阳性",未做
ihc.ki67,免疫组化.Ki-67,Number,"Ki-67增殖指数。<br>单位: %<br>**参考范围**: 高分化<20%,中分化20-50%,低分化>50%<br>**临床意义**: Ki-67高提示预后差",60
ihc.p53,免疫组化.p53,String,"p53蛋白表达。<br>**建议值**: `野生型(散在阳性)`, `突变型-过表达(弥漫强阳性)`, `突变型-完全阴性(无效突变)`<br>**临床意义**: p53突变见于40-60%胃癌,肠型>弥漫型",突变型-过表达
ihc.ecadherin,免疫组化.E-cadherin,String,"E-钙黏蛋白表达。<br>**建议值**: `膜阳性(正常)`, `表达丢失`, `胞质表达(异常)`<br>**临床意义**: 弥漫型/印戒细胞癌常E-cadherin丢失(CDH1基因突变),遗传性弥漫型胃癌特征",表达丢失
ihc.betaCatenin,免疫组化.β-catenin,String,"β-catenin表达。<br>**建议值**: `膜阳性(正常)`, `核阳性(Wnt通路激活)`, `胞质阳性`<br>**临床意义**: 核阳性见于20-30%胃癌,主要为肠型",膜阳性
ihc.pdl1,免疫组化.PD-L1,String,"PD-L1表达(22C3/28-8克隆,CPS评分)。<br>**CPS**: Combined Positive Score = (PD-L1阳性肿瘤细胞+免疫细胞)/全部肿瘤细胞×100<br>**建议值**: `CPS<1(阴性)`, `CPS 1-5`, `CPS 5-10`, `CPS≥10(高表达)`<br>**临床意义**: CPS≥1可用帕博利珠单抗,CPS≥5用纳武利尤单抗",CPS 8
ihc.mmr.mlh1,免疫组化.MMR.MLH1,String,"MLH1错配修复蛋白。<br>**建议值**: `表达保留(核阳性)`, `表达缺失(阴性)`<br>**临床意义**: 缺失提示MSI-H,常见于Lynch综合征",表达保留
ihc.mmr.msh2,免疫组化.MMR.MSH2,String,"MSH2错配修复蛋白。<br>**建议值**: `表达保留`, `表达缺失`<br>**临床意义**: MSH2缺失常见于Lynch综合征",表达保留
ihc.mmr.msh6,免疫组化.MMR.MSH6,String,"MSH6错配修复蛋白。<br>**建议值**: `表达保留`, `表达缺失`<br>**临床意义**: MSH6缺失较少见",表达保留
ihc.mmr.pms2,免疫组化.MMR.PMS2,String,"PMS2错配修复蛋白。<br>**建议值**: `表达保留`, `表达缺失`<br>**临床意义**: PMS2常与MLH1同时缺失",表达保留
ihc.mmr.status,免疫组化.MMR.总体状态,String,"MMR总体状态。<br>**pMMR**: 4个蛋白均保留(微卫星稳定MSS)<br>**dMMR**: 任一蛋白缺失(微卫星不稳定MSI-H)<br>**临床意义**: dMMR胃癌约8-10%,预后较好,对免疫治疗高度敏感",pMMR(微卫星稳定)
ihc.ebv.eber,免疫组化.EBV-EBER,String,"EB病毒编码RNA原位杂交(EBER-ISH)。<br>**建议值**: `未做`, `阴性`, `阳性`<br>**临床意义**: EBV阳性胃癌约9%,男性多见,近端胃,淋巴细胞浸润显著,PD-L1高表达,预后相对好",阴性
molecularSubtype.tcga,分子亚型.TCGA分型,String,"TCGA胃癌分子分型(2014)。<br>**EBV型(9%)**: EBV阳性,PIK3CA突变,PD-L1高,预后好<br>**MSI型(22%)**: dMMR/MSI-H,MLH1甲基化,预后好<br>**GS型(染色体稳定型,50%)**: 肠型,CDH1/RHOA突变,Lauren弥漫型<br>**CIN型(染色体不稳定型,50%)**: 肠型,TP53/HER2/EGFR突变<br>**临床意义**: 指导精准治疗,EBV/MSI型对免疫治疗敏感",
molecularMarkers.msi,分子标志物.MSI状态,String,"微卫星不稳定性(PCR法)。<br>**MSS**: 微卫星稳定<br>**MSI-L**: 低度不稳定<br>**MSI-H**: 高度不稳定(≥2/5位点或≥30%位点不稳定)<br>**临床意义**: MSI-H占8-10%,预后好,免疫治疗敏感,化疗可能获益少",MSS
molecularMarkers.tmb,分子标志物.TMB,Number,"肿瘤突变负荷。<br>单位: 突变/Mb<br>**参考**: 胃癌中位TMB约6-8 mut/Mb<br>**临床意义**: TMB≥10预测免疫治疗疗效,MSI-H型TMB高",6.5
molecularMarkers.her2.gene,分子标志物.HER2基因,String,"HER2基因状态(NGS)。<br>**建议值**: `未检测`, `无扩增`, `扩增`, `HER2突变`<br>**临床意义**: HER2扩增与IHC/FISH一致,偶见HER2突变(罕见)",未检测
molecularMarkers.tp53,分子标志物.TP53,String,"TP53基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 40-60%<br>**临床意义**: 最常见突变,与预后差相关",未检测
molecularMarkers.cdh1,分子标志物.CDH1,String,"CDH1 (E-cadherin)基因突变/缺失。<br>**建议值**: `未检测`, `野生型`, `突变/缺失`<br>**频率**: 弥漫型30-50%<br>**临床意义**: 遗传性弥漫型胃癌(HDGC)的致病基因,CDH1胚系突变者终生胃癌风险70-80%",未检测
molecularMarkers.pikca,分子标志物.PIK3CA,String,"PIK3CA基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 10-20%<br>**临床意义**: 常见于EBV型和MSI型,PI3K抑制剂潜在靶点",未检测
molecularMarkers.arid1a,分子标志物.ARID1A,String,"ARID1A基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 10-20%<br>**临床意义**: 染色质重塑基因,与免疫治疗敏感性相关",未检测
molecularMarkers.rhoa,分子标志物.RHOA,String,"RHOA基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: 弥漫型15-25%<br>**临床意义**: 弥漫型特征性突变,与CDH1互斥",未检测
molecularMarkers.fgfr2,分子标志物.FGFR2,String,"FGFR2基因扩增/突变。<br>**建议值**: `未检测`, `野生型`, `扩增`, `突变`<br>**频率**: 5-10%(弥漫型更常见)<br>**临床意义**: FGFR2扩增是潜在治疗靶点,FGFR抑制剂(如贝马替尼)在试验中",未检测
molecularMarkers.met,分子标志物.MET,String,"MET基因扩增。<br>**建议值**: `未检测`, `无扩增`, `扩增`<br>**频率**: 2-10%<br>**临床意义**: MET扩增导致曲妥珠单抗耐药,MET抑制剂(如tepotinib)在临床试验",未检测
molecularMarkers.kras,分子标志物.KRAS,String,"KRAS基因突变。<br>**建议值**: `未检测`, `野生型`, `突变型`<br>**频率**: <5%(远低于结直肠癌)<br>**临床意义**: KRAS突变在胃癌中罕见",未检测
molecularMarkers.egfr,分子标志物.EGFR,String,"EGFR基因扩增/突变。<br>**建议值**: `未检测`, `野生型`, `扩增`, `突变`<br>**频率**: 扩增5-10%<br>**临床意义**: EGFR靶向治疗在胃癌中疗效有限",未检测
molecularMarkers.ctDNA,分子标志物.ctDNA,String,"循环肿瘤DNA检测(液体活检)。<br>**应用**: 术后监测微小残留病灶(MRD)、早期发现复发<br>**建议值**: `未检测`, `阴性`, `阳性-低水平`, `阳性-高水平`<br>**临床意义**: 术后ctDNA阳性提示复发风险极高,中位复发时间<6个月",未检测
staging.tnm.version,分期.TNM.版本,String,TNM分期系统版本,AJCC第8版(2017)
staging.tnm.cT,分期.TNM.临床T分期,String,"临床T分期(基于内镜/EUS/CT,治疗前)。<br>**Tis**: 原位癌/高级别上皮内瘤变<br>**T1**: 侵犯黏膜层(T1a)或黏膜下层(T1b)<br>**T2**: 侵犯固有肌层<br>**T3**: 侵犯浆膜下结缔组织,未穿透脏层腹膜<br>**T4a**: 穿透浆膜(脏层腹膜)<br>**T4b**: 侵犯邻近器官(脾/横结肠/肝/膈/胰/腹壁/肾上腺/肾/小肠/后腹膜)<br>**临床意义**: EUS对T1-T3分期准确率80-90%,T4需CT评估",cT3
staging.tnm.pT,分期.TNM.病理T分期,String,"病理T分期(基于手术标本)。<br>**pT1a**: 黏膜层(M)<br>**pT1b**: 黏膜下层(SM)<br>**pT2**: 固有肌层(MP)<br>**pT3**: 浆膜下层(SS)<br>**pT4a**: 穿透浆膜(SE)<br>**pT4b**: 侵犯邻近器官<br>**临床意义**: pT1a且无LVI可内镜治疗,pT2及以上需手术+辅助治疗",pT3(浆膜下层)
staging.tnm.cN,分期.TNM.临床N分期,String,"临床N分期(基于影像学)。<br>**cN0**: 无淋巴结转移<br>**cN+**: 淋巴结转移可疑<br>**临床意义**: CT/EUS对N分期敏感性60-80%,常低估淋巴结转移",cN+
staging.tnm.pN,分期.TNM.病理N分期,String,"病理N分期(基于淋巴结清扫)。<br>**pN0**: 无淋巴结转移<br>**pN1**: 1-2枚淋巴结转移<br>**pN2**: 3-6枚淋巴结转移<br>**pN3a**: 7-15枚淋巴结转移<br>**pN3b**: ≥16枚淋巴结转移<br>**临床意义**: N分期是最重要的预后因素,pN3b 5年生存率<10%",pN2(4枚阳性)
