Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,淋巴瘤确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,0-100,,,Y,确诊时年龄,双峰分布
Histopathology_HL,hl_subtype,HL亚型,categorical,,,"Nodular_Sclerosis,Mixed_Cellularity,Lymphocyte_Rich,Lymphocyte_Depleted,NLPHL,Not_Applicable",,,N,霍奇金淋巴瘤亚型,经典vs结节性淋巴细胞为主
Histopathology_HL,rs_cells,RS细胞,categorical,,,"Present,Absent,Not_Applicable",,,N,Reed-Sternberg细胞,经典HL诊断性
Histopathology_HL,cd15_expression,CD15表达,categorical,,,"Positive,Negative,Not_Done",,,N,CD15免疫标记,经典HL阳性
Histopathology_HL,cd30_expression,CD30表达,categorical,,,"Positive,Negative,Not_Done",,,N,CD30免疫标记,经典HL阳性
Histopathology_NHL,nhl_subtype,NHL亚型,categorical,,,"DLBCL_NOS,PMBCL,Follicular_Grade1-2,Follicular_Grade3,MZL,MCL,Burkitt,PTCL_NOS,AITL,ALCL,ENKTL,Other",,,N,非霍奇金淋巴瘤亚型,B细胞vs T细胞
Histopathology_NHL,cell_origin,细胞来源,categorical,,,"B_Cell,T_Cell,NK_Cell,Not_Applicable",,,Y,淋巴细胞类型,B vs T/NK
Histopathology_NHL,bcell_subtype,B细胞亚型,categorical,,,"GCB,ABC,Unclassified,Not_Applicable",,,N,B细胞淋巴瘤分型,DLBCL预后分层
Histopathology_NHL,dlbcl_coo,DLBCL起源细胞,categorical,,,"GCB,ABC,Unclassified,Not_Applicable",,,N,生发中心vs活化B细胞,预后不同
Histopathology_NHL,follicular_grade,滤泡性淋巴瘤分级,categorical,,,"Grade1,Grade2,Grade3A,Grade3B,Not_Applicable",,,N,FL分级,G3B侵袭性
Histopathology_NHL,mantle_cell_variant,套细胞淋巴瘤变异型,categorical,,,"Classic,Blastoid,Pleomorphic,Not_Applicable",,,N,MCL变异,母细胞型预后差
Histopathology_NHL,burkitt_subtype,Burkitt亚型,categorical,,,"Endemic,Sporadic,Immunodeficiency_Associated,Not_Applicable",,,N,BL亚型,儿童EBV相关
Histopathology_NHL,ptcl_subtype,外周T细胞淋巴瘤亚型,categorical,,,"PTCL_NOS,AITL,ALCL_ALK_Positive,ALCL_ALK_Negative,ENKTL,Other,Not_Applicable",,,N,PTCL分型,预后差异大
Histopathology_NHL,ki67_index,Ki67增殖指数,decimal,%,0-100,,,N,增殖标记,高增殖侵袭性
Histopathology_NHL,bcl2_expression,BCL2表达,categorical,,,"Positive,Negative,Unknown",,,N,抗凋亡蛋白,DLBCL预后
Histopathology_NHL,bcl6_expression,BCL6表达,categorical,,,"Positive,Negative,Unknown",,,N,生发中心标记,GCB型
Histopathology_NHL,cd10_expression,CD10表达,categorical,,,"Positive,Negative,Unknown",,,N,生发中心标记,GCB型
Histopathology_NHL,mum1_expression,MUM1表达,categorical,,,"Positive,Negative,Unknown",,,N,活化B细胞标记,ABC型
Histopathology_NHL,alk_expression,ALK表达,categorical,,,"Positive,Negative,Not_Applicable",,,N,间变性淋巴瘤激酶,ALCL分型
Molecular,myc_rearrangement,MYC重排,categorical,,,"Yes,No,Unknown",,,N,MYC基因重排,BL/双打击
Molecular,bcl2_rearrangement,BCL2重排,categorical,,,"Yes,No,Unknown",,,N,BCL2基因重排,滤泡性/DLBCL
Molecular,bcl6_rearrangement,BCL6重排,categorical,,,"Yes,No,Unknown",,,N,BCL6基因重排,DLBCL
Molecular,double_hit,双打击淋巴瘤,categorical,,,"Yes,No,Unknown",,,N,MYC+BCL2或BCL6,高度侵袭性
Molecular,triple_hit,三打击淋巴瘤,categorical,,,"Yes,No,Unknown",,,N,MYC+BCL2+BCL6,极差预后
Molecular,igvh_mutation_status,IGVH突变状态,categorical,,,"Mutated,Unmutated,Unknown",,,N,免疫球蛋白重链可变区,CLL/FL预后
Molecular,tp53_mutation,TP53突变,categorical,,,"Yes,No,Unknown",,,N,p53基因突变,耐药预后差
Molecular,del17p,17p缺失,categorical,,,"Yes,No,Unknown",,,N,p53位点缺失,高危遗传学
Molecular,t_14_18,t(14;18)易位,categorical,,,"Yes,No,Unknown",,,N,IGH-BCL2融合,滤泡性淋巴瘤
Molecular,t_11_14,t(11;14)易位,categorical,,,"Yes,No,Unknown",,,N,CCND1-IGH,套细胞淋巴瘤
Molecular,t_8_14,t(8;14)易位,categorical,,,"Yes,No,Unknown",,,N,MYC-IGH,Burkitt淋巴瘤
Staging_Ann_Arbor,ann_arbor_stage,Ann Arbor分期,categorical,,,"I,II,III,IV",,,Y,经典分期系统,HL/NHL通用
Staging_Ann_Arbor,stage_modifier,分期修饰符,categorical,,,"A,B,E,S,X",,,Y,症状/结外修饰,A无症状B有症状
Staging_Ann_Arbor,bulky_disease,巨块病灶,categorical,,,"Yes,No",,,Y,>10cm或纵隔比>1/3,预后不良
Staging_Ann_Arbor,bulky_size,巨块大小,decimal,cm,0-40,,,N,最大肿块直径,>10cm
Staging_Ann_Arbor,mediastinal_mass_ratio,纵隔肿块比值,decimal,,0-1,,,N,肿块/胸廓比值,>0.33为巨块
Staging_Ann_Arbor,number_nodal_sites,淋巴结区数,integer,个,0-20,,,N,受累淋巴结区域数,疾病范围
Staging_Organs,bone_marrow_involvement,骨髓累及,categorical,,,"Yes,No,Unknown",,,Y,骨髓浸润,IV期
Staging_Organs,bone_marrow_biopsy_done,骨髓活检,categorical,,,"Yes,No",,,N,骨髓病理,分期必需
Staging_Organs,bone_marrow_percentage,骨髓浸润百分比,decimal,%,0-100,,,N,骨髓淋巴瘤细胞,肿瘤负荷
Staging_Organs,cns_involvement,中枢神经系统累及,categorical,,,"Yes,No,Suspected",,,Y,脑脊髓受累,高危因素
Staging_Organs,csf_cytology,脑脊液细胞学,categorical,,,"Positive,Negative,Not_Done",,,N,CSF检查,CNS诊断
Staging_Organs,liver_involvement,肝脏累及,categorical,,,"Yes,No",,,N,肝脏受累,IV期
Staging_Organs,spleen_involvement,脾脏累及,categorical,,,"Yes,No",,,N,脾脏受累,III期
Staging_Organs,gi_involvement,胃肠道累及,categorical,,,"Yes,No",,,N,消化道受累,结外病变
Staging_Organs,lung_involvement,肺部累及,categorical,,,"Yes,No",,,N,肺实质受累,结外病变
Staging_Organs,skin_involvement,皮肤累及,categorical,,,"Yes,No",,,N,皮肤病变,某些T细胞淋巴瘤
Staging_Organs,testicular_involvement,睾丸累及,categorical,,,"Yes,No,Not_Applicable",,,N,睾丸受累,CNS复发风险
Laboratory,ldh,LDH,decimal,U/L,100-5000,2532-0,,Y,乳酸脱氢酶,肿瘤负荷/预后
Laboratory,ldh_ratio,LDH比值,decimal,,0-20,,,N,LDH/正常上限,IPI评分
Laboratory,ldh_elevated,LDH升高,categorical,,,"Yes,No",,,Y,超过正常上限,预后因素
Laboratory,beta2_microglobulin,β2微球蛋白,decimal,mg/L,0-20,1952-1,,N,β2-MG,FLIPI/MIPI
Laboratory,hemoglobin,血红蛋白,decimal,g/L,30-200,718-7,,Y,Hb水平,贫血评估
Laboratory,anemia,贫血,categorical,,,"Yes,No",,,Y,Hb<120 g/L(男)<110(女),预后因素
Laboratory,wbc,白细胞计数,decimal,×10⁹/L,0.5-500,6690-2,,N,WBC,骨髓功能
Laboratory,absolute_lymphocyte_count,绝对淋巴细胞计数,decimal,×10⁹/L,0-200,731-0,,N,ALC,HL预后
Laboratory,alc_low,ALC<0.6,categorical,,,"Yes,No",,,N,淋巴细胞减少,HL不良预后
Laboratory,platelets,血小板,decimal,×10⁹/L,10-1000,777-3,,N,血小板计数,骨髓功能
Laboratory,albumin,白蛋白,decimal,g/L,15-60,1751-7,,Y,血清白蛋白,营养/预后
Laboratory,hypoalbuminemia,低白蛋白血症,categorical,,,"Yes,No",,,Y,白蛋白<40 g/L,预后因素
Laboratory,esr,红细胞沉降率,decimal,mm/h,0-150,4537-7,,N,血沉,HL预后因素
Laboratory,creatinine,肌酐,decimal,μmol/L,30-800,2160-0,,N,血肌酐,肾功能
Laboratory,uric_acid,尿酸,decimal,μmol/L,100-1000,3084-1,,N,血尿酸,肿瘤溶解风险
Prognostic_Scores,ips_score,IPS评分,integer,分,0-7,,,N,HL国际预后评分,7个危险因素
Prognostic_Scores,ips_risk,IPS风险分层,categorical,,,"Low,Intermediate,High",,,N,IPS分层,0-2低危3-4中危≥5高危
Prognostic_Scores,ipi_score,IPI评分,integer,分,0-5,,,N,NHL国际预后指数,5个危险因素
Prognostic_Scores,ipi_risk,IPI风险分层,categorical,,,"Low,Low_Intermediate,High_Intermediate,High",,,N,IPI分层,0-1/2/3/4-5
Prognostic_Scores,nccn_ipi,NCCN-IPI,integer,分,0-8,,,N,增强IPI,细化分层
Prognostic_Scores,flipi_score,FLIPI评分,integer,分,0-5,,,N,滤泡性淋巴瘤IPI,FL预后
Prognostic_Scores,flipi2_score,FLIPI2评分,integer,分,0-5,,,N,FLIPI-2,β2-MG为基础
Prognostic_Scores,mipi_score,MIPI评分,decimal,分,0-10,,,N,套细胞淋巴瘤IPI,MCL预后
Prognostic_Scores,mipi_risk,MIPI风险,categorical,,,"Low,Intermediate,High",,,N,MIPI分层,MCL治疗选择
Prognostic_Scores,pit_score,PIT评分,integer,分,0-4,,,N,外周T细胞淋巴瘤,PTCL预后
Treatment_Chemotherapy,frontline_regimen,一线化疗方案,categorical,,,"ABVD,BEACOPP,R-CHOP,R-CVP,R-Bendamustine,Hyper-CVAD,EPOCH,CHOEP,Other",,,Y,一线治疗方案,疾病亚型特异
Treatment_Chemotherapy,abvd_cycles,ABVD周期数,integer,周期,0-12,,,N,经典HL方案,2-6周期
Treatment_Chemotherapy,beacopp_type,BEACOPP类型,categorical,,,"Escalated,Baseline,Not_Applicable",,,N,HL强化方案,晚期HL
Treatment_Chemotherapy,rchop_cycles,R-CHOP周期数,integer,周期,0-12,,,N,DLBCL标准方案,6-8周期
Treatment_Chemotherapy,rituximab_given,利妥昔单抗,categorical,,,"Yes,No",,,Y,抗CD20单抗,B细胞淋巴瘤
Treatment_Chemotherapy,dose_intensity,剂量强度,categorical,,,"Standard,Dose_Dense,Reduced",,,N,化疗强度,R-CHOP14 vs 21
Treatment_Chemotherapy,cns_prophylaxis,CNS预防,categorical,,,"Yes,No",,,N,中枢预防,高危患者
Treatment_Chemotherapy,cns_prophylaxis_method,CNS预防方法,categorical,,,"IT_Methotrexate,IV_High_Dose_MTX,Both,Not_Applicable",,,N,预防方式,鞘注/静脉
Treatment_Chemotherapy,chemo_response,化疗反应,categorical,,,"CR,PR,SD,PD",,,Y,疗效评估,PET/CT
Treatment_Radiotherapy,radiotherapy_given,放疗,categorical,,,"Yes,No",,,N,是否放疗,局部控制
Treatment_Radiotherapy,rt_intent,放疗目的,categorical,,,"Definitive,Consolidation,Palliative,IFRT",,,N,治疗意图,根治vs姑息
Treatment_Radiotherapy,rt_field,放疗野,categorical,,,"ISRT,IFRT,Extended_Field,Involved_Site",,,N,照射范围,受累野vs扩大野
Treatment_Radiotherapy,rt_dose,放疗剂量,decimal,Gy,10-50,,,N,总照射剂量,HL 20-36Gy
Treatment_Radiotherapy,rt_timing,放疗时机,categorical,,,"Upfront,Consolidation,Salvage",,,N,放疗时间,初治/巩固/挽救
Treatment_SCT,autologous_sct,自体造血干细胞移植,categorical,,,"Yes,No",,,N,Auto-HSCT,复发/难治
Treatment_SCT,allogeneic_sct,异基因造血干细胞移植,categorical,,,"Yes,No",,,N,Allo-HSCT,高危/复发
Treatment_SCT,sct_indication,移植指征,categorical,,,"First_Remission,Relapsed,Refractory,Consolidation,Not_Applicable",,,N,移植时机,CR1 vs复发
Treatment_SCT,conditioning_regimen,预处理方案,categorical,,,"BEAM,CBV,TBI_Based,MAC,RIC,Not_Applicable",,,N,预处理,清髓vs减低
Treatment_SCT,sct_response,移植后反应,categorical,,,"CR,PR,Relapse,Not_Applicable",,,N,移植疗效,长期缓解
Treatment_Targeted,targeted_therapy,靶向治疗,categorical,,,"Yes,No",,,N,靶向药物,新药治疗
Treatment_Targeted,targeted_agent,靶向药物,categorical,,,"Brentuximab_Vedotin,Ibrutinib,Acalabrutinib,Venetoclax,Tazemetostat,Lenalidomide,Polatuzumab,Other,None",,,N,具体靶向药,亚型特异
Treatment_Targeted,brentuximab,Brentuximab Vedotin,categorical,,,"Yes,No",,,N,抗CD30-ADC,HL/ALCL
Treatment_Targeted,btk_inhibitor,BTK抑制剂,categorical,,,"Ibrutinib,Acalabrutinib,Zanubrutinib,None",,,N,布鲁顿酪氨酸激酶,MCL/MZL
Treatment_Targeted,bcl2_inhibitor,BCL2抑制剂,categorical,,,"Venetoclax,Other,None",,,N,抗凋亡抑制,CLL/MCL
Treatment_Targeted,ezh2_inhibitor,EZH2抑制剂,categorical,,,"Tazemetostat,None",,,N,组蛋白甲基转移酶,FL
Treatment_Targeted,immunomodulator,免疫调节剂,categorical,,,"Lenalidomide,Pomalidomide,None",,,N,免疫调节药物,DLBCL/MCL
Treatment_CAR_T,cart_therapy,CAR-T治疗,categorical,,,"Yes,No",,,N,嵌合抗原受体T细胞,复发难治
Treatment_CAR_T,cart_product,CAR-T产品,categorical,,,"Axi-cel,Tisa-cel,Liso-cel,Relmacabtagene,Other,Not_Applicable",,,N,CAR-T制剂,抗CD19
Treatment_CAR_T,cart_response,CAR-T反应,categorical,,,"CR,PR,SD,PD,Not_Applicable",,,N,CAR-T疗效,持久缓解
Treatment_CAR_T,crs_grade,细胞因子释放综合征,categorical,,,"Grade0,Grade1,Grade2,Grade3,Grade4,Not_Applicable",,,N,CRS分级,CAR-T毒性
Treatment_CAR_T,icans_grade,免疫效应细胞神经毒性,categorical,,,"Grade0,Grade1,Grade2,Grade3,Grade4,Not_Applicable",,,N,ICANS分级,神经毒性
Response_Assessment,interim_pet_response,中期PET反应,categorical,,,"DS1-5,Positive,Negative,Not_Done",,,N,治疗中PET/CT,Deauville评分
Response_Assessment,deauville_score,Deauville评分,categorical,,,"DS1,DS2,DS3,DS4,DS5,Not_Done",,,N,5分法PET评估,≤3阴性
Response_Assessment,end_of_treatment_response,治疗结束反应,categorical,,,"CR,PR,SD,PD",,,Y,EOT疗效,Lugano标准
Response_Assessment,best_response,最佳反应,categorical,,,"CR,PR,SD,PD",,,N,治疗最佳疗效,缓解评估
Response_Assessment,time_to_response,反应时间,decimal,月,0-24,,,N,治疗至缓解,早期反应
Response_Assessment,duration_of_response,缓解持续时间,decimal,月,0-200,,,N,DOR,缓解维持
Response,remission_status,缓解状态,categorical,,,"CR,PR,Refractory,Relapsed,Unknown",,,Y,疾病状态,治疗反应
Response,refractory_disease,难治性疾病,categorical,,,"Primary,Secondary,Not_Applicable",,,N,原发/继发难治,挽救治疗
Response,relapse_status,复发状态,categorical,,,"No_Relapse,Early_Relapse,Late_Relapse",,,N,复发情况,<12月早期
Response,relapse_date,复发日期,date,,,,,N,首次复发时间,PFS计算
Response,time_to_relapse,复发时间,decimal,月,0-200,,,N,CR至复发,早期复发预后差
Response,relapse_site,复发部位,categorical,,,"Nodal,Extranodal,CNS,Bone_Marrow,Multiple",,,N,复发位置,结内vs结外
Response,salvage_therapy_lines,挽救治疗线数,integer,线,0-10,,,N,复发后治疗线数,多线治疗
Survival,vital_status,生存状态,categorical,,,"Alive,Dead,Lost_to_Followup",,,Y,随访结局,总生存
Survival,death_date,死亡日期,date,,,,,N,死亡时间,OS计算
Survival,cause_of_death,死亡原因,categorical,,,"Lymphoma,Treatment_Toxicity,Infection,Secondary_Malignancy,Cardiovascular,Other,Unknown",,,N,死因分类,肿瘤相关vs治疗相关
Survival,overall_survival,总生存期,decimal,月,0-300,,,N,诊断至死亡,OS
Survival,progression_free_survival,无进展生存,decimal,月,0-200,,,N,治疗至进展/死亡,PFS
Survival,event_free_survival,无事件生存,decimal,月,0-200,,,N,治疗至任何事件,EFS
Survival,disease_free_survival,无病生存,decimal,月,0-200,,,N,CR至复发/死亡,DFS
Survival,last_followup_date,末次随访日期,date,,,,,N,最后接触日期,删失数据
Complications,tumor_lysis_syndrome,肿瘤溶解综合征,categorical,,,"Yes,No",,,N,TLS,Burkitt/高负荷
Complications,infection_type,感染类型,categorical,,,"Bacterial,Viral,Fungal,Opportunistic,Multiple,None",,,N,感染并发症,免疫抑制
Complications,pcp_prophylaxis,PCP预防,categorical,,,"Yes,No",,,N,卡氏肺孢子菌预防,复方新诺明
Complications,febrile_neutropenia,粒细胞缺乏性发热,categorical,,,"Yes,No",,,N,化疗后FN,感染风险
Complications,secondary_malignancy,继发恶性肿瘤,categorical,,,"Yes,No",,,N,治疗相关恶性肿瘤,长期风险
Complications,secondary_malignancy_type,继发肿瘤类型,categorical,,,"AML_MDS,Solid_Tumor,Other_Lymphoma,Not_Applicable",,,N,继发肿瘤,alkylator/放疗相关
Complications,cardiac_toxicity,心脏毒性,categorical,,,"Yes,No",,,N,蒽环类心毒性,长期监测
Complications,pulmonary_toxicity,肺毒性,categorical,,,"Yes,No",,,N,博来霉素肺纤维化,ABVD风险
