Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,白血病确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,0-100,,,Y,确诊时年龄,儿童vs成人预后
AML_Genetics,t_8_21,t(8;21),categorical,,,"Yes,No,Unknown",,,N,RUNX1-RUNX1T1,良好预后
AML_Genetics,inv_16,inv(16),categorical,,,"Yes,No,Unknown",,,N,CBFB-MYH11,良好预后
AML_Genetics,t_15_17,t(15;17),categorical,,,"Yes,No,Unknown",,,Y,PML-RARA,APL诊断性
AML_Genetics,t_9_11,t(9;11),categorical,,,"Yes,No,Unknown",,,N,MLLT3-KMT2A,中等预后
AML_Genetics,npm1_mutation,NPM1突变,categorical,,,"Yes,No,Unknown",,,Y,核仁磷酸蛋白,良好预后(无FLT3-ITD)
AML_Genetics,flt3_itd,FLT3-ITD,categorical,,,"Yes,No,Unknown",,,Y,内部串联重复,不良预后
AML_Genetics,flt3_itd_allelic_ratio,FLT3-ITD等位基因比,decimal,,0-10,,,N,突变/野生型比值,>0.5高危
AML_Genetics,flt3_tkd,FLT3-TKD,categorical,,,"Yes,No,Unknown",,,N,酪氨酸激酶结构域,中性预后
AML_Genetics,cebpa_mutation,CEBPA突变,categorical,,,"Biallelic,Monoallelic,Wild-type,Unknown",,,N,CCAAT增强子结合蛋白,双等位基因突变良好
AML_Genetics,kit_mutation,KIT突变,categorical,,,"Yes,No,Unknown",,,N,KIT基因突变,CBF-AML不良
AML_Genetics,tp53_mutation,TP53突变,categorical,,,"Yes,No,Unknown",,,N,p53基因,极差预后
AML_Genetics,runx1_mutation,RUNX1突变,categorical,,,"Yes,No,Unknown",,,N,RUNX1基因,不良预后
AML_Genetics,asxl1_mutation,ASXL1突变,categorical,,,"Yes,No,Unknown",,,N,ASXL1基因,不良预后
AML_Genetics,idh1_mutation,IDH1突变,categorical,,,"Yes,No,Unknown",,,N,异柠檬酸脱氢酶1,靶向治疗
AML_Genetics,idh2_mutation,IDH2突变,categorical,,,"Yes,No,Unknown",,,N,异柠檬酸脱氢酶2,靶向治疗
AML_Genetics,complex_karyotype,复杂核型,categorical,,,"Yes,No",,,Y,≥3个染色体异常,不良预后
AML_Genetics,monosomal_karyotype,单体核型,categorical,,,"Yes,No",,,N,≥2条单体或1单体+结构异常,极差预后
AML_Genetics,del_5q,5q缺失,categorical,,,"Yes,No",,,N,5号染色体长臂缺失,不良预后
AML_Genetics,monosomy_7,7号染色体单体,categorical,,,"Yes,No",,,N,-7,不良预后
AML_Genetics,del_7q,7q缺失,categorical,,,"Yes,No",,,N,7号染色体长臂缺失,不良预后
APL_Specific,apl_diagnosis,急性早幼粒细胞白血病,categorical,,,"Yes,No",,,N,APL诊断,M3
APL_Specific,pml_rara_fusion,PML-RARA融合,categorical,,,"Yes,No,Unknown",,,N,PML-RARA,APL分子标志
APL_Specific,pml_rara_isoform,PML-RARA亚型,categorical,,,"Bcr1,Bcr2,Bcr3,Unknown,Not_Applicable",,,N,断裂点亚型,Bcr3敏感性低
APL_Specific,apl_risk_group,APL危险分层,categorical,,,"Low,Intermediate,High,Not_Applicable",,,N,WBC+血小板分层,治疗强度
APL_Specific,wbc_at_diagnosis_apl,APL诊断时WBC,decimal,×10⁹/L,0.1-300,,,N,白细胞计数,高白细胞>10高危
APL_Specific,atra_given,全反式维甲酸,categorical,,,"Yes,No,Not_Applicable",,,N,ATRA治疗,APL诱导分化
APL_Specific,ato_given,三氧化二砷,categorical,,,"Yes,No,Not_Applicable",,,N,ATO治疗,APL标准治疗
APL_Specific,differentiation_syndrome,分化综合征,categorical,,,"Yes,No,Not_Applicable",,,N,DS,APL特异性并发症
ALL_Subtype,all_immunophenotype,ALL免疫表型,categorical,,,"B_ALL,T_ALL,Not_Applicable",,,N,B系vs T系,预后不同
ALL_Subtype,b_all_subtype,B-ALL亚型,categorical,,,"Pro-B,Common,Pre-B,Mature_B,Not_Applicable",,,N,B细胞分化阶段,CD10/表面Ig
ALL_Subtype,t_all_subtype,T-ALL亚型,categorical,,,"Early_T,Cortical_T,Mature_T,Not_Applicable",,,N,T细胞分化阶段,胸腺皮质型多
ALL_Subtype,all_lineage,ALL细胞系,categorical,,,"B_Lineage,T_Lineage,Mixed_Lineage,Not_Applicable",,,N,淋巴细胞来源,混合系预后差
ALL_Genetics,all_risk_group,ALL遗传学风险,categorical,,,"Favorable,Intermediate,Adverse,Not_Applicable",,,N,遗传学分层,治疗分层
ALL_Genetics,bcr_abl1,BCR-ABL1,categorical,,,"Yes,No,Unknown",,,N,Ph染色体,t(9;22)不良预后
ALL_Genetics,t_9_22,t(9;22),categorical,,,"Yes,No,Unknown",,,N,费城染色体,TKI靶向治疗
ALL_Genetics,t_12_21,t(12;21),categorical,,,"Yes,No,Unknown",,,N,TEL-AML1,儿童良好预后
ALL_Genetics,t_1_19,t(1;19),categorical,,,"Yes,No,Unknown",,,N,E2A-PBX1,前B-ALL
ALL_Genetics,t_4_11,t(4;11),categorical,,,"Yes,No,Unknown",,,N,MLL-AF4,婴儿ALL不良
ALL_Genetics,mll_rearrangement,MLL重排,categorical,,,"Yes,No,Unknown",,,N,KMT2A重排,婴儿/不良预后
ALL_Genetics,hyperdiploidy,高二倍体,categorical,,,"Yes,No,Unknown",,,N,>50条染色体,儿童良好预后
ALL_Genetics,hypodiploidy,低二倍体,categorical,,,"Yes,No,Unknown",,,N,<44条染色体,极差预后
ALL_Genetics,ikaros_deletion,IKZF1缺失,categorical,,,"Yes,No,Unknown",,,N,Ikaros基因缺失,Ph样ALL标志
ALL_Genetics,ph_like_signature,Ph样ALL,categorical,,,"Yes,No,Unknown",,,N,类Ph基因表达谱,TKI可能有效
CML_Specific,cml_phase,CML疾病分期,categorical,,,"Chronic,Accelerated,Blast_Crisis,Not_Applicable",,,N,慢性粒细胞白血病分期,治疗反应不同
CML_Specific,bcr_abl1_cml,BCR-ABL1 CML,categorical,,,"Yes,No,Not_Applicable",,,N,t(9;22)融合基因,CML分子标志
CML_Specific,bcr_abl_transcript_type,BCR-ABL转录本,categorical,,,"e13a2_b2a2,e14a2_b3a2,e1a2,Other,Not_Applicable",,,N,融合转录本类型,b3a2/b2a2常见
CML_Specific,sokal_score,Sokal评分,decimal,分,0-5,,,N,Sokal预后评分,慢性期风险分层
CML_Specific,hasford_score,Hasford评分,decimal,分,0-2000,,,N,Euro评分,慢性期预后
CML_Specific,eutos_score,EUTOS评分,decimal,分,0-200,,,N,欧洲治疗结局评分,TKI时代预后
CML_Specific,elts_score,ELTS评分,decimal,分,0-5,,,N,EUTOS长期生存,TKI长期预后
CML_Specific,tki_therapy,TKI治疗,categorical,,,"Imatinib,Dasatinib,Nilotinib,Bosutinib,Ponatinib,Other,Not_Applicable",,,N,酪氨酸激酶抑制剂,CML靶向治疗
CML_Specific,tki_response,TKI反应,categorical,,,"Optimal,Warning,Failure,Not_Applicable",,,N,ELN 2020反应标准,治疗调整依据
CML_Specific,bcr_abl_quantitative,BCR-ABL定量,decimal,%,0-100,,,N,BCR-ABL/ABL比值,分子学监测
CML_Specific,major_molecular_response,主要分子学反应,categorical,,,"Yes,No,Not_Applicable",,,N,MMR BCR-ABL≤0.1%,治疗里程碑
CML_Specific,deep_molecular_response,深度分子学反应,categorical,,,"MR4,MR4.5,MR5,None,Not_Applicable",,,N,DMR,停药考虑
CLL_Specific,cll_diagnosis,慢性淋巴细胞白血病,categorical,,,"Yes,No",,,N,CLL诊断,小淋巴细胞
CLL_Specific,rai_stage,Rai分期,categorical,,,"0,I,II,III,IV,Not_Applicable",,,N,Rai分期系统,美国分期0-IV
CLL_Specific,binet_stage,Binet分期,categorical,,,"A,B,C,Not_Applicable",,,N,Binet分期系统,欧洲分期A-C
CLL_Specific,lymphocyte_doubling_time,淋巴细胞倍增时间,categorical,,,"<12months,≥12months,Not_Applicable",,,N,LDT,活动性疾病
CLL_Specific,beta2_microglobulin_cll,β2微球蛋白CLL,decimal,mg/L,0-20,1952-1,,N,β2-MG,预后标志物
CLL_Specific,del_13q,13q缺失,categorical,,,"Yes,No,Unknown",,,N,13q14缺失,良好预后
CLL_Specific,trisomy_12,12三体,categorical,,,"Yes,No,Unknown",,,N,12号染色体三体,中等预后
CLL_Specific,del_11q,11q缺失,categorical,,,"Yes,No,Unknown",,,N,11q22-23缺失ATM,不良预后
CLL_Specific,del_17p_cll,17p缺失CLL,categorical,,,"Yes,No,Unknown",,,N,17p13缺失TP53,极差预后
CLL_Specific,tp53_mutation_cll,TP53突变CLL,categorical,,,"Yes,No,Unknown",,,N,TP53基因突变,化疗耐药
CLL_Specific,igvh_mutated,IGVH突变CLL,categorical,,,"Mutated,Unmutated,Unknown",,,N,免疫球蛋白重链突变,突变型预后好
CLL_Specific,zap70_expression,ZAP70表达,categorical,,,"Positive,Negative,Unknown",,,N,ζ链相关蛋白激酶,未突变IGVH替代标志
CLL_Specific,cd38_expression,CD38表达,categorical,,,"Positive,Negative,Unknown",,,N,CD38表面标记,预后标志
Treatment_Induction,induction_regimen,诱导化疗方案,categorical,,,"3+7,FLAG,DA,IA,VDLP,Hyper-CVAD,Other,None",,,Y,一线诱导方案,标准vs强化
Treatment_Induction,anthracycline_agent,蒽环类药物,categorical,,,"Daunorubicin,Idarubicin,Mitoxantrone,Other,None",,,N,蒽环类选择,诱导方案核心
Treatment_Induction,cytarabine_dose,阿糖胞苷剂量,categorical,,,"Standard,Intermediate,High,Not_Applicable",,,N,Ara-C剂量,标准vs大剂量
Treatment_Induction,induction_courses,诱导疗程数,integer,疗程,0-5,,,N,诱导治疗次数,1-2疗程
Treatment_Induction,cr_after_induction1,诱导1后完全缓解,categorical,,,"Yes,No",,,Y,首次诱导CR,早期反应
Treatment_Induction,cr_after_induction2,诱导2后完全缓解,categorical,,,"Yes,No,Not_Applicable",,,N,二次诱导CR,难治评估
Treatment_Response,remission_status,缓解状态,categorical,,,"CR,CRi,MLFS,PR,Refractory,Relapsed,Unknown",,,Y,治疗反应,ELN 2017标准
Treatment_Response,cr_complete_remission,完全缓解,categorical,,,"Yes,No",,,Y,CR定义,骨髓原始细胞<5%
Treatment_Response,cri_remission,不完全血液学恢复CR,categorical,,,"Yes,No",,,N,CRi,骨髓CR但血象未恢复
Treatment_Response,morphologic_leukemia_free,形态学无白血病状态,categorical,,,"Yes,No",,,N,MLFS,骨髓原始细胞<5%但血象差
Treatment_Response,mrd_status,微小残留病,categorical,,,"Positive,Negative,Unknown",,,Y,MRD,复发预测最强
Treatment_Response,mrd_method,MRD检测方法,categorical,,,"Flow_Cytometry,PCR,NGS,Not_Done",,,N,检测技术,流式/分子
Treatment_Response,mrd_threshold,MRD阈值,categorical,,,"<0.01%,0.01-0.1%,>0.1%,Not_Applicable",,,N,MRD水平,<0.01%深度缓解
Treatment_Response,mrd_timepoint,MRD检测时点,categorical,,,"Post_Induction,Post_Consolidation,Pre_Transplant,Other",,,N,检测时间,早期MRD预后价值
Treatment_Consolidation,consolidation_given,巩固化疗,categorical,,,"Yes,No",,,N,缓解后巩固,维持缓解
Treatment_Consolidation,consolidation_regimen,巩固方案,categorical,,,"HiDAC,Standard_Ara-C,Intensification,Other,None",,,N,巩固治疗,大剂量Ara-C
Treatment_Consolidation,hidac_cycles,大剂量Ara-C周期,integer,周期,0-6,,,N,HiDAC疗程,通常2-4周期
Treatment_Maintenance,maintenance_therapy,维持治疗,categorical,,,"Yes,No",,,N,长期维持,ALL标准/AML争议
Treatment_Maintenance,maintenance_regimen,维持方案,categorical,,,"6MP_MTX,POMP,ATRA_ATO,Other,None",,,N,维持药物,ALL口服化疗
Treatment_Maintenance,maintenance_duration,维持时长,decimal,月,0-60,,,N,维持治疗持续,ALL 2-3年
Treatment_SCT,allogeneic_sct,异基因造血干细胞移植,categorical,,,"Yes,No",,,N,Allo-HSCT,根治性治疗
Treatment_SCT,donor_type,供者类型,categorical,,,"HLA_Matched_Sibling,HLA_Matched_Unrelated,Haploidentical,Cord_Blood,Not_Applicable",,,N,供者来源,全相合vs半相合
Treatment_SCT,conditioning_intensity,预处理强度,categorical,,,"Myeloablative,Reduced_Intensity,Not_Applicable",,,N,预处理,MAC vs RIC
Treatment_SCT,conditioning_regimen_sct,预处理方案,categorical,,,"Bu_Cy,Bu_Flu,TBI_Based,Other,Not_Applicable",,,N,具体方案,含TBI vs化疗
Treatment_SCT,gvhd_prophylaxis,GVHD预防,categorical,,,"CSA_MTX,CSA_MMF,PTCy,Other,Not_Applicable",,,N,移植物抗宿主病预防,单倍型PTCy
Treatment_SCT,acute_gvhd,急性GVHD,categorical,,,"Grade0,Grade1,Grade2,Grade3,Grade4,Not_Applicable",,,N,aGVHD分级,移植并发症
Treatment_SCT,chronic_gvhd,慢性GVHD,categorical,,,"None,Limited,Extensive,Not_Applicable",,,N,cGVHD程度,移植后免疫
Treatment_SCT,relapse_post_sct,移植后复发,categorical,,,"Yes,No,Not_Applicable",,,N,移植后复发,难治性复发
Treatment_Targeted,targeted_therapy_leukemia,靶向治疗,categorical,,,"Yes,No",,,N,分子靶向药物,精准治疗
Treatment_Targeted,bcr_abl_tki,BCR-ABL TKI,categorical,,,"Imatinib,Dasatinib,Nilotinib,Ponatinib,Other,Not_Applicable",,,N,Ph+ ALL/CML,TKI联合化疗
Treatment_Targeted,flt3_inhibitor,FLT3抑制剂,categorical,,,"Midostaurin,Gilteritinib,Sorafenib,Quizartinib,Other,None",,,N,FLT3靶向,FLT3-ITD突变
Treatment_Targeted,idh_inhibitor,IDH抑制剂,categorical,,,"Ivosidenib,Enasidenib,Other,None",,,N,IDH1/2抑制剂,IDH突变AML
Treatment_Targeted,bcl2_inhibitor_leukemia,BCL2抑制剂,categorical,,,"Venetoclax,Other,None",,,N,抗凋亡抑制,AML/CLL
Treatment_Targeted,cd33_antibody,抗CD33抗体,categorical,,,"Gemtuzumab_Ozogamicin,Other,None",,,N,GO抗体药物偶联,CD33阳性AML
Treatment_Targeted,cd20_antibody,抗CD20抗体,categorical,,,"Rituximab,Obinutuzumab,Other,None",,,N,抗CD20单抗,成熟B-ALL/CLL
Treatment_Targeted,blinatumomab,Blinatumomab,categorical,,,"Yes,No",,,N,双特异性T细胞衔接器,CD19阳性ALL
Treatment_Targeted,inotuzumab,Inotuzumab Ozogamicin,categorical,,,"Yes,No",,,N,抗CD22-ADC,复发难治ALL
Treatment_CNS,cns_involvement,中枢神经系统累及,categorical,,,"CNS1,CNS2,CNS3,Not_Assessed",,,Y,CNS白血病,庇护所复发
Treatment_CNS,csf_blasts,脑脊液原始细胞,categorical,,,"Present,Absent,Unknown",,,N,CSF细胞学,CNS3诊断
Treatment_CNS,cns_prophylaxis_given,CNS预防,categorical,,,"Yes,No",,,Y,中枢预防,ALL必需
Treatment_CNS,cns_prophylaxis_method,CNS预防方法,categorical,,,"Intrathecal,High_Dose_Systemic,Cranial_RT,Combined",,,N,预防策略,鞘注/大剂量/颅脑放疗
Treatment_CNS,intrathecal_chemo,鞘内化疗,categorical,,,"MTX,Ara-C,Triple,None",,,N,IT化疗药物,MTX/Ara-C/地塞米松
Treatment_CNS,cranial_radiotherapy,颅脑放疗,categorical,,,"Yes,No",,,N,预防性颅脑照射,ALL高危/CNS+
Relapse,relapse_status_leukemia,复发状态,categorical,,,"No_Relapse,Early_Relapse,Late_Relapse",,,N,复发情况,<6月早期
Relapse,relapse_date_leukemia,复发日期,date,,,,,N,首次复发时间,RFS计算
Relapse,time_to_relapse_leukemia,复发时间,decimal,月,0-200,,,N,CR至复发,早期复发预后极差
Relapse,relapse_site,复发部位,categorical,,,"Bone_Marrow,CNS,Testicular,Extramedullary,Combined",,,N,复发位置,骨髓vs髓外
Relapse,extramedullary_relapse,髓外复发,categorical,,,"Yes,No",,,N,骨髓外复发,绿色瘤/皮肤
Survival,vital_status_leukemia,生存状态,categorical,,,"Alive,Dead,Lost_to_Followup",,,Y,随访结局,总生存
Survival,death_date_leukemia,死亡日期,date,,,,,N,死亡时间,OS计算
Survival,cause_of_death_leukemia,死亡原因,categorical,,,"Leukemia,Infection,Bleeding,GVHD,Organ_Failure,Treatment_Toxicity,Other,Unknown",,,N,死因分类,疾病vs治疗相关
Survival,overall_survival_leukemia,总生存期,decimal,月,0-300,,,N,诊断至死亡,OS
Survival,event_free_survival_leukemia,无事件生存,decimal,月,0-200,,,N,诊断至复发/死亡/失败,EFS
Survival,relapse_free_survival,无复发生存,decimal,月,0-200,,,N,CR至复发/死亡,RFS
Survival,disease_free_survival_leukemia,无病生存,decimal,月,0-200,,,N,CR至复发,DFS
Survival,last_followup_date_leukemia,末次随访日期,date,,,,,N,最后接触日期,删失数据
Complications,tumor_lysis_syndrome_leukemia,肿瘤溶解综合征,categorical,,,"Yes,No",,,N,TLS,高白细胞负荷
Complications,hyperleukocytosis,高白细胞症,categorical,,,"Yes,No",,,N,WBC>100×10⁹/L,白细胞淤滞
Complications,leukostasis,白细胞淤滞,categorical,,,"Yes,No",,,N,微循环淤滞,CNS/肺症状
Complications,febrile_neutropenia_leukemia,粒细胞缺乏性发热,categorical,,,"Yes,No",,,N,化疗后FN,感染高危
Complications,invasive_fungal_infection,侵袭性真菌感染,categorical,,,"Yes,No",,,N,IFI,长期粒缺
Complications,sepsis_leukemia,脓毒症,categorical,,,"Yes,No",,,N,全身感染,危重并发症
Complications,hemorrhage_major,重大出血,categorical,,,"Yes,No",,,N,严重出血,颅内/消化道
Complications,vod_sos,肝窦阻塞综合征,categorical,,,"Yes,No",,,N,VOD/SOS,移植并发症
Complications,secondary_malignancy_leukemia,继发恶性肿瘤,categorical,,,"Yes,No",,,N,治疗相关恶性肿瘤,长期生存风险
