Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,肾癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,60-70岁高峰
Imaging_Primary,gerota_fascia_invasion,Gerota筋膜侵犯,categorical,,,"Yes,No",,,N,超越筋膜,T4
Imaging_Primary,adrenal_involvement,同侧肾上腺受累,categorical,,,"Direct_Invasion,Metastasis,None",,,N,肾上腺累及,直接侵犯T4/转移M1
Imaging_Primary,adjacent_organ_invasion,邻近器官侵犯,categorical,,,"Yes,No",,,N,超出Gerota,T4
Imaging_Primary,enhancement_pattern,强化模式,categorical,,,"Hypervascular,Hypovascular,Cystic,Mixed",,,N,CT/MRI增强,影像学特征
Imaging_Primary,renal_sinus_invasion,肾窦侵犯,categorical,,,"Yes,No",,,N,肾盂肾盏受累,T3a考虑
Imaging_Staging,lymph_node_involvement,淋巴结累及,categorical,,,"Yes,No,Suspicious",,,N,区域淋巴结,N分期
Imaging_Staging,lymph_node_size,最大淋巴结短径,decimal,mm,0-100,,,N,淋巴结大小,>1cm可疑
Imaging_Staging,distant_metastases,远处转移,categorical,,,"Yes,No,Suspicious",,,Y,远隔转移,M分期
Imaging_Staging,metastasis_sites,转移部位,categorical,,,"Lung,Bone,Liver,Brain,Lymph_Nodes,Pancreas,Multiple,None",,,N,转移位置,肺最常见
Imaging_Staging,lung_metastases,肺转移,categorical,,,"Yes,No",,,N,肺部转移,最常见部位
Imaging_Staging,bone_metastases,骨转移,categorical,,,"Yes,No",,,N,骨骼转移,溶骨性
Imaging_Staging,liver_metastases,肝转移,categorical,,,"Yes,No",,,N,肝脏转移,预后差
Imaging_Staging,brain_metastases,脑转移,categorical,,,"Yes,No",,,N,颅内转移,晚期表现
Imaging_Staging,pancreatic_metastases,胰腺转移,categorical,,,"Yes,No",,,N,胰腺转移,ccRCC特点
Imaging_Staging,number_metastatic_sites,转移器官数,integer,个,0-10,,,N,累及器官数目,预后因素
Pathology,histologic_type,组织学类型,categorical,,,"Clear_Cell,Papillary_Type1,Papillary_Type2,Chromophobe,Collecting_Duct,Medullary,Translocation,Unclassified,Other",,,Y,病理分型,治疗反应不同
Pathology,clear_cell_percentage,透明细胞比例,decimal,%,0-100,,,N,ccRCC成分,预后相关
Pathology,sarcomatoid_features,肉瘤样分化,categorical,,,"Present,Absent",,,Y,肉瘤样成分,极差预后
Pathology,sarcomatoid_percentage,肉瘤样比例,decimal,%,0-100,,,N,肉瘤样成分百分比,任何比例均差
Pathology,rhabdoid_features,横纹肌样分化,categorical,,,"Present,Absent",,,N,横纹肌样成分,高度侵袭
Pathology,necrosis,肿瘤坏死,categorical,,,"Present,Absent",,,Y,病理坏死,SSIGN评分
Pathology,necrosis_percentage,坏死百分比,decimal,%,0-100,,,N,坏死范围,预后指标
Pathology,fuhrman_grade,Fuhrman核分级,categorical,,,"Grade1,Grade2,Grade3,Grade4",,,N,传统核分级,已被ISUP替代
Pathology,isup_who_grade,ISUP/WHO核分级,categorical,,,"Grade1,Grade2,Grade3,Grade4",,,Y,核分级2016,标准分级系统
Pathology,microvascular_invasion,微血管侵犯,categorical,,,"Present,Absent",,,N,镜下血管侵犯,转移风险
Pathology,lymphovascular_invasion,淋巴血管侵犯,categorical,,,"Present,Absent",,,N,LVI,预后因素
Pathology,collecting_system_invasion,集合系统侵犯,categorical,,,"Yes,No",,,N,肾盂肾盏侵犯,T3a
Staging,clinical_t_stage,临床T分期,categorical,,,"T1a,T1b,T2a,T2b,T3a,T3b,T3c,T4",,,Y,原发肿瘤分期,TNM T
Staging,clinical_n_stage,临床N分期,categorical,,,"N0,N1",,,Y,淋巴结分期,TNM N
Staging,clinical_m_stage,临床M分期,categorical,,,"M0,M1",,,Y,远处转移分期,TNM M
Staging,pathologic_t_stage,病理T分期,categorical,,,"T1a,T1b,T2a,T2b,T3a,T3b,T3c,T4,Unknown",,,N,手术后pT,最终T分期
Staging,pathologic_n_stage,病理N分期,categorical,,,"pN0,pN1,pNx",,,N,病理淋巴结,最终N分期
Staging,pathologic_m_stage,病理M分期,categorical,,,"pM0,pM1,Unknown",,,N,病理远处转移,M分期
Staging,tnm_stage_group,TNM分期组,categorical,,,"I,II,III,IV",,,Y,综合分期,治疗决策
Prognostic_Models,ssign_score,SSIGN评分,integer,分,0-15,,,N,Mayo术后评分,术后复发风险
Prognostic_Models,imdc_risk_group,IMDC危险分层,categorical,,,"Favorable,Intermediate,Poor",,,N,转移性RCC分层,一线治疗选择
Prognostic_Models,imdc_risk_factors,IMDC危险因素数,integer,个,0-6,,,N,危险因素个数,0=favorable 1-2=intermediate 3-6=poor
Prognostic_Models,karnofsky_ps_low,KPS<80%,categorical,,,"Yes,No",,,N,体能状态差,IMDC因素
Prognostic_Models,time_dx_to_treatment_short,诊断至治疗<1年,categorical,,,"Yes,No",,,N,快速进展,IMDC因素
Prognostic_Models,neutrophil_high,中性粒细胞升高,categorical,,,"Yes,No",,,N,超过正常上限,IMDC因素
Prognostic_Models,platelet_high,血小板升高,categorical,,,"Yes,No",,,N,超过正常上限,IMDC因素
Treatment_Surgery,surgery_performed,手术治疗,categorical,,,"Yes,No",,,Y,是否手术,根治性治疗
Treatment_Surgery,surgery_type,手术类型,categorical,,,"Radical_Nephrectomy,Partial_Nephrectomy,Cytoreductive_Nephrectomy,Metastasectomy",,,N,手术方式,保肾vs根治
Treatment_Surgery,surgical_approach,手术入路,categorical,,,"Open,Laparoscopic,Robotic",,,N,手术途径,微创技术
Treatment_Surgery,lymph_node_dissection,淋巴结清扫,categorical,,,"Yes,No",,,N,LND,N+或cN+适应证
Treatment_Surgery,surgical_margin,手术切缘,categorical,,,"Negative,Positive,Close",,,N,切缘状态,保肾重要性
Treatment_Surgery,cytoreductive_indication,减瘤指征,categorical,,,"IMDC_Favorable_Intermediate,Symptomatic,Not_Applicable",,,N,减瘤肾切除适应证,转移性RCC
Treatment_Ablation,ablation_therapy,消融治疗,categorical,,,"Radiofrequency,Cryoablation,Microwave,None",,,N,热/冷消融,小肿瘤替代
Treatment_Ablation,ablation_indication,消融适应证,categorical,,,"Not_Surgical_Candidate,Patient_Preference,Multifocal_VHL,Not_Applicable",,,N,选择消融原因,非手术候选
Treatment_Systemic_First,first_line_therapy,一线系统治疗,categorical,,,"Yes,No",,,N,一线全身治疗,转移性疾病
Treatment_Systemic_First,first_line_regimen,一线方案,categorical,,,"Nivo_Ipi,Pembro_Axi,Pembro_Lenva,Cabo_Nivo,Avelumab_Axi,Sunitinib,Pazopanib,Other",,,N,一线治疗方案,IO组合vs TKI
Treatment_Systemic_First,first_line_type,一线治疗类型,categorical,,,"IO-IO,IO-TKI,TKI_Monotherapy,mTOR,Other",,,N,治疗模式,双免疫vs免疫+TKI
Treatment_Systemic_First,first_line_response,一线疗效,categorical,,,"CR,PR,SD,PD",,,N,最佳反应,RECIST评估
Treatment_Systemic_First,first_line_pfs,一线PFS,decimal,月,0-100,,,N,一线无进展生存,疗效持续
Treatment_Systemic_Second,second_line_therapy,二线系统治疗,categorical,,,"Yes,No",,,N,二线治疗,进展后治疗
Treatment_Systemic_Second,second_line_regimen,二线方案,categorical,,,"Cabozantinib,Nivolumab,Lenvatinib_Everolimus,Axitinib,Other",,,N,二线药物,既往治疗依据
Treatment_Systemic_Second,second_line_response,二线疗效,categorical,,,"CR,PR,SD,PD",,,N,二线最佳反应,疗效评估
Treatment_TKI,tki_therapy,TKI治疗,categorical,,,"Yes,No",,,N,酪氨酸激酶抑制剂,抗血管生成
Treatment_TKI,tki_agent,TKI药物,categorical,,,"Sunitinib,Pazopanib,Axitinib,Cabozantinib,Lenvatinib,Sorafenib,Tivozanib,Other",,,N,具体TKI,VEGFR抑制剂
Treatment_TKI,tki_adverse_events,TKI不良反应,categorical,,,"Hypertension,Hand_Foot_Syndrome,Fatigue,Hypothyroidism,Diarrhea,Multiple,None",,,N,常见TKI毒性,管理重要
Treatment_IO,checkpoint_inhibitor,免疫检查点抑制剂,categorical,,,"Yes,No",,,N,PD-1/PD-L1/CTLA-4,免疫治疗
Treatment_IO,io_agent,免疫药物,categorical,,,"Nivolumab,Pembrolizumab,Ipilimumab,Avelumab,Atezolizumab,Combination,Other",,,N,具体IO药物,单药或双免疫
Treatment_IO,io_combination_type,IO联合类型,categorical,,,"Dual_IO,IO_TKI,IO_Monotherapy,Not_Applicable",,,N,免疫联合模式,Nivo+Ipi或IO+TKI
Treatment_IO,irAE_occurred,免疫相关不良事件,categorical,,,"Yes,No",,,N,irAE发生,特殊毒性
Treatment_IO,irAE_type,irAE类型,categorical,,,"Colitis,Hepatitis,Pneumonitis,Endocrinopathy,Rash,Nephritis,Multiple,None",,,N,irAE器官,肠炎/肝炎常见
Treatment_IO,irAE_grade,irAE级别,categorical,,,"Grade1,Grade2,Grade3,Grade4",,,N,CTCAE分级,≥3级需处理
Treatment_mTOR,mtor_inhibitor,mTOR抑制剂,categorical,,,"Yes,No",,,N,雷帕霉素靶蛋白,二线或特殊情况
Treatment_mTOR,mtor_agent,mTOR药物,categorical,,,"Everolimus,Temsirolimus",,,N,依维莫司/替西罗莫,既往血管抑制后
Treatment_Adjuvant,adjuvant_therapy,辅助治疗,categorical,,,"Yes,No",,,N,术后辅助治疗,高危复发
Treatment_Adjuvant_agent,adjuvant_agent,辅助治疗药物,categorical,,,"Pembrolizumab,Sunitinib,Observation",,,N,辅助药物选择,KEYNOTE-564阳性
Response,best_overall_response,最佳总体反应,categorical,,,"CR,PR,SD,PD",,,N,系统治疗最佳疗效,所有线治疗
Response,progression_status,进展状态,categorical,,,"No_Progression,Progressed",,,N,疾病进展,PFS事件
Response,progression_date,疾病进展日期,date,,,,,N,PD确认日期,PFS计算
Response,progression_site,进展部位,categorical,,,"Primary_Site,New_Metastasis,Existing_Metastasis,Multiple",,,N,进展位置,局部vs新发
Survival,vital_status,生存状态,categorical,,,"Alive,Dead,Lost_to_Followup",,,Y,随访结局,总生存
Survival,death_date,死亡日期,date,,,,,N,死亡时间,OS计算
Survival,cause_of_death,死亡原因,categorical,,,"Renal_Cancer,Treatment_Toxicity,Cardiovascular,Infection,Other_Cancer,Other,Unknown",,,N,死因分类,肿瘤特异性死亡
Survival,overall_survival,总生存期,decimal,月,0-300,,,N,诊断至死亡,OS
Survival,cancer_specific_survival,癌症特异生存,decimal,月,0-300,,,N,肿瘤相关死亡,CSS
Survival,progression_free_survival,无进展生存,decimal,月,0-200,,,N,治疗至进展,PFS
Survival,recurrence_free_survival,无复发生存,decimal,月,0-200,,,N,术后至复发,RFS
Survival,last_followup_date,末次随访日期,date,,,,,N,最后接触日期,删失数据
