schema,fields,numeric_fields,boolean_fields,date_fields,enum_hint_fields,unit_fields,numeric_ratio,enum_ratio,unit_ratio
hyperuricemia-comorbidity-schema,27,14,3,1,5,12,0.519,0.185,0.444
cardiac-ultrasound-schema,27,13,2,1,8,11,0.481,0.296,0.407
insulin-therapy-optimization-schema,27,14,3,4,3,13,0.519,0.111,0.481
pheochromocytoma-paraganglioma-schema,26,8,5,1,5,6,0.308,0.192,0.231
metabolic-home-care-schema,24,4,3,1,4,3,0.167,0.167,0.125
cardio-renal-metabolic-board-schema,23,1,2,2,1,1,0.043,0.043,0.043
body-composition-analysis-schema,21,17,1,1,3,0,0.81,0.143,0.0
liver-ultrasound-schema,20,3,1,1,13,0,0.15,0.65,0.0
thyroid-ultrasound-schema,19,6,13,1,9,0,0.316,0.474,0.0
lower-extremity-arterial-ultrasound-schema,13,3,2,1,6,0,0.231,0.462,0.0
liver-stiffness-schema,12,5,1,2,3,2,0.417,0.25,0.167
retinal-oct-schema,11,2,2,1,6,0,0.182,0.545,0.0
neurophysiological-exam-schema,10,3,1,1,7,0,0.3,0.7,0.0
