ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
E16.1,OH,QTDXT,其他低血糖,Other hypoglycemia,相关疾病,其他原因的低血糖,轻度
E16.2,HU,WTZDXT,未特指的低血糖,Hypoglycemia unspecified,相关疾病,原因不明的低血糖,轻度
R73.0,AGT,TNLYCG,糖耐量异常,Abnormal glucose tolerance test,糖尿病前期,葡萄糖耐量受损,轻度
R73.01,IFG,KFDXTSW,空腹血糖受损,Impaired fasting glucose,糖尿病前期,空腹血糖异常,轻度
R73.02,IGT,TNLYSW,糖耐量受损,Impaired glucose tolerance,糖尿病前期,餐后血糖异常,轻度
R73.03,PREDIAB,TNBQQ,糖尿病前期,Prediabetes,糖尿病前期,糖尿病前期状态,轻度
R73.9,HYPERGLY,XTYCGWTZ,血糖异常未特指,Hyperglycemia unspecified,相关疾病,未明确的血糖异常,轻度
Z79.4,LTINS,CQSYYDSS,长期使用胰岛素,Long term current use of insulin,治疗相关,长期胰岛素治疗状态,管理
Z79.84,LTOHD,CQSYKFJTXY,长期使用口服降血糖药,Long term current use of oral hypoglycemic drugs,治疗相关,长期口服降糖药治疗,管理
Z13.1,DMSCREEN,TNBSC,糖尿病筛查,Encounter for screening for diabetes mellitus,预防,糖尿病筛查检查,预防
Z71.3,DMNUTRI,TNBYSZX,糖尿病饮食咨询,Dietary counseling and surveillance,教育管理,糖尿病饮食指导,管理
E88.81,METS,DXZHZ,代谢综合征,Metabolic syndrome,代谢疾病,代谢综合征X,中等
E88.89,OMET,QTTZDXWL,其他特指的代谢紊乱,Other specified metabolic disorders,代谢疾病,其他代谢异常,中等
E66,OB,FP,肥胖,Obesity,代谢疾病,肥胖症,中等
E66.0,OB-DIET,YSGLDZ,饮食过量所致的肥胖,Obesity due to excess calories,代谢疾病,单纯性肥胖,中等
E66.1,OB-DRUG,YWXFP,药物性肥胖,Drug-induced obesity,代谢疾病,药物引起的肥胖,中等
E66.2,OB-MORB,JDFPBPPTQBZ,极度肥胖伴肺泡通气不足,Morbid obesity with alveolar hypoventilation,代谢疾病,病理性肥胖伴呼吸功能不全,严重
E66.8,OB-OTH,QTFP,其他肥胖,Other obesity,代谢疾病,其他类型肥胖,中等
E66.9,OB-UNSP,FPWTZ,肥胖未特指,Obesity unspecified,代谢疾病,肥胖症未分类,中等
Z68.1,BMI-L,TZZSXHYD,体重指数19.9或以下,Body mass index 19.9 or less,体重管理,低体重指数,轻度
Z68.2,BMI-N,TZZSZCCHCZ,体重指数20.0-29.9,Body mass index 20.0-29.9,体重管理,正常或超重体重指数,轻度
Z68.3,BMI-OB,TZZSYPFP,体重指数30.0-39.9,Body mass index 30.0-39.9,体重管理,肥胖体重指数,中等
Z68.4,BMI-MO,TZZSJJYS,体重指数40.0及以上,Body mass index 40.0 and greater,体重管理,病理性肥胖体重指数,严重
Z51.6,WLT,JZ,减重治疗,Desensitization to allergens,减重治疗,减肥治疗,管理
Z71.82,WLC,JZZX,减重咨询,Exercise counseling,减重治疗,减重指导咨询,管理
O24.4,GDM-GEN,RSQTNB,妊娠期糖尿病,Gestational diabetes mellitus,妊娠糖尿病,妊娠期间新发糖尿病,中等
O24.41,GDM-DIET,RSQTNB-YSKZ,妊娠期糖尿病-饮食控制,Gestational diabetes mellitus in pregnancy controlled by diet,妊娠糖尿病,饮食控制的妊娠糖尿病,轻度
O24.42,GDM-INS,RSQTNB-YSSKZ,妊娠期糖尿病-胰岛素控制,Gestational diabetes mellitus in pregnancy controlled by insulin,妊娠糖尿病,胰岛素控制的妊娠糖尿病,中等
O24.43,GDM-UNCTRL,RSQTNB-WKZ,妊娠期糖尿病-未控制,Gestational diabetes mellitus in pregnancy uncontrolled,妊娠糖尿病,未控制的妊娠糖尿病,严重
Z86.32,HXGDM,RSTNBS,妊娠糖尿病史,Personal history of gestational diabetes,妊娠糖尿病,既往妊娠糖尿病史,管理
E79.0,GOUT-PRI,YFXTFGJB,原发性痛风性关节病,Primary gout,痛风,原发性痛风关节炎,中等
E79.1,GOUT-LEAD,QZDXTFGJB,铅中毒性痛风性关节病,Lead-induced gout,痛风,铅中毒引起的痛风,严重
E79.2,GOUT-DRUG,YWXTFGJB,药物性痛风性关节病,Drug-induced gout,痛风,药物引起的痛风,中等
E79.3,GOUT-REN,JFYSZSZHTFGJB,继发于肾脏损害的痛风性关节病,Gout secondary to renal impairment,痛风,肾功能不全继发痛风,严重
E79.8,PURIN-OTH,QTPHLHLDDXWL,其他嘌呤和嘧啶代谢紊乱,Other disorders of purine and pyrimidine metabolism,痛风,其他嘌呤代谢异常,中等
E79.9,PURIN-UNSP,PHLHLDDXWLWTZ,嘌呤和嘧啶代谢紊乱未特指,Disorder of purine and pyrimidine metabolism unspecified,痛风,嘌呤代谢异常未分类,中等
M10.0,GOUT-ID,TFXTF,特发性痛风,Idiopathic gout,痛风,特发性痛风关节炎,中等
M10.1,GOUT-LEAD2,QZDXTF,铅中毒性痛风,Lead-induced gout,痛风,铅中毒性痛风关节炎,严重
M10.2,GOUT-DRUG2,YWXTF,药物性痛风,Drug-induced gout,痛风,药物性痛风关节炎,中等
M10.3,GOUT-REN2,JFYSZSZHTF,继发于肾脏损害的痛风,Gout due to renal impairment,痛风,继发于肾病的痛风,严重
M10.4,GOUT-SEC,QTJFXTF,其他继发性痛风,Other secondary gout,痛风,其他继发性痛风,中等
M10.9,GOUT-UNSP,TFWTZ,痛风未特指,Gout unspecified,痛风,痛风未分类,中等
E83.39,PHOS-OTH,QTLDXHLSQWL,其他磷代谢和磷酸酶紊乱,Other disorders of phosphorus metabolism and phosphatases,高尿酸血症,其他磷代谢异常,轻度
R82.99,URIN-ABN,NYQTYCGFX,尿液其他异常发现,Other abnormal findings in urine,高尿酸血症,尿液异常包括尿酸,轻度
C25,PANC-CA,YZEL,胰腺恶性肿瘤,Malignant neoplasm of pancreas,胰腺癌,胰腺癌,危重
C25.0,PANC-HEAD,YZEL,胰头恶性肿瘤,Malignant neoplasm of head of pancreas,胰腺癌,胰头癌,危重
C25.1,PANC-BODY,YZEL,胰体恶性肿瘤,Malignant neoplasm of body of pancreas,胰腺癌,胰体癌,危重
C25.2,PANC-TAIL,YZEL,胰尾恶性肿瘤,Malignant neoplasm of tail of pancreas,胰腺癌,胰尾癌,危重
C25.3,PANC-DUCT,YZEL,胰腺导管恶性肿瘤,Malignant neoplasm of pancreatic duct,胰腺癌,胰管癌,危重
C25.4,PANC-ISLET,YDXBEL,胰岛细胞恶性肿瘤,Malignant neoplasm of endocrine pancreas,胰腺癌,胰岛细胞癌,危重
C25.7,PANC-OTH,YQTBWEL,胰腺其他部位恶性肿瘤,Malignant neoplasm of other parts of pancreas,胰腺癌,胰腺其他部位癌,危重
C25.8,PANC-OVER,YZCDBWEL,胰腺重叠部位恶性肿瘤,Malignant neoplasm of overlapping sites of pancreas,胰腺癌,胰腺多部位癌,危重
C25.9,PANC-UNSP,YELWTZ,胰腺恶性肿瘤未特指,Malignant neoplasm of pancreas unspecified,胰腺癌,胰腺癌未分类,危重
D13.6,PANC-BEN,YLXZL,胰腺良性肿瘤,Benign neoplasm of pancreas,胰腺肿瘤,胰腺良性肿瘤,轻度
D13.7,ISLET-BEN,YDXBLXZL,胰岛细胞良性肿瘤,Benign neoplasm of endocrine pancreas,胰腺肿瘤,胰岛细胞良性肿瘤,轻度
K76.0,NAFLD,ZFG,脂肪肝未特指,Fatty liver unspecified,脂肪肝,脂肪肝病,中等
K75.81,NASH,FJJXZFXGG,非酒精性脂肪性肝病,Nonalcoholic steatohepatitis,脂肪肝,非酒精性脂肪肝,中等
K70.0,AFLD,JJXZFG,酒精性脂肪肝,Alcoholic fatty liver,脂肪肝,酒精性脂肪肝,中等
K70.1,AH,JJXGY,酒精性肝炎,Alcoholic hepatitis,脂肪肝,酒精性肝炎,严重
K70.2,AF,JJXGQWHHX,酒精性肝纤维化和硬化,Alcoholic fibrosis and sclerosis of liver,脂肪肝,酒精性肝硬化,严重
K70.3,AC,JJXGHX,酒精性肝硬化,Alcoholic cirrhosis of liver,脂肪肝,酒精性肝硬化,严重
K70.4,AHF,JJXGSJ,酒精性肝衰竭,Alcoholic hepatic failure,脂肪肝,酒精性肝衰竭,危重
K70.9,ALD-UNSP,JJXGGBWTZ,酒精性肝病未特指,Alcoholic liver disease unspecified,脂肪肝,酒精性肝病未分类,中等
K72.90,HF,GSJWTZBBHM,肝衰竭未特指不伴昏迷,Hepatic failure unspecified without coma,脂肪肝,肝功能衰竭,危重
K73.0,CPH,MXCCXGYWTZ,慢性持续性肝炎未特指,Chronic persistent hepatitis not elsewhere classified,脂肪肝,慢性肝炎,严重
K73.2,CAH,MXHDXGYWTZ,慢性活动性肝炎未特指,Chronic active hepatitis not elsewhere classified,脂肪肝,慢性活动性肝炎,严重
K73.9,CH-UNSP,MXGYWTZ,慢性肝炎未特指,Chronic hepatitis unspecified,脂肪肝,慢性肝炎未分类,中等
E00,CRET,XKXJXZSJ,先天性碘缺乏综合征,Congenital iodine-deficiency syndrome,甲状腺疾病,先天性克汀病,严重
E00.0,CRET-NEUR,XKXJXZSJBSJXTBX,先天性碘缺乏综合征伴神经系统表现,Congenital iodine-deficiency syndrome neurological type,甲状腺疾病,神经性克汀病,严重
E00.1,CRET-MYX,XKXJXZSJBZXSW,先天性碘缺乏综合征伴粘液性水肿,Congenital iodine-deficiency syndrome myxedematous type,甲状腺疾病,粘液性水肿型克汀病,严重
E00.2,CRET-MIX,XKXJXZSJBHX,先天性碘缺乏综合征伴混合型,Congenital iodine-deficiency syndrome mixed type,甲状腺疾病,混合型克汀病,严重
E00.9,CRET-UNSP,XKXJXZSJWTZ,先天性碘缺乏综合征未特指,Congenital iodine-deficiency syndrome unspecified,甲状腺疾病,克汀病未分类,严重
E01,IOD-REL,JXZJBHQTJXZJB,碘相关性甲状腺肿和其他碘相关性甲状腺疾病,Iodine-deficiency-related thyroid disorders and allied conditions,甲状腺疾病,碘缺乏相关甲状腺病,中等
E01.0,IOD-GOITRE,JXZDJXZZ,碘缺乏性弥漫性甲状腺肿,Iodine-deficiency-related diffuse goitre,甲状腺疾病,碘缺乏性甲状腺肿,中等
E01.1,IOD-MULTI,JXZDJXZFJ,碘缺乏性多结节性甲状腺肿,Iodine-deficiency-related multinodular goitre,甲状腺疾病,碘缺乏性多结节甲状腺肿,中等
E01.2,IOD-GOITRE-US,JXZDJXZZWTZ,碘缺乏性甲状腺肿未特指,Iodine-deficiency-related goitre unspecified,甲状腺疾病,碘缺乏性甲状腺肿未分类,中等
E01.8,IOD-OTH,QTJXZJB,其他碘缺乏相关性甲状腺疾病,Other iodine-deficiency-related thyroid disorders,甲状腺疾病,其他碘缺乏甲状腺病,中等
E02,SUBCLIN-HYPO,YLXJXZGNDX,亚临床性甲状腺功能减退,Subclinical iodine-deficiency hypothyroidism,甲状腺疾病,亚临床甲减,轻度
E03,HYPO,QTJXZGNDX,其他甲状腺功能减退,Other hypothyroidism,甲状腺疾病,甲状腺功能减退症,中等
E03.0,CONG-HYPO,XKXJXZGNDX,先天性甲状腺功能减退伴弥漫性甲状腺肿,Congenital hypothyroidism with diffuse goitre,甲状腺疾病,先天性甲减伴甲状腺肿,严重
E03.1,CONG-HYPO-NG,XKXJXZGNDXBMFJXZZ,先天性甲状腺功能减退不伴弥漫性甲状腺肿,Congenital hypothyroidism without goitre,甲状腺疾病,先天性甲减不伴甲状腺肿,严重
E03.2,DRUG-HYPO,YWJQTWZHQ,药物及其他外源性物质所致甲状腺功能减退,Hypothyroidism due to medicaments and other exogenous substances,甲状腺疾病,药物性甲减,中等
E03.3,POST-INF-HYPO,GRHJXZGNDX,感染后甲状腺功能减退,Postinfectious hypothyroidism,甲状腺疾病,感染后甲减,中等
E03.4,ATRO-HYPO,JXZWSJXZGNDX,甲状腺萎缩所致甲状腺功能减退,Atrophy of thyroid acquired,甲状腺疾病,甲状腺萎缩性甲减,中等
E03.5,MYX-COMA,ZXSWHM,粘液性水肿昏迷,Myxoedema coma,甲状腺疾病,粘液水肿昏迷,危重
E03.8,HYPO-OTH,QTJXZGNDX,其他特指甲状腺功能减退,Other specified hypothyroidism,甲状腺疾病,其他甲减,中等
E03.9,HYPO-UNSP,JXZGNDXWTZ,甲状腺功能减退未特指,Hypothyroidism unspecified,甲状腺疾病,甲减未分类,中等
E04,NONTOX-GOITRE,FDXJXZZ,非毒性甲状腺肿,Other nontoxic goitre,甲状腺疾病,非毒性甲状腺肿,轻度
E04.0,NONTOX-DIF,FDXMFJXZZ,非毒性弥漫性甲状腺肿,Nontoxic diffuse goitre,甲状腺疾病,非毒性弥漫性甲状腺肿,轻度
E04.1,NONTOX-UNI,FDXDJJXZZ,非毒性单结节性甲状腺肿,Nontoxic single thyroid nodule,甲状腺疾病,非毒性单结节甲状腺肿,轻度
E04.2,NONTOX-MULTI,FDXDJJXZZ,非毒性多结节性甲状腺肿,Nontoxic multinodular goitre,甲状腺疾病,非毒性多结节甲状腺肿,中等
E04.8,NONTOX-OTH,QTFDXJXZZ,其他特指非毒性甲状腺肿,Other specified nontoxic goitre,甲状腺疾病,其他非毒性甲状腺肿,轻度
E04.9,NONTOX-UNSP,FDXJXZZWTZ,非毒性甲状腺肿未特指,Nontoxic goitre unspecified,甲状腺疾病,非毒性甲状腺肿未分类,轻度
E05,HYPER,JXZGNKJ,甲状腺毒症,Thyrotoxicosis,甲状腺疾病,甲状腺功能亢进症,中等
E05.0,HYPER-DIF-GOITRE,DXJXZZJXZDZ,毒性弥漫性甲状腺肿,Thyrotoxicosis with diffuse goitre,甲状腺疾病,弥漫性毒性甲状腺肿,中等
E05.1,HYPER-UNI-NOD,DXDJJJXZDZ,毒性单结节性甲状腺肿,Thyrotoxicosis with toxic single thyroid nodule,甲状腺疾病,毒性单结节甲状腺肿,中等
E05.2,HYPER-MULTI-NOD,DXDJJJXZDZ,毒性多结节性甲状腺肿,Thyrotoxicosis with toxic multinodular goitre,甲状腺疾病,毒性多结节甲状腺肿,中等
E05.3,HYPER-ECTOP,YWTJXZZDZ,异位甲状腺组织甲状腺毒症,Thyrotoxicosis from ectopic thyroid tissue,甲状腺疾病,异位甲状腺毒症,中等
E05.4,HYPER-FACTIT,RWXJXZDZ,人为性甲状腺毒症,Thyrotoxicosis factitia,甲状腺疾病,人工甲亢,中等
E05.5,HYPER-CRISIS,JXZWJ,甲状腺危机,Thyroid crisis or storm,甲状腺疾病,甲亢危象,危重
E05.8,HYPER-OTH,QTJXZDZ,其他甲状腺毒症,Other thyrotoxicosis,甲状腺疾病,其他甲状腺毒症,中等
E05.9,HYPER-UNSP,JXZDZWTZ,甲状腺毒症未特指,Thyrotoxicosis unspecified,甲状腺疾病,甲状腺毒症未分类,中等
E06,THYROID,JXZY,甲状腺炎,Thyroiditis,甲状腺疾病,甲状腺炎,中等
E06.0,ACUTE-THYROID,JXJXZY,急性甲状腺炎,Acute thyroiditis,甲状腺疾病,急性甲状腺炎,中等
E06.1,SUBACUTE-THYROID,YJXJXZY,亚急性甲状腺炎,Subacute thyroiditis,甲状腺疾病,亚急性甲状腺炎,中等
E06.2,CHRONIC-THYROID,MXJXZY,慢性甲状腺炎伴一过性甲状腺毒症,Chronic thyroiditis with transient thyrotoxicosis,甲状腺疾病,慢性甲状腺炎,中等
E06.3,AUTO-THYROID,ZSMXJXZY,自身免疫性甲状腺炎,Autoimmune thyroiditis,甲状腺疾病,自身免疫性甲状腺炎,中等
E06.4,DRUG-THYROID,YWXJXZY,药物性甲状腺炎,Drug-induced thyroiditis,甲状腺疾病,药物性甲状腺炎,中等
E06.5,RIEDEL-THYROID,QTTSJXZY,其他慢性甲状腺炎,Riedel thyroiditis,甲状腺疾病,Riedel甲状腺炎,中等
E06.9,THYROIDITIS-UNSP,JXZYWTZ,甲状腺炎未特指,Thyroiditis unspecified,甲状腺疾病,甲状腺炎未分类,中等
E07,THYROID-OTH,QTJXZJB,其他甲状腺疾病,Other disorders of thyroid,甲状腺疾病,其他甲状腺疾病,轻度
E07.0,HYPER-SECRETION,JXZSSGJFM,甲状腺素分泌过多,Hypersecretion of calcitonin,甲状腺疾病,甲状腺素分泌过多,轻度
