ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
N40.1,BPH-LUTS,QLXZSMNDZZ,前列腺增生伴下尿路症状,BPH with LUTS,泌尿系统疾病-男科,前列腺增生伴下尿路症状,中等
N41.9,PROSTATITIS,QLXY,前列腺炎,Prostatitis,泌尿系统疾病-男科,前列腺炎,中等
N41.0,ACUTE-PROSTATITIS,JXQLXY,急性前列腺炎,Acute prostatitis,泌尿系统疾病-男科,急性前列腺炎,严重
N41.1,CHRONIC-PROSTATITIS,MXQLXY,慢性前列腺炎,Chronic prostatitis,泌尿系统疾病-男科,慢性前列腺炎,中等
N42.82,PROSTATODYNIA,QLXT,前列腺痛,Prostatodynia,泌尿系统疾病-男科,前列腺痛综合征,中等
N43.3,HYDROCELE,GJJS,睾丸鞘膜积液,Hydrocele,泌尿系统疾病-男科,鞘膜积液,轻度
N44.00,TESTICULAR-TORSION,GJNZ,睾丸扭转,Torsion of testis,泌尿系统疾病-男科,睾丸扭转,危重
N45.1,EPIDIDYMITIS,FWXY,附睾炎,Epididymitis,泌尿系统疾病-男科,附睾炎,中等
N45.3,ORCHITIS,GYY,睾丸炎,Orchitis,泌尿系统疾病-男科,睾丸炎,中等
N48.30,PRIAPISM,YBQB,阴茎异常勃起,Priapism,泌尿系统疾病-男科,阴茎持续勃起症,严重
N50.82,SCROTAL-MASS,YBZNW,阴囊肿物,Scrotal mass,泌尿系统疾病-男科,阴囊肿块,中等
