ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
F03.90,DEMENTIA,CDB,痴呆,Dementia,神经系统疾病,痴呆未特指,严重
G35,MS,DFXYHB,多发性硬化,Multiple sclerosis,神经系统疾病,多发性硬化症,严重
G61.0,GBS,JLJBZHZ,吉兰-巴雷综合征,Guillain-Barre syndrome,神经系统疾病,格林巴利综合征,严重
G70.00,MG,ZWLSSJ,重症肌无力,Myasthenia gravis,神经肌肉疾病,重症肌无力无急性加重,严重
G43.909,MIGRAINE,PT,偏头痛,Migraine,头痛疾病,偏头痛未特指,中等
G44.1,VASCULAR-HA,XGXTT,血管性头痛,Vascular headache,头痛疾病,血管性头痛,中等
G44.209,TTH,ZJXTT,紧张性头痛,Tension-type headache,头痛疾病,紧张型头痛,轻度
G47.419,NARCOLEPSY,FZXSDBC,发作性睡病,Narcolepsy,睡眠障碍,发作性睡病,中等
G47.20,CIRCADIAN-DISORDER,ZYRJZSGZ,昼夜节律紊乱,Circadian rhythm sleep disorder,睡眠障碍,昼夜节律睡眠障碍,中等
G62.9,POLYNEUROPATHY,DFXSJBY,多发性神经病,Polyneuropathy,周围神经病,多发性神经病变,中等
G56.00,CTS,WGGZHZ,腕管综合征,Carpal tunnel syndrome,周围神经病,腕管综合征,中等
G51.0,BELL-PALSY,MBSMB,面瘫,Bell palsy,周围神经病,贝尔面瘫,中等
G93.1,ANOXIC-BRAIN,QYXNSSZ,缺氧性脑损伤,Anoxic brain damage,中枢神经系统损伤,缺氧缺血性脑损伤,严重
G93.6,CEREBRAL-EDEMA,NSF,脑水肿,Cerebral edema,中枢神经系统损伤,脑水肿,严重
G03.9,MENINGITIS,NMYWTZ,脑膜炎,Meningitis,神经系统感染,脑膜炎未特指,严重
G04.90,ENCEPHALITIS,NYWTZ,脑炎,Encephalitis,神经系统感染,脑炎未特指,严重
N18.9,CKD,MXSZB,慢性肾病,Chronic kidney disease,肾脏疾病,慢性肾脏病未特指,严重
N18.1,CKD-1,MXSZB1Q,CKD 1期,CKD stage 1,肾脏疾病,慢性肾病1期,轻度
N18.2,CKD-2,MXSZB2Q,CKD 2期,CKD stage 2,肾脏疾病,慢性肾病2期,轻度
N18.3,CKD-3,MXSZB3Q,CKD 3期,CKD stage 3,肾脏疾病,慢性肾病3期,中等
N18.4,CKD-4,MXSZB4Q,CKD 4期,CKD stage 4,肾脏疾病,慢性肾病4期,严重
N18.5,CKD-5,MXSZB5Q,CKD 5期,CKD stage 5,肾脏疾病,慢性肾病5期,严重
N18.6,ESRD,MQQSZB,终末期肾病,End stage renal disease,肾脏疾病,终末期肾脏病,严重
N17.9,AKI,JXSZSS,急性肾损伤,Acute kidney injury,肾脏疾病,急性肾损伤,严重
N04.9,NEPHROTIC,SZZHZ,肾病综合征,Nephrotic syndrome,肾脏疾病,肾病综合征,严重
N00.9,NEPHRITIS,JXSJQSXY,急性肾小球肾炎,Acute nephritic syndrome,肾脏疾病,急性肾炎综合征,严重
N03.9,CHRONIC-GN,MXSJQSXY,慢性肾小球肾炎,Chronic nephritic syndrome,肾脏疾病,慢性肾炎综合征,严重
N12,PYELONEPHRITIS,SZJYYWTZ,肾盂肾炎,Tubulo-interstitial nephritis,肾脏疾病,肾盂肾炎未特指,严重
N39.0,UTI,MNLDGR,泌尿道感染,UTI,泌尿系统疾病,尿路感染,中等
N30.90,CYSTITIS,PGYWTZ,膀胱炎,Cystitis,泌尿系统疾病,膀胱炎未特指,轻度
N20.0,KIDNEY-STONE,SZJS,肾结石,Kidney stone,泌尿系统疾病,肾结石,中等
N20.1,URETER-STONE,SNGGJS,输尿管结石,Ureteral stone,泌尿系统疾病,输尿管结石,中等
N20.2,BLADDER-STONE,PGJS,膀胱结石,Bladder stone,泌尿系统疾病,膀胱结石,中等
N13.0,HYDRONEPHROSIS,JSS,肾积水,Hydronephrosis,泌尿系统疾病,肾盂积水,中等
N31.9,NEUROGENIC-BLADDER,SJXPG,神经性膀胱,Neurogenic bladder,泌尿系统疾病,神经源性膀胱,中等
N40.0,BPH,LXQLXZS,良性前列腺增生,BPH,泌尿系统疾病-男科,良性前列腺增生,轻度
N41.9,PROSTATITIS,QLXY,前列腺炎,Prostatitis,泌尿系统疾病-男科,前列腺炎,中等
