参数编号,参数分类,参数名称,中文名称,数据类型,单位,正常范围,临床意义,数据源,系统字段名,触发阈值,分析用途
36,超声检查,fetal_weight_percentile,胎儿体重百分位数,INTEGER,%,10-90,胎儿生长评估,ultrasound,fetal_weight_percentile,>90大于胎龄儿,胎儿生长研究
37,超声检查,polyhydramnios,羊水过多,BOOLEAN,是/否,无/有,羊水异常,ultrasound,polyhydramnios,羊水过多风险,羊水异常研究
38,超声检查,amniotic_fluid_index,羊水指数,DECIMAL,cm,8-25,羊水量评估,ultrasound,amniotic_fluid_index,>25羊水过多,羊水量研究
39,生活方式,smoking,吸烟史,BOOLEAN,是/否,无/有,吸烟行为,lifestyle,smoking,吸烟增加风险,吸烟与GDM研究
40,生活方式,exercise_level,运动水平,CATEGORY,无,none/light/moderate/vigorous,体力活动,lifestyle,exercise_level,缺乏运动风险高,运动与GDM研究
41,生活方式,diet_quality,饮食质量,CATEGORY,无,healthy/average/poor,饮食行为,lifestyle,diet_quality,饮食质量差风险高,饮食与GDM研究
42,CGM数据,has_cgm,是否有CGM数据,BOOLEAN,是/否,无/有,动态血糖监测,cgm,has_cgm,有CGM提高评估精度,CGM应用研究
43,CGM数据,monitoring_period,监测天数,INTEGER,天,7-14,监测时长,cgm,monitoring_period,≥14天数据可靠,CGM监测时长研究
44,CGM数据,average_glucose,平均血糖,DECIMAL,mmol/L,4.0-8.0,平均血糖水平,cgm,average_glucose,≥6.1mmol/L风险高,CGM平均血糖研究
45,CGM数据,time_in_range,目标范围内时间,DECIMAL,%,70-100,血糖控制质量,cgm,time_in_range,<70%控制差,TIR与妊娠结局
46,CGM数据,time_above_range,高于目标范围时间,DECIMAL,%,0-30,高血糖暴露,cgm,time_above_range,>25%高血糖风险,TAR与GDM风险
47,CGM数据,time_below_range,低于目标范围时间,DECIMAL,%,0-10,低血糖风险,cgm,time_below_range,>4%低血糖风险,TBR安全性研究
48,CGM数据,nocturnal_average_glucose,夜间平均血糖,DECIMAL,mmol/L,4.0-7.0,夜间血糖控制,cgm,nocturnal_average_glucose,≥6.1mmol/L风险高,夜间血糖研究
49,CGM数据,glucose_variability_cv,血糖变异系数,DECIMAL,%,15-40,血糖波动性,cgm,glucose_variability_cv,>36%变异大,血糖变异性研究
50,CGM数据,hyperglycemia_episodes,高血糖事件次数,INTEGER,次,0-20,高血糖频率,cgm,hyperglycemia_episodes,>15次频繁,高血糖事件研究
51,CGM数据,hypoglycemia_episodes,低血糖事件次数,INTEGER,次,0-10,低血糖频率,cgm,hypoglycemia_episodes,>4次频繁,低血糖事件研究
52,CGM数据,pregnancy_specific_tir,妊娠特异性TIR,DECIMAL,%,70-100,妊娠血糖控制,cgm,pregnancy_specific_tir,<70%控制不佳,妊娠血糖目标研究
53,CGM数据,early_trimester_cgm,孕早期CGM数据,BOOLEAN,是/否,无/有,早期预测价值,cgm,early_trimester_cgm,早期异常预测性强,早期预测研究
54,CGM数据,lability_index,血糖不稳定指数,DECIMAL,无,<2.0,血糖波动稳定性,cgm,lability_index,>2.0波动大,血糖稳定性研究
55,CGM数据,j_index,J指数,DECIMAL,无,<20,综合血糖风险,cgm,j_index,>30高风险,综合血糖评估
56,CGM数据,low_blood_glucose_index,低血糖指数,DECIMAL,无,<2.5,低血糖风险评估,cgm,low_blood_glucose_index,>2.5低血糖风险,低血糖安全性研究
57,CGM数据,high_blood_glucose_index,高血糖指数,DECIMAL,无,<4.5,高血糖风险评估,cgm,high_blood_glucose_index,>4.5高血糖风险,高血糖风险研究
58,CGM数据,mean_daily_differences,日间血糖差值均值,DECIMAL,mmol/L,<1.5,日间血糖稳定性,cgm,mean_daily_differences,>2.0波动大,日间血糖变异研究
59,CGM数据,m_value,M值,DECIMAL,无,<10,血糖偏离正常值程度,cgm,m_value,>18偏离大,血糖控制质量评估
60,CGM数据,average_daily_risk_range,日均风险范围,DECIMAL,无,<5.0,日血糖风险范围,cgm,average_daily_risk_range,>7.0风险高,血糖风险评估
61,CGM数据,mean_absolute_glucose_change,平均绝对血糖变化,DECIMAL,mmol/L/15min,<0.5,血糖变化速率,cgm,mean_absolute_glucose_change,>0.8变化快,血糖变化速率研究
62,CGM数据,glycemic_risk_assessment,血糖风险评估方程,DECIMAL,无,<5.0,综合血糖风险,cgm,glycemic_risk_assessment,>8.0高风险,综合风险评估
