# 天津医科大学FFQ食物频率问卷数据库表设计
# 基于PDF标准文档: 问卷TJ_FFQ_Niu v07(1)(1).pdf
# 创建日期: 2025-08-07
# 版本: v1.3 (规范化)

# 表结构说明：
# 1. 频率编码统一：
#    食物类别：0:几乎不吃 1:1周<1次 2:1周1次 3:1周2-3次 4:1周4-6次 5:1天1次 6:1天≧2次
#    饮料类别：0:几乎不喝 1:1周<1次 2:1周1次 3:1周2-3次 4:1周4-6次 5:1天1次 6:1天2-3次 7:1天≧4次
#    烹饪方法：0:几乎不用 1:1周<1次 2:1周1次 3:1周2-3次 4:1周4-6次 5:1天1次 6:1天≧2次

"table_name","field_name","data_type","required","field_label","control_type","validation","options","dependency","description"
"ffq_tj_full_scale","seafood_shellfish_freq","TINYINT","是","贝壳类/鱿鱼/虾/蟹/螺蛳等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","fish_saltwater_freq","TINYINT","是","咸水鱼:带鱼/三文鱼/黄花鱼等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"
"ffq_tj_full_scale","fish_freshwater_freq","TINYINT","是","淡水鱼:白鲢/鲤鱼等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉禽鱼蛋类"

# 蔬菜类 (16项)
"ffq_tj_full_scale","vegetable_raw_freq","TINYINT","是","生吃蔬菜:生菜/白菜心等(不含西红柿)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_green_leafy_freq","TINYINT","是","绿叶蔬菜:菠菜/油菜/甘蓝等","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_chinese_cabbage_freq","TINYINT","是","白菜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_celery_freq","TINYINT","是","芹菜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_eggplant_freq","TINYINT","是","茄子","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_cucumber_freq","TINYINT","是","黄瓜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_winter_melon_freq","TINYINT","是","冬瓜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_pumpkin_carrot_freq","TINYINT","是","南瓜/胡萝卜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_radish_freq","TINYINT","是","其他类萝卜(白萝卜/青萝卜/汉萝卜等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_sweet_potato_freq","TINYINT","是","红薯(山芋)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_other_potatoes_freq","TINYINT","是","除红薯外所有种类的薯类(土豆/芋头等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_mushroom_freq","TINYINT","是","蘑菇/菌类","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_green_red_pepper_freq","TINYINT","是","青红圆椒","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_hot_pepper_freq","TINYINT","是","青红辣椒","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_tomato_freq","TINYINT","是","西红柿(包括番茄酱)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"
"ffq_tj_full_scale","vegetable_lotus_root_freq","TINYINT","是","藕(包括藕粉)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","蔬菜类"

# 豆制品及调料类 (9项)
"ffq_tj_full_scale","seasoning_chives_freq","TINYINT","是","韭菜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","seasoning_onion_freq","TINYINT","是","洋葱","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","seasoning_green_onion_freq","TINYINT","是","大葱","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","seasoning_ginger_freq","TINYINT","是","姜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","seasoning_garlic_freq","TINYINT","是","大蒜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","bean_seaweed_freq","TINYINT","是","海藻(海带/紫菜/昆布等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","bean_soy_products_freq","TINYINT","是","黄豆制品(豆腐/豆浆/豆奶/腐竹/豆干等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","bean_mung_bean_freq","TINYINT","是","绿豆","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"
"ffq_tj_full_scale","bean_other_beans_freq","TINYINT","是","其他所有种类的豆类","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","豆制品及调料类"

# 腌制品类 (4项)
"ffq_tj_full_scale","pickled_vegetables_freq","TINYINT","是","所有种类的咸菜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","腌制品类"
"ffq_tj_full_scale","pickled_sour_vegetables_freq","TINYINT","是","泡菜/酸菜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","腌制品类"
"ffq_tj_full_scale","pickled_salted_egg_freq","TINYINT","是","咸蛋(鸡/鸭/鹅等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","腌制品类"
"ffq_tj_full_scale","pickled_fermented_tofu_freq","TINYINT","是","腐乳(酱豆腐)/臭豆腐","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","腌制品类"

# 水果类 (10项)
"ffq_tj_full_scale","fruit_apple_freq","TINYINT","是","苹果","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_pear_freq","TINYINT","是","梨","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_citrus_orange_freq","TINYINT","是","橘子/橙子","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_banana_freq","TINYINT","是","香蕉","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_grape_freq","TINYINT","是","新鲜葡萄","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_watermelon_freq","TINYINT","是","西瓜","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_peach_freq","TINYINT","是","桃子","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_pineapple_freq","TINYINT","是","菠萝","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_berry_kiwi_persimmon_freq","TINYINT","是","草莓/猕猴桃/柿子","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"
"ffq_tj_full_scale","fruit_other_freq","TINYINT","是","其他所有种类的水果","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","水果类"

# 零食/甜点类 (7项)
"ffq_tj_full_scale","snack_western_pastry_cake_freq","TINYINT","是","西点/蛋糕","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"
"ffq_tj_full_scale","snack_biscuits_freq","TINYINT","是","所有种类的饼干","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"
"ffq_tj_full_scale","snack_chinese_pastry_freq","TINYINT","是","所有种类的中式点心(白皮/八件儿/核桃酥等)","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"
"ffq_tj_full_scale","snack_candy_jam_freq","TINYINT","是","糖果蜜饯果酱","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"
"ffq_tj_full_scale","snack_ice_cream_freq","TINYINT","是","冰淇淋","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"
"ffq_tj_full_scale","snack_nuts_freq","TINYINT","是","坚果类（花生/栗子/开心果/松子/榛子等）","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"
"ffq_tj_full_scale","snack_walnut_freq","TINYINT","是","核桃","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","零食/甜点类"

# 饮料类 (11项) - 注意频率编码不同
"ffq_tj_full_scale","beverage_green_tea_freq","TINYINT","是","绿茶","单选按钮","必选","0:几乎不喝;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天2-3次;7:1天≧4次","","饮料类"
"ffq_tj_full_scale","beverage_oolong_tea_freq","TINYINT","是","乌龙茶(铁观音等)","单选按钮","必选","0:几乎不喝;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天2-3次;7:1天≧4次","","饮料类"
"ffq_tj_full_scale","beverage_black_tea_freq","TINYINT","是","红茶/普洱茶","单选按钮","必选","0:几乎不喝;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天2-3次;7:1天≧4次","","饮料类"
"ffq_tj_full_scale","beverage_coffee_freq","TINYINT","是","咖啡","单选按钮","必选","0:几乎不喝;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天2-3次;7:1天≧4次","","饮料类"
"ffq_tj_full_scale","beverage_carbonated_drinks_freq","TINYINT","是","碳酸饮料(可乐/汽水/雪碧等)","单选按钮","必选","0:几乎不喝;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天2-3次;7:1天≧4次","","饮料类"
"ffq_tj_full_scale","beverage_fruit_juice_freq","TINYINT","是","果汁/蔬菜汁","单选按钮","必选","0:几乎不喝;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天2-3次;7:1天≧4次","","饮料类"
"ffq_tj_full_scale","beverage_white_wine_high_freq","TINYINT","是","白酒(高度,两)","单选按钮","必选","0:几乎不喝;1:1周<1两;2:1周1两;3:1周2-3两;4:1周4-6两;5:1天1两;6:1天2-3两;7:1天≧4两","","饮料类"
"ffq_tj_full_scale","beverage_white_wine_low_freq","TINYINT","是","白酒(低度,两)","单选按钮","必选","0:几乎不喝;1:1周<1两;2:1周1两;3:1周2-3两;4:1周4-6两;5:1天1两;6:1天2-3两;7:1天≧4两","","饮料类"
"ffq_tj_full_scale","beverage_beer_freq","TINYINT","是","啤酒(罐)","单选按钮","必选","0:几乎不喝;1:1周<1罐;2:1周1罐;3:1周2-3罐;4:1周4-6罐;5:1天1罐;6:1天2-3罐;7:1天≧4罐","","饮料类"
"ffq_tj_full_scale","beverage_red_wine_freq","TINYINT","是","红葡萄酒","单选按钮","必选","0:几乎不喝;1:1周<1杯;2:1周1杯;3:1周2-3杯;4:1周4-6杯;5:1天1杯;6:1天2-3杯;7:1天≧4杯","","饮料类"
"ffq_tj_full_scale","beverage_white_grape_wine_freq","TINYINT","是","白葡萄酒","单选按钮","必选","0:几乎不喝;1:1周<1杯;2:1周1杯;3:1周2-3杯;4:1周4-6杯;5:1天1杯;6:1天2-3杯;7:1天≧4杯","","饮料类"

# 烹饪方法
## 肉类烹饪方法 (4项)
"ffq_tj_full_scale","cooking_meat_stir_fry","TINYINT","是","炒","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉类烹饪方法"
"ffq_tj_full_scale","cooking_meat_bbq","TINYINT","是","烧烤","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉类烹饪方法"
"ffq_tj_full_scale","cooking_meat_stew","TINYINT","是","炖煮","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉类烹饪方法"
"ffq_tj_full_scale","cooking_meat_steam","TINYINT","是","蒸","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","肉类烹饪方法"

## 鱼海鲜类烹饪方法 (4项)
"ffq_tj_full_scale","cooking_fish_bbq","TINYINT","是","烧烤","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","鱼海鲜烹饪方法"
"ffq_tj_full_scale","cooking_fish_stew","TINYINT","是","炖煮","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","鱼海鲜烹饪方法"
"ffq_tj_full_scale","cooking_fish_steam","TINYINT","是","蒸","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","鱼海鲜烹饪方法"
"ffq_tj_full_scale","cooking_fish_fry","TINYINT","是","炸","单选按钮","必选","0:几乎不用;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","鱼海鲜烹饪方法"

# 特殊调查问题 (7项)
"ffq_tj_full_scale","nutrition_supplements","TINYINT","是","最近1个月您摄入营养补充剂的频率是多少?","单选按钮","必选","0:几乎不吃;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:1天1次;6:1天≧2次","","特殊问题"
"ffq_tj_full_scale","dining_out_frequency","TINYINT","是","您在外就餐的频率是多少?","单选按钮","必选","0:几乎没有;1:1周<1次;2:1周1次;3:1周2-3次;4:1周4-6次;5:几乎每天;6:1天≧2次","","特殊问题"
"ffq_tj_full_scale","diet_habit_changes","TINYINT","是","最近，您特意的改变饮食习惯吗？","单选按钮","必选","0:否;1:是;2:3年前开始;3:1-2年前开始;4:今年内开始","","特殊问题"
"ffq_tj_full_scale","dietary_guidance","TINYINT","是","因为健康等原因,正在接受饮食物食用指导吗?","单选按钮","必选","0:否;1:是","","特殊问题"
"ffq_tj_full_scale","oil_content_assessment","TINYINT","是","请问您饭菜中含有食用油的量?","单选按钮","必选","1:非常少;2:比较少;3:普通;4:比较多;5:非常多","","特殊问题"
"ffq_tj_full_scale","fatty_meat_consumption","TINYINT","是","吃猪/牛/羊肉时,是否吃肥肉?","单选按钮","必选","1:一点也不吃;2:不太吃;3:普通;4:喜欢吃;5:非常喜欢吃","","特殊问题"
"ffq_tj_full_scale","saltiness_preference","TINYINT","是","请问您饭菜的咸淡度?","单选按钮","必选","1:非常淡;2:比较淡;3:普通;4:比较咸;5:非常咸","","特殊问题"

# 数据统计说明:
# 基本信息: 13项 (姓名、体检编号、性别、出生日期、年龄、身高、体重、民族、出生地、居住时间、填写日期、电话、邮箱)
# 食物频率: 91项
#   - 主食类: 8项
#   - 杂粮类: 1项  
#   - 奶制品: 3项
#   - 肉禽鱼蛋类: 12项
#   - 蔬菜类: 16项
#   - 豆制品及调料类: 9项
#   - 腌制品类: 4项
#   - 水果类: 10项
#   - 零食甜点类: 7项
#   - 饮料类: 11项
#   - 肉类烹饪方法: 4项
#   - 鱼海鲜烹饪方法: 4项
#   - 特殊问题: 7项
# 总计: 104个数据收集项目

# 备注: 此问卷完全基于天津医科大学公共卫生学院制作的FFQ问卷PDF标准，用于评估最近1个月内的饮食摄入频率
# 创建状态: 基于PDF标准100%匹配 (104个项目)
# 最后更新: 2025-08-07 (优化出生日期和年龄字段)
