表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注,题目编号,
# ==================== 其他疾病史 ====================,,,,,,,,,,,
other_diseases,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,其他疾病史表,
other_diseases,hypertension,BOOLEAN,是,高血压,是否选择,必选,是否,,,H1,
other_diseases,hypertension_diagnosis_year,YEAR,否,高血压诊断年份,年份选择器,高血压为是时必填,,hypertension,H1A,,
other_diseases,hypertension_medication,BOOLEAN,否,高血压是否用药,是否选择,高血压为是时必选,是否,hypertension,H1B,,
other_diseases,hypertension_medication_details,JSON,否,高血压用药详情,动态药物选择组件,高血压用药为是时必填,,,hypertension_medication,关联medication_list表,H1B1
other_diseases,coronary_heart_disease,BOOLEAN,是,冠心病心肌梗死,是否选择,必选,是否,,,H2,
other_diseases,coronary_diagnosis_year,YEAR,否,冠心病诊断年份,年份选择器,冠心病为是时必填,,coronary_heart_disease,H2A,,
other_diseases,coronary_medication,BOOLEAN,否,冠心病是否用药,是否选择,冠心病为是时必选,是否,coronary_heart_disease,H2B,,
other_diseases,coronary_medication_details,JSON,否,冠心病用药详情,动态药物选择组件,冠心病用药为是时必填,,,coronary_medication,关联medication_list表,H2B1
other_diseases,coronary_surgery,BOOLEAN,否,是否曾行手术治疗,是否选择,冠心病为是时必选,是否,coronary_heart_disease,H2C,,
other_diseases,coronary_surgery_year,YEAR,否,手术年份,年份选择器,手术治疗为是时必填,,coronary_surgery,H2C1,,
other_diseases,coronary_surgery_type,VARCHAR_100,否,手术类型,输入框,手术治疗为是时必填,,,H2C2,,
other_diseases,arrhythmia,BOOLEAN,是,心律失常,是否选择,必选,是否,,,H3,
other_diseases,arrhythmia_diagnosis_year,YEAR,否,心律失常诊断年份,年份选择器,心律失常为是时必填,,arrhythmia,H3A,,
other_diseases,arrhythmia_persistent,BOOLEAN,否,目前是否持续,是否选择,心律失常为是时必选,是否,arrhythmia,H3B,,
other_diseases,arrhythmia_medication,BOOLEAN,否,心律失常是否用药,是否选择,心律失常为是时必选,是否,arrhythmia,H3C,,
other_diseases,arrhythmia_medication_details,JSON,否,心律失常用药详情,动态药物选择组件,心律失常用药为是时必填,,,arrhythmia_medication,关联medication_list表,H3C1
other_diseases,arrhythmia_surgery,BOOLEAN,否,曾行手术治疗,是否选择,心律失常为是时必选,是否,arrhythmia,H3D,,
other_diseases,arrhythmia_surgery_year,YEAR,否,心律失常手术年份,年份选择器,心律失常手术为是时必填,,arrhythmia_surgery,H3D1,,
other_diseases,arrhythmia_surgery_type,VARCHAR_100,否,心律失常手术类型,输入框,心律失常手术为是时必填,,,H3D2,,
other_diseases,dyslipidemia,BOOLEAN,是,血脂异常,是否选择,必选,是否,,,H4,
other_diseases,dyslipidemia_diagnosis_year,YEAR,否,血脂异常诊断年份,年份选择器,血脂异常为是时必填,,dyslipidemia,H4A,,
other_diseases,dyslipidemia_medication,BOOLEAN,否,血脂异常是否用药,是否选择,血脂异常为是时必选,是否,dyslipidemia,H4B,,
other_diseases,dyslipidemia_medication_details,JSON,否,血脂异常用药详情,动态药物选择组件,血脂异常用药为是时必填,,,dyslipidemia_medication,关联medication_list表,H4B1
other_diseases,hyperuricemia,BOOLEAN,是,高尿酸血症,是否选择,必选,是否,,,H5,
other_diseases,hyperuricemia_diagnosis_year,YEAR,否,高尿酸血症诊断年份,年份选择器,高尿酸血症为是时必填,,hyperuricemia,H5A,,
other_diseases,hyperuricemia_medication,BOOLEAN,否,高尿酸血症是否用药,是否选择,高尿酸血症为是时必选,是否,hyperuricemia,H5B,,
other_diseases,hyperuricemia_medication_details,JSON,否,高尿酸血症用药详情,动态药物选择组件,高尿酸血症用药为是时必填,,,hyperuricemia_medication,关联medication_list表,H5B1
other_diseases,cerebral_infarction,BOOLEAN,是,脑梗,是否选择,必选,是否,,,H6,
other_diseases,cerebral_infarction_diagnosis_year,YEAR,否,脑梗诊断年份,年份选择器,脑梗为是时必填,,cerebral_infarction,H6A,,
other_diseases,cerebral_infarction_medication,BOOLEAN,否,脑梗是否用药,是否选择,脑梗为是时必选,是否,cerebral_infarction,H6B,,
other_diseases,cerebral_infarction_medication_details,JSON,否,脑梗用药详情,动态药物选择组件,脑梗用药为是时必填,,,cerebral_infarction_medication,关联medication_list表,H6B1
other_diseases,cerebral_hemorrhage,BOOLEAN,是,脑出血,是否选择,必选,是否,,,H7,
other_diseases,cerebral_hemorrhage_diagnosis_year,YEAR,否,脑出血诊断年份,年份选择器,脑出血为是时必填,,cerebral_hemorrhage,H7A,,
other_diseases,cerebral_hemorrhage_medication,BOOLEAN,否,脑出血是否用药,是否选择,脑出血为是时必选,是否,cerebral_hemorrhage,H7B,,
other_diseases,cerebral_hemorrhage_medication_details,JSON,否,脑出血用药详情,动态药物选择组件,脑出血用药为是时必填,,,cerebral_hemorrhage_medication,关联medication_list表,H7B1
,,,,,,,,,,,
# ==================== 本人癌症病史 ====================,,,,,,,,,,,
# 癌症病史主控制表（支持多部位循环录入）,,,,,,,,,,,
personal_cancer_control,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,本人癌症病史主控制表,
personal_cancer_control,has_cancer,BOOLEAN,是,患有或曾经患有癌症,是否选择,必选,是否,,,您是否患有或曾经患有癌症？,H8
personal_cancer_control,total_cancer_sites,INT,否,癌症部位总数,自动计算,根据录入的癌症部位记录自动统计,,,已录入的癌症部位总数，系统自动计算,,
personal_cancer_control,cancer_entry_completed,BOOLEAN,是,癌症病史录入完成,用户确认选择,当癌症病史为是时必选,是否,has_cancer,用户确认是否已完成所有癌症部位的录入,H8Z,
,,,,,,,,,,,
# 个人癌症详情表（支持同一患者多个癌症部位循环录入）,,,,,,,,,,,
personal_cancer_detail,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,个人癌症详情表，支持同一患者多个癌症部位记录,
personal_cancer_detail,cancer_record_id,VARCHAR_32,是,癌症记录ID,UUID生成,系统生成,,,每个癌症部位记录的唯一标识,,
personal_cancer_detail,site_sequence,INT,是,部位序号,自动递增,同一患者内自动递增编号,,,第几个癌症部位（第1个、第2个...）,H8_SEQ,
personal_cancer_detail,cancer_site,TINYINT,是,癌症部位,下拉选择,必选,1大脑;2口腔;3喉;4咽;5甲状腺;6肺;7乳房;8食管;9胃;10肝脏;11胰腺;12肾脏;13前列腺;14睾丸;15卵巢;16子宫颈;17子宫内膜;18结肠或直肠;19膀胱;20皮肤;21非霍奇金淋巴瘤;22白血病;23其他器官,,该癌症发生的具体部位,H8A,
personal_cancer_detail,other_cancer_site,VARCHAR_100,否,其他癌症部位描述,输入框,癌症部位选择其他器官时必填,,,cancer_site,当癌症部位选择其他器官时的具体描述,H8A1
,,,,,,,,,,,
# 癌症治疗信息,,,,,,,,,,,
personal_cancer_detail,received_surgery,BOOLEAN,否,是否手术治疗,是否选择,可选,是否,,该癌症是否接受过手术治疗,H8F,
personal_cancer_detail,surgery_year,YEAR,否,手术年份,年份选择器,手术治疗为是时可填,,received_surgery,H8F1,,
personal_cancer_detail,surgery_type,VARCHAR_200,否,手术类型,输入框,手术治疗为是时可填,,,具体的手术方式,H8F2,
personal_cancer_detail,received_chemotherapy,BOOLEAN,否,是否化疗,是否选择,可选,是否,,该癌症是否接受过化疗,H8G,
personal_cancer_detail,chemotherapy_regimen,VARCHAR_200,否,化疗方案,输入框,化疗为是时可填,,,具体的化疗方案,H8G1,
personal_cancer_detail,received_radiotherapy,BOOLEAN,否,是否放疗,是否选择,可选,是否,,该癌症是否接受过放疗,H8H,
personal_cancer_detail,radiotherapy_details,VARCHAR_200,否,放疗详情,输入框,放疗为是时可填,,,放疗的具体信息,H8H1,
personal_cancer_detail,received_targeted_therapy,BOOLEAN,否,是否靶向治疗,是否选择,可选,是否,,该癌症是否接受过靶向治疗,H8I,
personal_cancer_detail,targeted_therapy_drugs,JSON,否,靶向治疗药物,多选输入框,靶向治疗为是时可填,,,使用的靶向治疗药物,H8I1,
personal_cancer_detail,received_immunotherapy,BOOLEAN,否,是否免疫治疗,是否选择,可选,是否,,该癌症是否接受过免疫治疗,H8J,
personal_cancer_detail,immunotherapy_drugs,JSON,否,免疫治疗药物,多选输入框,免疫治疗为是时可填,,,使用的免疫治疗药物,H8J1,
personal_cancer_detail,received_tcm,BOOLEAN,否,是否中医治疗,是否选择,可选,是否,,该癌症是否接受过中医中药治疗,H8K,
personal_cancer_detail,tcm_treatment_details,TEXT,否,中医治疗详情,文本域,中医治疗为是时可填,,,中医治疗的具体方案,H8K1,
,,,,,,,,,,,
# 系统管理字段,,,,,,,,,,,
personal_cancer_detail,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,,
personal_cancer_detail,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,,
,,,,,,,,,,,
# ==================== 睡眠呼吸暂停 ====================,,,,,,,,,,,
other_diseases,sleep_apnea,TINYINT,是,阻塞性睡眠呼吸暂停,单选按钮,必选,1有;2无;3不清楚,,,H9,
other_diseases,sleep_apnea_diagnosis_year,YEAR,否,睡眠呼吸暂停诊断年份,年份选择器,睡眠呼吸暂停为有时必填,,sleep_apnea,H9A,,
other_diseases,sleep_apnea_persistent,BOOLEAN,否,目前是否持续,是否选择,睡眠呼吸暂停为有时必选,是否,sleep_apnea,H9B,,
other_diseases,need_stopbang_questionnaire,BOOLEAN,是,是否需要填写STOP-Bang问卷,自动判断,当选择不清楚时自动为是,是否,sleep_apnea,当睡眠呼吸暂停选择不清楚时触发,H9C,
,,,,,,,,,,,
# ==================== 其他疾病继续 ====================,,,,,,,,,,,
other_diseases,obesity,BOOLEAN,是,肥胖,是否选择,必选,是否,,,H10,
other_diseases,obesity_diagnosis_year,YEAR,否,肥胖诊断年份,年份选择器,肥胖为是时必填,,obesity,H10A,,
other_diseases,obesity_treatment_method,TINYINT,否,目前治疗方法,单选按钮,肥胖为是时必选,1生活方式干预;2药物治疗;3减重与代谢手术;4未治疗,obesity,H10B,,
other_diseases,obesity_medication_details,TEXT,否,肥胖药物治疗详情,文本域,治疗方法为药物治疗时必填,,,H10B1,,
other_diseases,obesity_surgery_year,YEAR,否,减重手术年份,年份选择器,治疗方法为手术时必填,,,H10B2,,
other_diseases,pcos,BOOLEAN,是,多囊卵巢综合征,是否选择,必选,是否,,,H11,
other_diseases,pcos_diagnosis_year,YEAR,否,多囊卵巢综合征诊断年份,年份选择器,多囊卵巢综合征为是时必填,,pcos,H11A,,
other_diseases,nafld,BOOLEAN,是,非酒精脂肪型肝病,是否选择,必选,是否,,,H12,
other_diseases,nafld_diagnosis_year,YEAR,否,非酒精脂肪型肝病诊断年份,年份选择器,非酒精脂肪型肝病为是时必填,,nafld,H12A,,
other_diseases,osteoarthritis,BOOLEAN,是,骨关节炎,是否选择,必选,是否,,,H13,
other_diseases,osteoarthritis_diagnosis_year,YEAR,否,骨关节炎诊断年份,年份选择器,骨关节炎为是时必填,,osteoarthritis,H13A,,
other_diseases,other_disease,TEXT,否,其他疾病,文本域,可选,,,H14,,
other_diseases,other_disease_diagnosis_year,YEAR,否,其他疾病诊断年份,年份选择器,其他疾病不为空时可填,,,H14A,,
,,,,,,,,,,,
# ==================== 个人史 ====================,,,,,,,,,,,
personal_history,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,个人史表,
personal_history,smoking_status,BOOLEAN,是,是否吸烟,是否选择,必选,是否,,,S1,
personal_history,smoking_start_year,YEAR,否,开始吸烟年份,年份选择器,吸烟为是时必填,,smoking_status,S1A,,
personal_history,quit_smoking,BOOLEAN,否,目前是否戒烟,是否选择,吸烟为是时必选,是否,smoking_status,S1B,,
personal_history,quit_smoking_year,YEAR,否,戒烟年份,年份选择器,戒烟为是时必填,,quit_smoking,S1B1,,
personal_history,cigarettes_per_day,INT,否,每天吸烟支数,数字输入,吸烟为是时必填,,,S1C,,
personal_history,drinking_status,BOOLEAN,是,是否饮酒,是否选择,必选,是否,,,S2,
personal_history,drinking_start_year,YEAR,否,开始饮酒年份,年份选择器,饮酒为是时必填,,drinking_status,S2A,,
personal_history,quit_drinking,BOOLEAN,否,目前是否戒酒,是否选择,饮酒为是时必选,是否,drinking_status,S2B,,
personal_history,quit_drinking_year,YEAR,否,戒酒年份,年份选择器,戒酒为是时必填,,quit_drinking,S2B1,,
personal_history,alcohol_ml_per_day,INT,否,每天饮酒毫升,数字输入,饮酒为是时必填,,,S2C,,
,,,,,,,,,,,
# ==================== 家族史 ====================,,,,,,,,,,,
# 家族史主控制表,,,,,,,,,,,
family_history_control,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,家族史主控制表，控制整体家族史录入流程,
family_history_control,has_diabetes_family,BOOLEAN,是,家族中有无糖尿病患者,是否选择,必选,是否,,,F1,
family_history_control,has_hypertension_family,BOOLEAN,是,家族中有无高血压患者,是否选择,必选,是否,,,F2,
family_history_control,has_coronary_family,BOOLEAN,是,家族中有无冠心病患者,是否选择,必选,是否,,,F3,
family_history_control,total_diabetes_members,INT,否,糖尿病家属总数,自动计算,根据录入的糖尿病家属记录自动统计,,,已录入的糖尿病家属人数,,
family_history_control,total_hypertension_members,INT,否,高血压家属总数,自动计算,根据录入的高血压家属记录自动统计,,,已录入的高血压家属人数,,
family_history_control,total_coronary_members,INT,否,冠心病家属总数,自动计算,根据录入的冠心病家属记录自动统计,,,已录入的冠心病家属人数,,
family_history_control,diabetes_entry_completed,BOOLEAN,是,糖尿病家族史录入完成,用户确认选择,当糖尿病家族史为是时必选,是否,has_diabetes_family,用户确认是否已完成所有糖尿病家属的录入,F1Z,
family_history_control,hypertension_entry_completed,BOOLEAN,是,高血压家族史录入完成,用户确认选择,当高血压家族史为是时必选,是否,has_hypertension_family,用户确认是否已完成所有高血压家属的录入,F2Z,
family_history_control,coronary_entry_completed,BOOLEAN,是,冠心病家族史录入完成,用户确认选择,当冠心病家族史为是时必选,是否,has_coronary_family,用户确认是否已完成所有冠心病家属的录入,F3Z,
,,,,,,,,,,,
# 糖尿病家族史详情表（支持多条记录）,,,,,,,,,,,
family_diabetes_history,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,糖尿病家族史详情表，支持同一患者多条家属记录,
family_diabetes_history,diabetes_member_id,VARCHAR_32,是,糖尿病家属记录ID,UUID生成,系统生成,,,,,
family_diabetes_history,member_sequence,INT,是,家属序号,自动递增,同一患者内自动递增编号,,,第几位糖尿病家属,F1_SEQ,
family_diabetes_history,relationship,TINYINT,是,与本人关系,下拉选择,必选,1祖父母;2外祖父母;3父母;4父亲兄弟姐妹;5母亲兄弟姐妹;6自己的兄弟姐妹;7子女,,该家属与患者的关系,F1A,
family_diabetes_history,member_gender,TINYINT,否,家属性别,单选按钮,可选,1男;2女,,该家属的性别,F1A1,
family_diabetes_history,member_age,INT,否,家属年龄,数字输入,0-120岁范围,,,该家属的当前年龄或去世年龄,F1A2,
family_diabetes_history,diabetes_type,TINYINT,是,糖尿病类型,下拉选择,必选,1不清楚;2_1型糖尿病;3_2型糖尿病;4妊娠期糖尿病;5单基因糖尿病;6胰腺外分泌疾病;7内分泌疾病引起;8医源性糖尿病;9其它继发性,,该家属的糖尿病类型,F1B,
family_diabetes_history,onset_year,YEAR,否,发病年份,年份选择器,可选,,,该家属糖尿病发病年份,F1C,
family_diabetes_history,diagnosis_age,INT,否,诊断时年龄,数字输入,可选,,,该家属糖尿病确诊时年龄,F1C1,
family_diabetes_history,has_complications,BOOLEAN,否,是否有并发症,是否选择,可选,是否,,该家属是否因糖尿病出现并发症,F1D,
family_diabetes_history,complications_types,JSON,否,并发症类型,多选框,有并发症时可多选,视网膜病变;肾病;其他并发症,has_complications,具体的并发症类型，可多选,F1D_TYPES,
family_diabetes_history,complications_other,TEXT,否,其他并发症详情,文本域,并发症类型包含其他时必填,,,其他并发症的具体描述,F1D1,
family_diabetes_history,current_treatment,TINYINT,否,目前治疗情况,单选按钮,可选,1未治疗;2生活方式干预;3口服药物;4胰岛素;5综合治疗;6不详,,该家属目前的治疗情况,F1E,
family_diabetes_history,participate_project,BOOLEAN,否,是否愿意参与项目,是否选择,可选,是否,,该家属是否愿意参与本研究项目,F1F,
family_diabetes_history,contact_name,VARCHAR_50,否,联系人姓名,输入框,参与项目为是时必填,,,参与项目时的联系人姓名,F1F1,
family_diabetes_history,contact_phone,VARCHAR_20,否,联系电话,输入框,参与项目为是时必填,,,参与项目时的联系电话,F1F2,
family_diabetes_history,contact_relationship,VARCHAR_50,否,联系人关系,输入框,参与项目为是时可填,,,联系人与该家属的关系,F1F3,
family_diabetes_history,notes,TEXT,否,备注,文本域,,,,其他相关信息,F1G,
family_diabetes_history,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,,
family_diabetes_history,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,,
,,,,,,,,,,,
# 高血压家族史详情表（支持多条记录）,,,,,,,,,,,
family_hypertension_history,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,高血压家族史详情表，支持同一患者多条家属记录,
family_hypertension_history,hypertension_member_id,VARCHAR_32,是,高血压家属记录ID,UUID生成,系统生成,,,,,
family_hypertension_history,member_sequence,INT,是,家属序号,自动递增,同一患者内自动递增编号,,,第几位高血压家属,F2_SEQ,
family_hypertension_history,relationship,TINYINT,是,与本人关系,下拉选择,必选,1祖父母;2外祖父母;3父母;4父亲兄弟姐妹;5母亲兄弟姐妹;6自己的兄弟姐妹;7子女,,该家属与患者的关系,F2A,
family_hypertension_history,onset_year,YEAR,否,发病年份,年份选择器,可选,,,该家属高血压发病年份,F2B,
family_hypertension_history,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,,
family_hypertension_history,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,,
,,,,,,,,,,,
# 冠心病家族史详情表（支持多条记录）,,,,,,,,,,,
family_coronary_history,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,冠心病家族史详情表，支持同一患者多条家属记录,
family_coronary_history,coronary_member_id,VARCHAR_32,是,冠心病家属记录ID,UUID生成,系统生成,,,,,
family_coronary_history,member_sequence,INT,是,家属序号,自动递增,同一患者内自动递增编号,,,第几位冠心病家属,F3_SEQ,
family_coronary_history,relationship,TINYINT,是,与本人关系,下拉选择,必选,1祖父母;2外祖父母;3父母;4父亲兄弟姐妹;5母亲兄弟姐妹;6自己的兄弟姐妹;7子女,,该家属与患者的关系,F3A,
family_coronary_history,onset_year,YEAR,否,发病年份,年份选择器,可选,,,该家属冠心病发病年份,F3C,
family_coronary_history,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,,
family_coronary_history,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,,
,,,,,,,,,,,
# ==================== 体格检查 ====================,,,,,,,,,,,
physical_examination,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,体格检查表,
physical_examination,height_cm,DECIMAL_5_2,是,身高,数字输入,100到250cm范围,cm;m,,默认单位cm换算1m=100cm,E1,
physical_examination,weight_kg,DECIMAL_5_2,是,体重,数字输入,20到200kg范围,kg;g,,默认单位kg换算1kg=1000g,E2,
physical_examination,bmi,DECIMAL_4_2,是,BMI指数,自动计算显示,自动计算,,,根据身高体重自动计算,E3,
physical_examination,waist_circumference_cm,DECIMAL_5_2,否,腰围,数字输入,可选测量,cm;m;inch,,默认单位cm,E4,
physical_examination,hip_circumference_cm,DECIMAL_5_2,否,臀围,数字输入,可选测量,cm;m;inch,,默认单位cm,E5,
physical_examination,waist_hip_ratio,DECIMAL_4_3,否,腰臀比,自动计算显示,自动计算,,,根据腰围臀围自动计算,E6,
physical_examination,examination_date,DATE,是,检查日期,日期选择器,默认当前日期,,,E7,,
,,,,,,,,,,,
# ==================== 实验室检查 ====================,,,,,,,,,,,
# 1. 血糖检测,,,,,,,,,,,
glucose_tests,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,血糖检测表,
glucose_tests,test_date,DATE,是,检测日期,日期选择器,必填,,,L1,,
glucose_tests,fasting_glucose,DECIMAL_4_2,否,空腹血糖,数字输入,数值范围验证,mmol/L;mg/dL,,默认单位mmol/L换算1mmol/L=18mg/dL,L1A,
glucose_tests,random_glucose,DECIMAL_4_2,否,随机血糖,数字输入,数值范围验证,mmol/L;mg/dL,,默认单位mmol/L,L1B,
