参数编号,参数分类,参数名称,中文名称,数据类型,单位,正常范围,临床意义,数据源,系统字段名,触发阈值,分析用途
47,血脂代谢,ldl_cholesterol,低密度脂蛋白胆固醇,DECIMAL,mmol/L,<2.59,动脉粥样硬化风险,lipids,ldl_c,≥3.37极高风险,LDL-C管理研究
48,血脂代谢,hdl_cholesterol,高密度脂蛋白胆固醇,DECIMAL,mmol/L,男>1.04女>1.30,保护性脂蛋白,lipids,hdl_c,男<1.04女<1.30,HDL-C研究
49,血脂代谢,triglycerides,甘油三酯,DECIMAL,mmol/L,<1.70,脂肪代谢,lipids,tg,≥2.26高甘油三酯血症,甘油三酯研究
50,血脂代谢,non_hdl_cholesterol,非HDL胆固醇,DECIMAL,mmol/L,<3.37,动脉硬化风险,lipids,non_hdl_c,≥4.14极高风险,非HDL-C研究
51,血脂代谢,apolipoprotein_a1,载脂蛋白A1,DECIMAL,g/L,1.20-1.60,HDL功能,lipids,apo_a1,<1.20功能异常,载脂蛋白研究
52,血脂代谢,apolipoprotein_b,载脂蛋白B,DECIMAL,g/L,<0.9,致动脉硬化脂蛋白,lipids,apo_b,>1.2高风险,载脂蛋白B研究
53,血脂代谢,lipoprotein_a,脂蛋白a,DECIMAL,mg/L,<300,遗传性心血管风险,lipids,lp_a,>500高风险,脂蛋白a研究
54,血脂代谢,adiponectin,脂联素,DECIMAL,μg/mL,8.0-25.0,脂肪细胞因子,lipids,adiponectin,<5.0代谢异常,脂肪因子研究
55,血脂代谢,leptin,瘦素,DECIMAL,ng/mL,1.0-15.0,食欲调节,lipids,leptin,异常提示食欲异常,食欲调节研究
56,血脂代谢,resistin,抵抗素,DECIMAL,ng/mL,7.0-22.0,胰岛素抵抗,lipids,resistin,>30胰岛素抵抗,脂肪因子研究
57,肾功能,serum_creatinine,血清肌酐,DECIMAL,μmol/L,男44-133女70-106,肾功能,renal,scr,男>133女>106肾功能异常,肾功能评估
58,肾功能,blood_urea_nitrogen,血尿素氮,DECIMAL,mmol/L,2.9-8.2,肾功能,renal,bun,>8.2肾功能异常,肾功能研究
59,肾功能,estimated_gfr,估算肾小球滤过率,DECIMAL,mL/min/1.73m²,>90,肾功能分期,renal,egfr,<60慢性肾病,慢性肾病研究
60,肾功能,cystatin_c,胱抑素C,DECIMAL,mg/L,0.70-1.21,早期肾损害,renal,cystatin_c,>1.21早期肾损,早期肾损研究
61,肾功能,uric_acid,尿酸,DECIMAL,μmol/L,男208-428女155-357,高尿酸血症,renal,ua,男>420女>360,高尿酸血症研究
62,肾功能,urine_albumin,尿白蛋白,DECIMAL,mg/L,<20,蛋白尿,renal,urine_albumin,>20蛋白尿,蛋白尿研究
63,肾功能,albumin_creatinine_ratio,白蛋白肌酐比,DECIMAL,mg/g,<30,蛋白尿定量,renal,acr,≥30蛋白尿,糖尿病肾病研究
64,肾功能,beta2_microglobulin,β2微球蛋白,DECIMAL,mg/L,1.0-2.4,肾小管功能,renal,b2mg,>2.4小管损伤,肾小管功能研究
65,肝功能,alanine_aminotransferase,丙氨酸氨基转移酶,DECIMAL,U/L,男9-50女7-40,肝细胞损伤,hepatic,alt,男>50女>40,肝功能异常研究
66,肝功能,aspartate_aminotransferase,天门冬氨酸氨基转移酶,DECIMAL,U/L,男15-40女13-35,肝细胞损伤,hepatic,ast,男>40女>35,肝功能研究
67,肝功能,gamma_glutamyl_transferase,γ-谷氨酰转移酶,DECIMAL,U/L,男10-60女7-45,胆汁淤积,hepatic,ggt,男>60女>45,胆汁淤积研究
68,肝功能,alkaline_phosphatase,碱性磷酸酶,DECIMAL,U/L,40-150,骨肝疾病,hepatic,alp,>150异常,碱性磷酸酶研究
69,肝功能,total_bilirubin,总胆红素,DECIMAL,μmol/L,3.4-20.5,肝功能胆红素代谢,hepatic,tbil,>20.5异常,胆红素代谢研究
70,肝功能,direct_bilirubin,直接胆红素,DECIMAL,μmol/L,<8.6,肝胆系统,hepatic,dbil,>8.6异常,胆汁系统研究
71,肝功能,serum_albumin,血清白蛋白,DECIMAL,g/L,40-55,蛋白合成功能,hepatic,albumin,<35营养不良,营养状态研究
72,炎症标记,high_sensitivity_crp,超敏C反应蛋白,DECIMAL,mg/L,<1.0,炎症反应,inflammation,hs_crp,≥3.0高炎症风险,炎症研究
73,炎症标记,interleukin_6,白介素6,DECIMAL,pg/mL,<3.13,促炎细胞因子,inflammation,il6,>7高炎症,细胞因子研究
74,炎症标记,tumor_necrosis_factor_alpha,肿瘤坏死因子α,DECIMAL,pg/mL,<8.1,促炎细胞因子,inflammation,tnf_alpha,>15高炎症,TNF-α研究
75,炎症标记,fibrinogen,纤维蛋白原,DECIMAL,g/L,2.0-4.0,凝血炎症,inflammation,fibrinogen,>4.5血栓风险,凝血炎症研究
76,炎症标记,erythrocyte_sedimentation_rate,红细胞沉降率,DECIMAL,mm/h,男<15女<20,非特异性炎症,inflammation,esr,>50炎症活跃,炎症指标研究
77,炎症标记,white_blood_cell_count,白细胞计数,DECIMAL,×10⁹/L,4.0-10.0,感染免疫,inflammation,wbc,>10感染,感染免疫研究
78,凝血功能,prothrombin_time,凝血酶原时间,DECIMAL,秒,11-13,外源性凝血,coagulation,pt,>15出血风险,凝血功能研究
79,凝血功能,activated_partial_thromboplastin_time,活化部分凝血活酶时间,DECIMAL,秒,25-35,内源性凝血,coagulation,aptt,>45出血风险,凝血研究
80,凝血功能,international_normalized_ratio,国际标准化比值,DECIMAL,比值,0.9-1.1,抗凝监测,coagulation,inr,>3出血风险,抗凝治疗研究
81,凝血功能,d_dimer,D-二聚体,DECIMAL,mg/L,<0.55,血栓形成,coagulation,d_dimer,>0.55血栓风险,血栓研究
82,内分泌,thyroid_stimulating_hormone,促甲状腺激素,DECIMAL,mIU/L,0.27-4.2,甲状腺功能,endocrine,tsh,<0.27或>4.2异常,甲状腺功能研究
83,内分泌,free_triiodothyronine,游离三碘甲状腺原氨酸,DECIMAL,pmol/L,3.1-6.8,甲状腺功能,endocrine,ft3,异常提示甲状腺病,甲状腺激素研究
84,内分泌,free_thyroxine,游离甲状腺素,DECIMAL,pmol/L,12-22,甲状腺功能,endocrine,ft4,异常提示甲状腺病,甲状腺功能研究
85,内分泌,serum_cortisol,血清皮质醇,DECIMAL,nmol/L,171-536,肾上腺功能,endocrine,cortisol,异常提示肾上腺病,肾上腺功能研究
86,内分泌,total_testosterone,总睾酮,DECIMAL,nmol/L,男8.64-29.0,性激素,endocrine,testosterone,男<8.64低睾酮,性激素研究
87,内分泌,estradiol,雌二醇,DECIMAL,pmol/L,女周期性变化,性激素,endocrine,estradiol,异常影响代谢,雌激素研究
88,内分泌,insulin_like_growth_factor,胰岛素样生长因子,DECIMAL,ng/mL,115-307,生长激素轴,endocrine,igf1,异常影响代谢,生长激素研究
89,维生素微量元素,vitamin_d3_level,25羟维生素D3,DECIMAL,nmol/L,>75,骨代谢免疫,vitamins,vitamin_d,<50缺乏<75不足,维生素D研究
90,维生素微量元素,cobalamin_level,维生素B12,DECIMAL,pmol/L,156-672,造血神经功能,vitamins,vitamin_b12,<156缺乏,维生素B12研究
91,维生素微量元素,folic_acid_level,叶酸,DECIMAL,nmol/L,10-42.4,造血DNA合成,vitamins,folate,<7缺乏,叶酸研究
92,维生素微量元素,serum_iron,血清铁,DECIMAL,μmol/L,男14-32女11-29,铁代谢,vitamins,iron,异常影响造血,铁代谢研究
93,维生素微量元素,serum_ferritin,血清铁蛋白,DECIMAL,μg/L,男15-400女12-150,铁储存,vitamins,ferritin,异常提示铁代谢异常,铁储存研究
94,维生素微量元素,serum_zinc,血清锌,DECIMAL,μmol/L,10.7-22.9,微量元素,vitamins,zinc,<10.7缺乏,微量元素研究
95,维生素微量元素,serum_magnesium,血清镁,DECIMAL,mmol/L,0.75-1.25,电解质平衡,vitamins,magnesium,<0.75缺乏,镁代谢研究
96,心理健康,phq9_score,PHQ-9抑郁量表,INTEGER,分,0-27,抑郁症筛查,psychology,phq9_score,≥10抑郁症状,抑郁症研究
97,心理健康,gad7_score,GAD-7焦虑量表,INTEGER,分,0-21,焦虑症筛查,psychology,gad7_score,≥10焦虑症状,焦虑症研究
98,心理健康,psqi_global_score,PSQI睡眠质量量表,INTEGER,分,0-21,睡眠质量,psychology,psqi_score,>7睡眠质量差,睡眠质量研究
99,心理健康,adherence_score,MMAS-8药物依从性,INTEGER,分,0-8,药物依从性,psychology,mmas8_score,<6低依从性,药物依从性研究
100,心理健康,perceived_stress_score,感知压力量表,INTEGER,分,0-40,心理压力,psychology,stress_score,>20高压力,心理压力研究
101,生活方式,smoking_status,吸烟状态,CATEGORY,无,从不/曾经/现在,吸烟行为,lifestyle,smoking_status,现在吸烟高风险,吸烟与健康研究
102,生活方式,alcohol_consumption,饮酒量,DECIMAL,标准杯/周,0-14,饮酒行为,lifestyle,alcohol_intake,>14过量饮酒,饮酒与代谢研究
103,生活方式,physical_activity_level,体力活动水平,INTEGER,MET-分钟/周,≥600,运动量,lifestyle,pa_level,<600活动不足,体力活动研究
104,生活方式,average_sleep_hours,平均睡眠时间,DECIMAL,小时/天,7-9,睡眠时长,lifestyle,sleep_duration,<7或>9异常,睡眠时长研究
105,生活方式,diet_quality_score,饮食质量评分,INTEGER,分,0-100,饮食质量,lifestyle,diet_score,<60饮食质量差,饮食质量研究
106,生活方式,sedentary_time,久坐时间,DECIMAL,小时/天,<8,久坐行为,lifestyle,sedentary_time,>8久坐风险,久坐行为研究
107,社会经济,education_level,教育水平,CATEGORY,无,小学/初中/高中/大学/研究生,社会经济地位,socioeconomic,education,低教育水平影响健康,教育与健康研究
108,社会经济,household_income,家庭收入,CATEGORY,万元/年,<3/3-10/10-30/>30,经济状况,socioeconomic,income,低收入影响治疗,收入与健康研究
109,社会经济,employment_status,就业状态,CATEGORY,无,在职/退休/失业/其他,就业情况,socioeconomic,employment,失业影响健康,就业与健康研究
110,社会经济,health_insurance,医疗保险,CATEGORY,无,城镇职工/城镇居民/新农合/商业/无,医疗保障,socioeconomic,insurance,无保险影响就医,医保与健康研究
111,社会经济,social_support_score,社会支持评分,INTEGER,分,12-84,社会支持,socioeconomic,social_support,<36支持不足,社会支持研究
112,并发症评估,diabetic_retinopathy_grade,糖尿病视网膜病变分级,INTEGER,级,0-4,眼底并发症,complications,dr_grade,≥2需治疗,糖尿病视网膜病变研究
113,并发症评估,diabetic_nephropathy_stage,糖尿病肾病分期,INTEGER,期,1-5,肾脏并发症,complications,dn_stage,≥3需治疗,糖尿病肾病研究
114,并发症评估,neuropathy_symptom_score,神经病变症状评分,INTEGER,分,0-17,神经并发症,complications,neuropathy_score,≥3有症状,糖尿病神经病变研究
115,并发症评估,foot_ulcer_risk,足溃疡风险,INTEGER,级,0-3,足部并发症,complications,foot_risk,≥2高风险,糖尿病足研究
116,并发症评估,macrovascular_events,大血管事件,BOOLEAN,是/否,无/有,心脑血管并发症,complications,macrovascular,有事件预后差,大血管并发症研究
117,并发症评估,hypoglycemia_frequency,低血糖频率,INTEGER,次/月,0次,低血糖并发症,complications,hypo_frequency,>4次/月频繁,低血糖研究
118,并发症评估,hyperglycemic_crisis,高血糖危象,BOOLEAN,是/否,无/有,急性并发症,complications,hyper_crisis,有危象预后差,高血糖危象研究
119,并发症评估,infection_episodes,感染发作次数,INTEGER,次/年,0-2,感染并发症,complications,infection_count,>4次/年频繁,感染与糖尿病研究
120,治疗监测,current_medications_count,当前用药数量,INTEGER,种,1-10,多重用药,treatment,med_count,>5多重用药,多重用药研究
121,治疗监测,insulin_total_daily_dose,胰岛素日总剂量,DECIMAL,单位/天,0.2-2.0单位/kg,胰岛素治疗,treatment,insulin_dose,>2单位/kg大剂量,胰岛素剂量研究
122,治疗监测,metformin_dose,二甲双胍剂量,DECIMAL,mg/天,500-2000,口服降糖药,treatment,metformin_dose,最大2000mg/天,二甲双胍研究
123,治疗监测,statin_therapy,他汀类药物治疗,BOOLEAN,是/否,推荐使用,调脂治疗,treatment,statin_use,糖尿病推荐使用,调脂治疗研究
124,治疗监测,ace_inhibitor_arb,ACEI或ARB使用,BOOLEAN,是/否,推荐使用,降压治疗,treatment,acei_arb_use,糖尿病推荐使用,降压治疗研究
125,治疗监测,aspirin_therapy,阿司匹林治疗,BOOLEAN,是/否,高危推荐,抗血小板治疗,treatment,aspirin_use,高危患者推荐,抗血小板研究
126,治疗监测,self_monitoring_frequency,自我监测频率,INTEGER,次/天,2-4,血糖监测,treatment,smbg_frequency,<2次监测不足,血糖监测研究
127,治疗监测,cgm_usage,连续血糖监测使用,BOOLEAN,是/否,推荐使用,血糖监测,treatment,cgm_use,有助于优化治疗,CGM使用研究
128,治疗监测,treatment_satisfaction_score,治疗满意度评分,INTEGER,分,0-36,治疗满意度,treatment,satisfaction_score,<18满意度低,治疗满意度研究
129,治疗监测,medication_adherence_rate,用药依从率,DECIMAL,%,80-100,治疗依从性,treatment,adherence_rate,<80%依从性差,用药依从性研究
130,治疗监测,healthcare_utilization,医疗服务利用,INTEGER,次/年,4-12,医疗服务使用,treatment,healthcare_visits,<4次利用不足,医疗服务研究
131,结局指标,quality_of_life_score,生活质量评分,INTEGER,分,0-100,生活质量,outcomes,qol_score,<60生活质量差,生活质量研究
132,结局指标,hospitalization_days,住院天数,INTEGER,天/年,0,住院结局,outcomes,hospital_days,>7天/年频繁住院,住院结局研究
133,结局指标,emergency_visits,急诊科就诊次数,INTEGER,次/年,0-1,急诊使用,outcomes,er_visits,>2次/年频繁,急诊使用研究
