表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注
pancreatic_cancer_glycemic_brittleness_factors,lipase_level,DECIMAL_5_2,否,胰脂肪酶,数字输入,>=0,U/L,,默认单位:U/L

pancreatic_cancer_glycemic_brittleness_factors,anesthesia_type,VARCHAR_50,否,麻醉方式,文本输入,,,,
pancreatic_cancer_glycemic_brittleness_factors,anesthesia_drugs,TEXT,否,麻醉药物,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,intraop_fluid_type,VARCHAR_50,否,术中液体种类,文本输入,,,,
pancreatic_cancer_glycemic_brittleness_factors,intraop_fluid_volume,INT,否,术中输液量,数字输入,>=0,ml;L,,默认单位:ml。换算: 1 L = 1000 ml
pancreatic_cancer_glycemic_brittleness_factors,intraop_blood_loss,INT,否,术中出血量,数字输入,>=0,ml;L,,默认单位:ml。换算: 1 L = 1000 ml
pancreatic_cancer_glycemic_brittleness_factors,intraop_blood_transfusion,INT,否,术中输血量,数字输入,>=0,ml;L,,默认单位:ml。换算: 1 L = 1000 ml
pancreatic_cancer_glycemic_brittleness_factors,vasoactive_drugs,TEXT,否,血管活性药物,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,intraop_complications,TEXT,否,术中并发症,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,pancreatojejunostomy_type,VARCHAR_50,否,胰肠吻合方式,文本输入,,,,
pancreatic_cancer_glycemic_brittleness_factors,pancreatojejunostomy_diameter,DECIMAL_4_1,否,胰肠吻合口直径,数字输入,>=0,mm;cm,,默认单位:mm。换算: 1 cm = 10 mm
pancreatic_cancer_glycemic_brittleness_factors,intraop_cortisol,DECIMAL_5_2,否,术中皮质醇,数字输入,>=0,ug/dL;nmol/L,,默认单位:ug/dL。换算: 1 ug/dL = 27.59 nmol/L
pancreatic_cancer_glycemic_brittleness_factors,intraop_catecholamines,DECIMAL_5_2,否,术中儿茶酚胺,数字输入,>=0,pg/mL;ng/L,,默认单位:pg/mL。换算: 1 ng/L = 1 pg/mL

pancreatic_cancer_glycemic_brittleness_factors,intraop_insulin_infusion_rate,DECIMAL_5_2,否,术中胰岛素输注速率,数字输入,>=0,U/h,,默认单位:U/h
pancreatic_cancer_glycemic_brittleness_factors,intraop_glucose_infusion_volume,INT,否,术中葡萄糖输注量,数字输入,>=0,ml,,默认单位:ml

pancreatic_cancer_glycemic_brittleness_factors,postop_pancreatic_fistula_grade,VARCHAR_10,否,术后胰瘘分级,下拉选择,,A;B;C,,
pancreatic_cancer_glycemic_brittleness_factors,postop_pancreatic_fistula_drainage,INT,否,术后胰瘘引流量,数字输入,>=0,ml/d;L/d,,默认单位:ml/d。换算: 1 L/d = 1000 ml/d
pancreatic_cancer_glycemic_brittleness_factors,postop_pancreatic_fistula_duration,INT,否,术后胰瘘持续时间,数字输入,>=0,天,,默认单位:天
pancreatic_cancer_glycemic_brittleness_factors,dge_occurrence,TINYINT,否,迟发性胃排空发生,单选按钮,,0:否;1:是,,
pancreatic_cancer_glycemic_brittleness_factors,postop_bleeding_occurrence,TINYINT,否,术后出血发生,单选按钮,,0:否;1:是,,
pancreatic_cancer_glycemic_brittleness_factors,postop_infection_type,TEXT,否,术后感染类型,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,enteral_nutrition_start_day,INT,否,肠内营养起始日,数字输入,>=0,术后第X天,,默认单位:术后第X天
pancreatic_cancer_glycemic_brittleness_factors,parenteral_nutrition_start_day,INT,否,肠外营养起始日,数字输入,>=0,术后第X天,,默认单位:术后第X天
pancreatic_cancer_glycemic_brittleness_factors,pert_dose,DECIMAL_5_2,否,胰酶替代治疗剂量,数字输入,>=0,U/餐,,默认单位:U/餐
pancreatic_cancer_glycemic_brittleness_factors,pain_score,TINYINT,否,疼痛评分,数字输入,0-10,VAS评分,,默认单位:VAS评分
pancreatic_cancer_glycemic_brittleness_factors,analgesic_medications,TEXT,否,镇痛药物,文本域,,,,
pancreatic_cancer_glycemic_brittleness_factors,postop_hba1c_3m,DECIMAL_4_2,否,术后3月HbA1c,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,postop_hba1c_6m,DECIMAL_4_2,否,术后6月HbA1c,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,postop_hba1c_1y,DECIMAL_4_2,否,术后1年HbA1c,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_cv,DECIMAL_4_2,否,术前CGM变异系数,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_tir,DECIMAL_4_2,否,术前CGM目标范围内时间,数字输入,0-100,%,,3.9-10.0 mmol/L范围内时间百分比
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_tar_level1,DECIMAL_4_2,否,术前CGM高血糖时间1级,数字输入,0-100,%,,>10.0-13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_tar_level2,DECIMAL_4_2,否,术前CGM高血糖时间2级,数字输入,0-100,%,,>13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_tbr_level1,DECIMAL_4_2,否,术前CGM低血糖时间1级,数字输入,0-100,%,,3.0-3.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_tbr_level2,DECIMAL_4_2,否,术前CGM低血糖时间2级,数字输入,0-100,%,,<3.0 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_mage,DECIMAL_5_2,否,术前CGM平均血糖漂移幅度,数字输入,>=0,mmol/L;mg/dL,,默认单位:mmol/L。换算: 1 mmol/L = 18 mg/dL
pancreatic_cancer_glycemic_brittleness_factors,preop_cgm_gmi,DECIMAL_4_2,否,术前CGM血糖管理指标,数字输入,>=0,%,,估算HbA1c等效值

pancreatic_cancer_glycemic_brittleness_factors,intraop_cgm_cv,DECIMAL_4_2,否,术中CGM变异系数,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,intraop_cgm_mean_glucose,DECIMAL_4_2,否,术中CGM平均血糖,数字输入,>=0,mmol/L;mg/dL,,默认单位:mmol/L。换算: 1 mmol/L = 18 mg/dL
pancreatic_cancer_glycemic_brittleness_factors,intraop_glucose_range,DECIMAL_4_2,否,术中血糖变化幅度,数字输入,>=0,mmol/L;mg/dL,,最大值-最小值，默认单位:mmol/L
pancreatic_cancer_glycemic_brittleness_factors,intraop_hypo_episodes,INT,否,术中低血糖发作次数,数字输入,>=0,次,,<3.9 mmol/L发作次数
pancreatic_cancer_glycemic_brittleness_factors,intraop_severe_hypo_episodes,INT,否,术中严重低血糖发作次数,数字输入,>=0,次,,<3.0 mmol/L发作次数

pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_cv_72h,DECIMAL_4_2,否,术后72小时CGM变异系数,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tir_72h,DECIMAL_4_2,否,术后72小时CGM目标范围内时间,数字输入,0-100,%,,3.9-10.0 mmol/L范围内时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tar_level1_72h,DECIMAL_4_2,否,术后72小时CGM高血糖时间1级,数字输入,0-100,%,,>10.0-13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tar_level2_72h,DECIMAL_4_2,否,术后72小时CGM高血糖时间2级,数字输入,0-100,%,,>13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tbr_level1_72h,DECIMAL_4_2,否,术后72小时CGM低血糖时间1级,数字输入,0-100,%,,3.0-3.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tbr_level2_72h,DECIMAL_4_2,否,术后72小时CGM低血糖时间2级,数字输入,0-100,%,,<3.0 mmol/L时间百分比

pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_cv_2w,DECIMAL_4_2,否,术后2周CGM变异系数,数字输入,>=0,%,,术后4-14天期间，默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tir_2w,DECIMAL_4_2,否,术后2周CGM目标范围内时间,数字输入,0-100,%,,术后4-14天期间，3.9-10.0 mmol/L范围内时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tar_level1_2w,DECIMAL_4_2,否,术后2周CGM高血糖时间1级,数字输入,0-100,%,,术后4-14天期间，>10.0-13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tar_level2_2w,DECIMAL_4_2,否,术后2周CGM高血糖时间2级,数字输入,0-100,%,,术后4-14天期间，>13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tbr_level1_2w,DECIMAL_4_2,否,术后2周CGM低血糖时间1级,数字输入,0-100,%,,术后4-14天期间，3.0-3.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tbr_level2_2w,DECIMAL_4_2,否,术后2周CGM低血糖时间2级,数字输入,0-100,%,,术后4-14天期间，<3.0 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_mage_2w,DECIMAL_5_2,否,术后2周CGM平均血糖漂移幅度,数字输入,>=0,mmol/L;mg/dL,,术后4-14天期间，默认单位:mmol/L。换算: 1 mmol/L = 18 mg/dL
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_gmi_2w,DECIMAL_4_2,否,术后2周CGM血糖管理指标,数字输入,>=0,%,,术后4-14天期间，估算HbA1c等效值

pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_cv_3m,DECIMAL_4_2,否,术后3月CGM变异系数,数字输入,>=0,%,,默认单位:%
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tir_3m,DECIMAL_4_2,否,术后3月CGM目标范围内时间,数字输入,0-100,%,,3.9-10.0 mmol/L范围内时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tar_level1_3m,DECIMAL_4_2,否,术后3月CGM高血糖时间1级,数字输入,0-100,%,,>10.0-13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tar_level2_3m,DECIMAL_4_2,否,术后3月CGM高血糖时间2级,数字输入,0-100,%,,>13.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tbr_level1_3m,DECIMAL_4_2,否,术后3月CGM低血糖时间1级,数字输入,0-100,%,,3.0-3.9 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_tbr_level2_3m,DECIMAL_4_2,否,术后3月CGM低血糖时间2级,数字输入,0-100,%,,<3.0 mmol/L时间百分比
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_mage_3m,DECIMAL_5_2,否,术后3月CGM平均血糖漂移幅度,数字输入,>=0,mmol/L;mg/dL,,默认单位:mmol/L。换算: 1 mmol/L = 18 mg/dL
pancreatic_cancer_glycemic_brittleness_factors,postop_cgm_gmi_3m,DECIMAL_4_2,否,术后3月CGM血糖管理指标,数字输入,>=0,%,,估算HbA1c等效值
pancreatic_cancer_glycemic_brittleness_factors,postop_fecal_elastase1_3m,INT,否,术后3月粪便弹性蛋白酶-1,数字输入,>=0,ug/g,,默认单位:ug/g
pancreatic_cancer_glycemic_brittleness_factors,eq5d_score,DECIMAL_4_2,否,EQ-5D生活质量评分,数字输入,>=0,,,【可自动化-估算】基于PHQ-9、疼痛评分、并发症分级等客观指标估算。准确率70-75%
pancreatic_cancer_glycemic_brittleness_factors,rehospitalization_cause_category,TINYINT,否,再住院主要原因分类,下拉选择,,1:代谢并发症;2:感染;3:外科并发症;4:肿瘤治疗相关;5:其他,,【可自动化】基于ICD-10诊断代码和关键词自动分类。准确率90%+
pancreatic_cancer_glycemic_brittleness_factors,rehospitalization_cause_detail,TEXT,否,再住院原因补充说明,文本域,,,,若选择“其他”需填写
pancreatic_cancer_glycemic_brittleness_factors,survival_status,TINYINT,否,生存状态,单选按钮,,0:死亡;1:生存,,
pancreatic_cancer_glycemic_brittleness_factors,survival_time_months,INT,否,生存时间,数字输入,>=0,月,,默认单位:月

pancreatic_cancer_glycemic_brittleness_factors,postop_infection_site,JSON,否,术后感染部位,多选框,,手术切口;胆道;肺部;泌尿道;血流;腹腔;其他,,
pancreatic_cancer_glycemic_brittleness_factors,postop_infection_onset_day,INT,否,术后感染发生天数,数字输入,>=0,天,,自术日算起
pancreatic_cancer_glycemic_brittleness_factors,postop_infection_culture_result,VARCHAR_100,否,感染培养主要病原体,输入框,,,,阴性可填“阴性”
pancreatic_cancer_glycemic_brittleness_factors,postop_infection_clavien_grade,TINYINT,否,术后感染Clavien-Dindo分级,下拉选择,,1:I;2:II;3:IIIa;4:IIIb;5:IVa;6:IVb;7:V,,【可自动化】基于干预措施类型自动分级:死亡=V,器官功能障碍=IV,手术/介入=III,药物治疗=II,无干预=I
pancreatic_cancer_glycemic_brittleness_factors,postop_pancreatic_fistula_grade,TINYINT,否,胰瘘分级(ISGPS),下拉选择,,0:无;1:Biochemical leak;2:Grade B;3:Grade C,,【可自动化】基于ISGPS标准:术后第3天引流液淀粉酶、引流量、临床影响、干预措施自动分级
pancreatic_cancer_glycemic_brittleness_factors,postop_pancreatic_fistula_drain_days,INT,否,引流管保留天数,数字输入,>=0,天,,
pancreatic_cancer_glycemic_brittleness_factors,postop_pancreatic_fistula_intervention,JSON,否,胰瘘干预措施,多选框,,延长引流;营养支持;介入治疗;再手术;抗菌治疗;其他,,
pancreatic_cancer_glycemic_brittleness_factors,postop_pain_nrs_day1,TINYINT,否,术后第1天静息NRS评分,数字输入,0-10,,,
pancreatic_cancer_glycemic_brittleness_factors,postop_analgesia_mode,TINYINT,否,术后镇痛方式,下拉选择,,1:PCA静脉;2:硬膜外;3:神经阻滞;4:口服镇痛;5:其他,,
pancreatic_cancer_glycemic_brittleness_factors,postop_opioid_meq_day1,DECIMAL_5_2,否,术后第1天阿片等效用量(MEQ),数字输入,>=0,mg,,换算为口服吗啡当量

pancreatic_cancer_glycemic_brittleness_factors,tcf7l2_genotype,VARCHAR_50,否,TCF7L2基因型,文本输入,,,,
pancreatic_cancer_glycemic_brittleness_factors,kcnj11_genotype,VARCHAR_50,否,KCNJ11基因型,文本输入,,,,
pancreatic_cancer_glycemic_brittleness_factors,ca199_level,DECIMAL_5_2,否,CA19-9水平,数字输入,>=0,U/mL,,默认单位:U/mL
pancreatic_cancer_glycemic_brittleness_factors,cea_level,DECIMAL_5_2,否,CEA水平,数字输入,>=0,ng/mL,,默认单位:ng/mL

pancreatic_cancer_glycemic_brittleness_factors,brca1_2_mutation,TINYINT,否,BRCA1/2基因突变,单选按钮,,0:否;1:是,,
pancreatic_cancer_glycemic_brittleness_factors,palb2_mutation,TINYINT,否,PALB2基因突变,单选按钮,,0:否;1:是,,
pancreatic_cancer_glycemic_brittleness_factors,atm_mutation,TINYINT,否,ATM基因突变,单选按钮,,0:否;1:是,,
pancreatic_cancer_glycemic_brittleness_factors,dme_polymorphism,TEXT,否,药物代谢酶基因多态性,文本域,,,,

pancreatic_cancer_glycemic_brittleness_factors,eortc_qlqc30_score,DECIMAL_4_2,否,EORTC QLQ-C30评分,数字输入,>=0,,,
pancreatic_cancer_glycemic_brittleness_factors,eortc_qlqpan26_score,DECIMAL_4_2,否,EORTC QLQ-PAN26评分,数字输入,>=0,,,
pancreatic_cancer_glycemic_brittleness_factors,complication_primary_type,TINYINT,否,主要并发症类型,下拉选择,,1:胰瘘;2:胆瘘;3:出血;4:胃排空延迟;5:感染;6:血栓;7:其他,,【可自动化】基于引流液检查、出血量、炎症指标、D-dimer等客观指标自动判断。准确率85-90%
pancreatic_cancer_glycemic_brittleness_factors,complication_onset_postop_day,INT,否,并发症发生术后天数,数字输入,>=0,天,,
pancreatic_cancer_glycemic_brittleness_factors,complication_clavien_grade,TINYINT,否,并发症Clavien-Dindo分级,下拉选择,,1:I;2:II;3:IIIa;4:IIIb;5:IVa;6:IVb;7:V,,【可自动化】同infection_clavien_grade,基于干预措施自动分级。准确率95%+
pancreatic_cancer_glycemic_brittleness_factors,endocrine_function_recovery_day,INT,否,胰腺内分泌功能恢复天数,数字输入,>=0,天,,【可自动化】连续7天血糖达标(FBG 4.4-7.0,PPG<10.0)且胰岛素剂量稳定。准确率95%
pancreatic_cancer_glycemic_brittleness_factors,exocrine_function_recovery_day,INT,否,胰腺外分泌功能恢复天数,数字输入,>=0,天,,【可自动化】粪弹性酶≥200 ug/g且无脂肪泻症状且PERT剂量减少。准确率90%
pancreatic_cancer_glycemic_brittleness_factors,pancreatic_function_followup_method,JSON,否,功能评估方式,多选框,,OGTT;空腹血糖;粪弹性酶;影像学;症状评分;其他,,可多选
